epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,4.18753,3.64383,5.0228,2.43728,0.0002,0.00456,1e-05,0,3.38755,5.02734,2.26637,0.00012,0.00012,0.00012,6e-05,0.00012,0.000108
2,7.32969,3.03512,4.83452,2.07983,0.00045,0.0069,2e-05,0,2.69453,4.84434,1.87734,0.000249939,0.000249939,0.000249939,0.000124969,0.000249939,0.000224945
3,10.6818,2.41168,4.56801,1.69695,0.00116,0.02062,0.0004,0.00013,2.17923,4.65237,1.51772,0.000379629,0.000379629,0.000379629,0.000189814,0.000379629,0.000341666
4,14.0648,1.94259,4.25205,1.40522,0.00603,0.09082,0.0084,0.00337,1.79828,4.4768,1.28582,0.00050888,0.00050888,0.00050888,0.00025444,0.00050888,0.000457992
5,17.3936,1.7532,3.90675,1.28377,0.00451,0.14342,0.01415,0.00469,1.62862,4.31727,1.20454,0.000637502,0.000637502,0.000637502,0.000318751,0.000637502,0.000573752
6,20.5831,1.57444,3.52371,1.18871,0.01371,0.40818,0.05865,0.02244,1.5408,3.9363,1.17665,0.000765307,0.000765307,0.000765307,0.000382654,0.000765307,0.000688777
7,23.9105,1.48553,3.11379,1.1584,0.45326,0.13448,0.12957,0.06687,1.48727,3.49087,1.13574,0.000892109,0.000892109,0.000892109,0.000446054,0.000892109,0.000802898
8,27.1468,1.43479,2.80683,1.13222,0.19486,0.25511,0.1653,0.08783,1.50729,3.07701,1.13298,0.000988079,0.000988079,0.000988079,0.000494039,0.000988079,0.000889271
9,30.5265,1.37158,2.56763,1.09602,0.19679,0.44048,0.18463,0.10504,1.44575,2.90191,1.11583,0.000984449,0.000984449,0.000984449,0.000492224,0.000984449,0.000886004
10,33.7952,1.30124,2.43477,1.07731,0.19885,0.50491,0.22154,0.13196,1.38583,2.74013,1.09962,0.000980345,0.000980345,0.000980345,0.000490173,0.000980345,0.000882311
11,37.2439,1.20667,2.20866,1.04065,0.27039,0.50701,0.30051,0.18328,1.34013,2.50687,1.09029,0.000975773,0.000975773,0.000975773,0.000487886,0.000975773,0.000878196
12,40.4932,1.12797,2.04846,1.01197,0.35417,0.50257,0.37297,0.23961,1.29809,2.32428,1.09082,0.000970736,0.000970736,0.000970736,0.000485368,0.000970736,0.000873662
13,43.8974,1.07286,1.92442,0.99138,0.39436,0.51653,0.41548,0.27359,1.25446,2.2373,1.07779,0.000965239,0.000965239,0.000965239,0.00048262,0.000965239,0.000868715
14,47.2086,1.02231,1.80747,0.97564,0.41311,0.56363,0.4541,0.30297,1.2575,2.15573,1.08047,0.000959289,0.000959289,0.000959289,0.000479644,0.000959289,0.00086336
15,50.5912,1.03478,1.71779,0.97053,0.43592,0.54907,0.46838,0.31539,1.23446,2.10206,1.07426,0.000952889,0.000952889,0.000952889,0.000476445,0.000952889,0.0008576
16,53.8431,0.96934,1.62007,0.95149,0.50019,0.54317,0.51443,0.34662,1.22861,2.00719,1.07549,0.000946048,0.000946048,0.000946048,0.000473024,0.000946048,0.000851443
17,57.225,0.92794,1.55464,0.93683,0.50855,0.57157,0.53714,0.37038,1.19396,1.94799,1.06439,0.000938772,0.000938772,0.000938772,0.000469386,0.000938772,0.000844895
18,60.4586,0.88227,1.43929,0.92028,0.50392,0.59598,0.56263,0.39456,1.15909,1.84066,1.05421,0.000931067,0.000931067,0.000931067,0.000465534,0.000931067,0.000837961
19,63.8281,0.84497,1.38172,0.91223,0.55652,0.58241,0.58846,0.40875,1.16668,1.78915,1.0574,0.000922942,0.000922942,0.000922942,0.000461471,0.000922942,0.000830648
20,67.0409,0.8274,1.28099,0.90315,0.58422,0.58172,0.60655,0.42274,1.15483,1.76073,1.05076,0.000914405,0.000914405,0.000914405,0.000457202,0.000914405,0.000822964
21,70.3899,0.78101,1.1961,0.89004,0.63152,0.57566,0.62083,0.43567,1.13438,1.7212,1.04059,0.000905463,0.000905463,0.000905463,0.000452732,0.000905463,0.000814917
22,73.6058,0.7682,1.16582,0.87991,0.60076,0.6114,0.62833,0.4372,1.13675,1.69215,1.03738,0.000896127,0.000896127,0.000896127,0.000448063,0.000896127,0.000806514
23,76.9472,0.75481,1.12805,0.87781,0.588,0.6328,0.63624,0.44866,1.11717,1.64706,1.03071,0.000886404,0.000886404,0.000886404,0.000443202,0.000886404,0.000797764
24,80.158,0.73156,1.04499,0.86821,0.60614,0.61887,0.64795,0.45424,1.13756,1.63671,1.04232,0.000876305,0.000876305,0.000876305,0.000438152,0.000876305,0.000788674
25,83.5027,0.74008,1.00869,0.86912,0.61917,0.60881,0.65868,0.4668,1.10904,1.60999,1.03566,0.000865839,0.000865839,0.000865839,0.00043292,0.000865839,0.000779256
26,86.6957,0.7057,0.97589,0.85906,0.65292,0.59327,0.65833,0.46837,1.10381,1.58954,1.03519,0.000855018,0.000855018,0.000855018,0.000427509,0.000855018,0.000769516
27,90.0245,0.68869,0.9393,0.85634,0.66168,0.61583,0.66961,0.47229,1.09799,1.54308,1.03439,0.000843851,0.000843851,0.000843851,0.000421925,0.000843851,0.000759466
28,93.22,0.67381,0.91935,0.84913,0.7077,0.58112,0.67039,0.47787,1.08447,1.54955,1.02748,0.000832349,0.000832349,0.000832349,0.000416175,0.000832349,0.000749114
29,96.5312,0.66456,0.86313,0.84422,0.68591,0.59237,0.66864,0.47189,1.09053,1.56163,1.03052,0.000820525,0.000820525,0.000820525,0.000410262,0.000820525,0.000738472
30,99.6998,0.64146,0.82283,0.84215,0.70466,0.613,0.67928,0.48245,1.08391,1.53296,1.02824,0.000808389,0.000808389,0.000808389,0.000404194,0.000808389,0.00072755
31,103.003,0.62557,0.826,0.83349,0.70664,0.61696,0.6838,0.48524,1.09349,1.51926,1.03155,0.000795954,0.000795954,0.000795954,0.000397977,0.000795954,0.000716358
32,106.176,0.59727,0.79123,0.82814,0.69409,0.6176,0.684,0.48783,1.08273,1.49401,1.0312,0.000783231,0.000783231,0.000783231,0.000391616,0.000783231,0.000704908
33,109.5,0.59891,0.77367,0.82926,0.70525,0.604,0.68652,0.48581,1.09426,1.50558,1.03751,0.000770234,0.000770234,0.000770234,0.000385117,0.000770234,0.000693211
34,112.672,0.61316,0.78431,0.83461,0.73486,0.59783,0.69104,0.48994,1.07882,1.48592,1.03241,0.000756976,0.000756976,0.000756976,0.000378488,0.000756976,0.000681278
35,115.978,0.58183,0.74548,0.82223,0.70122,0.63054,0.69504,0.49321,1.08498,1.47412,1.03511,0.000743468,0.000743468,0.000743468,0.000371734,0.000743468,0.000669121
36,119.147,0.60647,0.75487,0.82826,0.68568,0.63973,0.69794,0.49971,1.07806,1.47611,1.03498,0.000729725,0.000729725,0.000729725,0.000364863,0.000729725,0.000656753
37,122.438,0.5571,0.72749,0.81945,0.67717,0.66248,0.6985,0.50416,1.06383,1.46898,1.02762,0.000715761,0.000715761,0.000715761,0.00035788,0.000715761,0.000644185
38,125.612,0.55513,0.71178,0.81947,0.68128,0.63935,0.69464,0.49881,1.07906,1.48006,1.03054,0.000701588,0.000701588,0.000701588,0.000350794,0.000701588,0.000631429
39,128.908,0.55122,0.69761,0.81883,0.71035,0.62877,0.70481,0.50768,1.06119,1.44279,1.02581,0.000687222,0.000687222,0.000687222,0.000343611,0.000687222,0.000618499
40,132.063,0.52957,0.6898,0.81151,0.6551,0.68158,0.70889,0.50864,1.06921,1.43812,1.03404,0.000672675,0.000672675,0.000672675,0.000336338,0.000672675,0.000605408
41,135.348,0.52353,0.67157,0.81064,0.67704,0.6721,0.715,0.51433,1.05273,1.408,1.02749,0.000657963,0.000657963,0.000657963,0.000328982,0.000657963,0.000592167
42,138.506,0.5217,0.66452,0.80873,0.66517,0.68569,0.71764,0.51597,1.05967,1.39446,1.0315,0.000643101,0.000643101,0.000643101,0.00032155,0.000643101,0.000578791
43,141.792,0.52311,0.67965,0.80936,0.68425,0.66725,0.72033,0.51815,1.05536,1.37625,1.03157,0.000628101,0.000628101,0.000628101,0.000314051,0.000628101,0.000565291
44,144.958,0.51805,0.66098,0.80769,0.68322,0.66757,0.72468,0.52227,1.05918,1.38796,1.03216,0.000612981,0.000612981,0.000612981,0.00030649,0.000612981,0.000551683
45,148.232,0.50042,0.64337,0.8042,0.69787,0.66305,0.72154,0.51777,1.06619,1.41146,1.03145,0.000597754,0.000597754,0.000597754,0.000298877,0.000597754,0.000537978
46,151.392,0.48911,0.63972,0.80091,0.71926,0.65424,0.72505,0.52304,1.06064,1.38347,1.02499,0.000582435,0.000582435,0.000582435,0.000291218,0.000582435,0.000524192
47,154.676,0.49077,0.62738,0.79987,0.74688,0.6441,0.72937,0.52438,1.04141,1.35742,1.01817,0.00056704,0.00056704,0.00056704,0.00028352,0.00056704,0.000510336
48,157.834,0.50193,0.64246,0.80317,0.72362,0.66431,0.73,0.52536,1.04416,1.35681,1.02346,0.000551584,0.000551584,0.000551584,0.000275792,0.000551584,0.000496425
49,161.097,0.48687,0.62131,0.79773,0.71233,0.66937,0.72973,0.52722,1.04476,1.36524,1.02687,0.000536081,0.000536081,0.000536081,0.000268041,0.000536081,0.000482473
50,164.249,0.48262,0.61555,0.79895,0.73638,0.64485,0.73219,0.52966,1.04498,1.36301,1.02612,0.000520548,0.000520548,0.000520548,0.000260274,0.000520548,0.000468493
51,167.523,0.49037,0.61975,0.8006,0.75429,0.63664,0.73237,0.53108,1.04929,1.35961,1.02716,0.000505,0.000505,0.000505,0.0002525,0.000505,0.0004545
52,170.68,0.46603,0.60132,0.7984,0.73532,0.65104,0.73423,0.53101,1.0531,1.35956,1.02715,0.000489452,0.000489452,0.000489452,0.000244726,0.000489452,0.000440507
53,173.981,0.48654,0.6122,0.80036,0.71032,0.67503,0.74078,0.53156,1.06676,1.36378,1.03061,0.000473919,0.000473919,0.000473919,0.000236959,0.000473919,0.000426527
54,177.192,0.46956,0.59872,0.79569,0.71739,0.6727,0.74093,0.53674,1.03829,1.34979,1.01956,0.000458416,0.000458416,0.000458416,0.000229208,0.000458416,0.000412575
55,180.487,0.4785,0.60301,0.80002,0.7368,0.65563,0.74051,0.53469,1.04407,1.35732,1.02195,0.00044296,0.00044296,0.00044296,0.00022148,0.00044296,0.000398664
56,183.572,0.45282,0.59044,0.79344,0.74487,0.64572,0.73765,0.53444,1.04125,1.36299,1.02228,0.000427565,0.000427565,0.000427565,0.000213782,0.000427565,0.000384808
57,186.852,0.4619,0.58486,0.79574,0.75558,0.63653,0.7382,0.53539,1.02556,1.34835,1.01557,0.000412246,0.000412246,0.000412246,0.000206123,0.000412246,0.000371022
58,189.991,0.46567,0.58722,0.79403,0.75551,0.63642,0.73731,0.53455,1.03113,1.34936,1.01813,0.000397019,0.000397019,0.000397019,0.00019851,0.000397019,0.000357317
59,193.278,0.46366,0.59595,0.79518,0.76644,0.64354,0.7423,0.537,1.03695,1.33398,1.01899,0.000381899,0.000381899,0.000381899,0.000190949,0.000381899,0.000343709
60,196.458,0.44857,0.56946,0.7914,0.72234,0.67679,0.74353,0.54101,1.02477,1.31859,1.01552,0.000366899,0.000366899,0.000366899,0.00018345,0.000366899,0.000330209
61,199.764,0.45268,0.5672,0.79224,0.72362,0.67667,0.74361,0.53932,1.03533,1.32172,1.0211,0.000352037,0.000352037,0.000352037,0.000176018,0.000352037,0.000316833
62,202.909,0.44728,0.58068,0.7908,0.74993,0.66439,0.74306,0.53852,1.03635,1.32381,1.02579,0.000337325,0.000337325,0.000337325,0.000168662,0.000337325,0.000303592
63,206.204,0.44318,0.56056,0.78885,0.75696,0.65898,0.74357,0.53861,1.036,1.32223,1.02858,0.000322778,0.000322778,0.000322778,0.000161389,0.000322778,0.000290501
64,209.361,0.42855,0.56139,0.78826,0.75694,0.65433,0.74535,0.53955,1.04444,1.31811,1.03421,0.000308412,0.000308412,0.000308412,0.000154206,0.000308412,0.000277571
65,212.646,0.44923,0.5773,0.79273,0.73519,0.67639,0.74732,0.54021,1.04137,1.31361,1.03359,0.000294239,0.000294239,0.000294239,0.00014712,0.000294239,0.000264815
66,215.809,0.43534,0.55826,0.78992,0.73652,0.67349,0.74446,0.53962,1.03265,1.31092,1.02893,0.000280275,0.000280275,0.000280275,0.000140137,0.000280275,0.000252247
67,219.102,0.44141,0.54654,0.78851,0.73007,0.66863,0.74112,0.53585,1.03635,1.3249,1.02906,0.000266532,0.000266532,0.000266532,0.000133266,0.000266532,0.000239879
68,222.28,0.46462,0.58352,0.79788,0.71003,0.68431,0.73899,0.53503,1.0378,1.33225,1.02818,0.000253024,0.000253024,0.000253024,0.000126512,0.000253024,0.000227722
69,225.57,0.4442,0.56683,0.78968,0.70515,0.68794,0.73908,0.53449,1.03064,1.32667,1.02566,0.000239766,0.000239766,0.000239766,0.000119883,0.000239766,0.000215789
70,228.687,0.45013,0.56407,0.79073,0.72218,0.67086,0.74031,0.53751,1.03094,1.32064,1.02567,0.000226769,0.000226769,0.000226769,0.000113384,0.000226769,0.000204092
71,231.969,0.41778,0.54406,0.78616,0.7296,0.67554,0.7432,0.53915,1.03608,1.31372,1.02881,0.000214046,0.000214046,0.000214046,0.000107023,0.000214046,0.000192642
72,235.135,0.42916,0.56262,0.78824,0.72773,0.67791,0.74614,0.54067,1.03552,1.31003,1.02945,0.000201611,0.000201611,0.000201611,0.000100806,0.000201611,0.00018145
73,238.421,0.43695,0.55356,0.79128,0.73451,0.67386,0.74796,0.54347,1.02981,1.30618,1.02749,0.000189475,0.000189475,0.000189475,9.47376e-05,0.000189475,0.000170528
74,241.54,0.43201,0.55984,0.78954,0.74928,0.66195,0.74918,0.54499,1.02515,1.30036,1.02595,0.000177651,0.000177651,0.000177651,8.88253e-05,0.000177651,0.000159886
75,244.814,0.44705,0.55458,0.78985,0.75303,0.65939,0.74989,0.54563,1.0247,1.29461,1.02445,0.000166149,0.000166149,0.000166149,8.30746e-05,0.000166149,0.000149534
76,247.975,0.43222,0.56234,0.79006,0.7387,0.67391,0.75084,0.54532,1.02393,1.28976,1.02386,0.000154982,0.000154982,0.000154982,7.74911e-05,0.000154982,0.000139484
77,251.262,0.41716,0.54364,0.78602,0.75386,0.67208,0.7517,0.54563,1.02284,1.28325,1.02347,0.000144161,0.000144161,0.000144161,7.20803e-05,0.000144161,0.000129744
78,254.399,0.43412,0.55112,0.78917,0.73665,0.68769,0.75167,0.54488,1.02686,1.28353,1.02427,0.000133695,0.000133695,0.000133695,6.68475e-05,0.000133695,0.000120326
79,257.681,0.43129,0.54921,0.79061,0.74585,0.67716,0.75099,0.54275,1.02991,1.28427,1.02521,0.000123596,0.000123596,0.000123596,6.1798e-05,0.000123596,0.000111236
80,260.82,0.42757,0.52948,0.78779,0.74779,0.67743,0.75125,0.54345,1.02603,1.27934,1.02444,0.000113873,0.000113873,0.000113873,5.69366e-05,0.000113873,0.000102486
