epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,5.95691,3.68618,4.99076,2.47216,0.00032,0.00738,2e-05,1e-05,3.35734,5.01009,2.22749,0.00012,0.00012,0.00012,6e-05,0.00012,0.000108
2,10.9682,3.04288,4.83954,2.12713,0.00111,0.01395,0.00019,7e-05,2.67507,4.82372,1.85341,0.000249939,0.000249939,0.000249939,0.000124969,0.000249939,0.000224945
3,16.2235,2.45013,4.58911,1.7405,0.0026,0.02235,0.00065,0.0002,2.20321,4.66517,1.53432,0.000379629,0.000379629,0.000379629,0.000189814,0.000379629,0.000341666
4,21.4064,2.04401,4.29927,1.48368,0.00406,0.04445,0.0016,0.00035,1.88787,4.52817,1.36894,0.00050888,0.00050888,0.00050888,0.00025444,0.00050888,0.000457992
5,26.6547,1.83902,3.94729,1.34909,0.00232,0.06281,0.00243,0.00047,1.68677,4.35973,1.27524,0.000637502,0.000637502,0.000637502,0.000318751,0.000637502,0.000573752
6,31.72,1.65604,3.57522,1.24508,0.02021,0.35787,0.0591,0.02579,1.61886,3.95066,1.27031,0.000765307,0.000765307,0.000765307,0.000382654,0.000765307,0.000688777
7,36.9732,1.57923,3.16796,1.21395,0.45388,0.10448,0.13093,0.06384,1.60093,3.46822,1.21489,0.000892109,0.000892109,0.000892109,0.000446054,0.000892109,0.000802898
8,42.3012,1.54027,2.89933,1.1957,0.1676,0.34532,0.17199,0.08548,1.68298,3.02114,1.22871,0.000988079,0.000988079,0.000988079,0.000494039,0.000988079,0.000889271
9,47.7989,1.51579,2.67915,1.17315,0.19405,0.50414,0.19506,0.10816,1.52381,2.86713,1.16623,0.000984449,0.000984449,0.000984449,0.000492224,0.000984449,0.000886004
10,53.1303,1.41962,2.50543,1.13268,0.22246,0.48553,0.22983,0.13946,1.39007,2.68893,1.12511,0.000980345,0.000980345,0.000980345,0.000490173,0.000980345,0.000882311
11,58.7128,1.37084,2.35499,1.137,0.26806,0.46733,0.2848,0.1639,1.48549,2.64109,1.17283,0.000975773,0.000975773,0.000975773,0.000487886,0.000975773,0.000878196
12,64.2824,1.31528,2.22721,1.11477,0.36123,0.44912,0.35318,0.21661,1.40109,2.52247,1.15353,0.000970736,0.000970736,0.000970736,0.000485368,0.000970736,0.000873662
13,69.8188,1.29409,2.16125,1.11614,0.39469,0.48928,0.38878,0.2453,1.35272,2.48786,1.13128,0.000965239,0.000965239,0.000965239,0.00048262,0.000965239,0.000868715
14,75.1567,1.23886,2.06588,1.08139,0.40494,0.49482,0.42286,0.27213,1.31326,2.34573,1.10879,0.000959289,0.000959289,0.000959289,0.000479644,0.000959289,0.00086336
15,80.5878,1.21335,1.98638,1.07386,0.4154,0.5283,0.4573,0.29868,1.29617,2.25805,1.10163,0.000952889,0.000952889,0.000952889,0.000476445,0.000952889,0.0008576
