epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,4.15297,2.47261,4.35257,2.56277,0.00408,0.33996,0.02094,0.0092,2.2641,4.37762,2.32584,0.00012,0.00012,0.00012,6e-05,0.00012,0.000108
2,7.25073,2.33602,4.28071,2.46515,0.00739,0.39902,0.0368,0.01551,2.40509,4.47865,2.4442,0.000249939,0.000249939,0.000249939,0.000124969,0.000249939,0.000224945
3,10.6409,2.08746,4.1911,2.2918,0.00491,0.44561,0.06406,0.02963,2.44211,4.50275,2.50492,0.000379629,0.000379629,0.000379629,0.000189814,0.000379629,0.000341666
4,13.7942,1.90066,4.00981,2.1377,0.00642,0.50122,0.0945,0.03811,2.31563,4.39658,2.53761,0.00050888,0.00050888,0.00050888,0.00025444,0.00050888,0.000457992
5,17.0973,1.79956,3.86239,2.06566,0.00613,0.55707,0.10809,0.04971,2.24862,4.32035,2.47324,0.000637502,0.000637502,0.000637502,0.000318751,0.000637502,0.000573752
6,20.2021,1.67256,3.70276,1.95509,0.92936,0.04981,0.16556,0.07862,2.14745,4.1345,2.40854,0.000765307,0.000765307,0.000765307,0.000382654,0.000765307,0.000688777
7,23.2688,1.57213,3.52416,1.84832,0.8364,0.15756,0.19882,0.08995,2.10972,3.94493,2.3354,0.000892109,0.000892109,0.000892109,0.000446054,0.000892109,0.000802898
8,26.4926,1.50328,3.39946,1.77606,0.81945,0.17399,0.19757,0.09087,2.08308,3.99611,2.30686,0.000988079,0.000988079,0.000988079,0.000494039,0.000988079,0.000889271
9,29.5525,1.38266,3.27132,1.72904,0.82959,0.15851,0.21007,0.08849,2.04508,4.04331,2.23577,0.000984449,0.000984449,0.000984449,0.000492224,0.000984449,0.000886004
10,32.7558,1.33086,3.13294,1.69455,0.43327,0.3025,0.26767,0.11452,2.0039,3.53731,2.18728,0.000980345,0.000980345,0.000980345,0.000490173,0.000980345,0.000882311
