epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,5.9083,2.46663,4.28927,2.64362,0.00201,0.30628,0.0044,0.00198,2.28429,4.39504,2.32919,0.00012,0.00012,0.00012,6e-05,0.00012,0.000108
2,10.9497,2.40715,4.35266,2.56779,0.00199,0.33973,0.00581,0.00271,2.4918,4.52651,2.49229,0.000249939,0.000249939,0.000249939,0.000124969,0.000249939,0.000224945
3,16.1667,2.1657,4.15119,2.33308,0.00259,0.36166,0.02029,0.00855,2.57351,4.48811,2.5711,0.000379629,0.000379629,0.000379629,0.000189814,0.000379629,0.000341666
4,21.2447,2.08959,4.04514,2.28082,0.00447,0.40123,0.05527,0.02713,2.57005,4.47766,2.61551,0.00050888,0.00050888,0.00050888,0.00025444,0.00050888,0.000457992
5,26.3672,2.01744,3.92183,2.24341,0.00669,0.57163,0.11765,0.05309,2.44444,4.41835,2.50344,0.000637502,0.000637502,0.000637502,0.000318751,0.000637502,0.000573752
6,31.27,1.94397,3.82935,2.18971,0.98843,0.01149,0.15064,0.06777,2.35706,4.24309,2.4434,0.000765307,0.000765307,0.000765307,0.000382654,0.000765307,0.000688777
7,36.2413,1.8196,3.60672,2.06224,0.94322,0.05932,0.17382,0.07843,2.27411,4.05639,2.37458,0.000892109,0.000892109,0.000892109,0.000446054,0.000892109,0.000802898
8,41.4934,1.74557,3.52692,1.9887,0.32316,0.17035,0.21782,0.10368,2.13524,3.72719,2.29599,0.000988079,0.000988079,0.000988079,0.000494039,0.000988079,0.000889271
9,46.4763,1.67773,3.32333,1.99108,0.25365,0.25731,0.2338,0.10722,2.0142,3.52188,2.23759,0.000984449,0.000984449,0.000984449,0.000492224,0.000984449,0.000886004
10,51.7613,1.67823,3.20659,1.95613,0.27773,0.27582,0.23811,0.10314,2.06097,4.07941,2.25813,0.000980345,0.000980345,0.000980345,0.000490173,0.000980345,0.000882311
11,56.9239,1.60247,3.02181,1.9071,0.44968,0.30324,0.23819,0.09982,2.14303,4.34303,2.33619,0.000975773,0.000975773,0.000975773,0.000487886,0.000975773,0.000878196
12,61.9469,1.60909,2.87633,1.87705,0.3446,0.37643,0.28302,0.11304,2.26956,4.14797,2.42882,0.000970736,0.000970736,0.000970736,0.000485368,0.000970736,0.000873662
13,67.1237,1.59844,2.83152,1.88886,0.27411,0.42233,0.30552,0.12316,2.26457,3.78285,2.38661,0.000965239,0.000965239,0.000965239,0.00048262,0.000965239,0.000868715
14,72.1402,1.61545,2.69838,1.87495,0.35291,0.42764,0.32699,0.14956,2.09168,3.44998,2.19995,0.000959289,0.000959289,0.000959289,0.000479644,0.000959289,0.00086336
15,77.3848,1.64694,2.74555,1.9021,0.3897,0.40726,0.35372,0.15794,1.98404,3.34222,2.09885,0.000952889,0.000952889,0.000952889,0.000476445,0.000952889,0.0008576
16,82.4401,1.51107,2.61403,1.78294,0.37305,0.37553,0.33001,0.14497,2.01602,3.25746,2.13841,0.000946048,0.000946048,0.000946048,0.000473024,0.000946048,0.000851443
17,87.5527,1.52403,2.53773,1.78718,0.35385,0.43773,0.34343,0.14955,2.01082,3.26227,2.11903,0.000938772,0.000938772,0.000938772,0.000469386,0.000938772,0.000844895
18,92.5378,1.43475,2.37522,1.70112,0.37154,0.43626,0.3526,0.15391,2.06142,3.29476,2.13918,0.000931067,0.000931067,0.000931067,0.000465534,0.000931067,0.000837961
19,97.6375,1.42017,2.44437,1.71584,0.43531,0.46228,0.41143,0.16988,2.09563,3.16613,2.17458,0.000922942,0.000922942,0.000922942,0.000461471,0.000922942,0.000830648
20,102.661,1.48618,2.2802,1.73932,0.62166,0.36377,0.44314,0.18353,2.0036,3.08774,2.09018,0.000914405,0.000914405,0.000914405,0.000457202,0.000914405,0.000822964
21,107.914,1.43981,2.23684,1.71582,0.41674,0.45548,0.45763,0.20609,1.9369,2.92134,2.04527,0.000905463,0.000905463,0.000905463,0.000452732,0.000905463,0.000814917
22,112.853,1.37794,2.16799,1.63005,0.32664,0.49123,0.42088,0.18565,1.98529,2.92529,2.07418,0.000896127,0.000896127,0.000896127,0.000448063,0.000896127,0.000806514
23,117.986,1.44968,2.16999,1.6689,0.48623,0.39038,0.41785,0.18657,1.95345,2.90737,2.09168,0.000886404,0.000886404,0.000886404,0.000443202,0.000886404,0.000797764
24,122.995,1.41698,2.07776,1.66104,0.32764,0.50885,0.41512,0.18673,1.89336,2.89659,2.04069,0.000876305,0.000876305,0.000876305,0.000438152,0.000876305,0.000788674
25,128.131,1.47747,2.12191,1.71461,0.35807,0.52929,0.42799,0.18412,1.9144,2.96192,2.00943,0.000865839,0.000865839,0.000865839,0.00043292,0.000865839,0.000779256
26,133.092,1.41846,2.13148,1.6773,0.37226,0.54343,0.43945,0.18161,1.98131,3.06501,1.99643,0.000855018,0.000855018,0.000855018,0.000427509,0.000855018,0.000769516
27,138.314,1.41737,2.10634,1.67199,0.40433,0.49483,0.45291,0.18854,1.9824,2.81997,2.00261,0.000843851,0.000843851,0.000843851,0.000421925,0.000843851,0.000759466
28,143.279,1.37533,2.09394,1.64333,0.42976,0.49325,0.46092,0.19673,1.96793,2.66607,2.00965,0.000832349,0.000832349,0.000832349,0.000416175,0.000832349,0.000749114
29,148.508,1.35494,2.01121,1.64683,0.46281,0.4875,0.47994,0.20696,1.94374,2.59171,1.99249,0.000820525,0.000820525,0.000820525,0.000410262,0.000820525,0.000738472
30,153.532,1.37318,2.00448,1.60471,0.48064,0.47725,0.51675,0.22785,1.92061,2.5434,1.97763,0.000808389,0.000808389,0.000808389,0.000404194,0.000808389,0.00072755
31,158.632,1.31157,1.94742,1.58181,0.46915,0.52162,0.49647,0.21934,1.93443,2.54354,1.98159,0.000795954,0.000795954,0.000795954,0.000397977,0.000795954,0.000716358
32,163.578,1.33079,1.9196,1.59279,0.47914,0.53979,0.48788,0.21155,1.93735,2.63754,1.99282,0.000783231,0.000783231,0.000783231,0.000391616,0.000783231,0.000704908
33,168.766,1.35962,1.94121,1.60591,0.49069,0.50679,0.48874,0.20723,1.9264,2.59303,1.99933,0.000770234,0.000770234,0.000770234,0.000385117,0.000770234,0.000693211
34,173.764,1.2629,1.84515,1.52495,0.46371,0.51686,0.49373,0.21558,1.92508,2.41395,2.01403,0.000756976,0.000756976,0.000756976,0.000378488,0.000756976,0.000681278
35,178.931,1.2902,1.97111,1.59836,0.51157,0.4572,0.50719,0.22349,1.92654,2.35528,2.02033,0.000743468,0.000743468,0.000743468,0.000371734,0.000743468,0.000669121
36,183.973,1.28743,1.87136,1.57684,0.62654,0.46261,0.52677,0.22711,1.94477,2.29223,2.03123,0.000729725,0.000729725,0.000729725,0.000364863,0.000729725,0.000656753
37,189.07,1.26604,1.83726,1.53691,0.49398,0.53841,0.52499,0.22474,1.94644,2.3035,2.06257,0.000715761,0.000715761,0.000715761,0.00035788,0.000715761,0.000644185
38,194.149,1.27073,1.79461,1.53356,0.47549,0.54923,0.51408,0.22684,1.95253,2.36877,2.08809,0.000701588,0.000701588,0.000701588,0.000350794,0.000701588,0.000631429
39,199.433,1.27336,1.79823,1.56099,0.48303,0.56054,0.53403,0.24216,1.89502,2.35774,2.04439,0.000687222,0.000687222,0.000687222,0.000343611,0.000687222,0.000618499
40,204.529,1.25003,1.71861,1.50783,0.51265,0.54811,0.55001,0.25185,1.83753,2.40747,1.98483,0.000672675,0.000672675,0.000672675,0.000336338,0.000672675,0.000605408
41,209.82,1.2566,1.79454,1.53003,0.57489,0.53442,0.56474,0.25599,1.84796,2.32831,1.97825,0.000657963,0.000657963,0.000657963,0.000328982,0.000657963,0.000592167
