epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,2.77488,3.80166,4.82593,2.42663,0.00016,0.00656,0,0,3.81164,5.15596,2.56241,1e-05,1e-05,1e-05,5e-06,1e-05,9e-06
2,4.7709,3.56555,4.86867,2.32904,0.00016,0.00906,0,0,3.78,5.14071,2.53274,2.99927e-05,2.99927e-05,2.99927e-05,1.49963e-05,2.99927e-05,2.69934e-05
3,6.92808,3.71546,4.86858,2.39175,0.00015,0.00656,0,0,3.72519,5.12472,2.48026,4.99512e-05,4.99512e-05,4.99512e-05,2.49756e-05,4.99512e-05,4.4956e-05
4,8.91114,3.49132,4.85351,2.29718,0.0002,0.00971,0,0,3.64183,5.10595,2.41769,6.98462e-05,6.98462e-05,6.98462e-05,3.49231e-05,6.98462e-05,6.28616e-05
5,11.0186,3.60264,4.85006,2.3745,0.00025,0.01062,1e-05,0,3.60001,5.08978,2.38167,8.96487e-05,8.96487e-05,8.96487e-05,4.48244e-05,8.96487e-05,8.06838e-05
6,12.9593,3.52432,4.89171,2.36305,0.00031,0.01062,1e-05,0,3.53844,5.07023,2.33712,0.00010933,0.00010933,0.00010933,5.46648e-05,0.00010933,9.83967e-05
7,15.0424,2.95868,4.7656,2.06605,0.00033,0.01149,1e-05,0,3.46337,5.05468,2.28839,0.00012886,0.00012886,0.00012886,6.44301e-05,0.00012886,0.000115974
8,16.9894,3.16225,4.77537,2.11554,0.00031,0.01323,1e-05,0,3.37627,5.03141,2.23448,0.000148212,0.000148212,0.000148212,7.41059e-05,0.000148212,0.000133391
9,19.0728,3.05061,4.80634,2.05435,0.00032,0.01323,2e-05,0,3.28425,5.00843,2.17509,0.000167356,0.000167356,0.000167356,8.36781e-05,0.000167356,0.000150621
10,21.02,2.90795,4.7428,1.99707,0.00022,0.01264,4e-05,1e-05,3.18035,4.9812,2.11545,0.000186266,0.000186266,0.000186266,9.31328e-05,0.000186266,0.000167639
