epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,4.22425,3.85204,5.02625,2.59779,0.00018,0.00632,2e-05,1e-05,3.66161,5.10167,2.42249,6e-05,6e-05,6e-05,3e-05,6e-05,5.4e-05
2,7.59777,3.61223,4.90993,2.43698,0.0003,0.00537,1e-05,0,3.39128,5.0082,2.23231,0.000129968,0.000129968,0.000129968,6.49841e-05,0.000129968,0.000116971
3,11.1954,3.21828,4.83152,2.19041,0.00084,0.01099,0.00011,4e-05,2.89315,4.86388,1.9596,0.000199805,0.000199805,0.000199805,9.99023e-05,0.000199805,0.000179824
4,14.644,2.79606,4.66889,1.93756,0.00186,0.02217,0.00081,0.00037,2.54883,4.73972,1.72518,0.000269407,0.000269407,0.000269407,0.000134703,0.000269407,0.000242466
5,18.2708,2.46858,4.54107,1.72269,0.00267,0.04438,0.00501,0.00202,2.24183,4.62812,1.52829,0.000338673,0.000338673,0.000338673,0.000169336,0.000338673,0.000304806
6,21.7559,2.2103,4.36805,1.56197,0.00585,0.06664,0.00829,0.00272,2.04372,4.58205,1.42437,0.000407501,0.000407501,0.000407501,0.000203751,0.000407501,0.000366751
7,25.3229,2.0846,4.2566,1.46455,0.00946,0.12524,0.01589,0.00518,1.88927,4.52613,1.33709,0.000475791,0.000475791,0.000475791,0.000237896,0.000475791,0.000428212
8,28.7487,1.89563,4.11217,1.37959,0.00924,0.19164,0.02474,0.00823,1.79934,4.4382,1.27862,0.000543443,0.000543443,0.000543443,0.000271722,0.000543443,0.000489099
9,32.3828,1.77169,3.84961,1.28409,0.00844,0.24639,0.02823,0.00588,1.69894,4.31561,1.23821,0.000610358,0.000610358,0.000610358,0.000305179,0.000610358,0.000549322
10,35.91,1.6879,3.58891,1.24527,0.01293,0.38813,0.0469,0.01566,1.68895,4.1119,1.26095,0.000676438,0.000676438,0.000676438,0.000338219,0.000676438,0.000608794
11,39.5486,1.68112,3.35439,1.23106,0.01921,0.5983,0.09583,0.0405,1.64875,3.79007,1.23321,0.000741587,0.000741587,0.000741587,0.000370794,0.000741587,0.000667429
12,43.0236,1.61077,3.16975,1.21472,0.591,0.10116,0.12476,0.055,1.64262,3.59786,1.21117,0.000805711,0.000805711,0.000805711,0.000402855,0.000805711,0.00072514
13,46.6841,1.61594,3.01077,1.18884,0.61023,0.14003,0.14226,0.06754,1.63237,3.3773,1.1975,0.000868715,0.000868715,0.000868715,0.000434358,0.000868715,0.000781844
14,50.1392,1.54844,2.90279,1.18614,0.18731,0.2599,0.14804,0.07606,1.5997,3.14742,1.18186,0.00093051,0.00093051,0.00093051,0.000465255,0.00093051,0.000837459
15,53.8443,1.51312,2.7437,1.1597,0.19594,0.38969,0.15805,0.08462,1.57889,2.98032,1.17668,0.000952889,0.000952889,0.000952889,0.000476445,0.000952889,0.0008576
16,57.3564,1.49766,2.66682,1.15605,0.1824,0.48245,0.17646,0.09571,1.54472,2.87357,1.15726,0.000946048,0.000946048,0.000946048,0.000473024,0.000946048,0.000851443
17,61.0258,1.42814,2.49853,1.11548,0.18944,0.52131,0.19682,0.10977,1.48843,2.81561,1.13558,0.000938772,0.000938772,0.000938772,0.000469386,0.000938772,0.000844895
18,64.561,1.38683,2.41108,1.11429,0.2067,0.51699,0.21799,0.12412,1.47735,2.75394,1.13377,0.000931067,0.000931067,0.000931067,0.000465534,0.000931067,0.000837961
19,68.2469,1.35704,2.3525,1.10417,0.24418,0.46201,0.24398,0.14359,1.42593,2.6536,1.12463,0.000922942,0.000922942,0.000922942,0.000461471,0.000922942,0.000830648
20,71.7873,1.33312,2.28755,1.09134,0.31476,0.39209,0.28434,0.17053,1.40196,2.54859,1.12287,0.000914405,0.000914405,0.000914405,0.000457202,0.000914405,0.000822964
21,75.4932,1.32662,2.31402,1.11668,0.30725,0.42548,0.31992,0.19546,1.42967,2.48294,1.13881,0.000905463,0.000905463,0.000905463,0.000452732,0.000905463,0.000814917
