epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,4.28038,3.63884,5.00701,2.42838,0.00021,0.00715,1e-05,0,3.38316,5.02575,2.26189,0.00012,0.00012,0.00012,6e-05,0.00012,0.000108
2,7.56233,3.02184,4.81059,2.07139,0.00017,0.00629,0,0,2.68744,4.84639,1.86699,0.000249939,0.000249939,0.000249939,0.000124969,0.000249939,0.000224945
3,11.1157,2.39699,4.5386,1.68066,0.001,0.02911,8e-05,2e-05,2.17365,4.63884,1.50413,0.000379629,0.000379629,0.000379629,0.000189814,0.000379629,0.000341666
4,14.4556,1.93727,4.23042,1.39605,0.00335,0.10793,0.00766,0.00342,1.76053,4.49516,1.2741,0.00050888,0.00050888,0.00050888,0.00025444,0.00050888,0.000457992
5,17.9247,1.72693,3.82637,1.26943,0.0033,0.14344,0.01613,0.00512,1.61588,4.34937,1.21325,0.000637502,0.000637502,0.000637502,0.000318751,0.000637502,0.000573752
6,21.2528,1.58078,3.45049,1.19378,0.01237,0.34514,0.05557,0.02697,1.51986,4.00477,1.1703,0.000765307,0.000765307,0.000765307,0.000382654,0.000765307,0.000688777
7,24.7065,1.47843,3.06557,1.13725,0.02111,0.66203,0.09815,0.05079,1.49014,3.63627,1.14162,0.000892109,0.000892109,0.000892109,0.000446054,0.000892109,0.000802898
8,28.0295,1.39544,2.77943,1.0987,0.17142,0.13821,0.14315,0.07636,1.43694,3.20397,1.11221,0.000988079,0.000988079,0.000988079,0.000494039,0.000988079,0.000889271
9,31.5384,1.3232,2.51547,1.06895,0.21443,0.3844,0.19421,0.11557,1.38295,2.80985,1.11644,0.000984449,0.000984449,0.000984449,0.000492224,0.000984449,0.000886004
10,34.9329,1.26132,2.2986,1.05614,0.24808,0.48114,0.26643,0.16765,1.37068,2.58883,1.13724,0.000980345,0.000980345,0.000980345,0.000490173,0.000980345,0.000882311
11,38.5842,1.18121,2.14117,1.03065,0.30145,0.43606,0.30756,0.20162,1.3101,2.48934,1.12099,0.000975773,0.000975773,0.000975773,0.000487886,0.000975773,0.000878196
12,42.0127,1.1218,2.04346,1.00573,0.30547,0.44408,0.33209,0.22048,1.27545,2.38993,1.09861,0.000970736,0.000970736,0.000970736,0.000485368,0.000970736,0.000873662
13,45.5865,1.07474,1.95895,0.9841,0.31447,0.51319,0.36521,0.24747,1.25426,2.27548,1.08162,0.000965239,0.000965239,0.000965239,0.00048262,0.000965239,0.000868715
