epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,6.27759,3.68198,4.98915,2.45876,0.00032,0.0123,1e-05,0,3.36614,5.01063,2.22398,0.00012,0.00012,0.00012,6e-05,0.00012,0.000108
2,11.6228,3.07088,4.81269,2.11,0.00036,0.01131,1e-05,0,2.66333,4.82176,1.83664,0.000249939,0.000249939,0.000249939,0.000124969,0.000249939,0.000224945
3,17.0591,2.43444,4.55586,1.70552,0.00091,0.01979,7e-05,3e-05,2.19615,4.65729,1.51912,0.000379629,0.000379629,0.000379629,0.000189814,0.000379629,0.000341666
4,22.3485,1.97932,4.24054,1.44575,0.0036,0.06858,0.00165,0.00047,1.86169,4.53166,1.34341,0.00050888,0.00050888,0.00050888,0.00025444,0.00050888,0.000457992
5,27.8304,1.81935,3.83935,1.33632,0.00395,0.12589,0.00345,0.00087,1.7109,4.35153,1.27656,0.000637502,0.000637502,0.000637502,0.000318751,0.000637502,0.000573752
6,33.1463,1.68067,3.51967,1.25023,0.02066,0.47182,0.07435,0.03683,1.59187,3.94932,1.22632,0.000765307,0.000765307,0.000765307,0.000382654,0.000765307,0.000688777
7,38.4957,1.54138,3.15003,1.19344,0.02659,0.72353,0.12454,0.06731,1.60466,3.52096,1.20471,0.000892109,0.000892109,0.000892109,0.000446054,0.000892109,0.000802898
8,43.789,1.50337,2.87389,1.1726,0.1886,0.27827,0.14677,0.07999,1.5448,3.10164,1.18173,0.000988079,0.000988079,0.000988079,0.000494039,0.000988079,0.000889271
9,49.2361,1.40324,2.64051,1.13081,0.17242,0.45942,0.18501,0.10523,1.49267,2.90199,1.1826,0.000984449,0.000984449,0.000984449,0.000492224,0.000984449,0.000886004
10,54.5813,1.40996,2.49042,1.15799,0.21024,0.54521,0.2484,0.14725,1.45687,2.89585,1.18975,0.000980345,0.000980345,0.000980345,0.000490173,0.000980345,0.000882311
11,60.1747,1.32131,2.29587,1.11554,0.22972,0.4946,0.26621,0.1654,1.39777,2.90801,1.17776,0.000975773,0.000975773,0.000975773,0.000487886,0.000975773,0.000878196
12,65.5879,1.29807,2.22581,1.10514,0.28814,0.39942,0.31006,0.20238,1.31,2.69204,1.13198,0.000970736,0.000970736,0.000970736,0.000485368,0.000970736,0.000873662
13,71.0858,1.27051,2.1157,1.08123,0.35206,0.40877,0.35367,0.23041,1.31425,2.58183,1.11724,0.000965239,0.000965239,0.000965239,0.00048262,0.000965239,0.000868715
14,76.4735,1.23787,2.04577,1.06557,0.35325,0.48685,0.38892,0.25508,1.30775,2.43973,1.0976,0.000959289,0.000959289,0.000959289,0.000479644,0.000959289,0.00086336
15,81.9831,1.21665,1.96805,1.06186,0.39015,0.46335,0.41435,0.27562,1.28403,2.30073,1.0787,0.000952889,0.000952889,0.000952889,0.000476445,0.000952889,0.0008576
16,87.4035,1.19119,1.90976,1.05381,0.39228,0.55087,0.4487,0.30049,1.24419,2.12764,1.06738,0.000946048,0.000946048,0.000946048,0.000473024,0.000946048,0.000851443
17,92.8126,1.15246,1.82578,1.03336,0.44656,0.5599,0.48835,0.32685,1.23808,1.97282,1.06953,0.000938772,0.000938772,0.000938772,0.000469386,0.000938772,0.000844895
18,98.1004,1.13233,1.73748,1.02772,0.46445,0.57103,0.51392,0.34891,1.20788,1.86772,1.05395,0.000931067,0.000931067,0.000931067,0.000465534,0.000931067,0.000837961
19,103.569,1.09879,1.67596,1.01651,0.46494,0.61157,0.53562,0.36101,1.19829,1.82484,1.04933,0.000922942,0.000922942,0.000922942,0.000461471,0.000922942,0.000830648
20,108.872,1.12041,1.62868,1.02178,0.51461,0.58923,0.56231,0.39158,1.14245,1.75627,1.03144,0.000914405,0.000914405,0.000914405,0.000457202,0.000914405,0.000822964
21,114.247,1.09287,1.53674,1.01808,0.55567,0.60993,0.60194,0.40945,1.18821,1.67936,1.04056,0.000905463,0.000905463,0.000905463,0.000452732,0.000905463,0.000814917
22,119.541,1.08729,1.51884,1.01455,0.5324,0.63431,0.62212,0.43376,1.13034,1.64405,1.02697,0.000896127,0.000896127,0.000896127,0.000448063,0.000896127,0.000806514
23,124.939,1.06727,1.46353,1.00762,0.56687,0.62138,0.62906,0.43389,1.15221,1.63748,1.03234,0.000886404,0.000886404,0.000886404,0.000443202,0.000886404,0.000797764
24,130.234,1.05332,1.42368,0.99881,0.59771,0.62138,0.66007,0.44501,1.18658,1.5944,1.03892,0.000876305,0.000876305,0.000876305,0.000438152,0.000876305,0.000788674
25,135.658,1.05315,1.38155,0.99479,0.57609,0.64894,0.66881,0.4645,1.12325,1.59668,1.02287,0.000865839,0.000865839,0.000865839,0.00043292,0.000865839,0.000779256
26,140.949,1.0265,1.33322,0.99344,0.53884,0.63186,0.64859,0.45224,1.09877,1.64188,1.01918,0.000855018,0.000855018,0.000855018,0.000427509,0.000855018,0.000769516
27,146.467,1.03936,1.31621,0.99103,0.55679,0.6588,0.67422,0.46279,1.10933,1.58744,1.02233,0.000843851,0.000843851,0.000843851,0.000421925,0.000843851,0.000759466
28,151.815,1.03445,1.29404,0.98771,0.66429,0.65116,0.71384,0.49153,1.14348,1.45193,1.02618,0.000832349,0.000832349,0.000832349,0.000416175,0.000832349,0.000749114
29,157.267,1.02289,1.24476,0.98332,0.68717,0.65689,0.72037,0.50543,1.09194,1.4288,1.00875,0.000820525,0.000820525,0.000820525,0.000410262,0.000820525,0.000738472
30,162.655,0.98483,1.18898,0.97572,0.69004,0.69093,0.73829,0.51658,1.09157,1.37533,1.00659,0.000808389,0.000808389,0.000808389,0.000404194,0.000808389,0.00072755
31,168.1,0.97503,1.16322,0.97007,0.74398,0.67966,0.76032,0.52289,1.1258,1.33693,1.01531,0.000795954,0.000795954,0.000795954,0.000397977,0.000795954,0.000716358
32,173.416,0.96616,1.10922,0.96142,0.76739,0.68821,0.77507,0.54224,1.09059,1.3087,1.00588,0.000783231,0.000783231,0.000783231,0.000391616,0.000783231,0.000704908
33,178.963,0.94662,1.08462,0.95524,0.74098,0.71766,0.77687,0.53889,1.09889,1.29503,1.00967,0.000770234,0.000770234,0.000770234,0.000385117,0.000770234,0.000693211
34,184.194,0.97395,1.08623,0.96356,0.71222,0.719,0.7733,0.54229,1.07281,1.30752,1.0079,0.000756976,0.000756976,0.000756976,0.000378488,0.000756976,0.000681278
