epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,6.27361,3.67242,5.01114,2.4318,0.00056,0.0201,3e-05,0,3.38012,5.00363,2.22093,0.00012,0.00012,0.00012,6e-05,0.00012,0.000108
2,11.478,3.04513,4.82656,2.0927,0.00042,0.01409,2e-05,1e-05,2.67501,4.81218,1.84057,0.000249939,0.000249939,0.000249939,0.000124969,0.000249939,0.000224945
3,16.8915,2.4111,4.54063,1.69357,0.00096,0.024,0.00019,7e-05,2.19294,4.66508,1.53628,0.000379629,0.000379629,0.000379629,0.000189814,0.000379629,0.000341666
4,22.1325,1.97101,4.26181,1.42977,0.00182,0.05215,0.00217,0.0004,1.90641,4.56096,1.39287,0.00050888,0.00050888,0.00050888,0.00025444,0.00050888,0.000457992
5,27.5355,1.81974,3.86056,1.33013,0.00229,0.10106,0.0077,0.00196,1.7395,4.35985,1.33161,0.000637502,0.000637502,0.000637502,0.000318751,0.000637502,0.000573752
6,32.8044,1.68327,3.50824,1.258,0.01431,0.39831,0.05576,0.02999,1.61607,3.94521,1.29443,0.000765307,0.000765307,0.000765307,0.000382654,0.000765307,0.000688777
7,38.1636,1.5241,3.15177,1.2007,0.02825,0.68056,0.12728,0.07091,1.56696,3.51885,1.21544,0.000892109,0.000892109,0.000892109,0.000446054,0.000892109,0.000802898
8,43.4891,1.48791,2.85895,1.18175,0.16947,0.25639,0.16136,0.08973,1.5241,3.08169,1.18002,0.000988079,0.000988079,0.000988079,0.000494039,0.000988079,0.000889271
9,48.9136,1.39931,2.62772,1.13218,0.18317,0.418,0.19115,0.10828,1.48747,2.81404,1.18272,0.000984449,0.000984449,0.000984449,0.000492224,0.000984449,0.000886004
10,54.2158,1.37626,2.46504,1.14002,0.25042,0.50048,0.25146,0.15571,1.40177,2.77527,1.16207,0.000980345,0.000980345,0.000980345,0.000490173,0.000980345,0.000882311
11,59.7621,1.3713,2.30975,1.13783,0.24994,0.55563,0.2817,0.17848,1.36987,2.84461,1.15994,0.000975773,0.000975773,0.000975773,0.000487886,0.000975773,0.000878196
12,65.1626,1.31139,2.22201,1.11032,0.30888,0.43223,0.31493,0.20155,1.36594,2.69469,1.15648,0.000970736,0.000970736,0.000970736,0.000485368,0.000970736,0.000873662
13,70.6808,1.2526,2.14434,1.08412,0.33811,0.42318,0.34623,0.22701,1.30398,2.63664,1.12794,0.000965239,0.000965239,0.000965239,0.00048262,0.000965239,0.000868715
14,76.0837,1.26093,2.03621,1.08,0.32042,0.53915,0.38008,0.25536,1.2562,2.55638,1.09848,0.000959289,0.000959289,0.000959289,0.000479644,0.000959289,0.00086336
15,81.6663,1.19734,1.97356,1.0638,0.35742,0.52706,0.40951,0.26539,1.33993,2.52912,1.11149,0.000952889,0.000952889,0.000952889,0.000476445,0.000952889,0.0008576
16,87.0025,1.19701,1.90101,1.05053,0.39531,0.50826,0.43379,0.29586,1.23251,2.32066,1.06874,0.000946048,0.000946048,0.000946048,0.000473024,0.000946048,0.000851443
17,92.4344,1.1301,1.84053,1.02296,0.40226,0.56041,0.46876,0.32663,1.16146,2.08422,1.04507,0.000938772,0.000938772,0.000938772,0.000469386,0.000938772,0.000844895
18,97.7141,1.1202,1.73868,1.01581,0.43889,0.55095,0.49676,0.33069,1.23328,1.96854,1.05959,0.000931067,0.000931067,0.000931067,0.000465534,0.000931067,0.000837961
19,103.112,1.11169,1.68066,1.01921,0.45365,0.55967,0.51165,0.3466,1.19594,1.90577,1.04635,0.000922942,0.000922942,0.000922942,0.000461471,0.000922942,0.000830648
20,108.442,1.08199,1.61715,1.00399,0.48418,0.58896,0.54335,0.38195,1.12724,1.78081,1.02398,0.000914405,0.000914405,0.000914405,0.000457202,0.000914405,0.000822964
21,113.9,1.08629,1.53678,1.01271,0.52229,0.61708,0.57427,0.39606,1.16183,1.72227,1.03102,0.000905463,0.000905463,0.000905463,0.000452732,0.000905463,0.000814917
22,119.16,1.05099,1.51935,0.99898,0.56303,0.59769,0.60605,0.41128,1.17769,1.6818,1.03812,0.000896127,0.000896127,0.000896127,0.000448063,0.000896127,0.000806514
23,124.576,1.0302,1.46139,0.98648,0.57223,0.6132,0.62481,0.43628,1.12236,1.65362,1.02337,0.000886404,0.000886404,0.000886404,0.000443202,0.000886404,0.000797764
24,129.947,1.02704,1.40707,0.98751,0.57556,0.63188,0.63841,0.44419,1.12055,1.64274,1.02641,0.000876305,0.000876305,0.000876305,0.000438152,0.000876305,0.000788674
25,135.368,1.01872,1.38792,0.97825,0.60075,0.63289,0.65515,0.45226,1.15903,1.61289,1.03767,0.000865839,0.000865839,0.000865839,0.00043292,0.000865839,0.000779256
26,140.643,1.00257,1.32291,0.98324,0.59664,0.64335,0.65881,0.46788,1.09093,1.59333,1.01708,0.000855018,0.000855018,0.000855018,0.000427509,0.000855018,0.000769516
27,146.113,1.0105,1.2931,0.97913,0.62142,0.63472,0.67271,0.48114,1.07397,1.56172,1.01101,0.000843851,0.000843851,0.000843851,0.000421925,0.000843851,0.000759466
28,151.363,0.99172,1.28177,0.9643,0.64033,0.63556,0.67778,0.47297,1.13272,1.52938,1.02551,0.000832349,0.000832349,0.000832349,0.000416175,0.000832349,0.000749114
29,156.671,0.9739,1.22724,0.97472,0.67228,0.66595,0.70311,0.49207,1.12078,1.48973,1.02162,0.000820525,0.000820525,0.000820525,0.000410262,0.000820525,0.000738472
30,161.926,0.94629,1.17504,0.96751,0.70037,0.67756,0.72388,0.51866,1.06851,1.42285,1.01181,0.000808389,0.000808389,0.000808389,0.000404194,0.000808389,0.00072755
31,167.233,0.948,1.15011,0.9659,0.70532,0.69597,0.73899,0.52489,1.07549,1.40489,1.01082,0.000795954,0.000795954,0.000795954,0.000397977,0.000795954,0.000716358
32,172.427,0.95451,1.11794,0.95452,0.70736,0.66921,0.73813,0.51153,1.11919,1.42424,1.01763,0.000783231,0.000783231,0.000783231,0.000391616,0.000783231,0.000704908
33,177.822,0.93968,1.09003,0.95945,0.72922,0.68875,0.75704,0.5257,1.12284,1.34897,1.01868,0.000770234,0.000770234,0.000770234,0.000385117,0.000770234,0.000693211
34,183.024,0.94948,1.082,0.95856,0.72801,0.72851,0.76366,0.5444,1.04748,1.29817,0.99767,0.000756976,0.000756976,0.000756976,0.000378488,0.000756976,0.000681278
35,188.431,0.9292,1.04754,0.95404,0.76228,0.71139,0.77474,0.55428,1.04371,1.27351,0.99595,0.000743468,0.000743468,0.000743468,0.000371734,0.000743468,0.000669121
36,193.698,0.93649,1.0646,0.95819,0.78226,0.69255,0.77359,0.54795,1.07118,1.27056,1.0052,0.000729725,0.000729725,0.000729725,0.000364863,0.000729725,0.000656753
37,199.036,0.9061,1.01884,0.94297,0.76799,0.69337,0.7637,0.53238,1.10781,1.29659,1.01652,0.000715761,0.000715761,0.000715761,0.00035788,0.000715761,0.000644185
38,204.14,0.93237,1.01377,0.954,0.78075,0.67852,0.76589,0.54666,1.04007,1.27319,1.00169,0.000701588,0.000701588,0.000701588,0.000350794,0.000701588,0.000631429
39,209.417,0.91426,0.97942,0.94654,0.741,0.70302,0.77232,0.54643,1.04156,1.26431,1.00134,0.000687222,0.000687222,0.000687222,0.000343611,0.000687222,0.000618499
40,214.497,0.89206,0.96477,0.93511,0.75791,0.71843,0.78659,0.55499,1.05456,1.23019,1.00103,0.000672675,0.000672675,0.000672675,0.000336338,0.000672675,0.000605408
41,219.557,0.90672,0.92813,0.95079,0.79886,0.71354,0.79447,0.56334,1.0292,1.20927,0.99573,0.000657963,0.000657963,0.000657963,0.000328982,0.000657963,0.000592167
42,224.517,0.90477,0.93179,0.94207,0.78928,0.72054,0.80291,0.56761,1.03873,1.18919,0.99877,0.000643101,0.000643101,0.000643101,0.00032155,0.000643101,0.000578791
43,229.668,0.89812,0.93958,0.94457,0.76797,0.71939,0.80172,0.56804,1.04273,1.20871,1.00225,0.000628101,0.000628101,0.000628101,0.000314051,0.000628101,0.000565291
44,234.627,0.87162,0.9086,0.93031,0.78556,0.71507,0.80331,0.56929,1.04564,1.18636,0.99989,0.000612981,0.000612981,0.000612981,0.00030649,0.000612981,0.000551683
45,239.733,0.87904,0.88909,0.93868,0.76628,0.7523,0.80987,0.58014,1.02716,1.15289,0.99328,0.000597754,0.000597754,0.000597754,0.000298877,0.000597754,0.000537978
46,244.59,0.86888,0.86515,0.92943,0.8094,0.72429,0.81324,0.58828,1.01188,1.1396,0.9878,0.000582435,0.000582435,0.000582435,0.000291218,0.000582435,0.000524192
47,249.637,0.86692,0.86039,0.92416,0.82174,0.7162,0.81557,0.58021,1.03213,1.14422,0.99312,0.00056704,0.00056704,0.00056704,0.00028352,0.00056704,0.000510336
48,254.495,0.88097,0.88082,0.93822,0.81716,0.72716,0.82115,0.58869,1.02125,1.13107,0.99117,0.000551584,0.000551584,0.000551584,0.000275792,0.000551584,0.000496425
49,259.527,0.85127,0.84868,0.92484,0.81565,0.73644,0.82248,0.59701,0.99066,1.12416,0.98293,0.000536081,0.000536081,0.000536081,0.000268041,0.000536081,0.000482473
