epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,6.12509,3.70971,5.03627,2.52219,0.00043,0.01403,2e-05,0,3.36613,5.00922,2.22638,0.00012,0.00012,0.00012,6e-05,0.00012,0.000108
2,11.4972,3.08416,4.8535,2.19231,0.00059,0.01634,2e-05,1e-05,2.67671,4.83754,1.86569,0.000249939,0.000249939,0.000249939,0.000124969,0.000249939,0.000224945
3,17.0469,2.50016,4.57194,1.78133,0.00178,0.03514,0.00015,6e-05,2.25348,4.68572,1.56855,0.000379629,0.000379629,0.000379629,0.000189814,0.000379629,0.000341666
4,22.5059,2.02412,4.2796,1.48535,0.00332,0.08733,0.00795,0.002,1.9224,4.5554,1.41736,0.00050888,0.00050888,0.00050888,0.00025444,0.00050888,0.000457992
5,28.0689,1.89082,3.89138,1.39219,0.00248,0.09915,0.00662,0.00104,1.86394,4.37506,1.45711,0.000637502,0.000637502,0.000637502,0.000318751,0.000637502,0.000573752
6,33.5534,1.76504,3.52635,1.31986,0.01887,0.43726,0.07986,0.03577,1.76898,3.92069,1.3594,0.000765307,0.000765307,0.000765307,0.000382654,0.000765307,0.000688777
7,39.1862,1.67745,3.16261,1.23786,0.27311,0.40887,0.12388,0.05464,1.7393,3.45079,1.27684,0.000892109,0.000892109,0.000892109,0.000446054,0.000892109,0.000802898
8,44.6412,1.62428,2.90461,1.21796,0.17334,0.34572,0.16131,0.08168,1.61732,3.02123,1.2103,0.000988079,0.000988079,0.000988079,0.000494039,0.000988079,0.000889271
9,50.2793,1.53782,2.68323,1.18843,0.15858,0.4848,0.17317,0.08718,1.64921,3.02341,1.24601,0.000984449,0.000984449,0.000984449,0.000492224,0.000984449,0.000886004
10,55.7904,1.54573,2.5572,1.20477,0.19312,0.54775,0.21579,0.11061,1.63558,3.1152,1.25255,0.000980345,0.000980345,0.000980345,0.000490173,0.000980345,0.000882311
11,61.5704,1.47238,2.38761,1.1894,0.24106,0.52539,0.27366,0.16192,1.51503,3.18809,1.2076,0.000975773,0.000975773,0.000975773,0.000487886,0.000975773,0.000878196
12,67.2052,1.42948,2.33578,1.15254,0.29787,0.40028,0.31136,0.19084,1.47798,3.06722,1.19249,0.000970736,0.000970736,0.000970736,0.000485368,0.000970736,0.000873662
13,72.903,1.415,2.25254,1.14793,0.32435,0.44218,0.34946,0.20729,1.4652,2.85595,1.16398,0.000965239,0.000965239,0.000965239,0.00048262,0.000965239,0.000868715
14,78.4199,1.34817,2.09538,1.12866,0.3592,0.53445,0.38562,0.235,1.44684,2.62338,1.14982,0.000959289,0.000959289,0.000959289,0.000479644,0.000959289,0.00086336
15,84.1257,1.33918,2.0491,1.10388,0.36091,0.51961,0.40597,0.25332,1.4437,2.34456,1.13889,0.000952889,0.000952889,0.000952889,0.000476445,0.000952889,0.0008576
16,89.7735,1.3643,1.99025,1.11093,0.36576,0.53365,0.43006,0.28126,1.33219,2.17227,1.09172,0.000946048,0.000946048,0.000946048,0.000473024,0.000946048,0.000851443
17,95.4352,1.33112,1.95768,1.09565,0.39845,0.53832,0.45509,0.27732,1.42347,2.07496,1.11153,0.000938772,0.000938772,0.000938772,0.000469386,0.000938772,0.000844895
18,100.888,1.29973,1.85617,1.09019,0.45132,0.54044,0.49401,0.32861,1.2776,1.94327,1.07059,0.000931067,0.000931067,0.000931067,0.000465534,0.000931067,0.000837961
19,106.542,1.25988,1.80086,1.07641,0.48295,0.52484,0.52213,0.33353,1.33785,1.87572,1.0819,0.000922942,0.000922942,0.000922942,0.000461471,0.000922942,0.000830648
20,112.024,1.2815,1.72244,1.08117,0.48401,0.56584,0.54599,0.32686,1.41741,1.85276,1.10585,0.000914405,0.000914405,0.000914405,0.000457202,0.000914405,0.000822964
21,117.668,1.26954,1.68121,1.07392,0.5089,0.61021,0.56898,0.3638,1.31866,1.79092,1.07695,0.000905463,0.000905463,0.000905463,0.000452732,0.000905463,0.000814917
22,123.098,1.23398,1.70918,1.05883,0.56554,0.58876,0.6016,0.39734,1.25713,1.71004,1.05716,0.000896127,0.000896127,0.000896127,0.000448063,0.000896127,0.000806514
