epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,4.20807,2.45222,4.40376,2.54248,0.0062,0.373,0.00645,0.00205,2.2619,4.37075,2.32036,0.00012,0.00012,0.00012,6e-05,0.00012,0.000108
2,7.40142,2.33399,4.30859,2.44837,0.00615,0.39671,0.0366,0.01628,2.40076,4.48331,2.43949,0.000249939,0.000249939,0.000249939,0.000124969,0.000249939,0.000224945
3,10.7986,2.12609,4.21327,2.31871,0.0055,0.38831,0.04841,0.0227,2.53382,4.53286,2.55188,0.000379629,0.000379629,0.000379629,0.000189814,0.000379629,0.000341666
4,14.0248,1.88814,4.06119,2.12864,0.00732,0.44183,0.07342,0.03122,2.49772,4.49325,2.59775,0.00050888,0.00050888,0.00050888,0.00025444,0.00050888,0.000457992
5,17.3882,1.78761,3.89584,2.04047,0.00883,0.54571,0.10211,0.04242,2.37395,4.36163,2.48715,0.000637502,0.000637502,0.000637502,0.000318751,0.000637502,0.000573752
6,20.5837,1.63993,3.7301,1.90733,0.00816,0.65731,0.14688,0.06492,2.26193,4.24698,2.40404,0.000765307,0.000765307,0.000765307,0.000382654,0.000765307,0.000688777
7,23.9112,1.54719,3.51022,1.84284,0.77164,0.04564,0.16451,0.07805,2.15891,4.02467,2.31564,0.000892109,0.000892109,0.000892109,0.000446054,0.000892109,0.000802898
8,27.0947,1.48313,3.39306,1.75312,0.70771,0.16683,0.17861,0.08475,2.10932,3.76736,2.25647,0.000988079,0.000988079,0.000988079,0.000494039,0.000988079,0.000889271
9,30.2522,1.31316,3.22973,1.66799,0.70617,0.15531,0.18754,0.08646,2.06257,3.77689,2.24273,0.000984449,0.000984449,0.000984449,0.000492224,0.000984449,0.000886004
10,33.596,1.32065,3.07111,1.64542,0.3819,0.26368,0.21857,0.10161,2.03949,3.73139,2.25397,0.000980345,0.000980345,0.000980345,0.000490173,0.000980345,0.000882311
11,36.912,1.2288,2.90786,1.59041,0.39163,0.29557,0.25127,0.11374,1.98402,3.83423,2.24282,0.000975773,0.000975773,0.000975773,0.000487886,0.000975773,0.000878196
12,40.1068,1.23469,2.7494,1.54714,0.43619,0.27887,0.29706,0.13194,1.96171,3.86428,2.23775,0.000970736,0.000970736,0.000970736,0.000485368,0.000970736,0.000873662
13,43.3062,1.19159,2.64876,1.54147,0.4574,0.32037,0.33779,0.15497,1.96935,3.56803,2.21651,0.000965239,0.000965239,0.000965239,0.00048262,0.000965239,0.000868715
14,46.676,1.04476,2.4366,1.43146,0.42026,0.35308,0.36581,0.16504,1.95148,3.30826,2.17841,0.000959289,0.000959289,0.000959289,0.000479644,0.000959289,0.00086336
15,50.1051,1.04628,2.39027,1.42717,0.40347,0.41891,0.37232,0.16789,1.94585,3.15074,2.14913,0.000952889,0.000952889,0.000952889,0.000476445,0.000952889,0.0008576
16,53.3342,1.0214,2.29488,1.38611,0.39305,0.38794,0.36099,0.16366,1.99553,3.04827,2.20462,0.000946048,0.000946048,0.000946048,0.000473024,0.000946048,0.000851443
17,56.6561,0.95735,2.17894,1.3416,0.39939,0.42905,0.38457,0.17451,1.97959,3.11458,2.22249,0.000938772,0.000938772,0.000938772,0.000469386,0.000938772,0.000844895
18,59.8519,0.85404,1.95889,1.26955,0.39725,0.44511,0.36183,0.16508,1.98635,3.28746,2.22179,0.000931067,0.000931067,0.000931067,0.000465534,0.000931067,0.000837961
19,63.1475,0.83989,1.92411,1.244,0.43079,0.44752,0.38415,0.17023,1.94661,3.14217,2.17899,0.000922942,0.000922942,0.000922942,0.000461471,0.000922942,0.000830648
20,66.3248,0.81784,1.86854,1.24188,0.48331,0.44159,0.40789,0.1825,1.97477,2.94065,2.18785,0.000914405,0.000914405,0.000914405,0.000457202,0.000914405,0.000822964
21,69.6873,0.77011,1.75853,1.19553,0.50037,0.45492,0.44877,0.19848,1.9204,2.76907,2.15677,0.000905463,0.000905463,0.000905463,0.000452732,0.000905463,0.000814917
22,72.8762,0.7531,1.68798,1.19637,0.49976,0.44103,0.46945,0.22132,1.86713,2.69262,2.12397,0.000896127,0.000896127,0.000896127,0.000448063,0.000896127,0.000806514
23,76.1825,0.7569,1.67576,1.17799,0.47487,0.4984,0.4948,0.23661,1.85225,2.65296,2.12491,0.000886404,0.000886404,0.000886404,0.000443202,0.000886404,0.000797764
24,79.3134,0.6888,1.54301,1.13843,0.47195,0.53034,0.48863,0.22865,1.92042,2.6145,2.18327,0.000876305,0.000876305,0.000876305,0.000438152,0.000876305,0.000788674
25,82.6313,0.67528,1.52099,1.11861,0.48974,0.5119,0.48029,0.22228,1.91834,2.62754,2.19852,0.000865839,0.000865839,0.000865839,0.00043292,0.000865839,0.000779256
26,85.7854,0.61885,1.43497,1.09798,0.56112,0.51094,0.49282,0.22853,1.92894,2.69481,2.22578,0.000855018,0.000855018,0.000855018,0.000427509,0.000855018,0.000769516
27,89.0962,0.5864,1.39104,1.08039,0.55864,0.4725,0.50037,0.22963,1.94944,2.61279,2.26402,0.000843851,0.000843851,0.000843851,0.000421925,0.000843851,0.000759466
28,92.2365,0.57994,1.35864,1.07317,0.552,0.49463,0.51951,0.23103,1.95417,2.5637,2.27421,0.000832349,0.000832349,0.000832349,0.000416175,0.000832349,0.000749114
29,95.5374,0.58829,1.31286,1.07032,0.5706,0.51931,0.51829,0.22529,1.93829,2.57766,2.25426,0.000820525,0.000820525,0.000820525,0.000410262,0.000820525,0.000738472
30,98.6951,0.57142,1.26985,1.0438,0.57586,0.47513,0.50411,0.21699,1.92918,2.57379,2.26711,0.000808389,0.000808389,0.000808389,0.000404194,0.000808389,0.00072755
31,102.013,0.5297,1.22211,1.03218,0.57938,0.4682,0.50098,0.20527,1.94336,2.61722,2.26155,0.000795954,0.000795954,0.000795954,0.000397977,0.000795954,0.000716358
32,105.202,0.50695,1.20642,1.01308,0.53021,0.47213,0.49622,0.20947,1.96201,2.65416,2.27629,0.000783231,0.000783231,0.000783231,0.000391616,0.000783231,0.000704908
33,108.487,0.50853,1.13443,1.01829,0.58103,0.49653,0.51516,0.22828,1.9437,2.88709,2.29217,0.000770234,0.000770234,0.000770234,0.000385117,0.000770234,0.000693211
34,111.677,0.43808,1.06175,0.9628,0.57101,0.5071,0.50971,0.22691,1.94877,2.6862,2.2884,0.000756976,0.000756976,0.000756976,0.000378488,0.000756976,0.000681278
35,115.099,0.46866,1.12581,0.98905,0.52431,0.54541,0.53281,0.2362,1.97875,2.58514,2.35298,0.000743468,0.000743468,0.000743468,0.000371734,0.000743468,0.000669121
36,118.28,0.45752,1.0946,0.97168,0.56647,0.51943,0.518,0.22831,1.98292,2.55619,2.3352,0.000729725,0.000729725,0.000729725,0.000364863,0.000729725,0.000656753
37,121.619,0.457,1.08516,0.96948,0.55954,0.47739,0.49622,0.21795,1.97514,2.63448,2.26912,0.000715761,0.000715761,0.000715761,0.00035788,0.000715761,0.000644185
38,124.774,0.44772,1.04255,0.96599,0.49962,0.50921,0.47573,0.20757,1.99567,2.74468,2.26964,0.000701588,0.000701588,0.000701588,0.000350794,0.000701588,0.000631429
39,128.125,0.4411,1.02384,0.97191,0.58846,0.44334,0.48332,0.21225,1.97189,2.60897,2.24753,0.000687222,0.000687222,0.000687222,0.000343611,0.000687222,0.000618499
40,131.321,0.39587,0.94225,0.94765,0.55675,0.4714,0.4908,0.22178,1.95218,2.55369,2.25136,0.000672675,0.000672675,0.000672675,0.000336338,0.000672675,0.000605408
41,134.672,0.41169,0.99468,0.94442,0.53363,0.50227,0.50474,0.22931,1.93434,2.49485,2.24683,0.000657963,0.000657963,0.000657963,0.000328982,0.000657963,0.000592167
42,137.873,0.37327,0.89265,0.91933,0.49108,0.52899,0.50786,0.23176,1.9376,2.436,2.27352,0.000643101,0.000643101,0.000643101,0.00032155,0.000643101,0.000578791
43,141.21,0.36341,0.84852,0.9134,0.53284,0.52727,0.52026,0.23664,1.93662,2.43689,2.28795,0.000628101,0.000628101,0.000628101,0.000314051,0.000628101,0.000565291
44,144.458,0.38491,0.90214,0.92884,0.55699,0.54244,0.53902,0.23874,1.93644,2.4675,2.28272,0.000612981,0.000612981,0.000612981,0.00030649,0.000612981,0.000551683
45,147.83,0.35788,0.85273,0.91497,0.54756,0.52964,0.53957,0.23765,1.93787,2.41864,2.27364,0.000597754,0.000597754,0.000597754,0.000298877,0.000597754,0.000537978
46,151.026,0.36476,0.80075,0.91496,0.59649,0.49038,0.52949,0.23768,1.93094,2.37469,2.25924,0.000582435,0.000582435,0.000582435,0.000291218,0.000582435,0.000524192
47,154.415,0.35594,0.81977,0.91274,0.51623,0.51365,0.52357,0.23893,1.93028,2.40427,2.2477,0.00056704,0.00056704,0.00056704,0.00028352,0.00056704,0.000510336
48,157.589,0.35927,0.84772,0.91524,0.55828,0.47774,0.51783,0.23084,1.93866,2.4125,2.23824,0.000551584,0.000551584,0.000551584,0.000275792,0.000551584,0.000496425
49,160.985,0.36779,0.82773,0.92367,0.51465,0.50798,0.52121,0.22648,1.93943,2.4028,2.2513,0.000536081,0.000536081,0.000536081,0.000268041,0.000536081,0.000482473
50,164.124,0.32538,0.80581,0.9011,0.53124,0.52848,0.52084,0.22707,1.95951,2.41204,2.29757,0.000520548,0.000520548,0.000520548,0.000260274,0.000520548,0.000468493
51,167.53,0.32086,0.7565,0.89129,0.56191,0.49635,0.50706,0.2242,1.95838,2.39016,2.30662,0.000505,0.000505,0.000505,0.0002525,0.000505,0.0004545
52,170.711,0.30713,0.74618,0.87978,0.56823,0.48787,0.51564,0.22553,1.95084,2.33337,2.30133,0.000489452,0.000489452,0.000489452,0.000244726,0.000489452,0.000440507
53,174.028,0.3302,0.73699,0.90265,0.51585,0.51105,0.52064,0.2292,1.94874,2.35593,2.31528,0.000473919,0.000473919,0.000473919,0.000236959,0.000473919,0.000426527
54,177.218,0.3249,0.76476,0.89926,0.59575,0.4536,0.52771,0.23306,1.94186,2.34939,2.3106,0.000458416,0.000458416,0.000458416,0.000229208,0.000458416,0.000412575
55,180.545,0.31048,0.73308,0.88989,0.54246,0.53253,0.54137,0.23637,1.94832,2.34143,2.32034,0.00044296,0.00044296,0.00044296,0.00022148,0.00044296,0.000398664
56,183.73,0.31042,0.68775,0.88516,0.52944,0.53571,0.54766,0.23606,1.95345,2.31062,2.31222,0.000427565,0.000427565,0.000427565,0.000213782,0.000427565,0.000384808
57,187.047,0.29851,0.67842,0.87975,0.54905,0.4995,0.54049,0.23625,1.93136,2.26237,2.293,0.000412246,0.000412246,0.000412246,0.000206123,0.000412246,0.000371022
58,190.237,0.28501,0.64721,0.87411,0.50918,0.51376,0.54106,0.23609,1.92753,2.26182,2.29486,0.000397019,0.000397019,0.000397019,0.00019851,0.000397019,0.000357317
59,193.555,0.28351,0.64314,0.87585,0.54722,0.49783,0.53429,0.22997,1.95268,2.29333,2.35245,0.000381899,0.000381899,0.000381899,0.000190949,0.000381899,0.000343709
60,196.742,0.28843,0.70212,0.87957,0.49619,0.54871,0.527,0.22716,1.96339,2.33497,2.36493,0.000366899,0.000366899,0.000366899,0.00018345,0.000366899,0.000330209
61,200.149,0.30148,0.68241,0.88372,0.51555,0.51577,0.52692,0.22559,1.97082,2.35205,2.37815,0.000352037,0.000352037,0.000352037,0.000176018,0.000352037,0.000316833
62,203.316,0.27397,0.68092,0.87844,0.49224,0.55726,0.53196,0.22996,1.98054,2.35674,2.37344,0.000337325,0.000337325,0.000337325,0.000168662,0.000337325,0.000303592
63,206.596,0.27941,0.66109,0.87657,0.50489,0.56173,0.53317,0.23431,1.96824,2.37388,2.34391,0.000322778,0.000322778,0.000322778,0.000161389,0.000322778,0.000290501
64,209.724,0.28275,0.65033,0.87864,0.5355,0.50112,0.52858,0.23033,1.96057,2.34655,2.32168,0.000308412,0.000308412,0.000308412,0.000154206,0.000308412,0.000277571
65,212.982,0.26659,0.62875,0.86906,0.59451,0.45596,0.53603,0.23635,1.95621,2.29472,2.31394,0.000294239,0.000294239,0.000294239,0.00014712,0.000294239,0.000264815
66,216.126,0.2682,0.66281,0.86357,0.53652,0.51458,0.54546,0.23739,1.95179,2.25397,2.31831,0.000280275,0.000280275,0.000280275,0.000140137,0.000280275,0.000252247
67,219.425,0.24833,0.60543,0.85878,0.5642,0.50812,0.54655,0.24028,1.93391,2.23543,2.31455,0.000266532,0.000266532,0.000266532,0.000133266,0.000266532,0.000239879
68,222.569,0.25141,0.61683,0.85826,0.59089,0.48976,0.55143,0.23988,1.93693,2.23676,2.31458,0.000253024,0.000253024,0.000253024,0.000126512,0.000253024,0.000227722
69,225.843,0.2429,0.57158,0.85688,0.56327,0.48726,0.54645,0.2403,1.9339,2.23894,2.30226,0.000239766,0.000239766,0.000239766,0.000119883,0.000239766,0.000215789
70,228.99,0.24773,0.62235,0.85999,0.50862,0.55232,0.54035,0.24154,1.92062,2.24999,2.29477,0.000226769,0.000226769,0.000226769,0.000113384,0.000226769,0.000204092
71,232.364,0.23816,0.59013,0.85354,0.51904,0.54609,0.54167,0.2426,1.91419,2.2574,2.28967,0.000214046,0.000214046,0.000214046,0.000107023,0.000214046,0.000192642
72,235.604,0.23576,0.58256,0.85777,0.49008,0.568,0.54327,0.24233,1.9162,2.26161,2.28797,0.000201611,0.000201611,0.000201611,0.000100806,0.000201611,0.00018145
73,238.882,0.23988,0.59478,0.8501,0.49924,0.56777,0.54137,0.24168,1.91612,2.27093,2.28461,0.000189475,0.000189475,0.000189475,9.47376e-05,0.000189475,0.000170528
74,242.048,0.29045,0.72854,0.90337,0.48508,0.55059,0.52846,0.23968,1.91704,2.28887,2.29408,0.000177651,0.000177651,0.000177651,8.88253e-05,0.000177651,0.000159886
75,245.402,0.24756,0.5781,0.86108,0.50074,0.54904,0.53341,0.24594,1.91396,2.27329,2.28831,0.000166149,0.000166149,0.000166149,8.30746e-05,0.000166149,0.000149534
76,248.534,0.23311,0.56811,0.84961,0.5119,0.54289,0.54525,0.24844,1.90807,2.25935,2.28599,0.000154982,0.000154982,0.000154982,7.74911e-05,0.000154982,0.000139484
77,251.819,0.2331,0.56671,0.85605,0.56057,0.51743,0.55535,0.25028,1.90179,2.26544,2.28551,0.000144161,0.000144161,0.000144161,7.20803e-05,0.000144161,0.000129744
78,254.988,0.23082,0.57379,0.85428,0.5108,0.55658,0.54972,0.25082,1.89963,2.27158,2.28028,0.000133695,0.000133695,0.000133695,6.68475e-05,0.000133695,0.000120326
79,258.315,0.22753,0.57191,0.85358,0.51291,0.54674,0.54772,0.24774,1.89776,2.26698,2.27961,0.000123596,0.000123596,0.000123596,6.1798e-05,0.000123596,0.000111236
80,261.445,0.22307,0.58007,0.85194,0.57852,0.50053,0.54807,0.24791,1.90379,2.26029,2.28191,0.000113873,0.000113873,0.000113873,5.69366e-05,0.000113873,0.000102486
