epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,6.26544,2.4114,4.34169,2.51463,0.00578,0.31254,0.00307,0.00084,2.36594,4.38574,2.36135,0.00012,0.00012,0.00012,6e-05,0.00012,0.000108
2,11.7023,2.45008,4.38159,2.60139,0.00537,0.34345,0.00348,0.00112,2.64922,4.6094,2.58857,0.000249939,0.000249939,0.000249939,0.000124969,0.000249939,0.000224945
3,17.2128,2.07172,4.17309,2.32354,0.00587,0.37669,0.00675,0.00235,2.91464,4.71379,2.77344,0.000379629,0.000379629,0.000379629,0.000189814,0.000379629,0.000341666
4,22.4085,2.05507,4.1082,2.30667,0.00762,0.44265,0.01342,0.00473,2.96043,4.71423,2.83157,0.00050888,0.00050888,0.00050888,0.00025444,0.00050888,0.000457992
5,27.7011,1.96396,3.97439,2.243,0.00624,0.51751,0.04408,0.01673,2.83295,4.64105,2.74389,0.000637502,0.000637502,0.000637502,0.000318751,0.000637502,0.000573752
6,32.9342,1.90462,3.8438,2.18089,0.00536,0.60703,0.08123,0.03176,2.71373,4.49742,2.67578,0.000765307,0.000765307,0.000765307,0.000382654,0.000765307,0.000688777
7,38.0763,1.836,3.65678,2.1418,0.00505,0.67025,0.10426,0.04628,2.49952,4.27781,2.55179,0.000892109,0.000892109,0.000892109,0.000446054,0.000892109,0.000802898
8,43.2835,1.76547,3.53807,2.06289,0.57916,0.10584,0.16967,0.07363,2.2991,3.99873,2.44383,0.000988079,0.000988079,0.000988079,0.000494039,0.000988079,0.000889271
9,48.5065,1.69546,3.37468,2.05587,0.5857,0.16162,0.19554,0.08801,2.19653,3.70068,2.35362,0.000984449,0.000984449,0.000984449,0.000492224,0.000984449,0.000886004
10,53.7551,1.64582,3.21406,2.01391,0.35879,0.22903,0.22225,0.10001,2.12264,3.61804,2.28206,0.000980345,0.000980345,0.000980345,0.000490173,0.000980345,0.000882311
11,59.0233,1.64642,3.10218,1.98161,0.35777,0.25251,0.24353,0.10868,2.03427,3.77045,2.19615,0.000975773,0.000975773,0.000975773,0.000487886,0.000975773,0.000878196
12,64.1842,1.64966,2.99166,1.97596,0.17655,0.4152,0.24868,0.11199,2.01949,3.99248,2.1724,0.000970736,0.000970736,0.000970736,0.000485368,0.000970736,0.000873662
13,69.5328,1.6528,2.93741,1.96561,0.23441,0.43625,0.27169,0.11797,2.07309,3.902,2.22281,0.000965239,0.000965239,0.000965239,0.00048262,0.000965239,0.000868715
14,74.8694,1.67745,2.85351,1.97967,0.34016,0.29465,0.29008,0.12194,2.16402,3.69476,2.25166,0.000959289,0.000959289,0.000959289,0.000479644,0.000959289,0.00086336
15,80.2347,1.55353,2.81603,1.85327,0.36729,0.41623,0.32697,0.1359,2.17676,3.86135,2.22454,0.000952889,0.000952889,0.000952889,0.000476445,0.000952889,0.0008576
16,85.4884,1.61649,2.71687,1.88039,0.46416,0.39913,0.35529,0.14784,2.1125,3.52559,2.14859,0.000946048,0.000946048,0.000946048,0.000473024,0.000946048,0.000851443
17,90.7502,1.62286,2.62837,1.87255,0.40114,0.46407,0.38196,0.15463,2.15657,3.1707,2.17469,0.000938772,0.000938772,0.000938772,0.000469386,0.000938772,0.000844895
18,95.9445,1.57147,2.53311,1.83528,0.43458,0.4184,0.38148,0.14825,2.11075,3.06063,2.14623,0.000931067,0.000931067,0.000931067,0.000465534,0.000931067,0.000837961
19,101.269,1.51609,2.45138,1.83167,0.49296,0.37644,0.38038,0.14789,2.08556,2.97896,2.11774,0.000922942,0.000922942,0.000922942,0.000461471,0.000922942,0.000830648
20,106.472,1.48916,2.46899,1.77773,0.48078,0.40721,0.38011,0.15034,2.0929,2.98582,2.14086,0.000914405,0.000914405,0.000914405,0.000457202,0.000914405,0.000822964
21,111.816,1.54856,2.41453,1.82941,0.52013,0.37395,0.38572,0.1565,2.06992,3.18598,2.14352,0.000905463,0.000905463,0.000905463,0.000452732,0.000905463,0.000814917
22,116.955,1.50582,2.38418,1.79562,0.53535,0.38899,0.4099,0.16257,2.09748,3.28549,2.17897,0.000896127,0.000896127,0.000896127,0.000448063,0.000896127,0.000806514
23,122.266,1.52501,2.33439,1.78833,0.37563,0.51129,0.41477,0.16752,2.07921,3.12451,2.14663,0.000886404,0.000886404,0.000886404,0.000443202,0.000886404,0.000797764
24,127.278,1.43422,2.22377,1.72636,0.43336,0.45204,0.42706,0.17382,2.01855,2.89272,2.09677,0.000876305,0.000876305,0.000876305,0.000438152,0.000876305,0.000788674
25,132.435,1.42272,2.2395,1.68493,0.33462,0.52004,0.41032,0.17066,2.03144,2.73637,2.0809,0.000865839,0.000865839,0.000865839,0.00043292,0.000865839,0.000779256
26,137.559,1.44706,2.21498,1.74841,0.59515,0.44576,0.42907,0.17005,2.06092,2.65199,2.07806,0.000855018,0.000855018,0.000855018,0.000427509,0.000855018,0.000769516
27,142.922,1.52988,2.25905,1.79138,0.66693,0.39757,0.4302,0.16901,2.09993,2.58739,2.09958,0.000843851,0.000843851,0.000843851,0.000421925,0.000843851,0.000759466
28,148,1.41577,2.17923,1.70022,0.41927,0.46319,0.44287,0.17514,2.10259,2.55445,2.10359,0.000832349,0.000832349,0.000832349,0.000416175,0.000832349,0.000749114
29,153.243,1.43869,2.21795,1.72528,0.43018,0.50102,0.44985,0.18314,2.05709,2.55225,2.06273,0.000820525,0.000820525,0.000820525,0.000410262,0.000820525,0.000738472
30,158.39,1.53384,2.16887,1.75285,0.39829,0.53331,0.45153,0.17943,2.04952,2.52601,2.03573,0.000808389,0.000808389,0.000808389,0.000404194,0.000808389,0.00072755
31,163.776,1.49272,2.15634,1.73925,0.39429,0.47032,0.44895,0.18364,1.99023,2.49126,2.00254,0.000795954,0.000795954,0.000795954,0.000397977,0.000795954,0.000716358
32,168.988,1.42667,2.0645,1.72712,0.61648,0.46347,0.4698,0.19843,1.89541,2.4676,1.96069,0.000783231,0.000783231,0.000783231,0.000391616,0.000783231,0.000704908
33,174.341,1.42043,2.11617,1.70785,0.62356,0.46335,0.46884,0.19484,1.88312,2.49753,1.95998,0.000770234,0.000770234,0.000770234,0.000385117,0.000770234,0.000693211
