epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,5.93085,2.4498,4.40302,2.52838,0.00538,0.31822,0.00343,0.001,2.35674,4.3933,2.36072,0.00012,0.00012,0.00012,6e-05,0.00012,0.000108
2,11.1007,2.40701,4.31549,2.49648,0.00472,0.34453,0.00584,0.00208,2.55332,4.54369,2.51481,0.000249939,0.000249939,0.000249939,0.000124969,0.000249939,0.000224945
3,16.3845,2.15112,4.1758,2.29317,0.00578,0.3739,0.03967,0.01235,2.69901,4.57761,2.63212,0.000379629,0.000379629,0.000379629,0.000189814,0.000379629,0.000341666
4,21.482,2.08462,4.08124,2.23639,0.00688,0.43322,0.0445,0.01549,2.69111,4.55781,2.66322,0.00050888,0.00050888,0.00050888,0.00025444,0.00050888,0.000457992
5,26.7846,1.90225,3.93214,2.11741,0.0077,0.59829,0.07904,0.02659,2.40816,4.42727,2.45868,0.000637502,0.000637502,0.000637502,0.000318751,0.000637502,0.000573752
6,32.0384,1.87003,3.79586,2.11279,0.00717,0.76438,0.1373,0.05592,2.14593,4.17657,2.26108,0.000765307,0.000765307,0.000765307,0.000382654,0.000765307,0.000688777
7,37.1193,1.73686,3.5689,2.02479,0.77832,0.02334,0.16739,0.07422,2.13746,4.01129,2.23093,0.000892109,0.000892109,0.000892109,0.000446054,0.000892109,0.000802898
8,42.3842,1.67301,3.51865,1.97489,0.63421,0.1363,0.1987,0.08759,2.10987,3.75076,2.23213,0.000988079,0.000988079,0.000988079,0.000494039,0.000988079,0.000889271
9,47.4963,1.6923,3.28164,2.00551,0.45153,0.21907,0.22434,0.10118,2.07506,3.61685,2.2419,0.000984449,0.000984449,0.000984449,0.000492224,0.000984449,0.000886004
10,52.6976,1.59402,3.09375,1.88647,0.47045,0.2234,0.28081,0.12246,2.05415,3.6247,2.22015,0.000980345,0.000980345,0.000980345,0.000490173,0.000980345,0.000882311
