epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,6.36119,2.35571,4.31292,2.48762,0.00714,0.34104,0.00421,0.00115,2.35515,4.37049,2.32712,0.00012,0.00012,0.00012,6e-05,0.00012,0.000108
2,11.8094,2.43592,4.37218,2.60538,0.00536,0.33157,0.00362,0.00118,2.59205,4.58525,2.5564,0.000249939,0.000249939,0.000249939,0.000124969,0.000249939,0.000224945
3,17.3533,2.15811,4.16934,2.40369,0.00619,0.36124,0.0056,0.00157,2.90329,4.71245,2.78187,0.000379629,0.000379629,0.000379629,0.000189814,0.000379629,0.000341666
4,22.6009,1.99619,4.09273,2.3382,0.00732,0.48478,0.02573,0.0095,3.01364,4.7089,2.81335,0.00050888,0.00050888,0.00050888,0.00025444,0.00050888,0.000457992
5,27.9844,2.02556,4.0379,2.30504,0.00706,0.54648,0.0542,0.01802,3.0017,4.68079,2.78486,0.000637502,0.000637502,0.000637502,0.000318751,0.000637502,0.000573752
6,33.3022,1.91045,3.93684,2.29855,0.00685,0.62213,0.07682,0.0286,2.8194,4.50259,2.6842,0.000765307,0.000765307,0.000765307,0.000382654,0.000765307,0.000688777
7,38.5866,1.81644,3.75223,2.17157,0.00749,0.6609,0.10248,0.03998,2.72528,4.36884,2.60697,0.000892109,0.000892109,0.000892109,0.000446054,0.000892109,0.000802898
8,43.9167,1.82695,3.69429,2.16155,0.75592,0.02431,0.14516,0.05772,2.49509,4.12493,2.45006,0.000988079,0.000988079,0.000988079,0.000494039,0.000988079,0.000889271
9,49.1353,1.76701,3.45419,2.14273,0.40937,0.13168,0.17329,0.07283,2.35171,3.86122,2.3746,0.000984449,0.000984449,0.000984449,0.000492224,0.000984449,0.000886004
10,54.474,1.71749,3.29452,2.08133,0.36108,0.18623,0.2002,0.08458,2.21749,3.64374,2.26356,0.000980345,0.000980345,0.000980345,0.000490173,0.000980345,0.000882311
11,59.8819,1.6745,3.17851,2.03974,0.61275,0.16698,0.22255,0.09459,2.19771,3.55472,2.24867,0.000975773,0.000975773,0.000975773,0.000487886,0.000975773,0.000878196
12,65.1554,1.75599,3.05588,2.10702,0.3243,0.2325,0.24205,0.10507,2.18078,3.41918,2.23594,0.000970736,0.000970736,0.000970736,0.000485368,0.000970736,0.000873662
13,70.9979,1.67707,2.98596,2.0371,0.28557,0.34878,0.25401,0.09699,2.20538,3.43252,2.26036,0.000965239,0.000965239,0.000965239,0.00048262,0.000965239,0.000868715
14,76.4656,1.66359,2.83451,2.02362,0.30038,0.33826,0.26713,0.10185,2.27567,3.55384,2.30949,0.000959289,0.000959289,0.000959289,0.000479644,0.000959289,0.00086336
15,81.8491,1.61044,2.87906,1.96743,0.30608,0.34424,0.26301,0.10229,2.27743,3.67461,2.30294,0.000952889,0.000952889,0.000952889,0.000476445,0.000952889,0.0008576
16,87.1073,1.66969,2.81061,2.01237,0.34776,0.39343,0.29801,0.11999,2.22177,3.74017,2.22196,0.000946048,0.000946048,0.000946048,0.000473024,0.000946048,0.000851443
17,92.4652,1.66073,2.67984,1.96466,0.33254,0.40347,0.3086,0.12141,2.27518,3.36485,2.23839,0.000938772,0.000938772,0.000938772,0.000469386,0.000938772,0.000844895
18,97.8899,1.66612,2.61438,1.98219,0.26649,0.3718,0.24496,0.0942,2.47005,3.28776,2.36575,0.000931067,0.000931067,0.000931067,0.000465534,0.000931067,0.000837961
19,103.434,1.65325,2.58261,1.966,0.40919,0.31859,0.27044,0.10561,2.43885,3.1805,2.3423,0.000922942,0.000922942,0.000922942,0.000461471,0.000922942,0.000830648
20,108.695,1.61273,2.55243,1.89752,0.42783,0.35414,0.30175,0.11841,2.33412,3.12271,2.26235,0.000914405,0.000914405,0.000914405,0.000457202,0.000914405,0.000822964
21,114.184,1.66248,2.52491,1.95523,0.41502,0.38358,0.35026,0.14175,2.09749,2.94791,2.13553,0.000905463,0.000905463,0.000905463,0.000452732,0.000905463,0.000814917
22,119.519,1.62326,2.46974,1.90917,0.36188,0.40806,0.35883,0.15373,2.00159,2.86535,2.09995,0.000896127,0.000896127,0.000896127,0.000448063,0.000896127,0.000806514
23,125.247,1.58677,2.4353,1.88861,0.57827,0.38073,0.38426,0.16313,2.05701,2.83171,2.12217,0.000886404,0.000886404,0.000886404,0.000443202,0.000886404,0.000797764
24,130.535,1.55908,2.33658,1.83846,0.55496,0.40823,0.39268,0.16396,2.08343,2.79632,2.10389,0.000876305,0.000876305,0.000876305,0.000438152,0.000876305,0.000788674
25,135.879,1.50359,2.33164,1.82827,0.61873,0.39599,0.40704,0.16528,2.13729,2.84289,2.11215,0.000865839,0.000865839,0.000865839,0.00043292,0.000865839,0.000779256
26,141.182,1.58071,2.37172,1.87386,0.4474,0.42224,0.42341,0.16704,2.13989,2.78858,2.10971,0.000855018,0.000855018,0.000855018,0.000427509,0.000855018,0.000769516
27,146.648,1.50221,2.24776,1.79772,0.45649,0.45395,0.46147,0.18237,2.109,2.74201,2.11463,0.000843851,0.000843851,0.000843851,0.000421925,0.000843851,0.000759466
28,152.125,1.54882,2.2909,1.82759,0.44785,0.51515,0.47355,0.1977,2.0626,2.72477,2.0699,0.000832349,0.000832349,0.000832349,0.000416175,0.000832349,0.000749114
29,157.467,1.46317,2.21004,1.79105,0.42327,0.49634,0.44511,0.19321,2.08167,2.76094,2.09827,0.000820525,0.000820525,0.000820525,0.000410262,0.000820525,0.000738472
30,162.717,1.62964,2.30728,1.87244,0.64448,0.44049,0.46863,0.1942,2.12087,2.80722,2.14496,0.000808389,0.000808389,0.000808389,0.000404194,0.000808389,0.00072755
31,168.234,1.52363,2.34839,1.80995,0.6431,0.41701,0.44784,0.18374,2.13732,2.67534,2.18463,0.000795954,0.000795954,0.000795954,0.000397977,0.000795954,0.000716358
32,173.455,1.54108,2.19306,1.86406,0.65144,0.43013,0.47219,0.20064,2.00756,2.53059,2.08306,0.000783231,0.000783231,0.000783231,0.000391616,0.000783231,0.000704908
33,178.899,1.52651,2.26714,1.8636,0.41058,0.56517,0.46801,0.20954,1.938,2.40395,2.00671,0.000770234,0.000770234,0.000770234,0.000385117,0.000770234,0.000693211
34,184.424,1.54106,2.15454,1.79898,0.40093,0.50602,0.4319,0.19475,1.98206,2.42975,2.01144,0.000756976,0.000756976,0.000756976,0.000378488,0.000756976,0.000681278
35,190.117,1.50086,2.22504,1.81556,0.47925,0.48646,0.44353,0.19451,1.99538,2.43065,2.00564,0.000743468,0.000743468,0.000743468,0.000371734,0.000743468,0.000669121
36,195.663,1.50309,2.14586,1.81032,0.50515,0.52392,0.48973,0.20066,1.98484,2.35487,2.01224,0.000729725,0.000729725,0.000729725,0.000364863,0.000729725,0.000656753
37,201.165,1.51117,2.11328,1.75877,0.54362,0.55322,0.50922,0.19995,2.10743,2.35538,2.11043,0.000715761,0.000715761,0.000715761,0.00035788,0.000715761,0.000644185
38,206.332,1.56054,2.04866,1.7804,0.49809,0.55172,0.50555,0.20064,2.13405,2.40201,2.12503,0.000701588,0.000701588,0.000701588,0.000350794,0.000701588,0.000631429
