dataset,policy,seed,run_id,best_validation_map50_95,best_validation_map50,best_validation_precision,best_validation_recall,best_epoch,trainable_parameters,total_parameters,peak_gpu_memory_mib,training_seconds,gpu_hours,test_access
neu,baseline,824,search_neu_100_baseline_seed824_e100,0.25082,0.54972,0.5108,0.55658,78,613602,2772770,2621.44,342.738,0.09520501,False
neu,baseline,825,confirm_neu_100_baseline_seed825_e100,0.25627,0.55864,0.59471,0.54085,81,613602,2772770,2621.44,332.784,0.0924399,False
neu,baseline,826,confirm_neu_100_baseline_seed826_e100,0.22772,0.50689,0.59958,0.45684,42,613602,2772770,2621.44,333.471,0.09263082,False
neu,mild,824,search_neu_100_mild_seed824_e100,0.28728,0.61675,0.61975,0.58839,100,613602,2772770,2621.44,528.778,0.14688282,False
neu,mild,825,confirm_neu_100_mild_seed825_e100,0.29175,0.61345,0.61755,0.59027,100,613602,2772770,2621.44,523.922,0.1455338,False
neu,mild,826,confirm_neu_100_mild_seed826_e100,0.31429,0.65548,0.65823,0.62636,81,613602,2772770,2621.44,527.561,0.14654468,False
deeppcb,baseline,824,search_deeppcb_100_baseline_seed824_e100,0.53848,0.7424,0.75323,0.67626,96,613602,2772770,2621.44,358.476,0.09957677,False
deeppcb,baseline,825,confirm_deeppcb_100_baseline_seed825_e100,0.54914,0.75221,0.7463,0.67217,96,613602,2772770,2621.44,342.05,0.09501388,False
deeppcb,baseline,826,confirm_deeppcb_100_baseline_seed826_e100,0.52139,0.72462,0.69879,0.67196,92,613602,2772770,2621.44,341.504,0.09486227,False
deeppcb,medium,824,search_deeppcb_100_medium_seed824_e100,0.63636,0.86386,0.85636,0.78747,82,613602,2772770,2621.44,547.782,0.15216159,False
deeppcb,medium,825,confirm_deeppcb_100_medium_seed825_e100,0.63168,0.86262,0.85138,0.78331,99,613602,2772770,2621.44,547.743,0.15215088,False
deeppcb,medium,826,confirm_deeppcb_100_medium_seed826_e100,0.64022,0.86629,0.84417,0.78813,89,613602,2772770,2621.44,542.638,0.15073291,False
