dataset,policy,metric,n,mean,sample_std,ci95_lower,ci95_upper
neu,baseline,map50_95,3,0.24493666666666666,0.015157039068806716,0.20728449431517837,0.28258883901815496
neu,baseline,map50,3,0.5384166666666667,0.027664772425113768,0.46969356219444924,0.6071397711388841
neu,baseline,precision,3,0.5683633333333333,0.0499107426646141,0.44437817525147977,0.6923484914151868
neu,baseline,recall,3,0.51809,0.053623969453967114,0.38488067521789593,0.6512993247821042
neu,baseline,peak_gpu_memory_mib,3,2621.44,0.0,2621.44,2621.44
neu,baseline,training_seconds,3,336.33099999999996,5.559247161262037,322.52106447696383,350.1409355230361
neu,baseline,gpu_hours,3,0.09342524333333334,0.0015442764171071633,0.08958904804800738,0.0972614386186593
neu,mild,map50_95,3,0.29777333333333333,0.014477411140578059,0.2618094503484149,0.33373721631825176
neu,mild,map50,3,0.62856,0.023371720090742096,0.5705014287307341,0.686618571269266
neu,mild,precision,3,0.6318433333333333,0.022877983594131103,0.5750112715150376,0.688675395151629
neu,mild,recall,3,0.6016733333333333,0.021399935358157856,0.5485129468780185,0.654833719788648
neu,mild,peak_gpu_memory_mib,3,2621.44,0.0,2621.44,2621.44
neu,mild,training_seconds,3,526.7536666666666,2.5266626868922035,520.4770886009198,533.0302447324134
neu,mild,gpu_hours,3,0.14632043333333333,0.0007019107249026342,0.14457679043121915,0.1480640762354475
deeppcb,baseline,map50_95,3,0.5363366666666667,0.013998608264157279,0.5015621959636289,0.5711111373697044
deeppcb,baseline,map50,3,0.7397433333333333,0.013985543726767764,0.7050013167403133,0.7744853499263533
deeppcb,baseline,precision,3,0.7327733333333333,0.029633704347133707,0.6591591308214723,0.8063875358451943
deeppcb,baseline,recall,3,0.6734633333333333,0.002424259337062187,0.6674411392907236,0.679485527375943
deeppcb,baseline,peak_gpu_memory_mib,3,2621.44,0.0,2621.44,2621.44
deeppcb,baseline,training_seconds,3,347.3433333333333,9.64503651280456,323.3837343992715,371.30293226739514
deeppcb,baseline,gpu_hours,3,0.09648430666666667,0.0026792244211773916,0.08982874424338992,0.10313986908994342
deeppcb,medium,map50_95,3,0.6360866666666667,0.004276556246950729,0.6254631120165763,0.646710221316757
deeppcb,medium,map50,3,0.8642566666666666,0.0018668779642315324,0.8596190847122133,0.8688942486211199
deeppcb,medium,precision,3,0.8506366666666666,0.006128901478514201,0.8354116313714006,0.8658617019619326
deeppcb,medium,recall,3,0.7863033333333332,0.0026132227867775608,0.7798117280591158,0.7927949386075507
deeppcb,medium,peak_gpu_memory_mib,3,2621.44,0.0,2621.44,2621.44
deeppcb,medium,training_seconds,3,546.0543333333334,2.9586957148942123,538.7045257299426,553.4041409367242
deeppcb,medium,gpu_hours,3,0.15168179333333334,0.000821774519703146,0.14964039225826437,0.15372319440840232
