dataset,sample_size,class_name,baseline,augmentation,metric,seed824_delta,seed825_delta,seed826_delta,mean,sample_std,ci95_lower,ci95_upper,significant_positive_95ci,significant_negative_95ci
neu,100,crazing,baseline,mild,ap50_95,0.03650588750597612,0.026729233172068267,0.032096728497008765,0.03177728305835106,0.004896149153405075,0.019614574303314838,0.04393999181338727,True,False
neu,100,crazing,baseline,mild,ap50,0.07479043527017287,0.04910872833422719,0.029163670932526087,0.05102094484564205,0.022873408905772764,-0.005799752816782529,0.10784164250806663,False,False
neu,100,crazing,baseline,mild,precision,0.04412839542755703,-0.01781319332637793,0.06520666590950494,0.030507289336894682,0.04315350687066186,-0.0766919644810355,0.13770654315482486,False,False
neu,100,crazing,baseline,mild,recall,-0.08955223880597016,0.0904926144316889,0.02985074626865669,0.010263707298125146,0.0916066393121557,-0.21729980007716188,0.23782721467341217,False,False
neu,100,inclusion,baseline,mild,ap50_95,0.11708572572325604,0.10661757636503028,0.12572790286312951,0.11647706831713861,0.00956969135314743,0.0927046371355898,0.14024949949868742,True,False
neu,100,inclusion,baseline,mild,ap50,0.19603466104056289,0.13620541540148012,0.20245107750999397,0.17823038465067897,0.03653581982622505,0.08747037678535308,0.2689903925160049,True,False
neu,100,inclusion,baseline,mild,precision,0.2671938787113388,0.11304554763684382,-0.003923220714725728,0.1254387352111523,0.13598276995262906,-0.21236119179611287,0.4632386622184175,False,False
neu,100,inclusion,baseline,mild,recall,0.17616046350278036,0.1428571428571429,0.28571428571428575,0.2015772973580697,0.07474324316449658,0.015904788303807177,0.3872498064123322,True,False
neu,100,patches,baseline,mild,ap50_95,0.10805493633739433,0.05625600439509293,0.12461649359286975,0.096309144775119,0.03566176994216852,0.007720397188855366,0.18489789236138263,True,False
neu,100,patches,baseline,mild,ap50,0.05062602947171546,0.07991446362165622,0.1521380513167403,0.09422618147003732,0.05224740754903494,-0.03556357397126676,0.22401593691134142,False,False
neu,100,patches,baseline,mild,precision,0.08845471012099015,-0.016674643096519337,0.04214059185573438,0.0379735529600684,0.05268840846762657,-0.09291170949408947,0.1688588154142263,False,False
neu,100,patches,baseline,mild,recall,0.0443682624174323,0.19277108433734935,0.22076625540339412,0.15263520071939193,0.09480100130122322,-0.08286354173838159,0.38813394317716543,False,False
neu,100,pitted_surface,baseline,mild,ap50_95,0.12457924573713325,0.0328492119615344,0.19981812219094863,0.11908219329653875,0.08362007794154781,-0.08864159578965759,0.3268059823827351,False,False
neu,100,pitted_surface,baseline,mild,ap50,0.16999197783983422,0.027122227577302538,0.25031701853184307,0.1491437413163266,0.11304850906542442,-0.13168432332659555,0.4299718059592488,False,False
neu,100,pitted_surface,baseline,mild,precision,0.21708570258805937,-0.02945109337127938,0.40470613640926917,0.19744691520868307,0.2177438552978689,-0.3434588072701563,0.7383526376875225,False,False
neu,100,pitted_surface,baseline,mild,recall,0.0,0.057229432071963515,0.13953488372093015,0.06558810526429788,0.0701419739307753,-0.10865421736389548,0.23983042789249126,False,False
neu,100,rolled-in_scale,baseline,mild,ap50_95,0.08899145682813214,0.06917790184429451,0.06415744888916808,0.07410893585386491,0.013130815278602754,0.04149018243236104,0.10672768927536877,True,False
neu,100,rolled-in_scale,baseline,mild,ap50,0.16450330352778497,0.17068166057498851,0.16427482071422178,0.16648659493899842,0.003634829138587143,0.15745717879953935,0.1755160110784575,True,False
neu,100,rolled-in_scale,baseline,mild,precision,0.20411731487532264,0.0861235775196339,-0.02225232323668086,0.08932952305275856,0.11321886693396503,-0.19192173399592338,0.37058078010144047,False,False
neu,100,rolled-in_scale,baseline,mild,recall,0.16666666666666669,0.1515151515151515,0.22727272727272724,0.1818181818181818,0.04008714107673621,0.08223620290740712,0.28140016072895646,True,False
neu,100,scratches,baseline,mild,ap50_95,0.007106343558437256,-0.026410720867948684,0.12026370473857637,0.033653109143021644,0.07685632605064575,-0.15726858879708394,0.22457480708312721,False,False
neu,100,scratches,baseline,mild,ap50,0.017540162601930476,0.034604717655349226,0.27791980988620324,0.11002156338116098,0.14565426751178195,-0.2518036954432961,0.4718468222056181,False,False
neu,100,scratches,baseline,mild,precision,0.1288538960348521,-0.0592642748083585,0.14434136195186076,0.07131032772611812,0.11334575651699554,-0.2102561405210165,0.3528767959732527,False,False
neu,100,scratches,baseline,mild,recall,-0.006685060015443889,0.05555555555555558,0.2592592592592592,0.10270991826645696,0.13910156606100715,-0.24283752776934153,0.4482573643022555,False,False
deeppcb,100,copper,baseline,medium,ap50_95,-0.015544415571668857,0.010646818255833246,0.03224625848358287,0.009116220389249086,0.023932074273571056,-0.05033434783760039,0.06856678861609856,False,False
deeppcb,100,copper,baseline,medium,ap50,-0.021708617804512165,0.013066300907579986,0.03497545926357515,0.008777714122214323,0.028584351151056852,-0.06222975054217463,0.07978517878660328,False,False
deeppcb,100,copper,baseline,medium,precision,-0.059808894878849994,0.006738079775041261,0.08296278017775538,0.009963988357982215,0.07144048337081957,-0.16750401053947678,0.1874319872554412,False,False
deeppcb,100,copper,baseline,medium,recall,0.04741379310344829,0.06717160041998893,0.04741379310344829,0.053999728875628504,0.011407175372801498,0.02566273434585264,0.08233672340540436,True,False
deeppcb,100,mousebite,baseline,medium,ap50_95,0.087602938246375,0.10563231534325146,0.1432042356192874,0.1121464964029713,0.028367269582158745,0.04167829225043945,0.18261470055550313,True,False
deeppcb,100,mousebite,baseline,medium,ap50,0.11964560904294619,0.13543951125307485,0.19045523930419095,0.14851345320007067,0.03717118377128458,0.05617511379804403,0.24085179260209733,True,False
deeppcb,100,mousebite,baseline,medium,precision,0.14067893242805307,0.1504725413628646,0.16284721726800877,0.15133289701964214,0.01110915712727407,0.12373622085241374,0.17892957318687053,True,False
deeppcb,100,mousebite,baseline,medium,recall,0.10901315144151003,0.09586417695660443,0.18988434753410555,0.13158722531074,0.05091306047710833,0.0051121717515654475,0.2580622788699145,True,False
deeppcb,100,open,baseline,medium,ap50_95,0.0955472303996564,0.0633344718785186,0.13784102787694202,0.09890757671837234,0.03736677223447099,0.0060833686389327735,0.19173178479781192,True,False
deeppcb,100,open,baseline,medium,ap50,0.1156877075921986,0.0835093993638032,0.162225150736638,0.1204740858975466,0.03957555358436463,0.02216296076950594,0.21878521102558726,True,False
deeppcb,100,open,baseline,medium,precision,0.07490921349967639,0.0798852793975321,0.14029255488673786,0.09836234926131544,0.03639775976344705,0.007945301604442984,0.1887793969181879,True,False
deeppcb,100,open,baseline,medium,recall,0.12134970404551271,0.0881657316153962,0.13505311077389992,0.11485618214493627,0.024108731843323312,0.054966772186973496,0.17474559210289906,True,False
deeppcb,100,pin-hole,baseline,medium,ap50_95,-0.010508752544968747,0.06152617099464697,0.030308429195813114,0.027108615881830445,0.03612390699070113,-0.06262814377475687,0.11684537553841776,False,False
deeppcb,100,pin-hole,baseline,medium,ap50,-0.0059373061537957295,0.07089767319013951,0.03899428350373335,0.03465155018002571,0.03860114003803993,-0.06123899751060844,0.13054209787065987,False,False
deeppcb,100,pin-hole,baseline,medium,precision,0.006858494798418935,0.016126428205458954,0.001910153134754844,0.008298358712877577,0.007216683815340735,-0.00962887770763248,0.02622559513338763,False,False
deeppcb,100,pin-hole,baseline,medium,recall,0.029787234042553123,0.07261676122240457,0.051063829787234116,0.051155941684063934,0.021414912165674684,-0.0020416492236071115,0.10435353259173498,False,False
deeppcb,100,short,baseline,medium,ap50_95,0.1840712401898762,0.11842044528394821,0.12423534574992684,0.14224234374125042,0.03634137725017729,0.051965358011882776,0.23251932947061804,True,False
deeppcb,100,short,baseline,medium,ap50,0.27006136994473395,0.1757751313722748,0.17718141314448477,0.2076726381538312,0.054034801729659514,0.07344274942241599,0.34190252688524636,True,False
deeppcb,100,short,baseline,medium,precision,0.24688882480561575,0.13714943222571518,0.08995292887686002,0.15799706196939697,0.08051823773026548,-0.04202132887168061,0.35801545281047453,False,False
deeppcb,100,short,baseline,medium,recall,0.21129707112970714,0.15253991189918242,0.14325151257954144,0.16902949853614366,0.03689822977046995,0.07736921446115326,0.26068978261113407,True,False
deeppcb,100,spur,baseline,medium,ap50_95,0.1623411696946247,0.13519915661909904,0.14973802461368213,0.1490927836424686,0.013582506042008629,0.11535196816147358,0.18283359912346364,True,False
deeppcb,100,spur,baseline,medium,ap50,0.18431588271804356,0.14955806388197668,0.1847794033397684,0.17288444997992955,0.020202572339550414,0.122698478153966,0.2230704218058931,True,False
deeppcb,100,spur,baseline,medium,precision,0.15966330743506485,0.06682239063874029,0.18281536191528414,0.13643368666302977,0.06138651160719026,-0.016058861822070364,0.2889262351481299,False,False
deeppcb,100,spur,baseline,medium,recall,0.14598837594706338,0.14751530369776022,0.15566024152106595,0.14972130705529652,0.005199623450836613,0.13680472635341978,0.16263788775717325,True,False
deeppcb,10,copper,baseline,medium,ap50_95,0.22248566219030874,0.32465613697270834,0.19339015870055487,0.24684398595452398,0.06893972160799691,0.07558822366055773,0.4180997482484902,True,False
deeppcb,10,copper,baseline,medium,ap50,0.19900329564022223,0.3052637411418275,0.09101002397928826,0.19842568692044601,0.10712802646070829,-0.0676950836114826,0.46454645745237466,False,False
deeppcb,10,copper,baseline,medium,precision,0.05810765656290923,0.1260052710131207,0.15489130733173206,0.11300141163592066,0.04968494775142528,-0.010422840786926499,0.2364256640587678,False,False
deeppcb,10,copper,baseline,medium,recall,0.13793103448275867,0.2306034482758621,0.00936665288162919,0.12596704521341665,0.1111025773261139,-0.15002705701111083,0.4019611474379441,False,False
deeppcb,10,mousebite,baseline,medium,ap50_95,0.018871227302238835,0.04943210944475418,0.01555705508214672,0.02795346394304658,0.018674718038490586,-0.018437107395373308,0.07434403528146646,False,False
deeppcb,10,mousebite,baseline,medium,ap50,0.005537514862593518,0.06579012247491789,0.01433681191775249,0.028554816418421298,0.03254547464712969,-0.052292624504035476,0.10940225734087806,False,False
deeppcb,10,mousebite,baseline,medium,precision,0.019584777045268453,0.10750180626140851,-0.003032428937567999,0.04135138478970299,0.058393434539173346,-0.10370594807612829,0.18640871765553427,False,False
deeppcb,10,mousebite,baseline,medium,recall,-0.06996587030716722,0.0006777268304772877,0.03242320819112626,-0.012288311761854557,0.05241153944043053,-0.14248579342429907,0.11790916990058996,False,False
deeppcb,10,open,baseline,medium,ap50_95,0.12329940330747409,0.11569075837675687,0.0726031983550279,0.10386445334641962,0.027339027362875263,0.03595054446777246,0.1717783622250668,True,False
deeppcb,10,open,baseline,medium,ap50,0.1998182315941796,0.198614058117596,0.1221407344926233,0.1735243414014663,0.04450358190822734,0.06297131526883168,0.28407736753410096,True,False
deeppcb,10,open,baseline,medium,precision,0.1863183327313941,0.17358894184015128,0.12256066194555287,0.1608226455056994,0.03374157506079417,0.0770039264384455,0.24464136457295332,True,False
deeppcb,10,open,baseline,medium,recall,0.22610015174506828,0.17905918057663125,0.12139605462822456,0.17551846231664137,0.05244177249684482,0.04524587757861229,0.3057910470546704,True,False
deeppcb,10,pin-hole,baseline,medium,ap50_95,0.096662936453212,0.09644152055278682,0.037489970085171354,0.07686480903039006,0.03409979050847195,-0.00784376653942355,0.16157338460020365,False,False
deeppcb,10,pin-hole,baseline,medium,ap50,0.06829694764469829,0.07775015454254719,0.02682797119538216,0.05762502446087588,0.0270866138072227,-0.009661854385181239,0.124911903306933,False,False
deeppcb,10,pin-hole,baseline,medium,precision,0.026937910759524675,0.08821348177254346,-0.035110728879997666,0.02668022121735682,0.061662509162319946,-0.12649794320283178,0.17985838563754544,False,False
deeppcb,10,pin-hole,baseline,medium,recall,0.12553191489361704,-0.05957446808510636,0.1149378538581689,0.06029843355555986,0.10394803001077187,-0.1979227878713895,0.3185196549825092,False,False
deeppcb,10,short,baseline,medium,ap50_95,0.019792434712502742,0.05712905992410968,0.025093492150687353,0.03400499559576659,0.02020066993410726,-0.016176250393092305,0.08418624158462548,False,False
deeppcb,10,short,baseline,medium,ap50,0.027586044669251547,0.09580839622380276,0.03504556583747255,0.052813335576842285,0.037421151025077266,-0.04014595690706958,0.14577262806075414,False,False
deeppcb,10,short,baseline,medium,precision,0.021643353370776247,0.07679700766579386,0.025683808851542533,0.04137472329603755,0.030743047874306893,-0.03499524130712096,0.11774468789919607,False,False
deeppcb,10,short,baseline,medium,recall,0.08368200836820083,0.1336907375554268,0.09024634340486778,0.1025396964428318,0.02717651827253338,0.035029482524028654,0.17004991036163494,True,False
deeppcb,10,spur,baseline,medium,ap50_95,0.023594575474285687,0.09912725713920484,0.043421291918774294,0.05538104151075494,0.03916086321317068,-0.04189993562744312,0.15266201864895299,False,False
