dataset,sample_size,method,augmentation,map50_95_mean,map50_mean,trainable_parameters,total_parameters,peak_gpu_memory_mib_mean,training_seconds_mean,gpu_hours_mean,source,accuracy_retention_vs_full
NEU-DET,100,Full-SFT reference,historical locked protocol,0.33293482198614355,0.637783230319472,2590994,2591010,2652.16,356.16766666666666,0.09893546666666668,smoke/c3/completion/results/final_summary.csv,1.0
DeepPCB,100,Full-SFT reference,historical locked protocol,0.6485994299897748,0.9225558693404978,2590994,2591010,2665.813333333333,373.78399999999993,0.10382895666666665,smoke/c3/completion/results/final_summary.csv,1.0
NEU-DET,100,Existing accuracy-first V-PEFT,"historical default policy; preserved, not mixed with new runs",0.3202878141018712,0.6110463518508431,613602,2772770,2621.44,402.62899999999996,0.11184136333333333,smoke/c3/completion/results/old_new_vpeft.csv,0.962013562267756
NEU-DET,100,V-PEFT <=10% efficiency-first negative,historical locked protocol; not used for accuracy tuning,0.29858078321080755,0.5698987609593602,195410,2772770,2587.306666666667,403.95166666666665,0.11220869666666666,smoke/c3/completion/results/old_new_vpeft.csv,0.8968145219223546
DeepPCB,100,Existing accuracy-first V-PEFT,"historical default policy; preserved, not mixed with new runs",0.5166067422786682,0.795848841052877,613602,2772770,2631.68,423.7443333333333,0.11770682333333334,smoke/c3/completion/results/old_new_vpeft.csv,0.7964958314669078
DeepPCB,100,V-PEFT <=10% efficiency-first negative,historical locked protocol; not used for accuracy tuning,0.3716462320204412,0.5917983303571632,195410,2772770,2594.133333333333,414.0663333333334,0.11501847333333333,smoke/c3/completion/results/old_new_vpeft.csv,0.5729980860857374
DeepPCB,100,New accuracy-first V-PEFT (baseline),new preregistered policy,0.5364404978385946,0.7175321805587066,613602,2772770,2621.44,347.3433333333333,0.09648430666666667,smoke/c3/augmentation/results/locked_test_runs.csv,0.8270751916125668
DeepPCB,100,New accuracy-first V-PEFT (medium),new preregistered policy,0.6262095039679516,0.8330278291476428,613602,2772770,2621.44,546.0543333333334,0.15168179333333334,smoke/c3/augmentation/results/locked_test_runs.csv,0.9654795780160087
NEU-DET,100,New accuracy-first V-PEFT (baseline),new preregistered policy,0.22739249003262962,0.47575375795025576,613602,2772770,2621.44,336.33099999999996,0.09342524333333334,smoke/c3/augmentation/results/locked_test_runs.csv,0.6829940126902481
NEU-DET,100,New accuracy-first V-PEFT (mild),new preregistered policy,0.30596044577330195,0.6006086597173964,613602,2772770,2621.44,526.7536666666666,0.14632043333333333,smoke/c3/augmentation/results/locked_test_runs.csv,0.9189800092044315
