epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,2.90655,3.81687,5.07857,2.56924,0.00016,0.00743,0,0,3.81283,5.16029,2.56861,1e-05,1e-05,1e-05,5e-06,1e-05,9e-06
2,4.98534,3.92381,5.03928,2.15124,0.00013,0.00656,0,0,3.8026,5.15466,2.54802,2.99927e-05,2.99927e-05,2.99927e-05,1.49963e-05,2.99927e-05,2.69934e-05
3,7.21993,3.8144,4.82163,2.28707,0.00011,0.00569,0,0,3.79557,5.14707,2.53725,4.99512e-05,4.99512e-05,4.99512e-05,2.49756e-05,4.99512e-05,4.4956e-05
4,9.28455,3.53753,4.92378,2.28243,0.00017,0.00742,0,0,3.79191,5.14133,2.52569,6.98462e-05,6.98462e-05,6.98462e-05,3.49231e-05,6.98462e-05,6.28616e-05
5,11.5483,4.24741,4.85918,2.3421,0.00013,0.00629,0,0,3.79161,5.14096,2.51973,8.96487e-05,8.96487e-05,8.96487e-05,4.48244e-05,8.96487e-05,8.06838e-05
6,13.6046,3.77678,5.03924,2.25703,0.00017,0.00629,0,0,3.77795,5.14737,2.50815,0.00010933,0.00010933,0.00010933,5.46648e-05,0.00010933,9.83967e-05
7,15.7997,3.88053,4.85609,2.22076,0.00018,0.00716,0,0,3.76466,5.14752,2.49636,0.00012886,0.00012886,0.00012886,6.44301e-05,0.00012886,0.000115974
8,17.8717,3.71317,4.86586,2.26085,0.00028,0.00802,1e-05,0,3.74875,5.14117,2.48354,0.000148212,0.000148212,0.000148212,7.41059e-05,0.000148212,0.000133391
9,19.9214,3.83206,4.74267,2.5188,0.00027,0.00802,1e-05,0,3.73993,5.13772,2.47345,0.000167356,0.000167356,0.000167356,8.36781e-05,0.000167356,0.000150621
10,22.0838,3.78105,4.87632,2.2061,0.00021,0.00628,0,0,3.71963,5.14067,2.46188,0.000186266,0.000186266,0.000186266,9.31328e-05,0.000186266,0.000167639
11,24.1192,3.7193,4.95719,2.47177,0.00015,0.00542,0,0,3.70237,5.13079,2.44511,0.000204912,0.000204912,0.000204912,0.000102456,0.000204912,0.000184421
12,26.3257,4.02265,4.92151,2.19939,0.0001,0.00456,0,0,3.68245,5.12095,2.42757,0.000223269,0.000223269,0.000223269,0.000111635,0.000223269,0.000200942
13,28.3552,3.33084,4.67651,2.19582,4e-05,0.00309,0,0,3.65878,5.1149,2.40511,0.00024131,0.00024131,0.00024131,0.000120655,0.00024131,0.000217179
14,30.5334,3.73207,4.77695,2.12889,4e-05,0.00309,0,0,3.63206,5.10664,2.38148,0.000259008,0.000259008,0.000259008,0.000129504,0.000259008,0.000233107
15,32.545,3.85382,4.75336,2.21483,4e-05,0.00309,0,0,3.60315,5.09473,2.35692,0.000276338,0.000276338,0.000276338,0.000138169,0.000276338,0.000248704
16,34.7068,3.75395,4.79042,2.17985,0.00013,0.00656,0,0,3.56029,5.08125,2.32589,0.000293275,0.000293275,0.000293275,0.000146637,0.000293275,0.000263947
17,36.7359,3.60808,4.89248,2.19317,0.00022,0.00769,1e-05,0,3.52335,5.06272,2.29179,0.000309795,0.000309795,0.000309795,0.000154897,0.000309795,0.000278815
18,38.9093,3.40746,4.77731,1.99322,0.00024,0.00943,1e-05,0,3.48359,5.04869,2.26079,0.000325874,0.000325874,0.000325874,0.000162937,0.000325874,0.000293286
19,40.9444,3.63382,4.69918,2.20482,0.00035,0.01102,1e-05,0,3.43676,5.02265,2.21876,0.000341489,0.000341489,0.000341489,0.000170744,0.000341489,0.00030734
20,43.1334,3.03401,4.69258,1.91906,0.00036,0.01189,2e-05,0,3.37656,5.00001,2.17844,0.000356618,0.000356618,0.000356618,0.000178309,0.000356618,0.000320956
21,45.1564,3.29106,4.74125,1.87109,0.00036,0.01189,2e-05,1e-05,3.3096,4.9774,2.13905,0.00037124,0.00037124,0.00037124,0.00018562,0.00037124,0.000334116
22,47.3503,3.34721,4.81419,2.0024,0.00046,0.01622,7e-05,2e-05,3.24601,4.94199,2.08177,0.000385334,0.000385334,0.000385334,0.000192667,0.000385334,0.000346801
23,49.4261,3.20032,4.6455,1.70906,0.00048,0.01796,9e-05,3e-05,3.17835,4.91573,2.03361,0.000398882,0.000398882,0.000398882,0.000199441,0.000398882,0.000358994
24,51.5979,2.97093,4.69454,1.83239,0.00063,0.0195,0.00016,7e-05,3.0921,4.88111,1.97227,0.000411863,0.000411863,0.000411863,0.000205932,0.000411863,0.000370677
25,53.6499,3.10643,4.66214,1.88476,0.00066,0.02531,0.00035,0.00018,3.00319,4.85657,1.91961,0.000424261,0.000424261,0.000424261,0.000212131,0.000424261,0.000381835
26,55.8406,3.04727,5.06566,1.8234,0.00102,0.03568,0.00106,0.00052,2.90225,4.81959,1.85524,0.000436059,0.000436059,0.000436059,0.00021803,0.000436059,0.000392453
