epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,13.6881,2.06969,3.78823,2.06528,0.00242,0.2641,0.01459,0.00533,2.92261,4.87824,2.68355,0.000328042,0.000328042,0.000328042,0.000164021,0.000328042,0.000295238
2,25.8993,2.00856,3.7539,2.00798,0.00365,0.42408,0.00739,0.0023,2.55518,4.61223,2.39649,0.000661214,0.000661214,0.000661214,0.000330607,0.000661214,0.000595093
3,38.2632,1.71161,3.53841,1.79144,0.16134,0.21667,0.10645,0.04608,1.92334,3.8418,2.01052,0.000993737,0.000993737,0.000993737,0.000496869,0.000993737,0.000894364
4,50.6078,1.67137,3.30829,1.76206,0.17709,0.24115,0.15767,0.06961,1.98513,3.58601,2.04603,0.000997803,0.000997803,0.000997803,0.000498902,0.000997803,0.000898023
5,63.0408,1.6482,3.14266,1.73784,0.24462,0.28709,0.21477,0.09855,1.78599,3.35567,1.96662,0.000996097,0.000996097,0.000996097,0.000498048,0.000996097,0.000896487
6,75.8564,1.61356,3.00422,1.70962,0.28399,0.36341,0.26745,0.12322,1.78646,3.29465,1.90156,0.000993906,0.000993906,0.000993906,0.000496953,0.000993906,0.000894515
7,88.8401,1.66204,2.8531,1.74632,0.35194,0.32775,0.30982,0.13922,1.75352,3.14761,1.9056,0.000991232,0.000991232,0.000991232,0.000495616,0.000991232,0.000892109
8,101.363,1.62999,2.72988,1.70892,0.32816,0.41958,0.35922,0.16283,1.68681,3.1107,1.81916,0.000988079,0.000988079,0.000988079,0.000494039,0.000988079,0.000889271
9,114.058,1.61562,2.66665,1.69914,0.37778,0.46599,0.40528,0.19009,1.77871,2.93595,1.93029,0.000984449,0.000984449,0.000984449,0.000492224,0.000984449,0.000886004
10,126.405,1.62017,2.5386,1.69039,0.32058,0.49297,0.36076,0.16727,1.81312,3.14121,1.8813,0.000980345,0.000980345,0.000980345,0.000490173,0.000980345,0.000882311
11,138.937,1.58774,2.52414,1.67625,0.49,0.49222,0.45503,0.22597,1.68698,2.81356,1.83594,0.000975773,0.000975773,0.000975773,0.000487886,0.000975773,0.000878196
12,151.047,1.58352,2.40631,1.66026,0.39106,0.57663,0.44113,0.21369,1.70326,2.80672,1.84459,0.000970736,0.000970736,0.000970736,0.000485368,0.000970736,0.000873662
13,163.4,1.57666,2.34009,1.65221,0.48294,0.49078,0.49938,0.24867,1.63466,2.73279,1.8189,0.000965239,0.000965239,0.000965239,0.00048262,0.000965239,0.000868715
14,175.76,1.55439,2.31163,1.64615,0.40759,0.4979,0.47811,0.23152,1.68688,2.7179,1.8681,0.000959289,0.000959289,0.000959289,0.000479644,0.000959289,0.00086336
15,188.081,1.57426,2.29759,1.66728,0.52174,0.55458,0.52958,0.26236,1.58901,2.6037,1.80728,0.000952889,0.000952889,0.000952889,0.000476445,0.000952889,0.0008576
16,200.42,1.57561,2.23375,1.66505,0.48357,0.52953,0.54187,0.26248,1.63182,2.53997,1.81208,0.000946048,0.000946048,0.000946048,0.000473024,0.000946048,0.000851443
17,212.735,1.54385,2.21174,1.63027,0.47999,0.5997,0.58387,0.28216,1.65425,2.5043,1.85026,0.000938772,0.000938772,0.000938772,0.000469386,0.000938772,0.000844895
18,225.035,1.55488,2.22379,1.63062,0.46672,0.54614,0.54125,0.26554,1.6509,2.43956,1.77614,0.000931067,0.000931067,0.000931067,0.000465534,0.000931067,0.000837961
19,237.245,1.55844,2.14636,1.62087,0.51985,0.53607,0.52063,0.26596,1.62857,2.56107,1.76027,0.000922942,0.000922942,0.000922942,0.000461471,0.000922942,0.000830648
20,249.848,1.51916,2.07672,1.6123,0.48262,0.54018,0.51294,0.26157,1.63559,2.48593,1.79002,0.000914405,0.000914405,0.000914405,0.000457202,0.000914405,0.000822964
21,262.124,1.51843,2.11299,1.61384,0.46813,0.59984,0.55152,0.27603,1.65937,2.46153,1.78844,0.000905463,0.000905463,0.000905463,0.000452732,0.000905463,0.000814917
22,274.509,1.52229,2.1369,1.62008,0.4846,0.54952,0.52123,0.26604,1.6194,2.46552,1.7815,0.000896127,0.000896127,0.000896127,0.000448063,0.000896127,0.000806514
23,286.802,1.53062,2.06883,1.62551,0.50903,0.53155,0.52443,0.2609,1.63405,2.3869,1.79605,0.000886404,0.000886404,0.000886404,0.000443202,0.000886404,0.000797764
24,299.378,1.54562,2.06236,1.59306,0.55692,0.59224,0.58274,0.2916,1.67262,2.30804,1.78791,0.000876305,0.000876305,0.000876305,0.000438152,0.000876305,0.000788674
25,311.682,1.50215,2.02777,1.60348,0.56845,0.59469,0.57821,0.29178,1.66176,2.43228,1.8394,0.000865839,0.000865839,0.000865839,0.00043292,0.000865839,0.000779256
26,323.94,1.51372,2.03728,1.61444,0.41759,0.62661,0.53308,0.26126,1.67701,2.35329,1.79483,0.000855018,0.000855018,0.000855018,0.000427509,0.000855018,0.000769516
27,336.263,1.48596,1.98733,1.57949,0.547,0.57576,0.54898,0.27717,1.68831,2.34433,1.81904,0.000843851,0.000843851,0.000843851,0.000421925,0.000843851,0.000759466
28,348.516,1.52545,2.00463,1.58714,0.52855,0.63796,0.59584,0.29735,1.6119,2.32076,1.77351,0.000832349,0.000832349,0.000832349,0.000416175,0.000832349,0.000749114
29,360.641,1.49828,1.94135,1.58583,0.50847,0.66266,0.59745,0.30017,1.6069,2.24623,1.75672,0.000820525,0.000820525,0.000820525,0.000410262,0.000820525,0.000738472
30,373.004,1.52237,1.9471,1.58259,0.5658,0.64479,0.61734,0.30584,1.63587,2.26126,1.79081,0.000808389,0.000808389,0.000808389,0.000404194,0.000808389,0.00072755
31,385.531,1.49635,1.95671,1.56398,0.60964,0.63338,0.65145,0.31448,1.59872,2.23641,1.79227,0.000795954,0.000795954,0.000795954,0.000397977,0.000795954,0.000716358
32,397.862,1.5176,1.96069,1.60091,0.62066,0.64427,0.64735,0.3272,1.58814,2.22819,1.80019,0.000783231,0.000783231,0.000783231,0.000391616,0.000783231,0.000704908
33,410.085,1.48438,1.88399,1.56613,0.51242,0.65429,0.60964,0.30953,1.59346,2.20849,1.72687,0.000770234,0.000770234,0.000770234,0.000385117,0.000770234,0.000693211
