epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,4.92975,3.86024,4.98002,2.31446,0.00018,0.00716,1e-05,0,3.80497,5.11638,2.50417,0.00012,0.00012,0.00012,6e-05,0.00012,0.000108
2,8.92936,3.73225,4.99994,2.25802,0.00017,0.00542,0,0,3.75046,5.08362,2.43143,0.000249939,0.000249939,0.000249939,0.000124969,0.000249939,0.000224945
3,12.779,3.62826,4.88749,2.22124,0.00025,0.00888,1e-05,0,3.56699,4.98002,2.22589,0.000379629,0.000379629,0.000379629,0.000189814,0.000379629,0.000341666
4,16.807,3.33961,4.77654,1.98138,0.0005,0.01758,6e-05,2e-05,3.01478,4.73922,1.80617,0.00050888,0.00050888,0.00050888,0.00025444,0.00050888,0.000457992
5,20.9866,2.83331,4.56619,1.69523,0.00055,0.01353,0.00011,3e-05,2.5138,4.59952,1.55298,0.000637502,0.000637502,0.000637502,0.000318751,0.000637502,0.000573752
6,24.7945,2.47232,4.40398,1.51309,0.00064,0.01891,9e-05,1e-05,2.11299,4.50473,1.40538,0.000765307,0.000765307,0.000765307,0.000382654,0.000765307,0.000688777
7,28.7107,2.20064,4.2501,1.38648,0.00193,0.05709,0.00194,0.00029,1.92169,4.36164,1.35224,0.000892109,0.000892109,0.000892109,0.000446054,0.000892109,0.000802898
8,32.615,2.22762,4.19534,1.39763,0.01006,0.38381,0.02954,0.01279,1.87924,4.11086,1.33515,0.000988079,0.000988079,0.000988079,0.000494039,0.000988079,0.000889271
9,36.5831,2.11134,4.03084,1.31023,0.01366,0.52787,0.05146,0.02262,1.87362,3.9246,1.30803,0.000984449,0.000984449,0.000984449,0.000492224,0.000984449,0.000886004
10,40.4102,2.10085,4.02717,1.29636,0.24577,0.06668,0.05564,0.02449,1.84394,3.8193,1.2432,0.000980345,0.000980345,0.000980345,0.000490173,0.000980345,0.000882311
11,44.395,1.99832,3.88367,1.22399,0.42621,0.13698,0.07363,0.03457,1.77066,3.69074,1.17009,0.000975773,0.000975773,0.000975773,0.000487886,0.000975773,0.000878196
12,48.2694,1.98624,3.80945,1.22719,0.57521,0.12449,0.08747,0.04414,1.70172,3.61076,1.1301,0.000970736,0.000970736,0.000970736,0.000485368,0.000970736,0.000873662
13,52.259,1.89506,3.69212,1.18848,0.43036,0.14084,0.10375,0.0549,1.65915,3.50082,1.12269,0.000965239,0.000965239,0.000965239,0.00048262,0.000965239,0.000868715
14,56.1324,1.94978,3.60663,1.19506,0.31426,0.22658,0.1095,0.05927,1.63778,3.39941,1.11378,0.000959289,0.000959289,0.000959289,0.000479644,0.000959289,0.00086336
15,60.1221,1.888,3.48527,1.19496,0.12184,0.24119,0.11452,0.06123,1.66944,3.37546,1.11659,0.000952889,0.000952889,0.000952889,0.000476445,0.000952889,0.0008576
