epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,4.86435,3.86623,4.98659,2.31901,0.00017,0.00629,1e-05,0,3.81521,5.12964,2.51873,0.00012,0.00012,0.00012,6e-05,0.00012,0.000108
2,8.59765,3.76899,5.0312,2.28642,0.00017,0.00542,0,0,3.77599,5.1191,2.46936,0.000249939,0.000249939,0.000249939,0.000124969,0.000249939,0.000224945
3,12.6,3.6784,4.95129,2.26408,0.00014,0.00629,0,0,3.59876,5.02561,2.28574,0.000379629,0.000379629,0.000379629,0.000189814,0.000379629,0.000341666
4,16.4478,3.51438,4.87151,2.08522,0.00085,0.0315,9e-05,2e-05,3.16337,4.80125,1.9184,0.00050888,0.00050888,0.00050888,0.00025444,0.00050888,0.000457992
5,20.3531,3.09347,4.70297,1.82181,0.00156,0.06845,0.00129,0.00051,2.59089,4.60572,1.59418,0.000637502,0.000637502,0.000637502,0.000318751,0.000637502,0.000573752
6,24.1605,2.62284,4.53666,1.58264,0.00173,0.0964,0.0033,0.00076,2.05683,4.51223,1.36349,0.000765307,0.000765307,0.000765307,0.000382654,0.000765307,0.000688777
7,27.9475,2.19872,4.37438,1.36978,0.50717,0.05904,0.00353,0.00076,1.83825,4.44191,1.24774,0.000892109,0.000892109,0.000892109,0.000446054,0.000892109,0.000802898
8,31.9684,2.13526,4.29571,1.31989,0.68022,0.04427,0.01068,0.00284,1.88095,4.289,1.18186,0.000988079,0.000988079,0.000988079,0.000494039,0.000988079,0.000889271
9,36.0435,1.98426,4.15286,1.20553,0.85342,0.06858,0.02974,0.0127,1.9494,4.56923,1.13241,0.000984449,0.000984449,0.000984449,0.000492224,0.000984449,0.000886004
10,39.9277,2.03958,4.13092,1.19448,0.02285,0.52771,0.05687,0.02391,1.94352,4.70051,1.10387,0.000980345,0.000980345,0.000980345,0.000490173,0.000980345,0.000882311
11,43.8177,1.95299,4.01265,1.12731,0.07647,0.23591,0.08009,0.03581,1.89292,4.12826,1.08778,0.000975773,0.000975773,0.000975773,0.000487886,0.000975773,0.000878196
12,47.8424,1.93767,3.9733,1.11919,0.2658,0.21292,0.0954,0.04499,1.81601,3.79339,1.06855,0.000970736,0.000970736,0.000970736,0.000485368,0.000970736,0.000873662
13,51.6625,1.87557,3.902,1.10814,0.28979,0.17499,0.09861,0.05089,1.71867,3.66502,1.05083,0.000965239,0.000965239,0.000965239,0.00048262,0.000965239,0.000868715
14,55.7161,1.90944,3.89205,1.09546,0.13867,0.17073,0.09934,0.05033,1.70272,3.63396,1.04416,0.000959289,0.000959289,0.000959289,0.000479644,0.000959289,0.00086336
15,59.607,1.82814,3.76926,1.0975,0.13221,0.20807,0.10745,0.05421,1.77504,3.62492,1.06626,0.000952889,0.000952889,0.000952889,0.000476445,0.000952889,0.0008576
16,63.6951,1.84288,3.78323,1.07989,0.13625,0.2157,0.11636,0.05785,1.88778,3.64399,1.09581,0.000946048,0.000946048,0.000946048,0.000473024,0.000946048,0.000851443
17,67.5305,1.77451,3.66464,1.06771,0.13921,0.23603,0.13082,0.0673,1.82843,3.55957,1.08016,0.000938772,0.000938772,0.000938772,0.000469386,0.000938772,0.000844895
18,71.4643,1.77212,3.70942,1.0694,0.14651,0.23668,0.14355,0.07302,1.73918,3.49414,1.05872,0.000931067,0.000931067,0.000931067,0.000465534,0.000931067,0.000837961
19,75.2698,1.81591,3.64836,1.06197,0.16392,0.22163,0.14384,0.06762,1.76344,3.5189,1.06703,0.000922942,0.000922942,0.000922942,0.000461471,0.000922942,0.000830648
20,79.2509,1.78902,3.56746,1.05611,0.16333,0.24622,0.15237,0.07272,1.72984,3.46789,1.06305,0.000914405,0.000914405,0.000914405,0.000457202,0.000914405,0.000822964
21,83.0746,1.73567,3.50722,1.04484,0.16018,0.23961,0.1621,0.06926,1.8728,3.46228,1.09631,0.000905463,0.000905463,0.000905463,0.000452732,0.000905463,0.000814917
22,87.0439,1.71328,3.45015,1.03374,0.1414,0.29817,0.16863,0.08376,1.69236,3.35613,1.0587,0.000896127,0.000896127,0.000896127,0.000448063,0.000896127,0.000806514
23,90.8861,1.7488,3.4487,1.05942,0.1434,0.31224,0.18039,0.09105,1.63958,3.31018,1.04228,0.000886404,0.000886404,0.000886404,0.000443202,0.000886404,0.000797764
24,94.8701,1.70629,3.36371,1.06168,0.14467,0.37354,0.18377,0.09905,1.54302,3.23972,1.02961,0.000876305,0.000876305,0.000876305,0.000438152,0.000876305,0.000788674
25,98.7076,1.68918,3.43134,1.04754,0.17659,0.37263,0.19668,0.10209,1.59165,3.21365,1.04142,0.000865839,0.000865839,0.000865839,0.00043292,0.000865839,0.000779256
26,102.671,1.70139,3.35621,1.04219,0.17857,0.35027,0.206,0.10774,1.54646,3.18865,1.03299,0.000855018,0.000855018,0.000855018,0.000427509,0.000855018,0.000769516
27,106.484,1.64585,3.24526,1.03539,0.19693,0.35349,0.22187,0.12014,1.48904,3.21204,1.03087,0.000843851,0.000843851,0.000843851,0.000421925,0.000843851,0.000759466
28,110.441,1.63554,3.30008,1.03921,0.18634,0.32598,0.23554,0.12538,1.49961,3.17824,1.03361,0.000832349,0.000832349,0.000832349,0.000416175,0.000832349,0.000749114
29,114.226,1.67004,3.24021,1.05165,0.21019,0.29025,0.23371,0.1113,1.67712,3.17403,1.06387,0.000820525,0.000820525,0.000820525,0.000410262,0.000820525,0.000738472
30,118.187,1.63846,3.18429,1.03015,0.21193,0.31622,0.24812,0.11536,1.71228,3.09516,1.06702,0.000808389,0.000808389,0.000808389,0.000404194,0.000808389,0.00072755
31,121.997,1.62661,3.20409,1.02811,0.20015,0.30629,0.26434,0.14796,1.48469,3.0137,1.0333,0.000795954,0.000795954,0.000795954,0.000397977,0.000795954,0.000716358
32,126.003,1.61114,3.14748,1.02098,0.24375,0.27576,0.27459,0.15463,1.4765,3.02176,1.03237,0.000783231,0.000783231,0.000783231,0.000391616,0.000783231,0.000704908
33,129.899,1.66227,3.18721,1.027,0.26084,0.34804,0.28113,0.14548,1.53773,2.93238,1.02382,0.000770234,0.000770234,0.000770234,0.000385117,0.000770234,0.000693211
34,133.951,1.62413,3.09827,1.01005,0.28655,0.31553,0.29018,0.15232,1.49628,2.93911,1.01991,0.000756976,0.000756976,0.000756976,0.000378488,0.000756976,0.000681278
35,137.827,1.61129,3.08866,1.00869,0.30731,0.32855,0.29621,0.16454,1.47372,2.99769,1.03158,0.000743468,0.000743468,0.000743468,0.000371734,0.000743468,0.000669121
36,141.863,1.58174,3.08555,1.01308,0.29303,0.34602,0.30871,0.17215,1.47212,2.90731,1.02143,0.000729725,0.000729725,0.000729725,0.000364863,0.000729725,0.000656753
37,145.741,1.61722,3.01967,1.02583,0.24438,0.353,0.3075,0.15619,1.58574,2.85457,1.03884,0.000715761,0.000715761,0.000715761,0.00035788,0.000715761,0.000644185
38,149.727,1.6081,3.05423,1.02764,0.24824,0.39591,0.30955,0.15429,1.61254,2.83255,1.0437,0.000701588,0.000701588,0.000701588,0.000350794,0.000701588,0.000631429
39,153.588,1.60211,2.98515,1.01574,0.2302,0.3638,0.2795,0.10849,1.88846,2.9149,1.11108,0.000687222,0.000687222,0.000687222,0.000343611,0.000687222,0.000618499
40,157.551,1.59313,2.91003,1.03343,0.26066,0.32659,0.2968,0.11828,1.85756,2.89692,1.10042,0.000672675,0.000672675,0.000672675,0.000336338,0.000672675,0.000605408
41,161.369,1.57624,2.96962,0.99956,0.25903,0.34005,0.3288,0.185,1.50008,2.75759,1.01405,0.000657963,0.000657963,0.000657963,0.000328982,0.000657963,0.000592167
