epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,4.74797,2.0116,3.89294,1.99348,0.00523,0.31697,0.00344,0.00099,2.39656,4.39601,2.35123,0.00012,0.00012,0.00012,6e-05,0.00012,0.000108
2,8.54147,1.8449,3.86393,1.93469,0.00356,0.30665,0.00303,0.00095,2.59562,4.60967,2.48104,0.000249939,0.000249939,0.000249939,0.000124969,0.000249939,0.000224945
3,12.1677,2.02001,3.85444,2.0604,0.00357,0.32256,0.04597,0.01321,2.54181,4.56604,2.46884,0.000379629,0.000379629,0.000379629,0.000189814,0.000379629,0.000341666
4,15.8901,1.92912,3.85711,2.03353,0.0064,0.40735,0.07247,0.02114,2.40113,4.44681,2.40134,0.00050888,0.00050888,0.00050888,0.00025444,0.00050888,0.000457992
5,19.665,1.70516,3.79732,1.77893,0.0061,0.45289,0.06582,0.0177,2.32067,4.37808,2.37441,0.000637502,0.000637502,0.000637502,0.000318751,0.000637502,0.000573752
6,23.3428,1.76994,3.71748,1.86332,0.00581,0.55548,0.06099,0.01993,2.13579,4.27824,2.26822,0.000765307,0.000765307,0.000765307,0.000382654,0.000765307,0.000688777
7,26.9726,1.61379,3.69467,1.73378,0.00597,0.66793,0.06624,0.02127,2.00339,4.1736,2.13475,0.000892109,0.000892109,0.000892109,0.000446054,0.000892109,0.000802898
8,30.6957,1.59364,3.67805,1.72688,0.00623,0.73695,0.07679,0.02677,1.91272,4.05467,2.0564,0.000988079,0.000988079,0.000988079,0.000494039,0.000988079,0.000889271
9,34.3152,1.48581,3.60176,1.61152,0.00653,0.78412,0.08805,0.03567,1.88935,3.99386,2.01567,0.000984449,0.000984449,0.000984449,0.000492224,0.000984449,0.000886004
10,38.1088,1.51221,3.55186,1.67634,0.0068,0.80841,0.10652,0.03954,1.9667,3.96344,2.0408,0.000980345,0.000980345,0.000980345,0.000490173,0.000980345,0.000882311
11,41.7819,1.4772,3.50542,1.61637,0.52514,0.0617,0.06336,0.02431,2.20183,4.01084,2.16514,0.000975773,0.000975773,0.000975773,0.000487886,0.000975773,0.000878196
12,45.5745,1.52152,3.51306,1.6744,0.71102,0.04111,0.0526,0.0198,2.38109,4.11541,2.25642,0.000970736,0.000970736,0.000970736,0.000485368,0.000970736,0.000873662
13,49.2129,1.45477,3.39268,1.60858,0.28877,0.1218,0.06433,0.02498,2.42362,4.10966,2.27884,0.000965239,0.000965239,0.000965239,0.00048262,0.000965239,0.000868715
14,52.9915,1.42552,3.37687,1.57557,0.4201,0.13987,0.11412,0.0461,2.19746,3.94836,2.16407,0.000959289,0.000959289,0.000959289,0.000479644,0.000959289,0.00086336
15,56.7704,1.4913,3.40304,1.67223,0.2338,0.19193,0.13087,0.05295,2.06501,3.79809,2.09291,0.000952889,0.000952889,0.000952889,0.000476445,0.000952889,0.0008576
16,60.5747,1.44525,3.32403,1.57718,0.28243,0.18734,0.1416,0.05941,2.00463,3.74729,2.03287,0.000946048,0.000946048,0.000946048,0.000473024,0.000946048,0.000851443
17,64.2441,1.46659,3.33289,1.61629,0.26651,0.2263,0.17607,0.07636,1.9589,3.6437,2.00718,0.000938772,0.000938772,0.000938772,0.000469386,0.000938772,0.000844895
18,68.0497,1.48355,3.28489,1.62243,0.31584,0.27899,0.22011,0.09719,1.92174,3.57432,2.01289,0.000931067,0.000931067,0.000931067,0.000465534,0.000931067,0.000837961
19,71.722,1.4823,3.26557,1.65193,0.33003,0.28164,0.24564,0.10942,1.86636,3.53307,2.01406,0.000922942,0.000922942,0.000922942,0.000461471,0.000922942,0.000830648
20,75.4782,1.44829,3.20077,1.64155,0.30081,0.24639,0.23809,0.10724,1.86845,3.56993,2.00786,0.000914405,0.000914405,0.000914405,0.000457202,0.000914405,0.000822964
