epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,4.94218,2.01051,3.89199,1.9934,0.00508,0.32286,0.00363,0.00107,2.38989,4.39406,2.34815,0.00012,0.00012,0.00012,6e-05,0.00012,0.000108
2,8.90913,1.84035,3.85772,1.93156,0.00373,0.32582,0.00327,0.00095,2.58641,4.59943,2.47076,0.000249939,0.000249939,0.000249939,0.000124969,0.000249939,0.000224945
3,12.897,2.01539,3.84143,2.05659,0.00352,0.33722,0.03877,0.00953,2.51579,4.56226,2.4436,0.000379629,0.000379629,0.000379629,0.000189814,0.000379629,0.000341666
4,16.7675,1.90801,3.83036,2.0319,0.00466,0.38876,0.05846,0.01803,2.28541,4.38921,2.33478,0.00050888,0.00050888,0.00050888,0.00025444,0.00050888,0.000457992
5,20.7589,1.72008,3.7674,1.77929,0.00494,0.43361,0.05275,0.0169,2.20006,4.30964,2.2448,0.000637502,0.000637502,0.000637502,0.000318751,0.000637502,0.000573752
6,24.5695,1.75325,3.6928,1.82986,0.00595,0.54355,0.05529,0.01844,2.08827,4.2329,2.17719,0.000765307,0.000765307,0.000765307,0.000382654,0.000765307,0.000688777
7,28.3045,1.59794,3.65936,1.71651,0.00538,0.5911,0.06779,0.02369,2.096,4.20479,2.14347,0.000892109,0.000892109,0.000892109,0.000446054,0.000892109,0.000802898
8,32.1954,1.62344,3.65003,1.74689,0.00592,0.72518,0.08325,0.03005,1.982,4.0855,2.08604,0.000988079,0.000988079,0.000988079,0.000494039,0.000988079,0.000889271
9,36.1078,1.50579,3.53908,1.63583,0.45696,0.05577,0.11686,0.04341,1.92125,3.94323,2.05319,0.000984449,0.000984449,0.000984449,0.000492224,0.000984449,0.000886004
10,39.8858,1.53353,3.46613,1.7073,0.25691,0.10662,0.13021,0.05065,1.96691,3.84608,2.09467,0.000980345,0.000980345,0.000980345,0.000490173,0.000980345,0.000882311
11,43.6474,1.50007,3.4084,1.64553,0.21887,0.13098,0.14243,0.05682,2.0781,3.79198,2.15047,0.000975773,0.000975773,0.000975773,0.000487886,0.000975773,0.000878196
12,47.5777,1.50471,3.37405,1.69107,0.2005,0.19816,0.16597,0.06426,2.135,3.70043,2.18219,0.000970736,0.000970736,0.000970736,0.000485368,0.000970736,0.000873662
13,51.5013,1.47654,3.25967,1.65182,0.20284,0.20807,0.17575,0.07055,2.19049,3.65597,2.20424,0.000965239,0.000965239,0.000965239,0.00048262,0.000965239,0.000868715
14,55.2853,1.45928,3.15544,1.60038,0.1922,0.19835,0.18053,0.06962,2.17227,3.6556,2.18352,0.000959289,0.000959289,0.000959289,0.000479644,0.000959289,0.00086336
15,59.2117,1.53124,3.26726,1.70916,0.23328,0.23078,0.19953,0.0729,2.14708,3.60643,2.16207,0.000952889,0.000952889,0.000952889,0.000476445,0.000952889,0.0008576
16,63.0155,1.4744,3.12377,1.65277,0.24062,0.28001,0.20842,0.08252,2.08957,3.52648,2.11849,0.000946048,0.000946048,0.000946048,0.000473024,0.000946048,0.000851443
17,66.8774,1.47978,3.08842,1.6596,0.271,0.27885,0.23599,0.10551,2.01306,3.35692,2.08133,0.000938772,0.000938772,0.000938772,0.000469386,0.000938772,0.000844895
18,70.8354,1.47692,3.06579,1.63432,0.29432,0.26039,0.26954,0.11639,1.89187,3.32697,2.02629,0.000931067,0.000931067,0.000931067,0.000465534,0.000931067,0.000837961
19,74.6768,1.50709,3.00493,1.70874,0.26763,0.27657,0.27339,0.12296,1.87252,3.2708,2.00068,0.000922942,0.000922942,0.000922942,0.000461471,0.000922942,0.000830648
20,78.5946,1.48976,2.91275,1.66363,0.26788,0.36698,0.3044,0.13648,1.81503,3.22195,1.94419,0.000914405,0.000914405,0.000914405,0.000457202,0.000914405,0.000822964
