dataset,sample_size,method,seed,map50_95,map50,precision,recall,trainable_parameters,total_parameters,peak_gpu_memory_mib,training_seconds,gpu_hours,run_id,metrics_path,metrics_sha256,checkpoint_path,checkpoint_sha256,source,status
DeepPCB,10,Frozen Backbone,824,0.20679017353828663,0.37352204712027254,0.34825471252453616,0.468659627739665,1225522,2591010,1628.16,187.952,0.05220897,deeppcb_10_frozen_seed824,smoke/c3/p2/logs/deeppcb_10_frozen_seed824/metrics.json,52af57da1a75d1fef3a5b42213b44ff0327f6124c0bfe8938e3969379b0328df,smoke/c3/p2/artifacts/deeppcb_10_frozen_seed824/weights/best.pt,0f7705c83615a699c1436271458b838f5060f655fe2ca92966b8a6ab056636ef,reused_verified_existing_full_or_frozen,PASS
DeepPCB,10,Frozen Backbone,825,0.23962163713099371,0.4067212326235035,0.39367916160997174,0.4884999976135164,1225522,2591010,1628.16,204.613,0.05683691,deeppcb_10_frozen_seed825_e100,smoke/c3/p2/logs/deeppcb_10_frozen_seed825_e100/metrics.json,37b121f7d4c66b420ed62e62b09b898c1f5191bce0f91c6cc4bc8257dd96215e,smoke/c3/p2/artifacts/deeppcb_10_frozen_seed825_e100/weights/best.pt,cb6ad9273b24f027bf6d03a357d60d2564079f355cc45d3cd6c2d43a2d0395bc,reused_verified_existing_full_or_frozen,PASS
DeepPCB,10,Frozen Backbone,826,0.215418634065637,0.37846660262143833,0.35362203154789773,0.4578721765342186,1225522,2591010,1628.16,197.623,0.05489539,deeppcb_10_frozen_seed826_e100,smoke/c3/p2/logs/deeppcb_10_frozen_seed826_e100/metrics.json,be81414888115d04e298869653c01ade2abb346128e60870de4700d2c8bacac7,smoke/c3/p2/artifacts/deeppcb_10_frozen_seed826_e100/weights/best.pt,f9723505075b5c954c4c6d9aa2f61277f7b01798212945958468224b24ab2afd,reused_verified_existing_full_or_frozen,PASS
DeepPCB,10,Full-SFT,824,0.24916234133175094,0.4637688096583959,0.4275088229641541,0.5390466536934337,2590994,2591010,2693.12,203.683,0.05657848,deeppcb_10_full_seed824,smoke/c3/p2/logs/deeppcb_10_full_seed824/metrics.json,c9669f9baec7381d1c4bce42babe3d36581d5a5c48a67bbb1784ae7981ae275e,smoke/c3/p2/artifacts/deeppcb_10_full_seed824/weights/best.pt,e70dbf23ba24f2a30b499a094f2a5bd5559a64de9e8f6a0799a62a2bfbcf1c61,reused_verified_existing_full_or_frozen,PASS
DeepPCB,10,Full-SFT,825,0.3236583641929435,0.5400834149590538,0.5118823428116183,0.5607540031829482,2590994,2591010,2693.12,204.024,0.05667324,deeppcb_10_full_seed825_e100,smoke/c3/p2/logs/deeppcb_10_full_seed825_e100/metrics.json,4e2eaf92c55b3777688eb17a905d2be5d4de2507d5fdc74cb8684ff86c4c5217,smoke/c3/p2/artifacts/deeppcb_10_full_seed825_e100/weights/best.pt,b7e628a8ba70046aee0cfbdfc72aa20c3b5b1d4187e61d439307970723aa9565,reused_verified_existing_full_or_frozen,PASS
DeepPCB,10,Full-SFT,826,0.29819225857257586,0.5020185423369984,0.4745630585070922,0.5228388845116041,2590994,2591010,2693.12,209.235,0.05812088,deeppcb_10_full_seed826_e100,smoke/c3/p2/logs/deeppcb_10_full_seed826_e100/metrics.json,80b60ea5a09b556f24a84e196f1df6799a26befb4b483eae9b4ea73bd153cd14,smoke/c3/p2/artifacts/deeppcb_10_full_seed826_e100/weights/best.pt,6ebae1ff474533b15b84bd870357898954a772f54011044ff19a3ef67d8d8de2,reused_verified_existing_full_or_frozen,PASS
DeepPCB,10,V-PEFT <=10%,824,0.11657993692749834,0.2300199097937803,0.35708541262195165,0.24544181697915604,195410,2772770,2621.44,234.699,0.06519418,final_deeppcb_10_vpeft_b250k_predictors_seed824_e100,smoke/c3/completion/logs/final/final_deeppcb_10_vpeft_b250k_predictors_seed824_e100/metrics.json,8a01c4add1301fcea9e1b3e9e75661a0587740cde10186d012dd4bc99a2aae02,smoke/c3/completion/artifacts/final/final_deeppcb_10_vpeft_b250k_predictors_seed824_e100/weights/best.pt,2e0735064fc6e053ce7348de1293a46fc5357cae3ca30e978eedf3793126bcf8,new_selected_efficiency_matrix,PASS
DeepPCB,10,V-PEFT <=10%,825,0.11914238996727677,0.212813011723579,0.21443770902833278,0.31889305698797127,195410,2772770,2621.44,235.617,0.06544918,final_deeppcb_10_vpeft_b250k_predictors_seed825_e100,smoke/c3/completion/logs/final/final_deeppcb_10_vpeft_b250k_predictors_seed825_e100/metrics.json,03878560ab6de127d405a0a5bb2d5327fc892f4bf8f366f27ecec3319ddd1478,smoke/c3/completion/artifacts/final/final_deeppcb_10_vpeft_b250k_predictors_seed825_e100/weights/best.pt,d95ffcfcac0b49bf2b9545447e9dab9490c71e8c8ce9fe1b3fd4a3fc5f954861,new_selected_efficiency_matrix,PASS
DeepPCB,10,V-PEFT <=10%,826,0.0955121171415256,0.17301385330913846,0.1484840518818803,0.39487251334590945,195410,2772770,2621.44,223.934,0.0622038,final_deeppcb_10_vpeft_b250k_predictors_seed826_e100,smoke/c3/completion/logs/final/final_deeppcb_10_vpeft_b250k_predictors_seed826_e100/metrics.json,720bb7e6a3b8760ff4cfc6a097868c0cf511b448e1d995219d2f4ef53ebc43cb,smoke/c3/completion/artifacts/final/final_deeppcb_10_vpeft_b250k_predictors_seed826_e100/weights/best.pt,723fef40193b9f5bbb1b79cb0aadc74557de49c76bb010d3fc972704ecfba71a,new_selected_efficiency_matrix,PASS
DeepPCB,50,Frozen Backbone,824,0.3803190963299724,0.6566594614332252,0.6270746194445215,0.6379773762561421,1225522,2591010,1730.56,258.006,0.07166832,deeppcb_50_frozen_seed824,smoke/c3/p2/logs/deeppcb_50_frozen_seed824/metrics.json,f220187051f993ecb479f55460b351a82f184d8f03204c5b13cfb35cc78da273,smoke/c3/p2/artifacts/deeppcb_50_frozen_seed824/weights/best.pt,a613c50c29e2e54a6afe50aad5c48c21177fe3448df1449570b5f2b4a767009d,reused_verified_existing_full_or_frozen,PASS
