dataset,sample_size,method,n,map50_95_mean,map50_95_std,map50_95_ci95_lower,map50_95_ci95_upper,map50_mean,map50_std,map50_ci95_lower,map50_ci95_upper,accuracy_retention_vs_full,trainable_parameters,total_parameters,trainable_ratio_vs_full,peak_gpu_memory_mib_mean,peak_gpu_memory_mib_std,peak_gpu_memory_mib_ci95_lower,peak_gpu_memory_mib_ci95_upper,training_seconds_mean,training_seconds_std,training_seconds_ci95_lower,training_seconds_ci95_upper,gpu_hours_mean
NEU-DET,10,Full-SFT,3,0.12124624745522476,0.012153571471390803,0.0910551022295545,0.151437392680895,0.30089908039256635,0.02640169802657126,0.2353136266680499,0.3664845341170828,1.0,2590994,2591010,1.0,2682.88,0.0,2682.88,2682.88,192.51766666666666,1.2343850020691742,189.45128433209229,195.58404900124103,0.05347711333333333
NEU-DET,10,Frozen Backbone,3,0.13254127243897382,0.010098560142872505,0.107455058352742,0.15762748652520564,0.3212447372030734,0.00499041291948507,0.30884786427210825,0.33364161013403854,1.0931577283488316,1225522,2591010,0.47299299033498343,1607.68,0.0,1607.68,1607.68,176.38833333333332,1.9907366308312506,171.44306939433665,181.33359727233,0.04899677
NEU-DET,10,V-PEFT <=10%,3,0.07641393766200627,0.02049006748715872,0.025513788298931736,0.1273140870250808,0.17781740964609405,0.037648254177902296,0.08429396165768784,0.2713408576345003,0.6302375476834886,195410,2772770,0.07541893188482876,2600.96,0.0,2600.96,2600.96,216.48666666666668,9.801122860842696,192.1393277496334,240.83400558369996,0.06013516666666666
NEU-DET,50,Full-SFT,3,0.2686538864237586,0.01017224241491484,0.24338463542685207,0.2939231374206651,0.5580045030192604,0.0036550517373662287,0.5489248511597289,0.5670841548787919,1.0,2590994,2591010,1.0,2682.88,0.0,2682.88,2682.88,269.9286666666667,3.398046546669626,261.48745109348425,278.3698822398491,0.07498016666666667
NEU-DET,50,Frozen Backbone,3,0.2194898690781494,0.004031813859091148,0.2094742882236468,0.229505449932652,0.47669112480017456,0.013743266593207083,0.44255095797206645,0.5108312916282827,0.8169986743908078,1225522,2591010,0.47299299033498343,1710.08,0.0,1710.08,1710.08,239.97799999999998,1.9077790752600312,235.23881405328012,244.71718594671984,0.06666052
NEU-DET,50,V-PEFT <=10%,3,0.18062375633286734,0.017525021662065224,0.13708918912125242,0.22415832354448226,0.3726117957406936,0.02116394487810387,0.3200376421376133,0.42518594934377385,0.6723288419061327,195410,2772770,0.07541893188482876,2600.96,0.0,2600.96,2600.96,290.41866666666664,6.248283470948903,274.8970700621925,305.9402632711408,0.08067182666666667
NEU-DET,100,Full-SFT,3,0.33293482198614355,0.0038606509957943335,0.3233444332552237,0.3425252107170634,0.637783230319472,0.0019934681553695007,0.632831180897359,0.6427352797415851,1.0,2590994,2591010,1.0,2652.16,0.0,2652.16,2652.16,356.16766666666666,5.930499332546379,341.435489624624,370.89984370870934,0.09893546666666668
NEU-DET,100,Frozen Backbone,3,0.2934985026476887,0.0068934113840613594,0.2763743194652888,0.31062268583008856,0.5768696148291185,0.004034490448330497,0.5668473849583473,0.5868918446998896,0.8815494302963114,1225522,2591010,0.47299299033498343,1699.84,0.0,1699.84,1699.84,325.12,8.17688956755563,304.8074802596533,345.4325197403467,0.09031106666666666
NEU-DET,100,V-PEFT <=10%,3,0.29858078321080755,0.020146017907134814,0.2485353003842144,0.3486262660374007,0.5698987609593602,0.020573993833467762,0.5187901269944021,0.6210073949243183,0.8968145219223546,195410,2772770,0.07541893188482876,2587.306666666667,5.912066756501642,2572.6202786819035,2601.99305465143,403.95166666666665,6.369363416647966,388.1292908029335,419.7740425303998,0.11220869666666666
NEU-DET,500,Full-SFT,3,0.39951162048240185,0.005600482224127806,0.3855992513849354,0.4134239895798683,0.7165313632573879,0.0005426772191840948,0.7151832783118541,0.7178794482029216,1.0,2590994,2591010,1.0,2652.16,0.0,2652.16,2652.16,1173.8243333333332,13.10915490538326,1141.259387262469,1206.3892794041974,0.32606230333333336
