dataset,sample_size,comparison,delta_seed824,delta_seed825,delta_seed826,mean_delta,std_delta,ci95_lower,ci95_upper
NEU-DET,10,new_minus_full,-0.0655342525284418,-0.03252667247279831,-0.03643600437841536,-0.044832309793218485,0.018034648423144208,-0.08963286006099448,-3.175952544248739e-05
NEU-DET,10,new_minus_frozen,-0.08732430285245313,-0.05478938565710115,-0.02626831582134838,-0.056127334776967554,0.030549974942233934,-0.13201767962685254,0.01976301007291744
NEU-DET,10,new_minus_old_vpeft,-0.04946796855428034,-0.05073397104395705,-0.028220661700984487,-0.04280753376640729,0.012648451212133684,-0.0742280284188844,-0.011387039113930172
NEU-DET,50,new_minus_full,-0.10401255294687878,-0.09271253825045914,-0.06736529907533578,-0.08803013009089122,0.018766966023066215,-0.13464985812568037,-0.041410402056102066
NEU-DET,50,new_minus_frozen,-0.04835404822877867,-0.04926474732931155,-0.01897954267775595,-0.03886611274528206,0.017228293444241562,-0.08166356620083302,0.003931340710268905
NEU-DET,50,new_minus_old_vpeft,-0.0483465921169951,-0.09654542967522609,-0.06484306655530009,-0.06991169611584043,0.024495922920103906,-0.13076294202808827,-0.009060450203592578
NEU-DET,100,new_minus_full,-0.05284822207735418,-0.03344083396434594,-0.01677306028430786,-0.03435403877533599,0.018054910187224105,-0.07920492205537134,0.010496844504699357
NEU-DET,100,new_minus_frozen,-0.01370751351239663,0.0020968253373929713,0.026857529864360352,0.005082280563118898,0.020446647481143568,-0.045710007525564915,0.055874568651802715
NEU-DET,100,new_minus_old_vpeft,-0.05161133683723729,-0.017388168271781634,0.0038784124358280936,-0.02170703089106361,0.027995847894644814,-0.09125257242119232,0.04783851063906509
NEU-DET,500,new_minus_full,-0.024595114169232324,-0.034233036526755356,-0.030875648442941217,-0.029901266379642966,0.004892284961689026,-0.04205437595006074,-0.017748156809225188
NEU-DET,500,new_minus_frozen,-0.014878304373138251,-0.0037901115478812253,-0.0032641797225441693,-0.007310865214521216,0.006558868243512251,-0.023603997165244393,0.00898226673620196
NEU-DET,500,new_minus_old_vpeft,-0.01937923713857964,-0.018585317484562547,-0.0257692422482525,-0.02124459895713156,0.003938511747877989,-0.03102840451857493,-0.011460793395688194
DeepPCB,10,new_minus_full,-0.13258240440425262,-0.20451597422566675,-0.20268014143105026,-0.17992617335365654,0.04101118035686555,-0.281803593085372,-0.0780487536219411
DeepPCB,10,new_minus_frozen,-0.0902102366107883,-0.12047924716371694,-0.11990651692411139,-0.11019866689953887,0.017312856899946376,-0.15320618762444999,-0.06719114617462776
DeepPCB,10,new_minus_old_vpeft,-0.0741903740385149,-0.07755012378196721,-0.08618789902008611,-0.07930946561352274,0.006189233731331544,-0.09468437453293885,-0.06393455669410664
DeepPCB,50,new_minus_full,-0.3631020214597322,-0.35808225229585766,-0.36418749405138484,-0.3617905892689916,0.003257051583340556,-0.3698815539365883,-0.3536996246013949
DeepPCB,50,new_minus_frozen,-0.18571260942416673,-0.17374657816876674,-0.19462885206112357,-0.184696013218019,0.010478188851782422,-0.21072527729655252,-0.1586667491394855
DeepPCB,50,new_minus_old_vpeft,-0.1616158986008156,-0.15597341757683283,-0.1796464797069044,-0.16574526529485092,0.012364959345825337,-0.1964615271112305,-0.13502900347847135
DeepPCB,100,new_minus_full,-0.298190276887779,-0.2696183847341271,-0.2630509322860945,-0.27695319796933354,0.018682692489454058,-0.3233635789411664,-0.23054281699750068
DeepPCB,100,new_minus_frozen,-0.13906006770529772,-0.11115650843373553,-0.08790875614342825,-0.11270844409415383,0.025610945840507705,-0.17632956049254692,-0.04908732769576074
DeepPCB,100,new_minus_old_vpeft,-0.17518686581458176,-0.14226133209018083,-0.11743333286991825,-0.14496051025822695,0.028971223895181336,-0.21692902009451576,-0.07299200042193814
DeepPCB,500,new_minus_full,-0.11482597270944872,-0.09011608610638933,-0.07424581681050735,-0.0930626252087818,0.02044991033493894,-0.14386301867562692,-0.04226223174193666
DeepPCB,500,new_minus_frozen,-0.0027313084394778864,-0.0032619335650891923,0.035146746094476544,0.009717834696636488,0.02202368138880016,-0.044992022794913385,0.06442769218818636
DeepPCB,500,new_minus_old_vpeft,-0.0712818953622395,-0.04603089646947223,-0.02915110623081585,-0.04882129935417586,0.021203551811037297,-0.10149384203300651,0.0038512433246547934
