timestamp_utc,cpu_percent,rss_mib,gpu_index,gpu_memory_used_mib
2026-08-24T16:07:46.584080+00:00,97.90,515.22,0,4
2026-08-24T16:07:47.727228+00:00,23.60,555.22,0,4
2026-08-24T16:07:48.884319+00:00,76.60,779.83,0,396
2026-08-24T16:07:50.048207+00:00,95.60,896.24,0,488
2026-08-24T16:07:51.212126+00:00,100.40,949.96,0,488
2026-08-24T16:07:52.378026+00:00,99.80,950.05,0,488
2026-08-24T16:07:53.541736+00:00,99.80,958.81,0,504
2026-08-24T16:07:54.710020+00:00,100.90,1777.67,0,614
2026-08-24T16:07:55.876683+00:00,100.20,2135.34,0,692
2026-08-24T16:07:57.034841+00:00,100.30,2135.34,0,692
2026-08-24T16:07:58.207341+00:00,99.50,2162.63,0,712
2026-08-24T16:07:59.381459+00:00,100.00,2163.98,0,712
2026-08-24T16:08:00.553743+00:00,103.70,2200.52,0,712
2026-08-24T16:08:01.717529+00:00,99.70,2220.43,0,712
2026-08-24T16:08:02.885432+00:00,99.40,2220.42,0,712
