epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,4.00748,3.70181,4.9042,2.18421,0.00084,0.05018,0.00079,0.00023,3.23426,4.91835,2.06094,0.00012,0.00012,0.00012,6e-05,0.00024
2,7.0974,2.75984,4.54746,1.60976,0.00299,0.15053,0.03502,0.00951,2.14208,4.53483,1.39745,0.000249322,0.000249322,0.000249322,0.000124661,0.000498644
3,10.5207,2.21691,4.20126,1.35461,0.01238,0.3341,0.07006,0.02472,1.78378,4.39121,1.18769,0.00037589,0.00037589,0.00037589,0.000187945,0.000751779
4,13.763,2.09412,3.91369,1.27406,0.01434,0.54637,0.08403,0.02419,1.75462,4.20438,1.13291,0.000497644,0.000497644,0.000497644,0.000248822,0.000995288
5,17.0198,2.04047,3.58803,1.2043,0.435,0.0745,0.07999,0.03288,1.73813,3.93152,1.11789,0.000612611,0.000612611,0.000612611,0.000306306,0.00122522
6,20.3145,1.93686,3.37233,1.17191,0.29646,0.17417,0.11032,0.04127,1.79796,3.62845,1.17971,0.000718936,0.000718936,0.000718936,0.000359468,0.00143787
7,23.7806,1.85968,3.0562,1.17242,0.31731,0.25208,0.13928,0.06477,1.62244,3.32341,1.08684,0.000814917,0.000814917,0.000814917,0.000407459,0.00162983
8,27.0815,1.89908,2.94163,1.17924,0.24039,0.31512,0.18673,0.09392,1.60939,3.08568,1.09038,0.000872857,0.000872857,0.000872857,0.000436428,0.00174571
9,30.3762,1.74831,2.71439,1.13832,0.21638,0.32738,0.20561,0.10002,1.68369,2.98655,1.12624,0.00083622,0.00083622,0.00083622,0.00041811,0.00167244
10,33.688,1.81027,2.68459,1.15143,0.23712,0.3961,0.23236,0.12086,1.56719,2.81653,1.0892,0.000795954,0.000795954,0.000795954,0.000397977,0.00159191
11,37.1484,1.72045,2.54875,1.10429,0.30378,0.43689,0.29831,0.15543,1.51468,2.57965,1.101,0.0007525,0.0007525,0.0007525,0.00037625,0.001505
12,40.4505,1.72432,2.41212,1.13042,0.31032,0.40348,0.31489,0.16481,1.49404,2.50669,1.09603,0.000706335,0.000706335,0.000706335,0.000353167,0.00141267
13,43.7332,1.62906,2.38441,1.10208,0.29857,0.47437,0.34788,0.17644,1.46293,2.43248,1.09194,0.000657963,0.000657963,0.000657963,0.000328982,0.00131593
14,47.0293,1.6904,2.36977,1.11879,0.3308,0.48104,0.37207,0.19872,1.44969,2.36068,1.09605,0.000607916,0.000607916,0.000607916,0.000303958,0.00121583
15,50.367,1.59563,2.32272,1.126,0.36103,0.46478,0.38958,0.21595,1.45064,2.30752,1.0981,0.000556742,0.000556742,0.000556742,0.000278371,0.00111348
16,53.8049,1.62066,2.22735,1.07857,0.36112,0.42558,0.37439,0.18428,1.48244,2.36446,1.08647,0.000505,0.000505,0.000505,0.0002525,0.00101
17,57.1238,1.53685,2.22174,1.07599,0.36308,0.46477,0.39727,0.20373,1.44808,2.29399,1.07491,0.000453258,0.000453258,0.000453258,0.000226629,0.000906517
18,60.4181,1.51438,2.18148,1.05671,0.37884,0.48355,0.42537,0.2307,1.42556,2.19928,1.06874,0.000402084,0.000402084,0.000402084,0.000201042,0.000804167
19,63.6754,1.58877,2.11041,1.06751,0.39171,0.46285,0.42926,0.22801,1.42967,2.18646,1.06845,0.000352037,0.000352037,0.000352037,0.000176018,0.000704073
20,67.0767,1.56606,2.18127,1.06728,0.36326,0.50366,0.42099,0.22126,1.42099,2.19805,1.06436,0.000303665,0.000303665,0.000303665,0.000151833,0.000607331
21,70.2437,1.42139,2.074,1.06661,0.39398,0.50722,0.43607,0.23283,1.3989,2.17081,1.05981,0.0002575,0.0002575,0.0002575,0.00012875,0.000515
22,73.3921,1.41177,2.02405,1.04945,0.4383,0.53294,0.46734,0.26265,1.35978,2.10064,1.04897,0.000214046,0.000214046,0.000214046,0.000107023,0.000428093
23,76.5403,1.43603,2.04351,1.07865,0.46879,0.54404,0.48969,0.28796,1.33921,2.05624,1.04216,0.00017378,0.00017378,0.00017378,8.68902e-05,0.000347561
24,79.852,1.39251,1.94984,1.06433,0.48393,0.52825,0.49879,0.29441,1.3377,2.0415,1.04081,0.000137143,0.000137143,0.000137143,6.85717e-05,0.000274287
25,83.0421,1.41271,1.97121,1.06062,0.48501,0.5386,0.5007,0.29269,1.33833,2.04248,1.03889,0.000104537,0.000104537,0.000104537,5.22683e-05,0.000209073
26,86.2445,1.39666,1.95377,1.04451,0.48008,0.5469,0.5052,0.29156,1.3351,2.03871,1.03733,7.63174e-05,7.63174e-05,7.63174e-05,3.81587e-05,0.000152635
27,89.4738,1.36472,1.90225,1.03445,0.47827,0.55383,0.50946,0.29393,1.33184,2.03142,1.03694,5.2795e-05,5.2795e-05,5.2795e-05,2.63975e-05,0.00010559
28,92.8217,1.36673,1.90678,1.03331,0.48133,0.55369,0.51219,0.29558,1.3265,2.02219,1.03577,3.4227e-05,3.4227e-05,3.4227e-05,1.71135e-05,6.8454e-05
29,96.0068,1.34064,1.88376,1.05006,0.47699,0.56533,0.51335,0.29735,1.32461,2.01724,1.03627,2.08169e-05,2.08169e-05,2.08169e-05,1.04085e-05,4.16339e-05
30,99.1962,1.32971,1.92692,1.02972,0.47814,0.5634,0.51585,0.30065,1.321,2.0128,1.03574,1.27117e-05,1.27117e-05,1.27117e-05,6.35583e-06,2.54233e-05
