epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,3.8458,3.70181,4.9042,2.18421,0.00084,0.05018,0.00079,0.00023,3.23426,4.91835,2.06094,0.00012,0.00012,0.00012,6e-05,0.00024
2,6.93797,2.75891,4.54703,1.60911,0.00297,0.14906,0.03519,0.00982,2.14148,4.53527,1.39745,0.000249891,0.000249891,0.000249891,0.000124946,0.000499783
3,10.3628,2.2158,4.19883,1.35461,0.01151,0.31699,0.07243,0.02171,1.76411,4.40719,1.18693,0.00037934,0.00037934,0.00037934,0.00018967,0.000758681
4,13.6156,2.0869,3.9143,1.27429,0.01375,0.52611,0.08939,0.02759,1.74701,4.20982,1.13682,0.000508009,0.000508009,0.000508009,0.000254005,0.00101602
5,16.8704,2.0415,3.5714,1.20429,0.62832,0.08539,0.11098,0.04271,1.73325,3.86743,1.10871,0.000635564,0.000635564,0.000635564,0.000317782,0.00127113
6,20.17,1.92736,3.3402,1.16895,0.31156,0.19841,0.12303,0.04362,1.83743,3.60883,1.18436,0.000761671,0.000761671,0.000761671,0.000380835,0.00152334
7,23.565,1.87774,3.0309,1.17606,0.22122,0.26038,0.13895,0.06735,1.59629,3.30227,1.08619,0.000886004,0.000886004,0.000886004,0.000443002,0.00177201
8,26.8264,1.89155,2.90488,1.17574,0.2127,0.36361,0.18461,0.09345,1.62039,3.07261,1.10819,0.000978873,0.000978873,0.000978873,0.000489437,0.00195775
9,30.1099,1.73344,2.67948,1.13053,0.18653,0.38924,0.20119,0.10401,1.63682,2.95065,1.10535,0.000972466,0.000972466,0.000972466,0.000486233,0.00194493
10,33.3994,1.80114,2.63979,1.13521,0.24398,0.47724,0.24487,0.12846,1.53653,2.80849,1.08317,0.000965239,0.000965239,0.000965239,0.00048262,0.00193048
11,36.833,1.70999,2.49228,1.10197,0.2951,0.453,0.30492,0.1593,1.5134,2.55488,1.10049,0.000957205,0.000957205,0.000957205,0.000478603,0.00191441
12,40.1128,1.712,2.37814,1.12392,0.27784,0.47154,0.30469,0.14855,1.53354,2.57514,1.09054,0.000948377,0.000948377,0.000948377,0.000474189,0.00189675
13,43.3603,1.60917,2.35594,1.08853,0.31654,0.49724,0.3549,0.18646,1.46022,2.40185,1.10535,0.000938772,0.000938772,0.000938772,0.000469386,0.00187754
14,46.6482,1.69839,2.30669,1.13101,0.3744,0.46453,0.39396,0.20854,1.47307,2.31774,1.10688,0.000928405,0.000928405,0.000928405,0.000464203,0.00185681
15,49.9582,1.6015,2.25619,1.13133,0.38308,0.42033,0.38126,0.18696,1.50062,2.35752,1.11156,0.000917296,0.000917296,0.000917296,0.000458648,0.00183459
16,53.3688,1.58341,2.16131,1.0604,0.35471,0.46799,0.39804,0.1931,1.51297,2.32128,1.10047,0.000905463,0.000905463,0.000905463,0.000452732,0.00181093
17,56.6029,1.53055,2.07245,1.07496,0.40171,0.5124,0.45696,0.24599,1.42739,2.1445,1.09038,0.000892928,0.000892928,0.000892928,0.000446464,0.00178586
18,59.869,1.59966,2.07907,1.08648,0.39002,0.50886,0.44221,0.21525,1.53189,2.21049,1.09876,0.000879713,0.000879713,0.000879713,0.000439856,0.00175943
19,63.0773,1.57264,2.02023,1.05831,0.43081,0.48762,0.45565,0.22755,1.50583,2.15869,1.09599,0.000865839,0.000865839,0.000865839,0.00043292,0.00173168
20,66.4386,1.57502,2.08218,1.07257,0.47669,0.53674,0.49858,0.2691,1.4203,2.08151,1.08513,0.000851333,0.000851333,0.000851333,0.000425667,0.00170267
21,69.6409,1.50093,1.98043,1.06961,0.45944,0.49371,0.46875,0.21829,1.51492,2.18486,1.09504,0.00083622,0.00083622,0.00083622,0.00041811,0.00167244
22,72.8501,1.47171,1.93695,1.0407,0.54904,0.53414,0.54316,0.29755,1.41447,1.99953,1.07878,0.000820525,0.000820525,0.000820525,0.000410262,0.00164105
23,76.0748,1.54839,1.87627,1.06926,0.52832,0.57559,0.54208,0.28597,1.44637,2.00908,1.08775,0.000804277,0.000804277,0.000804277,0.000402138,0.00160855
