epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,4.32329,3.6333,4.89734,2.15136,0.00054,0.0184,2e-05,1e-05,3.20435,4.84515,1.92207,0.00012,0.00012,0.00012,6e-05,0.00024
2,7.86726,2.50024,4.46928,1.4983,0.0067,0.13289,0.00272,0.00072,1.91851,4.40242,1.21376,0.000249939,0.000249939,0.000249939,0.000124969,0.000499878
3,11.6776,2.06738,4.08525,1.30194,0.01569,0.29613,0.01285,0.00338,1.71567,4.32869,1.12034,0.000379629,0.000379629,0.000379629,0.000189814,0.000759258
4,15.2943,1.9427,3.72801,1.19588,0.01575,0.42775,0.03459,0.01472,1.59378,4.14103,1.05784,0.00050888,0.00050888,0.00050888,0.00025444,0.00101776
5,18.8932,1.89999,3.33675,1.14686,0.27149,0.14695,0.06492,0.02281,1.57879,3.96269,1.11597,0.000637502,0.000637502,0.000637502,0.000318751,0.001275
6,22.6534,1.87379,3.06117,1.17901,0.60485,0.05175,0.09362,0.03479,1.79404,3.87185,1.13862,0.000765307,0.000765307,0.000765307,0.000382654,0.00153061
7,26.2217,1.84121,2.9236,1.13597,0.44172,0.1116,0.13738,0.06035,1.60006,3.43088,1.09405,0.000892109,0.000892109,0.000892109,0.000446054,0.00178422
8,29.8751,1.81992,2.80145,1.1538,0.14875,0.29992,0.1588,0.07003,1.63825,3.13916,1.13886,0.000988079,0.000988079,0.000988079,0.000494039,0.00197616
9,33.5034,1.70703,2.50622,1.14002,0.32006,0.41875,0.2548,0.12622,1.59968,2.84965,1.13931,0.000984449,0.000984449,0.000984449,0.000492224,0.0019689
10,37.3289,1.6968,2.43156,1.13451,0.37398,0.52551,0.35184,0.18565,1.62859,2.65522,1.17892,0.000980345,0.000980345,0.000980345,0.000490173,0.00196069
11,40.9226,1.64359,2.25772,1.13464,0.32931,0.48588,0.30476,0.14511,1.56318,2.66242,1.10913,0.000975773,0.000975773,0.000975773,0.000487886,0.00195155
12,44.4578,1.57296,2.19012,1.09125,0.24166,0.28897,0.19371,0.07717,1.90873,2.84113,1.21844,0.000970736,0.000970736,0.000970736,0.000485368,0.00194147
13,48.1303,1.51074,2.13719,1.09745,0.3254,0.42581,0.28451,0.10406,1.93045,2.56016,1.27426,0.000965239,0.000965239,0.000965239,0.00048262,0.00193048
14,51.643,1.61991,2.06879,1.11777,0.12892,0.1284,0.05956,0.01271,2.58266,3.33838,1.52186,0.000959289,0.000959289,0.000959289,0.000479644,0.00191858
15,55.2277,1.60982,2.12067,1.14803,0.26797,0.30921,0.20288,0.05767,2.43857,2.96435,1.49032,0.000952889,0.000952889,0.000952889,0.000476445,0.00190578
16,58.7788,1.66065,2.08925,1.11492,0.06954,0.06713,0.02267,0.00583,3.08798,3.84359,1.77923,0.000946048,0.000946048,0.000946048,0.000473024,0.0018921
17,62.559,1.58216,2.07483,1.11333,0.38661,0.42103,0.33093,0.08859,2.27064,2.98525,1.45408,0.000938772,0.000938772,0.000938772,0.000469386,0.00187754
18,66.1959,1.49676,1.91301,1.06743,0.47323,0.49265,0.43052,0.15346,1.98318,2.43508,1.30514,0.000931067,0.000931067,0.000931067,0.000465534,0.00186213
19,69.8374,1.52386,1.90171,1.05954,0.23369,0.18161,0.12072,0.02688,2.61411,3.04821,1.53716,0.000922942,0.000922942,0.000922942,0.000461471,0.00184588
20,73.5208,1.48651,1.95186,1.06509,0.32854,0.34341,0.24772,0.06541,2.2905,2.88197,1.39716,0.000914405,0.000914405,0.000914405,0.000457202,0.00182881
21,77.2599,1.42038,1.82332,1.04836,0.51714,0.51932,0.48025,0.16413,2.02377,2.25123,1.3126,0.000905463,0.000905463,0.000905463,0.000452732,0.00181093
22,80.797,1.39041,1.7525,1.04135,0.59042,0.64728,0.62959,0.30562,1.54661,1.83251,1.14262,0.000896127,0.000896127,0.000896127,0.000448063,0.00179225
23,84.377,1.44798,1.69534,1.05597,0.61357,0.58601,0.62674,0.28919,1.55393,1.85894,1.13378,0.000886404,0.000886404,0.000886404,0.000443202,0.00177281
24,88.124,1.38392,1.71685,1.07492,0.65928,0.66127,0.70116,0.41331,1.32753,1.63877,1.07234,0.000876305,0.000876305,0.000876305,0.000438152,0.00175261
25,91.7006,1.56804,1.6471,1.09242,0.64053,0.60301,0.61953,0.23554,1.82914,1.88726,1.22099,0.000865839,0.000865839,0.000865839,0.00043292,0.00173168
26,95.2148,1.48263,1.65386,1.05919,0.67713,0.59611,0.65721,0.30048,1.58072,1.77906,1.12384,0.000855018,0.000855018,0.000855018,0.000427509,0.00171004
27,98.9232,1.42053,1.62511,1.07265,0.64913,0.66193,0.70776,0.43601,1.21505,1.57769,1.03759,0.000843851,0.000843851,0.000843851,0.000421925,0.0016877
28,102.443,1.40937,1.60223,1.06147,0.7234,0.64928,0.7316,0.40194,1.43803,1.59968,1.09904,0.000832349,0.000832349,0.000832349,0.000416175,0.0016647
29,105.948,1.3992,1.56232,1.05173,0.68281,0.66413,0.73742,0.40053,1.39206,1.60679,1.08944,0.000820525,0.000820525,0.000820525,0.000410262,0.00164105
