epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,4.18737,3.6333,4.89734,2.15136,0.00054,0.0184,2e-05,1e-05,3.20435,4.84515,1.92207,0.00012,0.00012,0.00012,6e-05,0.00024
2,7.61969,2.50044,4.47015,1.5003,0.00763,0.14423,0.00308,0.00079,1.91877,4.39921,1.21025,0.000249322,0.000249322,0.000249322,0.000124661,0.000498644
3,11.2296,2.07728,4.09476,1.30995,0.01498,0.2936,0.01191,0.00297,1.7168,4.3333,1.119,0.00037589,0.00037589,0.00037589,0.000187945,0.000751779
4,14.6949,1.94404,3.72501,1.19808,0.01692,0.49853,0.04458,0.01217,1.65983,4.15699,1.06301,0.000497644,0.000497644,0.000497644,0.000248822,0.000995288
5,18.2019,1.94052,3.35622,1.15598,0.01734,0.67447,0.08885,0.03167,1.5766,3.91573,1.06809,0.000612611,0.000612611,0.000612611,0.000306306,0.00122522
6,21.7328,1.84091,3.09197,1.16406,0.09441,0.08133,0.09251,0.03736,1.6483,3.79629,1.08378,0.000718936,0.000718936,0.000718936,0.000359468,0.00143787
7,25.209,1.78422,2.95559,1.12348,0.36012,0.11548,0.13617,0.05968,1.56725,3.48386,1.07401,0.000814917,0.000814917,0.000814917,0.000407459,0.00162983
8,28.6911,1.81081,2.8067,1.15445,0.17929,0.22513,0.18187,0.07995,1.62431,3.20229,1.09581,0.000872857,0.000872857,0.000872857,0.000436428,0.00174571
9,32.2151,1.72481,2.59099,1.13582,0.29969,0.25595,0.20365,0.08967,1.55892,3.0539,1.06298,0.00083622,0.00083622,0.00083622,0.00041811,0.00167244
10,35.7295,1.70764,2.51617,1.12558,0.34834,0.46246,0.29949,0.13839,1.53227,2.74315,1.07085,0.000795954,0.000795954,0.000795954,0.000397977,0.00159191
11,39.3086,1.65353,2.30873,1.12604,0.28973,0.42413,0.23623,0.09031,1.65377,2.81378,1.11839,0.0007525,0.0007525,0.0007525,0.00037625,0.001505
12,42.8321,1.58569,2.2309,1.09406,0.25186,0.36667,0.19962,0.06321,1.78456,2.88929,1.15652,0.000706335,0.000706335,0.000706335,0.000353167,0.00141267
13,46.3128,1.53426,2.15828,1.08858,0.40185,0.51944,0.41389,0.19664,1.57384,2.31585,1.12751,0.000657963,0.000657963,0.000657963,0.000328982,0.00131593
14,49.873,1.69337,2.12312,1.12406,0.36538,0.38925,0.31782,0.10494,1.98533,2.60359,1.25899,0.000607916,0.000607916,0.000607916,0.000303958,0.00121583
15,53.4121,1.50356,2.09982,1.10181,0.37868,0.44583,0.37369,0.14391,1.81331,2.44678,1.19431,0.000556742,0.000556742,0.000556742,0.000278371,0.00111348
16,56.9276,1.49115,1.99792,1.05136,0.40745,0.44869,0.39228,0.14096,1.81518,2.41226,1.18629,0.000505,0.000505,0.000505,0.0002525,0.00101
17,60.4252,1.37949,1.90681,1.0492,0.48119,0.54442,0.50234,0.26884,1.43769,2.02778,1.08233,0.000453258,0.000453258,0.000453258,0.000226629,0.000906517
18,63.9199,1.50703,1.89921,1.06666,0.46652,0.58092,0.51531,0.27044,1.43584,1.98415,1.08197,0.000402084,0.000402084,0.000402084,0.000201042,0.000804167
19,67.4503,1.48565,1.88517,1.03997,0.44853,0.52741,0.4621,0.17518,1.72552,2.1516,1.16018,0.000352037,0.000352037,0.000352037,0.000176018,0.000704073
20,70.9555,1.46684,1.93216,1.05095,0.4798,0.55113,0.49889,0.19652,1.63828,2.09856,1.12692,0.000303665,0.000303665,0.000303665,0.000151833,0.000607331
21,74.3649,1.40124,1.94713,1.08139,0.51641,0.60244,0.57192,0.306,1.35345,1.89836,1.05137,0.0002575,0.0002575,0.0002575,0.00012875,0.000515
22,77.8232,1.33207,1.78734,1.04114,0.52924,0.60464,0.58218,0.3521,1.28132,1.84933,1.04406,0.000214046,0.000214046,0.000214046,0.000107023,0.000428093
23,81.2373,1.34854,1.82813,1.06289,0.54598,0.6181,0.58232,0.34426,1.30621,1.87479,1.04792,0.00017378,0.00017378,0.00017378,8.68902e-05,0.000347561
24,84.6724,1.3075,1.79797,1.05822,0.55952,0.61793,0.58931,0.33298,1.34145,1.87878,1.05315,0.000137143,0.000137143,0.000137143,6.85717e-05,0.000274287
25,88.1451,1.32285,1.74421,1.03791,0.57903,0.61821,0.60896,0.34931,1.31182,1.83583,1.04357,0.000104537,0.000104537,0.000104537,5.22683e-05,0.000209073
26,91.5825,1.27316,1.69566,1.02812,0.58641,0.6282,0.62691,0.37835,1.25818,1.78084,1.02905,7.63174e-05,7.63174e-05,7.63174e-05,3.81587e-05,0.000152635
27,94.9901,1.23277,1.62616,1.0262,0.59408,0.63523,0.63683,0.39768,1.22463,1.74344,1.0226,5.2795e-05,5.2795e-05,5.2795e-05,2.63975e-05,0.00010559
28,98.4041,1.20364,1.64731,1.01885,0.59523,0.63822,0.64025,0.40741,1.21122,1.71981,1.02125,3.4227e-05,3.4227e-05,3.4227e-05,1.71135e-05,6.8454e-05
29,101.829,1.15056,1.59904,1.02175,0.59821,0.63365,0.64056,0.40737,1.21232,1.71909,1.02209,2.08169e-05,2.08169e-05,2.08169e-05,1.04085e-05,4.16339e-05
30,105.247,1.19261,1.66834,1.01586,0.59767,0.63462,0.64136,0.41067,1.20619,1.71092,1.02151,1.27117e-05,1.27117e-05,1.27117e-05,6.35583e-06,2.54233e-05
