epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,4.8876,3.68898,4.92113,2.22008,0.00029,0.00611,3e-05,1e-05,3.48735,5.02897,2.28678,0.00012,0.00012,0.00012,6e-05,0.00012,0.000108
2,8.92264,3.22181,4.78337,1.94603,0.0006,0.00784,4e-05,2e-05,2.84364,4.8475,1.90271,0.000249939,0.000249939,0.000249939,0.000124969,0.000249939,0.000224945
3,13.3468,2.57906,4.58676,1.63322,0.00055,0.00803,3e-05,2e-05,2.14861,4.64273,1.49247,0.000379629,0.000379629,0.000379629,0.000189814,0.000379629,0.000341666
4,17.5141,2.2302,4.30735,1.45981,0.00017,0.00862,1e-05,0,1.69288,4.52488,1.26424,0.00050888,0.00050888,0.00050888,0.00025444,0.00050888,0.000457992
5,21.7619,2.06567,3.9866,1.3642,0.00052,0.00812,1e-05,0,1.67999,4.39213,1.26141,0.000637502,0.000637502,0.000637502,0.000318751,0.000637502,0.000573752
6,25.7493,2.12083,3.78204,1.37581,0.00861,0.21762,0.02578,0.00847,1.75271,4.11288,1.26263,0.000765307,0.000765307,0.000765307,0.000382654,0.000765307,0.000688777
7,29.735,1.97491,3.53814,1.30887,0.01733,0.58263,0.06826,0.02741,1.6556,3.79894,1.19321,0.000892109,0.000892109,0.000892109,0.000446054,0.000892109,0.000802898
8,34.0632,1.93446,3.33653,1.27134,0.1746,0.13979,0.12735,0.0647,1.58102,3.31864,1.1687,0.000988079,0.000988079,0.000988079,0.000494039,0.000988079,0.000889271
9,38.5383,1.92198,3.03499,1.26837,0.15616,0.27587,0.13598,0.06536,1.65388,3.14396,1.17533,0.000984449,0.000984449,0.000984449,0.000492224,0.000984449,0.000886004
10,42.7454,1.81982,2.97102,1.24138,0.15664,0.29743,0.14583,0.07144,1.65452,3.04795,1.16665,0.000980345,0.000980345,0.000980345,0.000490173,0.000980345,0.000882311
11,47.2777,1.78646,2.87997,1.21547,0.1956,0.36322,0.16779,0.09105,1.56087,2.88207,1.14396,0.000975773,0.000975773,0.000975773,0.000487886,0.000975773,0.000878196
12,51.6063,1.81766,2.66647,1.2108,0.17305,0.29146,0.13524,0.05783,1.74136,3.04827,1.193,0.000970736,0.000970736,0.000970736,0.000485368,0.000970736,0.000873662
13,56.1394,1.70767,2.61863,1.16638,0.19787,0.30433,0.16977,0.06637,1.78104,3.00437,1.22726,0.000965239,0.000965239,0.000965239,0.00048262,0.000965239,0.000868715
14,60.467,1.74268,2.57142,1.20255,0.27862,0.36812,0.26403,0.11752,1.63696,2.81406,1.19193,0.000959289,0.000959289,0.000959289,0.000479644,0.000959289,0.00086336
15,65.0083,1.67544,2.48046,1.16188,0.2005,0.29266,0.1691,0.04827,2.00048,3.16539,1.31168,0.000952889,0.000952889,0.000952889,0.000476445,0.000952889,0.0008576
16,69.2104,1.66093,2.4138,1.1377,0.26549,0.37667,0.2539,0.09414,1.85677,2.82453,1.26317,0.000946048,0.000946048,0.000946048,0.000473024,0.000946048,0.000851443
17,73.4004,1.62252,2.32087,1.13769,0.31747,0.4711,0.33295,0.16474,1.63677,2.56835,1.20501,0.000938772,0.000938772,0.000938772,0.000469386,0.000938772,0.000844895
18,77.7966,1.76667,2.26375,1.16583,0.26629,0.36468,0.23855,0.085,1.96515,2.88684,1.29733,0.000931067,0.000931067,0.000931067,0.000465534,0.000931067,0.000837961
19,82.1787,1.64975,2.33335,1.16646,0.28378,0.32847,0.24006,0.08205,1.90921,2.91818,1.26095,0.000922942,0.000922942,0.000922942,0.000461471,0.000922942,0.000830648
20,86.52,1.56644,2.22069,1.11704,0.35543,0.47119,0.3935,0.18461,1.56434,2.41609,1.15361,0.000914405,0.000914405,0.000914405,0.000457202,0.000914405,0.000822964
21,90.8851,1.53049,2.15953,1.10808,0.4194,0.46844,0.4242,0.20256,1.59699,2.29876,1.16762,0.000905463,0.000905463,0.000905463,0.000452732,0.000905463,0.000814917
22,94.931,1.62503,2.15804,1.13694,0.4141,0.47272,0.40784,0.16076,1.71345,2.36491,1.19382,0.000896127,0.000896127,0.000896127,0.000448063,0.000896127,0.000806514
23,99.2301,1.56724,2.08741,1.09849,0.46327,0.5108,0.44817,0.20299,1.55541,2.22875,1.14047,0.000886404,0.000886404,0.000886404,0.000443202,0.000886404,0.000797764
24,103.226,1.57071,2.1023,1.11523,0.46087,0.54871,0.48193,0.27512,1.42872,1.99829,1.12263,0.000876305,0.000876305,0.000876305,0.000438152,0.000876305,0.000788674
25,107.444,1.50736,2.01193,1.10873,0.50919,0.57132,0.51935,0.31384,1.33989,1.92257,1.08983,0.000865839,0.000865839,0.000865839,0.00043292,0.000865839,0.000779256
26,111.423,1.48046,1.95355,1.08862,0.52555,0.56624,0.53052,0.29456,1.3981,1.95007,1.09963,0.000855018,0.000855018,0.000855018,0.000427509,0.000855018,0.000769516
27,115.581,1.51992,1.99804,1.11473,0.53106,0.5823,0.5453,0.31749,1.40307,1.89214,1.11651,0.000843851,0.000843851,0.000843851,0.000421925,0.000843851,0.000759466
28,119.651,1.51072,1.95113,1.11217,0.56328,0.56334,0.55869,0.31462,1.43726,1.88302,1.11882,0.000832349,0.000832349,0.000832349,0.000416175,0.000832349,0.000749114
29,123.951,1.49806,1.86869,1.09034,0.56258,0.55074,0.55941,0.28144,1.52515,1.90315,1.13404,0.000820525,0.000820525,0.000820525,0.000410262,0.000820525,0.000738472
