epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,4.11745,1.95788,3.84718,1.9347,0.00893,0.40472,0.01921,0.00662,2.21492,4.32702,2.27695,0.00012,0.00012,0.00012,6e-05,0.00024
2,7.49373,1.6772,3.69392,1.747,0.00807,0.5216,0.12048,0.04897,2.11603,4.35282,2.36825,0.000249322,0.000249322,0.000249322,0.000124661,0.000498644
3,10.8923,1.74635,3.5857,1.82909,0.00569,0.55606,0.12644,0.05166,2.15929,4.34961,2.42741,0.00037589,0.00037589,0.00037589,0.000187945,0.000751779
4,14.2474,1.70358,3.39621,1.80115,0.00537,0.59743,0.09781,0.04026,2.21462,4.2865,2.40369,0.000497644,0.000497644,0.000497644,0.000248822,0.000995288
5,17.6809,1.62772,3.23505,1.71078,0.72634,0.06678,0.16207,0.06669,1.98803,3.9048,2.10448,0.000612611,0.000612611,0.000612611,0.000306306,0.00122522
6,21.1589,1.75917,3.07759,1.80702,0.1014,0.0812,0.03763,0.00996,2.52923,6.99684,2.8631,0.000718936,0.000718936,0.000718936,0.000359468,0.00143787
7,24.4647,1.75949,2.90194,1.79009,0.2561,0.10754,0.05919,0.01557,2.52031,4.11008,2.70861,0.000814917,0.000814917,0.000814917,0.000407459,0.00162983
8,27.8183,1.72795,2.81092,1.79291,0.12799,0.15632,0.11434,0.04331,2.32017,3.82279,2.46941,0.000872857,0.000872857,0.000872857,0.000436428,0.00174571
9,31.1643,1.74972,2.66925,1.77515,0.23287,0.29498,0.20917,0.08083,2.20349,3.5368,2.34332,0.00083622,0.00083622,0.00083622,0.00041811,0.00167244
10,34.5626,1.69685,2.59302,1.76267,0.22846,0.37363,0.21776,0.08694,2.17901,3.74704,2.31294,0.000795954,0.000795954,0.000795954,0.000397977,0.00159191
11,37.9442,1.69161,2.48371,1.72894,0.1416,0.41841,0.1683,0.06259,2.17283,3.91717,2.2981,0.0007525,0.0007525,0.0007525,0.00037625,0.001505
12,41.2829,1.70329,2.50339,1.76819,0.22994,0.32698,0.21579,0.08062,2.28148,3.71915,2.36742,0.000706335,0.000706335,0.000706335,0.000353167,0.00141267
13,44.6416,1.68485,2.4627,1.74561,0.43849,0.31202,0.25471,0.10522,2.19007,3.49448,2.32106,0.000657963,0.000657963,0.000657963,0.000328982,0.00131593
14,47.9909,1.60103,2.31767,1.66538,0.44875,0.29959,0.23215,0.09158,2.2006,3.35463,2.27535,0.000607916,0.000607916,0.000607916,0.000303958,0.00121583
15,51.3642,1.68137,2.5201,1.80718,0.30718,0.40957,0.25104,0.10303,2.15971,3.27422,2.18676,0.000556742,0.000556742,0.000556742,0.000278371,0.00111348
16,54.742,1.56309,2.38981,1.68998,0.3715,0.33879,0.26146,0.11012,2.02424,3.31851,2.09946,0.000505,0.000505,0.000505,0.0002525,0.00101
17,58.1901,1.5691,2.25201,1.68942,0.43659,0.42126,0.33522,0.14396,2.05561,3.57996,2.15042,0.000453258,0.000453258,0.000453258,0.000226629,0.000906517
18,61.5926,1.56272,2.29909,1.66657,0.50986,0.44361,0.38075,0.17225,2.00991,3.35885,2.12115,0.000402084,0.000402084,0.000402084,0.000201042,0.000804167
19,64.9896,1.55539,2.15915,1.6746,0.52189,0.46933,0.40662,0.17751,1.9601,2.95279,2.08531,0.000352037,0.000352037,0.000352037,0.000176018,0.000704073
20,68.361,1.5323,2.13782,1.65019,0.58936,0.45567,0.41914,0.18484,1.91269,2.82996,2.0234,0.000303665,0.000303665,0.000303665,0.000151833,0.000607331
21,71.6387,1.66656,2.71722,1.76379,0.55875,0.46593,0.41021,0.18638,1.95717,3.09491,2.04875,0.0002575,0.0002575,0.0002575,0.00012875,0.000515
22,74.8878,1.63112,2.53976,1.80713,0.38928,0.51241,0.41784,0.18476,1.97091,3.16324,2.0646,0.000214046,0.000214046,0.000214046,0.000107023,0.000428093
23,78.1044,1.70645,2.51227,1.84744,0.42472,0.52514,0.43019,0.18882,1.94989,3.10363,2.05909,0.00017378,0.00017378,0.00017378,8.68902e-05,0.000347561
24,81.3463,1.58433,2.5155,1.77453,0.44587,0.50817,0.45368,0.2028,1.90389,3.00005,2.02649,0.000137143,0.000137143,0.000137143,6.85717e-05,0.000274287
25,84.5751,1.56943,2.3977,1.71257,0.43419,0.53687,0.48754,0.22788,1.83814,2.90161,1.96895,0.000104537,0.000104537,0.000104537,5.22683e-05,0.000209073
26,87.801,1.51683,2.38832,1.6847,0.70583,0.44606,0.49895,0.24004,1.81604,2.84714,1.94996,7.63174e-05,7.63174e-05,7.63174e-05,3.81587e-05,0.000152635
27,91.0848,1.53021,2.326,1.71778,0.67107,0.48935,0.50564,0.24508,1.79371,2.81012,1.92457,5.2795e-05,5.2795e-05,5.2795e-05,2.63975e-05,0.00010559
28,94.2905,1.50126,2.25401,1.65838,0.65354,0.48266,0.51112,0.24522,1.79364,2.76039,1.91859,3.4227e-05,3.4227e-05,3.4227e-05,1.71135e-05,6.8454e-05
29,97.4624,1.49326,2.40586,1.67331,0.64844,0.48611,0.51227,0.24395,1.78988,2.80702,1.91954,2.08169e-05,2.08169e-05,2.08169e-05,1.04085e-05,4.16339e-05
30,100.622,1.46424,2.30986,1.64222,0.63942,0.49351,0.51248,0.24575,1.78338,2.80622,1.91212,1.27117e-05,1.27117e-05,1.27117e-05,6.35583e-06,2.54233e-05
