epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,4.55358,2.00646,3.89015,1.98797,0.00665,0.37397,0.00539,0.00152,2.34562,4.38825,2.32357,0.00012,0.00012,0.00012,6e-05,0.00012,0.000108
2,8.15568,1.82552,3.84721,1.93013,0.00426,0.35253,0.00572,0.00198,2.53063,4.54254,2.47595,0.000249322,0.000249322,0.000249322,0.000124661,0.000249322,0.00022439
3,11.9426,1.9499,3.81685,2.0241,0.00353,0.34923,0.03153,0.01161,2.51646,4.4862,2.454,0.00037589,0.00037589,0.00037589,0.000187945,0.00037589,0.000338301
4,15.6203,1.87028,3.78724,2.00489,0.00476,0.37458,0.03112,0.01309,2.56361,4.46047,2.45123,0.000497644,0.000497644,0.000497644,0.000248822,0.000497644,0.00044788
5,19.3983,1.69548,3.6576,1.78325,0.00541,0.4237,0.03979,0.01674,2.55301,4.43656,2.4109,0.000612611,0.000612611,0.000612611,0.000306306,0.000612611,0.00055135
6,23.0565,1.76792,3.53886,1.8527,0.00649,0.5515,0.06932,0.02945,2.50289,4.36842,2.34634,0.000718936,0.000718936,0.000718936,0.000359468,0.000718936,0.000647042
7,26.9514,1.65359,3.43201,1.78749,0.00663,0.65044,0.09362,0.03937,2.5025,4.18466,2.35932,0.000814917,0.000814917,0.000814917,0.000407459,0.000814917,0.000733425
8,30.5547,1.66387,3.34661,1.78737,0.63988,0.06088,0.11586,0.0509,2.28072,3.9207,2.22967,0.000872857,0.000872857,0.000872857,0.000436428,0.000872857,0.000785571
9,34.3446,1.55971,3.14609,1.70547,0.18657,0.11109,0.09678,0.03691,2.24589,3.89116,2.24663,0.00083622,0.00083622,0.00083622,0.00041811,0.00083622,0.000752598
10,37.9511,1.62197,3.05736,1.78037,0.3002,0.09729,0.09824,0.03921,2.25963,3.83064,2.23459,0.000795954,0.000795954,0.000795954,0.000397977,0.000795954,0.000716358
11,41.5848,1.58779,3.00748,1.73854,0.13641,0.20846,0.12367,0.04848,2.14343,3.66245,2.12357,0.0007525,0.0007525,0.0007525,0.00037625,0.0007525,0.00067725
12,45.3341,1.62169,2.91949,1.75507,0.20172,0.24771,0.16889,0.0703,2.05128,3.64228,2.07785,0.000706335,0.000706335,0.000706335,0.000353167,0.000706335,0.000635701
13,49.1012,1.53882,2.78078,1.6797,0.22492,0.28812,0.20665,0.09294,2.01757,3.69058,2.09118,0.000657963,0.000657963,0.000657963,0.000328982,0.000657963,0.000592167
14,52.8018,1.58538,2.70313,1.7006,0.28925,0.28785,0.25702,0.11128,1.92864,3.52058,2.04221,0.000607916,0.000607916,0.000607916,0.000303958,0.000607916,0.000547125
15,56.6581,1.59867,2.90071,1.7695,0.27759,0.3391,0.2844,0.12326,1.86944,3.4486,2.00493,0.000556742,0.000556742,0.000556742,0.000278371,0.000556742,0.000501067
16,60.2886,1.58242,2.65093,1.72723,0.3283,0.31466,0.29106,0.12952,1.84799,3.32252,1.98511,0.000505,0.000505,0.000505,0.0002525,0.000505,0.0004545
17,64.0462,1.52976,2.63918,1.70527,0.42989,0.31446,0.31526,0.13653,1.86028,3.21627,2.00811,0.000453258,0.000453258,0.000453258,0.000226629,0.000453258,0.000407933
18,67.6596,1.50986,2.60461,1.65254,0.49006,0.30903,0.33156,0.13881,1.84643,3.1574,1.99141,0.000402084,0.000402084,0.000402084,0.000201042,0.000402084,0.000361875
19,71.4897,1.50314,2.50468,1.67555,0.32652,0.3772,0.33922,0.14568,1.81824,3.11657,1.95922,0.000352037,0.000352037,0.000352037,0.000176018,0.000352037,0.000316833
20,75.1528,1.54939,2.53051,1.70056,0.34438,0.39574,0.35027,0.15073,1.81942,3.09004,1.94546,0.000303665,0.000303665,0.000303665,0.000151833,0.000303665,0.000273299
