epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,3.75224,1.88405,3.83568,1.85049,0.01094,0.57229,0.02901,0.00894,2.0635,4.2125,2.08961,0.00012,0.00012,0.00012,6e-05,0.00024
2,6.74505,1.55085,3.64615,1.69605,0.0082,0.75183,0.13071,0.04978,1.93488,4.15816,2.06138,0.000249756,0.000249756,0.000249756,0.000124878,0.000499512
3,9.99118,1.69891,3.57017,1.8033,0.00779,0.85416,0.12846,0.04898,1.96435,4.13249,2.08532,0.000378517,0.000378517,0.000378517,0.000189258,0.000757034
4,13.0427,1.62753,3.40698,1.78026,0.00867,0.81793,0.11874,0.03835,2.25201,4.09278,2.30141,0.000505528,0.000505528,0.000505528,0.000252764,0.00101106
5,16.0973,1.65576,3.23761,1.75682,0.78485,0.03698,0.17894,0.06102,2.23924,3.84952,2.42547,0.000630047,0.000630047,0.000630047,0.000315024,0.00126009
6,19.2138,1.72567,3.18101,1.84001,0.43751,0.16813,0.12121,0.04284,2.29312,3.71912,2.546,0.000751345,0.000751345,0.000751345,0.000375673,0.00150269
7,22.343,1.64531,2.8731,1.77214,0.13619,0.29765,0.1367,0.0425,2.30876,3.68367,2.50551,0.000868715,0.000868715,0.000868715,0.000434358,0.00173743
8,25.3767,1.72097,2.88499,1.82416,0.23635,0.30819,0.1823,0.06291,2.21337,4.27485,2.40748,0.000952889,0.000952889,0.000952889,0.000476445,0.00190578
9,28.4003,1.62097,2.6518,1.74456,0.23882,0.37826,0.22042,0.08546,2.14418,4.84276,2.40268,0.000938772,0.000938772,0.000938772,0.000469386,0.00187754
10,31.4602,1.70118,2.59659,1.82989,0.28975,0.47244,0.2827,0.11386,2.06119,5.29715,2.29478,0.000922942,0.000922942,0.000922942,0.000461471,0.00184588
11,34.5375,1.69529,2.51611,1.784,0.29568,0.40413,0.27766,0.10152,2.0239,5.94766,2.24494,0.000905463,0.000905463,0.000905463,0.000452732,0.00181093
12,37.6776,1.67062,2.59813,1.76729,0.25521,0.46898,0.26771,0.09501,2.06455,4.71228,2.2085,0.000886404,0.000886404,0.000886404,0.000443202,0.00177281
13,40.7352,1.59238,2.45677,1.71726,0.26006,0.51536,0.29492,0.10563,2.19156,5.2987,2.34454,0.000865839,0.000865839,0.000865839,0.00043292,0.00173168
14,43.8217,1.63111,2.2759,1.69822,0.33219,0.44636,0.31447,0.12982,2.02568,5.44341,2.25158,0.000843851,0.000843851,0.000843851,0.000421925,0.0016877
15,46.8763,1.63086,2.47644,1.76124,0.27064,0.46856,0.26429,0.11012,2.00783,6.39275,2.25029,0.000820525,0.000820525,0.000820525,0.000410262,0.00164105
16,50.0662,1.54876,2.27916,1.70575,0.28624,0.43439,0.2996,0.13014,1.97667,4.8606,2.25921,0.000795954,0.000795954,0.000795954,0.000397977,0.00159191
17,53.0715,1.55831,2.26002,1.7055,0.4494,0.44604,0.35055,0.14947,2.01008,4.35799,2.32063,0.000770234,0.000770234,0.000770234,0.000385117,0.00154047
18,56.0664,1.51784,2.26179,1.62565,0.45289,0.49248,0.3509,0.1424,2.03548,4.01957,2.28584,0.000743468,0.000743468,0.000743468,0.000371734,0.00148694
19,59.125,1.59383,2.2427,1.70142,0.47379,0.47587,0.37281,0.145,2.02967,3.55396,2.17421,0.000715761,0.000715761,0.000715761,0.00035788,0.00143152
20,62.3282,1.57269,2.18313,1.67107,0.48813,0.46155,0.39209,0.15748,2.01575,3.24434,2.10804,0.000687222,0.000687222,0.000687222,0.000343611,0.00137444
21,65.3828,1.50186,2.13078,1.61375,0.35286,0.4695,0.34761,0.13021,2.1631,3.38413,2.20295,0.000657963,0.000657963,0.000657963,0.000328982,0.00131593
22,68.4145,1.59646,2.10215,1.63915,0.35839,0.46031,0.35839,0.15333,2.02536,3.36306,2.10112,0.000628101,0.000628101,0.000628101,0.000314051,0.0012562
23,71.5218,1.48567,2.07388,1.58778,0.37475,0.50225,0.40681,0.1732,1.92888,3.06176,2.04332,0.000597754,0.000597754,0.000597754,0.000298877,0.00119551
24,74.643,1.52953,2.17952,1.69945,0.38253,0.53372,0.45995,0.1963,1.90507,2.88889,2.06127,0.00056704,0.00056704,0.00056704,0.00028352,0.00113408
25,77.6796,1.46944,2.01844,1.60729,0.43082,0.54786,0.45127,0.19792,1.87475,2.95292,2.03498,0.000536081,0.000536081,0.000536081,0.000268041,0.00107216
26,80.6978,1.43319,1.94464,1.56625,0.47573,0.48508,0.44132,0.19863,1.86407,2.78304,2.00083,0.000505,0.000505,0.000505,0.0002525,0.00101
27,83.686,1.46427,2.00575,1.59179,0.44843,0.5407,0.44839,0.20384,1.85083,2.70359,1.98205,0.000473919,0.000473919,0.000473919,0.000236959,0.000947837
28,86.8831,1.44056,1.9088,1.53998,0.44319,0.54798,0.4542,0.20834,1.83025,2.6707,1.97263,0.00044296,0.00044296,0.00044296,0.00022148,0.00088592
29,89.9608,1.41139,2.05838,1.55712,0.41224,0.53683,0.45944,0.21404,1.82278,2.64343,1.94956,0.000412246,0.000412246,0.000412246,0.000206123,0.000824492
30,93.0247,1.35606,1.82538,1.48768,0.44506,0.5189,0.46138,0.21122,1.80815,2.53641,1.93419,0.000381899,0.000381899,0.000381899,0.000190949,0.000763797
31,96.0567,1.41684,1.92161,1.52342,0.43011,0.53538,0.45616,0.20274,1.81189,2.55816,1.92804,0.000352037,0.000352037,0.000352037,0.000176018,0.000704073
32,99.1814,1.35164,1.88688,1.52325,0.48242,0.49933,0.45822,0.20375,1.83359,2.57051,1.96599,0.000322778,0.000322778,0.000322778,0.000161389,0.000645557
33,102.265,1.40427,1.99639,1.58631,0.48163,0.46354,0.45092,0.2033,1.83384,2.56733,1.98113,0.000294239,0.000294239,0.000294239,0.00014712,0.000588479
34,105.336,1.40758,1.93512,1.53004,0.45704,0.50102,0.44366,0.20052,1.85265,2.58085,1.97467,0.000266532,0.000266532,0.000266532,0.000133266,0.000533064
35,108.363,1.32047,1.83962,1.45045,0.43757,0.50543,0.45655,0.20953,1.85658,2.55182,1.96754,0.000239766,0.000239766,0.000239766,0.000119883,0.000479531
36,111.493,1.29395,1.81116,1.47181,0.41605,0.55481,0.4798,0.21982,1.84719,2.51617,1.95239,0.000214046,0.000214046,0.000214046,0.000107023,0.000428093
37,114.513,1.32954,1.73973,1.47569,0.44465,0.57787,0.50108,0.23086,1.85192,2.5156,1.98686,0.000189475,0.000189475,0.000189475,9.47376e-05,0.00037895
38,117.544,1.39163,1.82144,1.51619,0.46892,0.54203,0.49986,0.22929,1.86521,2.53635,1.99979,0.000166149,0.000166149,0.000166149,8.30746e-05,0.000332298
39,120.556,1.27527,1.73068,1.453,0.56735,0.49331,0.4898,0.22913,1.85784,2.61866,1.98446,0.000144161,0.000144161,0.000144161,7.20803e-05,0.000288321
40,123.699,1.34941,1.82207,1.50172,0.59358,0.48825,0.48526,0.22314,1.8551,2.61997,1.96295,0.000123596,0.000123596,0.000123596,6.1798e-05,0.000247192
41,126.576,1.44827,2.14031,1.65387,0.59955,0.49072,0.50005,0.22275,1.84241,2.57294,1.9448,0.000104537,0.000104537,0.000104537,5.22683e-05,0.000209073
42,129.464,1.28587,1.98349,1.48417,0.64442,0.48089,0.51515,0.23539,1.8153,2.54229,1.92925,8.70577e-05,8.70577e-05,8.70577e-05,4.35288e-05,0.000174115
43,132.405,1.35398,2.09514,1.53958,0.67869,0.47839,0.5298,0.24282,1.79222,2.52245,1.91681,7.12282e-05,7.12282e-05,7.12282e-05,3.56141e-05,0.000142456
44,135.472,1.28145,2.00419,1.50734,0.64624,0.50011,0.53208,0.24939,1.78207,2.5099,1.90973,5.71106e-05,5.71106e-05,5.71106e-05,2.85553e-05,0.000114221
45,138.327,1.28734,1.8373,1.53538,0.60164,0.51695,0.54439,0.24834,1.76741,2.49379,1.90359,4.47606e-05,4.47606e-05,4.47606e-05,2.23803e-05,8.95213e-05
46,141.237,1.28616,2.03927,1.48675,0.59119,0.49534,0.53785,0.25099,1.76614,2.46828,1.90176,3.4227e-05,3.4227e-05,3.4227e-05,1.71135e-05,6.8454e-05
47,144.122,1.2898,1.97078,1.51657,0.57265,0.50882,0.52927,0.25214,1.76475,2.45971,1.89501,2.55513e-05,2.55513e-05,2.55513e-05,1.27757e-05,5.11027e-05
48,147.023,1.2275,1.92028,1.50018,0.57177,0.49962,0.53125,0.25576,1.75988,2.458,1.89196,1.87678e-05,1.87678e-05,1.87678e-05,9.38391e-06,3.75356e-05
49,150.022,1.25908,1.8163,1.46928,0.66023,0.48668,0.53321,0.25775,1.75739,2.46328,1.89484,1.39032e-05,1.39032e-05,1.39032e-05,6.95161e-06,2.78064e-05
50,152.931,1.23853,1.93304,1.49,0.56422,0.50666,0.53722,0.25979,1.75788,2.46719,1.88858,1.09768e-05,1.09768e-05,1.09768e-05,5.48838e-06,2.19535e-05
