epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,4.05238,1.95788,3.84718,1.9347,0.00893,0.40472,0.01921,0.00662,2.21492,4.32702,2.27695,0.00012,0.00012,0.00012,6e-05,0.00024
2,7.27678,1.67999,3.6907,1.74496,0.0085,0.54026,0.12814,0.05033,2.10516,4.34032,2.34716,0.000249891,0.000249891,0.000249891,0.000124946,0.000499783
3,10.8316,1.72149,3.58057,1.81067,0.0052,0.50462,0.10841,0.04195,2.29479,4.42922,2.50864,0.00037934,0.00037934,0.00037934,0.00018967,0.000758681
4,14.2088,1.62801,3.37711,1.75769,0.00553,0.62426,0.12893,0.05461,2.2235,4.1821,2.46423,0.000508009,0.000508009,0.000508009,0.000254005,0.00101602
5,17.5803,1.62879,3.17305,1.69939,0.88099,0.05845,0.14954,0.06677,2.07987,3.93822,2.29755,0.000635564,0.000635564,0.000635564,0.000317782,0.00127113
6,20.9375,1.76363,3.04656,1.81624,0.7474,0.13674,0.1105,0.03905,2.33346,3.98791,2.59263,0.000761671,0.000761671,0.000761671,0.000380835,0.00152334
7,24.3619,1.80023,2.91717,1.82026,0.47296,0.20337,0.14764,0.04424,2.39462,3.94438,2.59673,0.000886004,0.000886004,0.000886004,0.000443002,0.00177201
8,27.6444,1.73854,2.78726,1.80176,0.3592,0.26078,0.15082,0.0552,2.38555,3.78464,2.49487,0.000978873,0.000978873,0.000978873,0.000489437,0.00195775
9,30.9309,1.65958,2.60774,1.72154,0.52175,0.20472,0.15075,0.05287,2.41524,3.90695,2.65639,0.000972466,0.000972466,0.000972466,0.000486233,0.00194493
10,34.3958,1.70124,2.66671,1.79089,0.38386,0.27651,0.17358,0.06176,2.3035,3.78188,2.47216,0.000965239,0.000965239,0.000965239,0.00048262,0.00193048
11,37.7295,1.76161,2.54528,1.79123,0.40947,0.17774,0.07803,0.02694,2.73039,4.75042,2.92242,0.000957205,0.000957205,0.000957205,0.000478603,0.00191441
12,41.0346,1.77875,2.53151,1.82489,0.3358,0.28742,0.14497,0.04959,2.49933,4.29302,2.66808,0.000948377,0.000948377,0.000948377,0.000474189,0.00189675
13,44.4158,1.69155,2.56213,1.7766,0.38772,0.29629,0.25457,0.10054,2.09901,3.53999,2.24451,0.000938772,0.000938772,0.000938772,0.000469386,0.00187754
14,47.9598,1.66875,2.43902,1.75966,0.39314,0.26273,0.20222,0.07724,2.24543,4.10547,2.35542,0.000928405,0.000928405,0.000928405,0.000464203,0.00185681
15,51.3397,1.70129,2.5538,1.82802,0.31179,0.35715,0.11712,0.0414,2.40687,12.2039,2.57224,0.000917296,0.000917296,0.000917296,0.000458648,0.00183459
16,54.7398,1.64741,2.40529,1.74273,0.12062,0.37004,0.14679,0.04803,2.34416,6.23329,2.62044,0.000905463,0.000905463,0.000905463,0.000452732,0.00181093
17,58.2463,1.67004,2.41515,1.76931,0.3265,0.38696,0.17568,0.06186,2.27123,4.02125,2.42045,0.000892928,0.000892928,0.000892928,0.000446464,0.00178586
18,61.6004,1.58957,2.39463,1.69928,0.38067,0.40171,0.20017,0.06917,2.28526,4.568,2.32178,0.000879713,0.000879713,0.000879713,0.000439856,0.00175943
19,64.9588,1.61764,2.2857,1.72721,0.45489,0.34022,0.29593,0.11324,2.0664,4.1531,2.16435,0.000865839,0.000865839,0.000865839,0.00043292,0.00173168
20,68.3929,1.59208,2.25935,1.73435,0.43311,0.3528,0.24125,0.08795,2.19683,3.72976,2.26758,0.000851333,0.000851333,0.000851333,0.000425667,0.00170267
21,71.9038,1.63242,2.21397,1.71032,0.40617,0.32004,0.21809,0.07898,2.3016,4.13522,2.30932,0.00083622,0.00083622,0.00083622,0.00041811,0.00167244
22,75.2571,1.71287,2.20625,1.73958,0.22343,0.3725,0.223,0.07795,2.27943,3.93625,2.25147,0.000820525,0.000820525,0.000820525,0.000410262,0.00164105
23,78.6061,1.58809,2.1428,1.65543,0.55942,0.25039,0.2682,0.10708,2.1122,3.52212,2.20231,0.000804277,0.000804277,0.000804277,0.000402138,0.00160855
24,81.949,1.60242,2.23951,1.7434,0.19003,0.5501,0.31163,0.13428,1.95738,3.51698,2.09548,0.000787503,0.000787503,0.000787503,0.000393752,0.00157501
25,85.4558,1.54555,2.1583,1.68626,0.23656,0.52086,0.31881,0.14137,1.98043,3.90109,2.1252,0.000770234,0.000770234,0.000770234,0.000385117,0.00154047
26,88.7631,1.52892,2.04679,1.65993,0.46844,0.35602,0.3352,0.13489,1.9873,2.96396,2.13841,0.0007525,0.0007525,0.0007525,0.00037625,0.001505
27,92.074,1.53119,2.0948,1.6338,0.45507,0.31747,0.30066,0.12726,2.04406,3.05965,2.10299,0.000734332,0.000734332,0.000734332,0.000367166,0.00146866
28,95.5478,1.51291,1.99829,1.5825,0.49675,0.43449,0.38161,0.1647,1.95902,2.82962,2.06219,0.000715761,0.000715761,0.000715761,0.00035788,0.00143152
29,98.8945,1.50125,2.02693,1.62988,0.50632,0.44235,0.4036,0.17916,1.92825,2.88156,2.05048,0.00069682,0.00069682,0.00069682,0.00034841,0.00139364
30,102.231,1.4627,1.81238,1.54311,0.52613,0.47575,0.43238,0.18005,1.89909,2.73486,1.99795,0.000677543,0.000677543,0.000677543,0.000338772,0.00135509
31,105.635,1.49579,2.00225,1.58798,0.35359,0.56462,0.44891,0.20081,1.85544,2.69348,1.96715,0.000657963,0.000657963,0.000657963,0.000328982,0.00131593
32,109.146,1.44764,1.91549,1.57637,0.36967,0.57111,0.4845,0.21649,1.83982,2.58546,1.96934,0.000638115,0.000638115,0.000638115,0.000319058,0.00127623
33,112.518,1.46456,1.98268,1.62084,0.36358,0.50626,0.46363,0.20702,1.88806,2.49137,2.03417,0.000618034,0.000618034,0.000618034,0.000309017,0.00123607
34,115.858,1.48285,1.9702,1.5659,0.50205,0.48885,0.51819,0.24802,1.82944,2.42902,2.01541,0.000597754,0.000597754,0.000597754,0.000298877,0.00119551
35,119.319,1.41908,1.91629,1.50801,0.55933,0.51661,0.49741,0.22999,1.84205,2.46165,1.98815,0.000577311,0.000577311,0.000577311,0.000288656,0.00115462
36,122.587,1.38673,1.89093,1.52528,0.4571,0.5239,0.47258,0.21166,1.92478,2.50367,2.01106,0.000556742,0.000556742,0.000556742,0.000278371,0.00111348
37,125.875,1.39169,1.7828,1.52157,0.56289,0.43121,0.47096,0.1973,1.94979,2.46635,2.01175,0.000536081,0.000536081,0.000536081,0.000268041,0.00107216
38,129.202,1.46927,1.83134,1.54927,0.53727,0.49339,0.50154,0.22373,1.89687,2.40859,1.95964,0.000515366,0.000515366,0.000515366,0.000257683,0.00103073
39,132.632,1.3737,1.68312,1.50526,0.47666,0.51613,0.51041,0.22617,1.90076,2.40258,1.96529,0.000494634,0.000494634,0.000494634,0.000247317,0.000989267
40,135.934,1.43349,1.82642,1.5148,0.4897,0.51807,0.52825,0.23675,1.90416,2.33581,1.97896,0.000473919,0.000473919,0.000473919,0.000236959,0.000947837
41,139.234,1.40893,1.80156,1.5279,0.44532,0.59708,0.54245,0.25181,1.88494,2.27766,1.99993,0.000453258,0.000453258,0.000453258,0.000226629,0.000906517
42,142.678,1.29442,1.75242,1.47236,0.49339,0.58176,0.55278,0.27097,1.83086,2.22503,2.01535,0.000432689,0.000432689,0.000432689,0.000216344,0.000865378
43,146.027,1.39755,1.75323,1.54013,0.51196,0.56533,0.5664,0.27378,1.79966,2.24617,2.00972,0.000412246,0.000412246,0.000412246,0.000206123,0.000824492
