epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,5.07021,2.0425,3.88767,2.09716,0.00296,0.32558,0.01492,0.00566,2.31719,4.38496,2.34388,0.00012,0.00012,0.00012,6e-05,0.00012,0.000108
2,8.78759,1.93363,3.87234,2.03534,0.00471,0.34226,0.00735,0.00296,2.55467,4.55415,2.49297,0.000249939,0.000249939,0.000249939,0.000124969,0.000249939,0.000224945
3,12.6322,1.92035,3.87042,2.04434,0.00548,0.43091,0.0454,0.01909,2.42946,4.45194,2.41626,0.000379629,0.000379629,0.000379629,0.000189814,0.000379629,0.000341666
4,16.3501,1.8075,3.78343,1.92042,0.009,0.52603,0.08773,0.03329,2.22143,4.3384,2.34716,0.00050888,0.00050888,0.00050888,0.00025444,0.00050888,0.000457992
5,20.2649,1.76292,3.62747,1.84035,0.00995,0.59087,0.12196,0.04911,2.21801,4.30832,2.31937,0.000637502,0.000637502,0.000637502,0.000318751,0.000637502,0.000573752
6,24.0529,1.71118,3.51507,1.87158,0.00739,0.67982,0.14466,0.06011,2.13528,4.17807,2.24144,0.000765307,0.000765307,0.000765307,0.000382654,0.000765307,0.000688777
7,27.9239,1.69179,3.46838,1.84131,0.91529,0.13013,0.1835,0.07887,2.17825,4.03808,2.26699,0.000892109,0.000892109,0.000892109,0.000446054,0.000892109,0.000802898
8,31.5884,1.72246,3.293,1.84887,0.87192,0.15705,0.19205,0.08761,2.20717,3.9732,2.2836,0.000988079,0.000988079,0.000988079,0.000494039,0.000988079,0.000889271
9,35.5486,1.67342,3.23996,1.77527,0.86542,0.17219,0.21596,0.09989,2.13217,4.13525,2.18637,0.000984449,0.000984449,0.000984449,0.000492224,0.000984449,0.000886004
10,39.3733,1.6165,3.2023,1.75527,0.84497,0.17395,0.20339,0.08298,2.03712,3.96574,2.12711,0.000980345,0.000980345,0.000980345,0.000490173,0.000980345,0.000882311
