epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,4.32014,3.6333,4.89734,2.15136,0.00054,0.0184,2e-05,1e-05,3.20435,4.84515,1.92207,0.00012,0.00012,0.00012,6e-05,0.00024
2,7.83372,2.49804,4.47049,1.49852,0.00736,0.14208,0.00271,0.0007,1.91378,4.40226,1.21112,0.000249891,0.000249891,0.000249891,0.000124946,0.000499783
3,11.6207,2.06084,4.08577,1.29977,0.012,0.27073,0.00965,0.00232,1.71369,4.33502,1.12231,0.00037934,0.00037934,0.00037934,0.00018967,0.000758681
4,15.2224,1.95471,3.71859,1.20062,0.01819,0.52137,0.05503,0.02057,1.64201,4.11191,1.06163,0.000508009,0.000508009,0.000508009,0.000254005,0.00101602
5,18.8158,1.91126,3.35012,1.14584,0.08403,0.35926,0.08416,0.02904,1.61552,3.89446,1.08739,0.000635564,0.000635564,0.000635564,0.000317782,0.00127113
6,22.6213,1.84458,3.08026,1.15376,0.45353,0.1004,0.11703,0.04876,1.6205,3.60088,1.07236,0.000761671,0.000761671,0.000761671,0.000380835,0.00152334
7,26.1947,1.77059,2.86238,1.11407,0.13159,0.18097,0.13498,0.05987,1.55036,3.3474,1.08299,0.000886004,0.000886004,0.000886004,0.000443002,0.00177201
8,29.782,1.7996,2.75112,1.14721,0.17304,0.31639,0.17393,0.07488,1.63302,3.09901,1.13424,0.000978873,0.000978873,0.000978873,0.000489437,0.00195775
9,33.4169,1.69226,2.49563,1.14023,0.33423,0.3882,0.24983,0.11911,1.49967,2.91152,1.09523,0.000972466,0.000972466,0.000972466,0.000486233,0.00194493
10,37.1979,1.66763,2.43674,1.11567,0.38005,0.60938,0.36972,0.194,1.54833,2.63126,1.1221,0.000965239,0.000965239,0.000965239,0.00048262,0.00193048
11,40.8856,1.64697,2.24025,1.1257,0.40407,0.60053,0.3992,0.20527,1.5203,2.51405,1.1142,0.000957205,0.000957205,0.000957205,0.000478603,0.00191441
12,44.5523,1.67444,2.17624,1.13084,0.24135,0.34264,0.18189,0.05122,2.15909,2.98653,1.32332,0.000948377,0.000948377,0.000948377,0.000474189,0.00189675
13,48.36,1.57474,2.13327,1.10147,0.38603,0.47586,0.38747,0.16806,1.77659,2.43123,1.22292,0.000938772,0.000938772,0.000938772,0.000469386,0.00187754
14,51.9973,1.66813,2.11975,1.11591,0.31056,0.27396,0.19758,0.05544,2.44929,2.94993,1.44477,0.000928405,0.000928405,0.000928405,0.000464203,0.00185681
15,55.6295,1.57564,2.13055,1.11706,0.40069,0.40952,0.32624,0.13373,1.97866,2.64254,1.26437,0.000917296,0.000917296,0.000917296,0.000458648,0.00183459
16,59.228,1.56353,2.02602,1.08583,0.18449,0.15135,0.0857,0.01969,2.73262,3.30119,1.56083,0.000905463,0.000905463,0.000905463,0.000452732,0.00181093
17,63.0887,1.49321,1.93462,1.08583,0.46051,0.49061,0.4359,0.15488,2.02236,2.47991,1.31908,0.000892928,0.000892928,0.000892928,0.000446464,0.00178586
18,66.7542,1.60104,1.90058,1.10368,0.35697,0.40976,0.3387,0.0931,2.20646,2.53707,1.35841,0.000879713,0.000879713,0.000879713,0.000439856,0.00175943
19,70.3093,1.50095,1.86689,1.05912,0.20402,0.25587,0.14865,0.0333,2.48707,2.86324,1.43661,0.000865839,0.000865839,0.000865839,0.00043292,0.00173168
20,73.8821,1.51228,1.95794,1.0762,0.39388,0.41694,0.36087,0.11338,2.00723,2.49663,1.25788,0.000851333,0.000851333,0.000851333,0.000425667,0.00170267
21,77.5898,1.46044,1.8946,1.05663,0.41437,0.40627,0.35747,0.1091,1.97925,2.43878,1.24268,0.00083622,0.00083622,0.00083622,0.00041811,0.00167244
22,81.2086,1.37973,1.84341,1.02697,0.58131,0.62211,0.63282,0.34301,1.40179,1.83109,1.07782,0.000820525,0.000820525,0.000820525,0.000410262,0.00164105
23,84.8839,1.49769,1.73727,1.06362,0.59099,0.60428,0.62834,0.27683,1.64915,1.90256,1.16518,0.000804277,0.000804277,0.000804277,0.000402138,0.00160855
24,88.6715,1.36801,1.72216,1.06795,0.65015,0.6481,0.68423,0.41753,1.251,1.66218,1.05428,0.000787503,0.000787503,0.000787503,0.000393752,0.00157501
25,92.3013,1.44407,1.66781,1.04823,0.63226,0.61607,0.64619,0.30686,1.54039,1.77373,1.12976,0.000770234,0.000770234,0.000770234,0.000385117,0.00154047
26,95.8523,1.38481,1.64044,1.0315,0.67811,0.6336,0.69443,0.38576,1.34433,1.65018,1.06717,0.0007525,0.0007525,0.0007525,0.00037625,0.001505
27,99.5848,1.3162,1.59251,1.04723,0.64463,0.66467,0.7212,0.4567,1.22343,1.5674,1.04059,0.000734332,0.000734332,0.000734332,0.000367166,0.00146866
28,103.188,1.35045,1.61068,1.04882,0.65831,0.64791,0.70667,0.3527,1.4985,1.72439,1.10521,0.000715761,0.000715761,0.000715761,0.00035788,0.00143152
29,106.689,1.31551,1.57588,1.02766,0.6756,0.66117,0.71051,0.35156,1.51235,1.69096,1.11342,0.00069682,0.00069682,0.00069682,0.00034841,0.00139364
30,110.22,1.27813,1.50237,1.02317,0.74024,0.6712,0.74818,0.44496,1.32691,1.51723,1.06793,0.000677543,0.000677543,0.000677543,0.000338772,0.00135509
31,113.874,1.2856,1.47157,1.02127,0.72158,0.66198,0.72663,0.34996,1.58771,1.63854,1.14699,0.000657963,0.000657963,0.000657963,0.000328982,0.00131593
32,117.415,1.24705,1.42987,1.00555,0.72743,0.67096,0.73285,0.32712,1.59942,1.62446,1.14675,0.000638115,0.000638115,0.000638115,0.000319058,0.00127623
33,120.998,1.28632,1.44638,1.00343,0.76338,0.69369,0.76745,0.38085,1.49959,1.52885,1.12042,0.000618034,0.000618034,0.000618034,0.000309017,0.00123607
34,124.58,1.29441,1.40366,1.01677,0.77356,0.68913,0.77007,0.44982,1.35518,1.43784,1.09559,0.000597754,0.000597754,0.000597754,0.000298877,0.00119551
35,128.207,1.33648,1.37182,1.02441,0.75113,0.68425,0.75056,0.34683,1.59655,1.55402,1.1423,0.000577311,0.000577311,0.000577311,0.000288656,0.00115462
36,131.718,1.37203,1.40487,1.03742,0.73931,0.71639,0.75533,0.33133,1.65221,1.55907,1.14122,0.000556742,0.000556742,0.000556742,0.000278371,0.00111348
37,135.226,1.23402,1.32116,0.99456,0.73924,0.73345,0.7885,0.51312,1.16626,1.36663,1.00723,0.000536081,0.000536081,0.000536081,0.000268041,0.00107216
38,138.789,1.35817,1.32732,1.03486,0.77798,0.72293,0.79932,0.49002,1.25486,1.35987,1.0277,0.000515366,0.000515366,0.000515366,0.000257683,0.00103073
39,142.412,1.2758,1.32283,0.9883,0.7516,0.65487,0.72343,0.25372,2.00903,1.66333,1.25974,0.000494634,0.000494634,0.000494634,0.000247317,0.000989267
40,145.955,1.40838,1.3218,1.04357,0.77736,0.69659,0.78419,0.31427,1.81267,1.60223,1.19572,0.000473919,0.000473919,0.000473919,0.000236959,0.000947837
41,149.428,1.22543,1.26359,0.97549,0.82181,0.7379,0.83236,0.54492,1.15663,1.26633,1.01432,0.000453258,0.000453258,0.000453258,0.000226629,0.000906517
42,153.016,1.42015,1.27689,1.02377,0.82442,0.74266,0.83436,0.54757,1.16075,1.24727,1.01819,0.000432689,0.000432689,0.000432689,0.000216344,0.000865378
43,156.712,1.29967,1.25577,1.02355,0.82044,0.75481,0.83793,0.48536,1.35488,1.32003,1.06176,0.000412246,0.000412246,0.000412246,0.000206123,0.000824492
44,160.243,1.29614,1.27929,1.02472,0.8086,0.75433,0.8323,0.43717,1.43944,1.36971,1.07749,0.000391966,0.000391966,0.000391966,0.000195983,0.000783933
45,163.742,1.21048,1.20408,0.97051,0.87484,0.75463,0.85743,0.51371,1.24556,1.24779,1.02525,0.000371885,0.000371885,0.000371885,0.000185942,0.000743769
46,167.332,1.18518,1.19485,0.96676,0.85982,0.77939,0.86658,0.54712,1.19478,1.1888,1.01426,0.000352037,0.000352037,0.000352037,0.000176018,0.000704073
47,170.884,1.19651,1.23566,0.99088,0.86151,0.77974,0.86826,0.5552,1.19972,1.19238,1.02038,0.000332457,0.000332457,0.000332457,0.000166228,0.000664914
48,174.377,1.14889,1.12712,0.97633,0.87209,0.77811,0.87124,0.53253,1.26152,1.20769,1.03115,0.00031318,0.00031318,0.00031318,0.00015659,0.00062636
49,177.999,1.06731,1.12752,0.95025,0.86589,0.78088,0.87129,0.55023,1.19519,1.18707,1.01112,0.000294239,0.000294239,0.000294239,0.00014712,0.000588479
50,181.507,1.07395,1.08177,0.96399,0.88108,0.78005,0.87143,0.55124,1.19732,1.17304,1.01234,0.000275668,0.000275668,0.000275668,0.000137834,0.000551337
51,185.007,1.09207,1.08285,0.95964,0.87157,0.78749,0.8739,0.55287,1.19219,1.1535,1.01376,0.0002575,0.0002575,0.0002575,0.00012875,0.000515
52,188.522,1.17969,1.0922,0.9863,0.87514,0.78457,0.87769,0.53432,1.25964,1.15668,1.0298,0.000239766,0.000239766,0.000239766,0.000119883,0.000479531
53,192.199,1.13994,1.08897,0.98243,0.87893,0.77383,0.87804,0.5077,1.33832,1.17097,1.05085,0.000222497,0.000222497,0.000222497,0.000111248,0.000444994
54,195.772,1.09728,1.06287,0.95355,0.8934,0.78273,0.88544,0.55694,1.21017,1.11479,1.02003,0.000205723,0.000205723,0.000205723,0.000102862,0.000411447
55,199.359,1.11015,1.0831,0.95825,0.89798,0.79648,0.89156,0.56995,1.1859,1.09053,1.01561,0.000189475,0.000189475,0.000189475,9.47376e-05,0.00037895
56,202.889,1.08486,1.03038,0.96872,0.89789,0.79485,0.89249,0.54925,1.24359,1.10288,1.03021,0.00017378,0.00017378,0.00017378,8.68902e-05,0.000347561
57,206.497,1.18051,1.09141,0.97584,0.90146,0.79601,0.89662,0.58072,1.16104,1.06993,1.00587,0.000158667,0.000158667,0.000158667,7.93333e-05,0.000317333
58,210.022,1.12197,1.01705,0.94886,0.88268,0.81328,0.89803,0.60853,1.07388,1.04301,0.98404,0.000144161,0.000144161,0.000144161,7.20803e-05,0.000288321
59,213.579,1.17261,1.04845,0.95926,0.88579,0.80702,0.89843,0.5981,1.09709,1.04457,0.98816,0.000130287,0.000130287,0.000130287,6.51437e-05,0.000260575
60,217.129,1.10288,1.05398,0.95733,0.8807,0.80731,0.89821,0.58891,1.11903,1.05278,0.99209,0.000117072,0.000117072,0.000117072,5.85359e-05,0.000234143
61,220.781,1.06059,1.02605,0.95926,0.87652,0.81641,0.89819,0.59775,1.09611,1.04391,0.98798,0.000104537,0.000104537,0.000104537,5.22683e-05,0.000209073
