epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,4.8399,3.7701,4.94806,2.25687,0.00018,0.00802,1e-05,0,3.4903,5.04925,2.30046,0.00012,0.00012,0.00012,6e-05,0.00012,0.000108
2,8.63164,3.20682,4.83187,1.95364,0.00026,0.00976,1e-05,0,2.82795,4.8634,1.91087,0.000249322,0.000249322,0.000249322,0.000124661,0.000249322,0.00022439
3,12.713,2.59743,4.58167,1.67964,0.00079,0.02506,6e-05,2e-05,2.23403,4.67831,1.54487,0.00037589,0.00037589,0.00037589,0.000187945,0.00037589,0.000338301
4,16.6371,2.26351,4.36637,1.48486,0.00164,0.04766,0.00074,0.00018,1.75122,4.55685,1.28826,0.000497644,0.000497644,0.000497644,0.000248822,0.000497644,0.00044788
5,20.6737,2.22617,4.07368,1.42825,0.0014,0.05373,0.00111,0.00026,1.73061,4.4451,1.27324,0.000612611,0.000612611,0.000612611,0.000306306,0.000612611,0.00055135
6,24.5718,2.13169,3.81209,1.37745,0.00735,0.23,0.02335,0.0103,1.76964,4.17562,1.23498,0.000718936,0.000718936,0.000718936,0.000359468,0.000718936,0.000647042
7,28.454,1.9862,3.60401,1.28398,0.01453,0.53488,0.0794,0.0385,1.70258,3.89206,1.17156,0.000814917,0.000814917,0.000814917,0.000407459,0.000814917,0.000733425
8,32.5022,2.01661,3.42587,1.2801,0.46167,0.15171,0.11413,0.05951,1.62539,3.49167,1.16622,0.000872857,0.000872857,0.000872857,0.000436428,0.000872857,0.000785571
9,36.5649,1.89082,3.09542,1.25249,0.12806,0.29151,0.13025,0.06022,1.64519,3.19572,1.1962,0.00083622,0.00083622,0.00083622,0.00041811,0.00083622,0.000752598
10,40.5157,1.93047,2.99722,1.25758,0.14713,0.32245,0.13686,0.06585,1.59276,3.07909,1.16385,0.000795954,0.000795954,0.000795954,0.000397977,0.000795954,0.000716358
11,44.6645,1.82657,2.88976,1.20997,0.18421,0.36797,0.17552,0.07713,1.56427,2.96156,1.17866,0.0007525,0.0007525,0.0007525,0.00037625,0.0007525,0.00067725
12,48.6751,1.80084,2.78585,1.19821,0.21408,0.41211,0.22468,0.10788,1.51571,2.75216,1.17656,0.000706335,0.000706335,0.000706335,0.000353167,0.000706335,0.000635701
13,52.765,1.7134,2.69085,1.18953,0.24549,0.37397,0.25302,0.127,1.47349,2.59356,1.15214,0.000657963,0.000657963,0.000657963,0.000328982,0.000657963,0.000592167
14,56.7647,1.81716,2.64161,1.21221,0.26766,0.35074,0.2612,0.12369,1.49548,2.6018,1.14165,0.000607916,0.000607916,0.000607916,0.000303958,0.000607916,0.000547125
15,60.9015,1.68741,2.59477,1.18151,0.28042,0.36459,0.27929,0.13449,1.52325,2.57916,1.14556,0.000556742,0.000556742,0.000556742,0.000278371,0.000556742,0.000501067
16,64.8523,1.7165,2.52868,1.14671,0.27699,0.4019,0.28062,0.12332,1.5674,2.6038,1.15323,0.000505,0.000505,0.000505,0.0002525,0.000505,0.0004545
17,68.7968,1.62945,2.46695,1.15062,0.29615,0.4188,0.31715,0.15363,1.52351,2.50489,1.1442,0.000453258,0.000453258,0.000453258,0.000226629,0.000453258,0.000407933
18,72.9116,1.63739,2.43018,1.13735,0.31311,0.44613,0.34546,0.18436,1.43078,2.37252,1.11949,0.000402084,0.000402084,0.000402084,0.000201042,0.000402084,0.000361875
19,77.0212,1.68408,2.39224,1.1378,0.32413,0.45046,0.3503,0.18698,1.40957,2.31344,1.10754,0.000352037,0.000352037,0.000352037,0.000176018,0.000352037,0.000316833
20,80.9962,1.65507,2.43592,1.13727,0.32313,0.47517,0.35216,0.18105,1.40845,2.30426,1.10077,0.000303665,0.000303665,0.000303665,0.000151833,0.000303665,0.000273299
21,85.0022,1.5571,2.42969,1.16178,0.32999,0.46426,0.35981,0.18418,1.42857,2.29474,1.1066,0.0002575,0.0002575,0.0002575,0.00012875,0.0002575,0.00023175
22,88.8381,1.51,2.35172,1.11951,0.33936,0.45839,0.3642,0.19031,1.46568,2.28724,1.12179,0.000214046,0.000214046,0.000214046,0.000107023,0.000214046,0.000192642
23,92.8303,1.55264,2.39208,1.1542,0.32976,0.47407,0.3642,0.18832,1.48494,2.29231,1.12973,0.00017378,0.00017378,0.00017378,8.68902e-05,0.00017378,0.000156402
24,96.7185,1.51993,2.32414,1.15113,0.34606,0.44952,0.37027,0.19632,1.44353,2.27793,1.11024,0.000137143,0.000137143,0.000137143,6.85717e-05,0.000137143,0.000123429
25,100.727,1.55084,2.289,1.13797,0.34822,0.45889,0.37249,0.20072,1.40621,2.27175,1.09458,0.000104537,0.000104537,0.000104537,5.22683e-05,0.000104537,9.40829e-05
26,104.556,1.49958,2.28472,1.11622,0.34337,0.46193,0.37751,0.2045,1.38384,2.26572,1.08471,7.63174e-05,7.63174e-05,7.63174e-05,3.81587e-05,7.63174e-05,6.86857e-05
27,108.509,1.47059,2.25047,1.10894,0.34775,0.46982,0.38045,0.20416,1.37351,2.26396,1.08048,5.2795e-05,5.2795e-05,5.2795e-05,2.63975e-05,5.2795e-05,4.75155e-05
28,112.338,1.45976,2.28584,1.10505,0.34811,0.46484,0.38467,0.20645,1.36989,2.25635,1.07903,3.4227e-05,3.4227e-05,3.4227e-05,1.71135e-05,3.4227e-05,3.08043e-05
29,116.388,1.44529,2.24156,1.1254,0.35534,0.46979,0.38491,0.20557,1.37425,2.26148,1.0797,2.08169e-05,2.08169e-05,2.08169e-05,1.04085e-05,2.08169e-05,1.87352e-05
30,120.312,1.46941,2.27894,1.116,0.35421,0.47364,0.38542,0.20659,1.37138,2.25665,1.07918,1.27117e-05,1.27117e-05,1.27117e-05,6.35583e-06,1.27117e-05,1.14405e-05
