epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,5.21615,3.67844,4.95281,2.26863,3e-05,0.00283,1e-05,0,3.46219,5.03643,2.29168,0.00012,0.00012,0.00012,6e-05,0.00012,0.000108
2,9.12753,3.1861,4.82759,1.99226,5e-05,0.00349,0,0,2.79678,4.85368,1.91061,0.000249939,0.000249939,0.000249939,0.000124969,0.000249939,0.000224945
3,13.3331,2.58644,4.56974,1.66532,0.00011,0.00645,0,0,2.2299,4.6601,1.53975,0.000379629,0.000379629,0.000379629,0.000189814,0.000379629,0.000341666
4,17.3665,2.21604,4.41701,1.47459,0.0013,0.02226,8e-05,2e-05,1.74049,4.5442,1.27772,0.00050888,0.00050888,0.00050888,0.00025444,0.00050888,0.000457992
5,21.5929,2.26961,4.15031,1.47122,0.00624,0.09385,0.01041,0.00547,1.74963,4.42333,1.27393,0.000637502,0.000637502,0.000637502,0.000318751,0.000637502,0.000573752
6,25.6122,2.04541,3.89105,1.34821,0.00757,0.35604,0.04374,0.01822,1.8258,4.13169,1.27699,0.000765307,0.000765307,0.000765307,0.000382654,0.000765307,0.000688777
7,29.7404,2.00372,3.60093,1.32064,0.56711,0.09399,0.07398,0.0311,1.79327,3.72128,1.23962,0.000892109,0.000892109,0.000892109,0.000446054,0.000892109,0.000802898
8,34.2268,1.98807,3.36787,1.29378,0.097,0.34026,0.10505,0.05315,1.7175,3.3234,1.23265,0.000988079,0.000988079,0.000988079,0.000494039,0.000988079,0.000889271
9,38.7775,1.98317,3.08904,1.30085,0.10378,0.40389,0.11367,0.05746,1.6445,3.14585,1.22659,0.000984449,0.000984449,0.000984449,0.000492224,0.000984449,0.000886004
10,43.1571,1.8838,3.06698,1.27246,0.12571,0.37382,0.12555,0.0609,1.59172,2.98809,1.19589,0.000980345,0.000980345,0.000980345,0.000490173,0.000980345,0.000882311
11,47.8509,1.816,2.90623,1.25321,0.1658,0.37921,0.1658,0.09244,1.48324,2.79063,1.17982,0.000975773,0.000975773,0.000975773,0.000487886,0.000975773,0.000878196
12,52.1877,1.76726,2.82845,1.27159,0.20446,0.39978,0.20001,0.10715,1.53116,2.73064,1.20227,0.000970736,0.000970736,0.000970736,0.000485368,0.000970736,0.000873662
13,56.6127,1.76148,2.73666,1.26348,0.22298,0.44989,0.23367,0.13301,1.48019,2.61038,1.18442,0.000965239,0.000965239,0.000965239,0.00048262,0.000965239,0.000868715
14,60.8984,1.81207,2.61989,1.26162,0.23586,0.40791,0.24135,0.1264,1.47107,2.52843,1.17322,0.000959289,0.000959289,0.000959289,0.000479644,0.000959289,0.00086336
15,65.2997,1.73776,2.64956,1.21681,0.21319,0.37184,0.20446,0.08705,1.55609,2.69998,1.19189,0.000952889,0.000952889,0.000952889,0.000476445,0.000952889,0.0008576
16,69.6546,1.62378,2.56063,1.15379,0.25458,0.40851,0.25732,0.12096,1.53125,2.55193,1.17927,0.000946048,0.000946048,0.000946048,0.000473024,0.000946048,0.000851443
17,73.9493,1.74261,2.49485,1.21777,0.29014,0.40896,0.28757,0.13888,1.48254,2.49405,1.15277,0.000938772,0.000938772,0.000938772,0.000469386,0.000938772,0.000844895
18,78.507,1.66985,2.4628,1.21594,0.25862,0.41941,0.24539,0.097,1.58586,2.69486,1.1799,0.000931067,0.000931067,0.000931067,0.000465534,0.000931067,0.000837961
19,82.9943,1.60176,2.37974,1.15633,0.33078,0.49927,0.35169,0.19958,1.42553,2.34412,1.1399,0.000922942,0.000922942,0.000922942,0.000461471,0.000922942,0.000830648
20,87.102,1.62272,2.33428,1.1768,0.35874,0.53099,0.38042,0.22056,1.43351,2.28684,1.14736,0.000914405,0.000914405,0.000914405,0.000457202,0.000914405,0.000822964
21,91.7786,1.51401,2.19697,1.13351,0.38041,0.54116,0.40094,0.21541,1.42342,2.26357,1.13319,0.000905463,0.000905463,0.000905463,0.000452732,0.000905463,0.000814917
22,96.1514,1.52517,2.21422,1.14086,0.3962,0.54765,0.42882,0.24963,1.42056,2.16567,1.13881,0.000896127,0.000896127,0.000896127,0.000448063,0.000896127,0.000806514
23,100.531,1.59013,2.1382,1.13272,0.42881,0.49781,0.44075,0.25164,1.38443,2.07688,1.11334,0.000886404,0.000886404,0.000886404,0.000443202,0.000886404,0.000797764
24,104.815,1.54749,2.15652,1.14685,0.42384,0.54287,0.46389,0.26487,1.40801,2.02532,1.12646,0.000876305,0.000876305,0.000876305,0.000438152,0.000876305,0.000788674
25,109.276,1.50629,2.02717,1.10422,0.42565,0.57793,0.48153,0.27572,1.36921,1.99803,1.11387,0.000865839,0.000865839,0.000865839,0.00043292,0.000865839,0.000779256
26,113.507,1.57101,2.09528,1.12914,0.44405,0.5779,0.49624,0.27303,1.43017,1.96602,1.13047,0.000855018,0.000855018,0.000855018,0.000427509,0.000855018,0.000769516
27,117.989,1.51148,2.00386,1.11632,0.47002,0.56811,0.50873,0.29356,1.38098,1.91048,1.11741,0.000843851,0.000843851,0.000843851,0.000421925,0.000843851,0.000759466
28,122.318,1.42932,1.96136,1.12819,0.45361,0.57555,0.4819,0.25423,1.54621,1.99063,1.1991,0.000832349,0.000832349,0.000832349,0.000416175,0.000832349,0.000749114
29,126.854,1.57465,1.95875,1.12798,0.49206,0.59367,0.52269,0.32053,1.3035,1.86238,1.09846,0.000820525,0.000820525,0.000820525,0.000410262,0.000820525,0.000738472
30,131.124,1.50888,1.88356,1.12657,0.51488,0.57844,0.53816,0.32238,1.3189,1.84361,1.0969,0.000808389,0.000808389,0.000808389,0.000404194,0.000808389,0.00072755
31,135.687,1.5331,1.85958,1.13728,0.50027,0.59393,0.54114,0.31539,1.39124,1.84393,1.12433,0.000795954,0.000795954,0.000795954,0.000397977,0.000795954,0.000716358
32,139.959,1.51621,1.84915,1.1493,0.4975,0.597,0.55877,0.29183,1.40011,1.90597,1.10857,0.000783231,0.000783231,0.000783231,0.000391616,0.000783231,0.000704908
33,144.509,1.52111,1.92137,1.11262,0.48868,0.52071,0.50623,0.17266,1.7665,2.15255,1.23136,0.000770234,0.000770234,0.000770234,0.000385117,0.000770234,0.000693211
34,148.897,1.53595,1.8439,1.08934,0.53889,0.58249,0.56718,0.256,1.56325,1.91907,1.16097,0.000756976,0.000756976,0.000756976,0.000378488,0.000756976,0.000681278
35,153.494,1.55124,1.85699,1.11793,0.5793,0.61452,0.6052,0.36561,1.28086,1.73778,1.07582,0.000743468,0.000743468,0.000743468,0.000371734,0.000743468,0.000669121
36,157.54,1.52627,1.79253,1.11614,0.57116,0.61897,0.60114,0.33986,1.33696,1.78782,1.09322,0.000729725,0.000729725,0.000729725,0.000364863,0.000729725,0.000656753
37,162.003,1.49453,1.78583,1.09821,0.58485,0.54027,0.55442,0.26055,1.48569,1.95013,1.14406,0.000715761,0.000715761,0.000715761,0.00035788,0.000715761,0.000644185
38,166.192,1.47069,1.80975,1.08068,0.56141,0.62699,0.616,0.347,1.31482,1.74705,1.09444,0.000701588,0.000701588,0.000701588,0.000350794,0.000701588,0.000631429
39,170.423,1.37294,1.69357,1.04135,0.60448,0.60911,0.63086,0.40473,1.23676,1.6602,1.07872,0.000687222,0.000687222,0.000687222,0.000343611,0.000687222,0.000618499
40,174.454,1.41618,1.66328,1.05788,0.61926,0.60451,0.64478,0.40656,1.29227,1.62319,1.09794,0.000672675,0.000672675,0.000672675,0.000336338,0.000672675,0.000605408
41,178.626,1.45465,1.63783,1.10729,0.65354,0.60155,0.65425,0.39542,1.37865,1.60405,1.12939,0.000657963,0.000657963,0.000657963,0.000328982,0.000657963,0.000592167
42,182.457,1.43796,1.68948,1.08347,0.64507,0.6248,0.65862,0.39222,1.37715,1.60096,1.12934,0.000643101,0.000643101,0.000643101,0.00032155,0.000643101,0.000578791
43,186.463,1.38983,1.66023,1.06238,0.64211,0.65216,0.6727,0.41907,1.24522,1.56821,1.0717,0.000628101,0.000628101,0.000628101,0.000314051,0.000628101,0.000565291
44,190.309,1.39626,1.59987,1.03288,0.65602,0.65767,0.67619,0.39663,1.30357,1.57917,1.08089,0.000612981,0.000612981,0.000612981,0.00030649,0.000612981,0.000551683
45,194.342,1.48707,1.66959,1.08294,0.62829,0.67217,0.67838,0.39155,1.33928,1.5859,1.08973,0.000597754,0.000597754,0.000597754,0.000298877,0.000597754,0.000537978
46,198.306,1.47007,1.61691,1.08269,0.64634,0.66299,0.67907,0.39872,1.31375,1.56145,1.08467,0.000582435,0.000582435,0.000582435,0.000291218,0.000582435,0.000524192
47,202.395,1.4635,1.58621,1.07071,0.66903,0.63922,0.68383,0.3732,1.40361,1.60309,1.10478,0.00056704,0.00056704,0.00056704,0.00028352,0.00056704,0.000510336
48,206.462,1.37735,1.59007,1.04632,0.67684,0.64853,0.6993,0.38967,1.38883,1.5643,1.09782,0.000551584,0.000551584,0.000551584,0.000275792,0.000551584,0.000496425
49,210.647,1.42634,1.60353,1.06647,0.64734,0.68334,0.70878,0.43089,1.28442,1.50681,1.07021,0.000536081,0.000536081,0.000536081,0.000268041,0.000536081,0.000482473
50,215.097,1.40037,1.55613,1.05376,0.66776,0.67716,0.70828,0.38478,1.41931,1.57008,1.1049,0.000520548,0.000520548,0.000520548,0.000260274,0.000520548,0.000468493
51,219.567,1.38503,1.56567,1.05678,0.66578,0.67509,0.70577,0.37405,1.44495,1.56904,1.11453,0.000505,0.000505,0.000505,0.0002525,0.000505,0.0004545
52,223.672,1.37457,1.60631,1.0562,0.67827,0.67952,0.71023,0.38384,1.42974,1.54659,1.11256,0.000489452,0.000489452,0.000489452,0.000244726,0.000489452,0.000440507
53,228.119,1.34422,1.51963,1.06108,0.69152,0.6934,0.73078,0.39849,1.4035,1.51625,1.10504,0.000473919,0.000473919,0.000473919,0.000236959,0.000473919,0.000426527
