epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,3.80907,1.88405,3.83568,1.85049,0.01094,0.57229,0.02901,0.00894,2.0635,4.2125,2.08961,0.00012,0.00012,0.00012,6e-05,0.00024
2,6.79785,1.55155,3.64649,1.6968,0.00823,0.76369,0.1332,0.05017,1.9359,4.1863,2.05355,0.000249322,0.000249322,0.000249322,0.000124661,0.000498644
3,10.0414,1.71483,3.58247,1.81063,0.00774,0.82473,0.13482,0.05395,1.9592,4.13509,2.1066,0.00037589,0.00037589,0.00037589,0.000187945,0.000751779
4,13.21,1.58414,3.3986,1.76197,0.00729,0.80796,0.11343,0.03988,2.16916,4.09337,2.24164,0.000497644,0.000497644,0.000497644,0.000248822,0.000995288
5,16.2745,1.65817,3.25011,1.74943,0.71979,0.08153,0.17281,0.05747,2.17358,3.8794,2.35918,0.000612611,0.000612611,0.000612611,0.000306306,0.00122522
6,19.3733,1.74228,3.15293,1.85303,0.46231,0.20467,0.13881,0.0508,2.22162,3.69637,2.32104,0.000718936,0.000718936,0.000718936,0.000359468,0.00143787
7,22.5512,1.66151,2.86044,1.77598,0.29116,0.3064,0.16525,0.05969,2.27696,3.59096,2.31875,0.000814917,0.000814917,0.000814917,0.000407459,0.00162983
8,25.6026,1.70474,2.82188,1.80837,0.17701,0.38943,0.18402,0.06819,2.23403,3.78835,2.32166,0.000872857,0.000872857,0.000872857,0.000436428,0.00174571
9,28.6962,1.64168,2.62627,1.74682,0.20597,0.44707,0.2389,0.0923,2.11817,3.87332,2.28684,0.00083622,0.00083622,0.00083622,0.00041811,0.00167244
10,31.7806,1.69032,2.69729,1.81004,0.26929,0.35955,0.27737,0.10129,2.09667,4.15091,2.26738,0.000795954,0.000795954,0.000795954,0.000397977,0.00159191
11,34.8589,1.65145,2.54068,1.76689,0.28147,0.4382,0.29895,0.11711,2.05497,4.54006,2.22791,0.0007525,0.0007525,0.0007525,0.00037625,0.001505
12,38.0953,1.68009,2.60227,1.77978,0.30292,0.38466,0.30659,0.12539,2.12708,3.8224,2.25288,0.000706335,0.000706335,0.000706335,0.000353167,0.00141267
13,41.1853,1.60761,2.49426,1.73141,0.29459,0.44738,0.31783,0.13105,2.13684,3.52702,2.24996,0.000657963,0.000657963,0.000657963,0.000328982,0.00131593
14,44.2636,1.57192,2.305,1.68721,0.53686,0.45814,0.34723,0.15161,2.04146,3.73441,2.13251,0.000607916,0.000607916,0.000607916,0.000303958,0.00121583
15,47.3398,1.58904,2.53902,1.72073,0.47207,0.48782,0.3405,0.14028,2.00105,3.81281,2.09719,0.000556742,0.000556742,0.000556742,0.000278371,0.00111348
16,50.4936,1.54799,2.30427,1.67395,0.52302,0.45819,0.35815,0.14222,1.99008,3.57837,2.11436,0.000505,0.000505,0.000505,0.0002525,0.00101
17,53.5493,1.54406,2.28806,1.69271,0.50254,0.48205,0.38684,0.15635,1.9855,3.34751,2.12163,0.000453258,0.000453258,0.000453258,0.000226629,0.000906517
18,56.5645,1.5044,2.27165,1.63471,0.52832,0.47469,0.40775,0.17841,1.92314,3.20819,2.03272,0.000402084,0.000402084,0.000402084,0.000201042,0.000804167
19,59.6034,1.5475,2.2394,1.6684,0.56402,0.46582,0.41624,0.18334,1.90415,2.96036,2.01326,0.000352037,0.000352037,0.000352037,0.000176018,0.000704073
20,62.7846,1.522,2.19515,1.65854,0.55317,0.42889,0.39972,0.17256,1.94132,2.85246,2.04064,0.000303665,0.000303665,0.000303665,0.000151833,0.000607331
21,65.7336,1.55225,2.60006,1.70634,0.57909,0.44108,0.41782,0.18104,1.91676,2.83174,2.01623,0.0002575,0.0002575,0.0002575,0.00012875,0.000515
22,68.6281,1.482,2.51286,1.70324,0.62464,0.43599,0.43639,0.19202,1.89046,2.80471,1.98246,0.000214046,0.000214046,0.000214046,0.000107023,0.000428093
23,71.5774,1.52175,2.40566,1.72482,0.55462,0.49764,0.44924,0.19789,1.86008,2.81578,1.97504,0.00017378,0.00017378,0.00017378,8.68902e-05,0.000347561
24,74.5701,1.46449,2.47588,1.69815,0.63994,0.42098,0.47405,0.2053,1.83378,2.78257,1.96362,0.000137143,0.000137143,0.000137143,6.85717e-05,0.000274287
25,77.4353,1.52065,2.41282,1.67593,0.56679,0.50055,0.47421,0.20601,1.82721,2.77791,1.96065,0.000104537,0.000104537,0.000104537,5.22683e-05,0.000209073
26,80.3592,1.46861,2.34317,1.67905,0.59756,0.47032,0.46779,0.20626,1.81816,2.76195,1.95431,7.63174e-05,7.63174e-05,7.63174e-05,3.81587e-05,0.000152635
27,83.2654,1.39731,2.36181,1.62703,0.58958,0.50081,0.48535,0.21156,1.81449,2.73614,1.95506,5.2795e-05,5.2795e-05,5.2795e-05,2.63975e-05,0.00010559
28,86.281,1.41651,2.2762,1.62493,0.62117,0.48575,0.48532,0.21366,1.80998,2.72123,1.95526,3.4227e-05,3.4227e-05,3.4227e-05,1.71135e-05,6.8454e-05
29,89.1855,1.42271,2.32161,1.6166,0.61869,0.48852,0.48682,0.21431,1.80922,2.73458,1.9578,2.08169e-05,2.08169e-05,2.08169e-05,1.04085e-05,4.16339e-05
30,92.0925,1.39286,2.28138,1.61758,0.60706,0.51643,0.49416,0.21702,1.80857,2.7349,1.95819,1.27117e-05,1.27117e-05,1.27117e-05,6.35583e-06,2.54233e-05
