epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,3.70333,1.88405,3.83568,1.85049,0.01094,0.57229,0.02901,0.00894,2.0635,4.2125,2.08961,0.00012,0.00012,0.00012,6e-05,0.00024
2,6.94067,1.55125,3.6457,1.69602,0.00816,0.74541,0.13122,0.04975,1.93446,4.16369,2.06211,0.000249891,0.000249891,0.000249891,0.000124946,0.000499783
3,10.0976,1.70485,3.57531,1.80925,0.00779,0.8572,0.14318,0.05755,1.93654,4.10745,2.07038,0.00037934,0.00037934,0.00037934,0.00018967,0.000758681
4,13.1147,1.62406,3.39981,1.77749,0.00763,0.82563,0.13487,0.05013,2.10472,4.03344,2.16757,0.000508009,0.000508009,0.000508009,0.000254005,0.00101602
5,16.0986,1.63093,3.23147,1.74668,0.73694,0.04461,0.18027,0.06572,2.17945,3.80875,2.33741,0.000635564,0.000635564,0.000635564,0.000317782,0.00127113
6,19.1433,1.76166,3.15486,1.86221,0.29652,0.17857,0.11141,0.03864,2.21758,3.73405,2.45768,0.000761671,0.000761671,0.000761671,0.000380835,0.00152334
7,22.2553,1.66209,2.83661,1.78572,0.34086,0.24694,0.14485,0.05283,2.21912,3.80027,2.35949,0.000886004,0.000886004,0.000886004,0.000443002,0.00177201
8,25.2253,1.70497,2.82521,1.82798,0.15096,0.38309,0.13233,0.04942,2.30888,4.173,2.42392,0.000978873,0.000978873,0.000978873,0.000489437,0.00195775
9,28.2021,1.62283,2.58779,1.72363,0.27407,0.30068,0.21734,0.09792,2.17621,4.6139,2.34303,0.000972466,0.000972466,0.000972466,0.000486233,0.00194493
10,31.2269,1.67878,2.6198,1.77599,0.30864,0.4063,0.26684,0.10447,2.14138,4.49467,2.32112,0.000965239,0.000965239,0.000965239,0.00048262,0.00193048
11,34.266,1.73297,2.48057,1.78332,0.31052,0.34336,0.27027,0.09818,2.16313,4.2609,2.31931,0.000957205,0.000957205,0.000957205,0.000478603,0.00191441
12,37.3903,1.64861,2.57298,1.74138,0.33167,0.37644,0.27298,0.10527,2.11652,3.85845,2.25138,0.000948377,0.000948377,0.000948377,0.000474189,0.00189675
13,40.3924,1.62138,2.42834,1.7024,0.44386,0.47012,0.36053,0.14634,2.01528,3.30845,2.22117,0.000938772,0.000938772,0.000938772,0.000469386,0.00187754
14,43.3965,1.57488,2.28549,1.67282,0.32589,0.47606,0.3509,0.14282,2.05447,3.826,2.26546,0.000928405,0.000928405,0.000928405,0.000464203,0.00185681
15,46.3946,1.6469,2.48464,1.76112,0.24962,0.45912,0.30089,0.12505,2.06213,4.519,2.2446,0.000917296,0.000917296,0.000917296,0.000458648,0.00183459
16,49.5166,1.63582,2.30512,1.73058,0.31604,0.38986,0.31504,0.12505,2.00515,4.18923,2.13243,0.000905463,0.000905463,0.000905463,0.000452732,0.00181093
17,52.4935,1.58822,2.25019,1.69349,0.37835,0.42193,0.34382,0.14757,1.94587,3.97943,2.09445,0.000892928,0.000892928,0.000892928,0.000446464,0.00178586
18,55.4814,1.53223,2.31567,1.62334,0.67668,0.4033,0.40488,0.16491,1.90539,3.72447,2.0824,0.000879713,0.000879713,0.000879713,0.000439856,0.00175943
19,58.5331,1.60666,2.23971,1.69977,0.62077,0.45534,0.43442,0.17309,1.96564,3.24285,2.0936,0.000865839,0.000865839,0.000865839,0.00043292,0.00173168
20,61.6998,1.59804,2.19765,1.67732,0.59278,0.41894,0.41386,0.17635,1.95618,3.05684,2.07071,0.000851333,0.000851333,0.000851333,0.000425667,0.00170267
21,64.7333,1.5411,2.17039,1.64353,0.35258,0.45497,0.36116,0.16033,2.06242,3.98478,2.15814,0.00083622,0.00083622,0.00083622,0.00041811,0.00167244
