epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,4.01622,1.95788,3.84718,1.9347,0.00893,0.40472,0.01921,0.00662,2.21492,4.32702,2.27695,0.00012,0.00012,0.00012,6e-05,0.00024
2,7.38756,1.68247,3.6853,1.74634,0.00811,0.53941,0.11146,0.04483,2.11169,4.32889,2.37809,0.000249939,0.000249939,0.000249939,0.000124969,0.000499878
3,10.9235,1.73009,3.58013,1.81305,0.00711,0.60953,0.10404,0.04031,2.14978,4.31844,2.40629,0.000379629,0.000379629,0.000379629,0.000189814,0.000759258
4,14.2772,1.67811,3.40609,1.80118,0.00609,0.66814,0.12977,0.04792,2.19187,4.20533,2.44478,0.00050888,0.00050888,0.00050888,0.00025444,0.00101776
5,17.683,1.63002,3.21623,1.70068,0.72461,0.01916,0.15755,0.06068,2.21087,3.97193,2.43779,0.000637502,0.000637502,0.000637502,0.000318751,0.001275
6,21.1214,1.73271,3.05942,1.80065,0.05876,0.12822,0.07576,0.01883,2.55647,4.13843,2.79518,0.000765307,0.000765307,0.000765307,0.000382654,0.00153061
7,24.5402,1.82038,2.92551,1.82443,0.11993,0.13888,0.06968,0.02019,2.6559,4.26964,2.71989,0.000892109,0.000892109,0.000892109,0.000446054,0.00178422
8,27.8869,1.77128,2.79899,1.79026,0.34406,0.18705,0.14922,0.05285,2.50712,3.77543,2.6422,0.000988079,0.000988079,0.000988079,0.000494039,0.00197616
9,31.1975,1.71742,2.61862,1.72747,0.60216,0.1394,0.11098,0.04034,2.57144,4.34714,2.74296,0.000984449,0.000984449,0.000984449,0.000492224,0.0019689
10,34.6525,1.75548,2.64901,1.8181,0.0807,0.25866,0.0699,0.02388,2.5948,4.53232,2.77023,0.000980345,0.000980345,0.000980345,0.000490173,0.00196069
11,38.0387,1.79878,2.56307,1.79862,0.25511,0.22234,0.10127,0.03646,2.81309,4.49957,2.88839,0.000975773,0.000975773,0.000975773,0.000487886,0.00195155
12,41.3886,1.72511,2.49564,1.78397,0.08895,0.24975,0.11091,0.04548,2.63646,4.66083,2.73303,0.000970736,0.000970736,0.000970736,0.000485368,0.00194147
13,44.7391,1.74732,2.48615,1.79623,0.44648,0.16068,0.07684,0.02949,2.70405,5.57106,2.82079,0.000965239,0.000965239,0.000965239,0.00048262,0.00193048
14,48.2821,1.71768,2.41179,1.75493,0.22208,0.39288,0.16467,0.06122,2.55748,5.86935,2.5977,0.000959289,0.000959289,0.000959289,0.000479644,0.00191858
15,51.6902,1.79975,2.60301,1.84463,0.43563,0.17898,0.148,0.053,2.67284,6.96659,2.65749,0.000952889,0.000952889,0.000952889,0.000476445,0.00190578
16,55.0072,1.67135,2.3846,1.76784,0.39656,0.22448,0.17565,0.06901,2.3926,4.1764,2.56317,0.000946048,0.000946048,0.000946048,0.000473024,0.0018921
17,58.5003,1.67507,2.32614,1.79503,0.62392,0.22856,0.23565,0.09587,2.29787,3.74351,2.39899,0.000938772,0.000938772,0.000938772,0.000469386,0.00187754
18,61.8429,1.631,2.41867,1.73404,0.53768,0.28164,0.24166,0.08599,2.28509,3.64995,2.38386,0.000931067,0.000931067,0.000931067,0.000465534,0.00186213
19,65.1919,1.6166,2.29548,1.74571,0.44326,0.35409,0.31582,0.12557,2.14506,3.5859,2.2662,0.000922942,0.000922942,0.000922942,0.000461471,0.00184588
20,68.5505,1.63994,2.3215,1.76499,0.42873,0.41829,0.3137,0.12314,2.16196,4.4492,2.26454,0.000914405,0.000914405,0.000914405,0.000457202,0.00182881
21,72.0906,1.62296,2.23501,1.71314,0.35562,0.37658,0.19754,0.07501,2.32263,5.69372,2.41928,0.000905463,0.000905463,0.000905463,0.000452732,0.00181093
22,75.4775,1.65792,2.22326,1.7167,0.35054,0.40383,0.22225,0.08364,2.18893,4.86643,2.29106,0.000896127,0.000896127,0.000896127,0.000448063,0.00179225
23,78.854,1.58543,2.19037,1.63491,0.38813,0.43589,0.31007,0.10962,2.07728,4.2508,2.24705,0.000886404,0.000886404,0.000886404,0.000443202,0.00177281
24,82.1573,1.61623,2.247,1.74233,0.41549,0.44054,0.30091,0.11967,1.98388,3.64966,2.13687,0.000876305,0.000876305,0.000876305,0.000438152,0.00175261
25,85.6016,1.55583,2.187,1.67433,0.48359,0.4454,0.34323,0.13987,2.01703,3.98807,2.14928,0.000865839,0.000865839,0.000865839,0.00043292,0.00173168
26,88.998,1.50749,2.05547,1.62082,0.50673,0.43021,0.38313,0.15608,2.02383,3.18353,2.08864,0.000855018,0.000855018,0.000855018,0.000427509,0.00171004
27,92.3425,1.58991,2.09449,1.68247,0.52752,0.3756,0.39426,0.17448,2.00526,2.84544,2.09137,0.000843851,0.000843851,0.000843851,0.000421925,0.0016877
28,95.8632,1.5616,2.02588,1.64568,0.49926,0.45237,0.41223,0.17828,1.94792,2.9535,2.06935,0.000832349,0.000832349,0.000832349,0.000416175,0.0016647
29,99.2082,1.53127,2.05708,1.64711,0.49775,0.47746,0.39161,0.1679,1.98303,2.95754,2.05543,0.000820525,0.000820525,0.000820525,0.000410262,0.00164105
30,102.492,1.52316,1.88231,1.5899,0.44866,0.45559,0.37011,0.15966,1.97539,3.1592,2.09466,0.000808389,0.000808389,0.000808389,0.000404194,0.00161678
31,105.793,1.58506,2.09854,1.64198,0.57214,0.41656,0.38921,0.16574,1.95643,2.84639,2.08652,0.000795954,0.000795954,0.000795954,0.000397977,0.00159191
32,109.242,1.49436,1.92166,1.60917,0.41256,0.48742,0.45139,0.20475,1.92961,2.66101,2.06813,0.000783231,0.000783231,0.000783231,0.000391616,0.00156646
33,112.588,1.47508,2.06642,1.64299,0.65299,0.43634,0.50499,0.22658,1.93118,2.49911,2.05172,0.000770234,0.000770234,0.000770234,0.000385117,0.00154047
34,115.984,1.4977,2.02237,1.58484,0.56205,0.47162,0.42634,0.18327,1.99322,2.61173,2.10052,0.000756976,0.000756976,0.000756976,0.000378488,0.00151395
35,119.44,1.45361,1.96558,1.53919,0.50416,0.43109,0.3789,0.16158,1.98685,2.75557,2.08571,0.000743468,0.000743468,0.000743468,0.000371734,0.00148694
36,122.774,1.41195,1.92423,1.54331,0.5436,0.43018,0.41408,0.19453,1.89876,2.69915,2.08126,0.000729725,0.000729725,0.000729725,0.000364863,0.00145945
37,126.148,1.38517,1.82389,1.52677,0.64611,0.38717,0.4387,0.20291,1.88049,2.5749,2.0579,0.000715761,0.000715761,0.000715761,0.00035788,0.00143152
38,129.542,1.50795,1.95137,1.6024,0.57939,0.45008,0.45296,0.20842,1.88642,2.42486,1.98969,0.000701588,0.000701588,0.000701588,0.000350794,0.00140318
39,132.904,1.42586,1.75948,1.55571,0.55077,0.42785,0.40987,0.17217,2.107,2.60686,2.07067,0.000687222,0.000687222,0.000687222,0.000343611,0.00137444
40,136.236,1.41075,1.81151,1.52554,0.53974,0.44354,0.40636,0.17268,2.17023,2.62256,2.12316,0.000672675,0.000672675,0.000672675,0.000336338,0.00134535
41,139.563,1.40915,1.85523,1.53702,0.56627,0.48794,0.44497,0.20309,2.01137,2.45151,2.03117,0.000657963,0.000657963,0.000657963,0.000328982,0.00131593
42,143.01,1.3468,1.78503,1.51667,0.6382,0.49408,0.49636,0.22851,1.8752,2.27807,1.96978,0.000643101,0.000643101,0.000643101,0.00032155,0.0012862
43,146.354,1.3963,1.7778,1.54394,0.65747,0.50202,0.54182,0.24428,1.83298,2.19098,1.93506,0.000628101,0.000628101,0.000628101,0.000314051,0.0012562
44,149.679,1.41813,1.77152,1.54493,0.57263,0.49889,0.52076,0.2281,1.87868,2.22581,1.9623,0.000612981,0.000612981,0.000612981,0.00030649,0.00122596
45,153.012,1.35832,1.71954,1.46423,0.36915,0.58537,0.48909,0.21145,1.91732,2.28375,1.98902,0.000597754,0.000597754,0.000597754,0.000298877,0.00119551
46,156.472,1.35112,1.66862,1.49688,0.39163,0.57543,0.48721,0.21011,1.95702,2.31363,1.99809,0.000582435,0.000582435,0.000582435,0.000291218,0.00116487
47,159.81,1.27517,1.61643,1.44726,0.42567,0.59193,0.53832,0.2373,1.90929,2.22196,1.96158,0.00056704,0.00056704,0.00056704,0.00028352,0.00113408
48,163.123,1.36281,1.65953,1.46002,0.53973,0.52526,0.53573,0.23705,1.89301,2.15315,1.9496,0.000551584,0.000551584,0.000551584,0.000275792,0.00110317
49,166.61,1.32023,1.79628,1.52352,0.5638,0.55069,0.56265,0.24887,1.87634,2.1629,1.96677,0.000536081,0.000536081,0.000536081,0.000268041,0.00107216
50,169.971,1.40253,1.69107,1.51775,0.48822,0.6053,0.58537,0.29003,1.7873,2.15255,1.93394,0.000520548,0.000520548,0.000520548,0.000260274,0.0010411
51,173.28,1.28734,1.66062,1.45541,0.42067,0.60976,0.58233,0.28987,1.73915,2.15899,1.91764,0.000505,0.000505,0.000505,0.0002525,0.00101
52,176.591,1.32492,1.59776,1.50893,0.72367,0.45883,0.58289,0.29001,1.72638,2.0712,1.89951,0.000489452,0.000489452,0.000489452,0.000244726,0.000978903
53,180.049,1.37592,1.65101,1.47889,0.63236,0.47297,0.55982,0.27831,1.80542,2.10668,1.92256,0.000473919,0.000473919,0.000473919,0.000236959,0.000947837
54,183.374,1.29961,1.59765,1.42918,0.61582,0.47215,0.5417,0.25743,1.91656,2.13622,1.9617,0.000458416,0.000458416,0.000458416,0.000229208,0.000916833
55,186.692,1.37385,1.55843,1.46719,0.45937,0.60429,0.53976,0.26778,1.88954,2.08409,1.93956,0.00044296,0.00044296,0.00044296,0.00022148,0.00088592
56,189.977,1.30401,1.60598,1.41754,0.47486,0.58664,0.5406,0.26838,1.8238,2.07395,1.92891,0.000427565,0.000427565,0.000427565,0.000213782,0.00085513
57,193.406,1.27485,1.53867,1.42165,0.47339,0.59901,0.55154,0.26713,1.79867,2.09695,1.94819,0.000412246,0.000412246,0.000412246,0.000206123,0.000824492
58,196.661,1.36687,1.54977,1.5049,0.41927,0.58418,0.5688,0.27287,1.77596,2.1398,1.93803,0.000397019,0.000397019,0.000397019,0.00019851,0.000794038
59,199.888,1.26832,1.58964,1.4005,0.42162,0.59092,0.56684,0.26013,1.81896,2.22902,1.99688,0.000381899,0.000381899,0.000381899,0.000190949,0.000763797
60,203.2,1.23108,1.50591,1.40776,0.43223,0.52807,0.52778,0.2412,1.89722,2.24775,2.07329,0.000366899,0.000366899,0.000366899,0.00018345,0.000733799
61,206.612,1.3228,1.54404,1.46516,0.42882,0.54494,0.52987,0.24531,1.87706,2.20393,2.06568,0.000352037,0.000352037,0.000352037,0.000176018,0.000704073
62,209.852,1.32251,1.56635,1.45323,0.50953,0.56249,0.56438,0.26668,1.82322,2.14278,2.00166,0.000337325,0.000337325,0.000337325,0.000168662,0.000674649
63,213.16,1.2657,1.5067,1.41362,0.53511,0.58596,0.58346,0.27146,1.79886,2.09318,1.97035,0.000322778,0.000322778,0.000322778,0.000161389,0.000645557
64,216.442,1.21172,1.44337,1.34027,0.56497,0.59735,0.60801,0.2865,1.7818,2.01777,1.93627,0.000308412,0.000308412,0.000308412,0.000154206,0.000616824
65,219.822,1.3026,1.60638,1.44177,0.58019,0.58712,0.61787,0.29575,1.7805,2.00311,1.92821,0.000294239,0.000294239,0.000294239,0.00014712,0.000588479
