epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,4.52068,2.00646,3.89015,1.98797,0.00665,0.37397,0.00539,0.00152,2.34562,4.38825,2.32357,0.00012,0.00012,0.00012,6e-05,0.00012,0.000108
2,8.14413,1.82438,3.84784,1.92973,0.0043,0.35556,0.00573,0.00199,2.52667,4.53531,2.47502,0.000249891,0.000249891,0.000249891,0.000124946,0.000249891,0.000224902
3,11.948,1.95031,3.81492,2.02538,0.00384,0.35539,0.02626,0.00985,2.55151,4.48485,2.4788,0.00037934,0.00037934,0.00037934,0.00018967,0.00037934,0.000341406
4,15.6111,1.85101,3.77628,1.99592,0.00689,0.50253,0.03803,0.01609,2.442,4.4079,2.40554,0.000508009,0.000508009,0.000508009,0.000254005,0.000508009,0.000457208
5,19.3538,1.67314,3.66784,1.78422,0.00784,0.59542,0.04456,0.02091,2.46708,4.39851,2.3888,0.000635564,0.000635564,0.000635564,0.000317782,0.000635564,0.000572007
6,22.9954,1.75005,3.5273,1.84112,0.007,0.70504,0.08261,0.03191,2.38825,4.29027,2.34177,0.000761671,0.000761671,0.000761671,0.000380835,0.000761671,0.000685504
7,26.739,1.62755,3.4204,1.76909,0.00662,0.76104,0.10611,0.04067,2.38597,4.16679,2.35017,0.000886004,0.000886004,0.000886004,0.000443002,0.000886004,0.000797403
8,30.4062,1.66032,3.33149,1.78518,0.43379,0.06672,0.12115,0.05166,2.2551,3.9477,2.30346,0.000978873,0.000978873,0.000978873,0.000489437,0.000978873,0.000880986
9,34.3727,1.54469,3.10729,1.68358,0.15486,0.12887,0.11973,0.05049,2.22401,3.77487,2.27574,0.000972466,0.000972466,0.000972466,0.000486233,0.000972466,0.00087522
10,38.0207,1.59552,3.0197,1.76666,0.13013,0.22473,0.13033,0.05362,2.08444,3.59439,2.19394,0.000965239,0.000965239,0.000965239,0.00048262,0.000965239,0.000868715
11,41.7212,1.6421,2.97407,1.75292,0.14925,0.22738,0.15601,0.0664,2.00242,3.60642,2.14237,0.000957205,0.000957205,0.000957205,0.000478603,0.000957205,0.000861485
12,45.491,1.67154,2.85771,1.79959,0.16562,0.32875,0.19387,0.08153,1.9615,3.58989,2.07599,0.000948377,0.000948377,0.000948377,0.000474189,0.000948377,0.00085354
13,49.4174,1.56966,2.76752,1.69344,0.21058,0.33336,0.22412,0.09514,1.89449,3.71257,2.03583,0.000938772,0.000938772,0.000938772,0.000469386,0.000938772,0.000844895
14,53.0941,1.55296,2.57716,1.6679,0.25652,0.33866,0.25256,0.10125,1.91215,3.67859,2.05395,0.000928405,0.000928405,0.000928405,0.000464203,0.000928405,0.000835565
15,56.9116,1.65615,2.80867,1.76764,0.2603,0.46436,0.26705,0.10461,2.00141,3.69826,2.11132,0.000917296,0.000917296,0.000917296,0.000458648,0.000917296,0.000825566
16,60.6059,1.58176,2.59546,1.69482,0.32118,0.47913,0.31559,0.12844,1.95359,3.66062,2.04144,0.000905463,0.000905463,0.000905463,0.000452732,0.000905463,0.000814917
17,64.4301,1.54534,2.56241,1.69781,0.36591,0.41801,0.34746,0.14475,1.90079,3.32145,2.00215,0.000892928,0.000892928,0.000892928,0.000446464,0.000892928,0.000803635
18,68.2791,1.54516,2.49037,1.66452,0.43214,0.41998,0.39578,0.16284,1.85926,3.15537,2.00076,0.000879713,0.000879713,0.000879713,0.000439856,0.000879713,0.000791741
19,72.1209,1.57319,2.40109,1.69819,0.61224,0.36827,0.39905,0.17409,1.86475,3.15534,2.02393,0.000865839,0.000865839,0.000865839,0.00043292,0.000865839,0.000779256
20,75.8088,1.55673,2.35914,1.7071,0.59308,0.43295,0.39434,0.16922,1.86321,3.18931,2.01689,0.000851333,0.000851333,0.000851333,0.000425667,0.000851333,0.0007662
21,79.6005,1.52191,2.28271,1.67212,0.59873,0.42009,0.4037,0.17594,1.83697,3.2887,1.98206,0.00083622,0.00083622,0.00083622,0.00041811,0.00083622,0.000752598
22,83.3136,1.55739,2.28242,1.65007,0.39984,0.49653,0.38428,0.17682,1.75754,2.99728,1.92239,0.000820525,0.000820525,0.000820525,0.000410262,0.000820525,0.000738472
23,87.1406,1.46036,2.18845,1.57183,0.37177,0.48326,0.39337,0.18519,1.75016,2.79488,1.90919,0.000804277,0.000804277,0.000804277,0.000402138,0.000804277,0.000723849
24,91.0175,1.5312,2.31899,1.68021,0.35807,0.48926,0.38929,0.17766,1.76878,2.75302,1.89176,0.000787503,0.000787503,0.000787503,0.000393752,0.000787503,0.000708753
25,94.8212,1.48139,2.18764,1.63514,0.35066,0.49643,0.36492,0.15708,1.81836,2.82739,1.89676,0.000770234,0.000770234,0.000770234,0.000385117,0.000770234,0.000693211
26,98.4653,1.4435,2.17099,1.58376,0.36382,0.51597,0.3588,0.15625,1.86988,3.01424,1.92073,0.0007525,0.0007525,0.0007525,0.00037625,0.0007525,0.00067725
