dataset,method,run_id,epoch,train_box_loss,train_cls_loss,train_dfl_loss,train_loss,val_box_loss,val_cls_loss,val_dfl_loss,val_loss,precision,recall,map50,map50_95,learning_rate
NEU-DET,Full-SFT,neu_det_full_sft_seed824,1,1.95788,3.84718,1.9347,7.73976,2.21492,4.32702,2.27695,8.81889,0.00893,0.40472,0.01921,0.00662,0.000132
NEU-DET,Full-SFT,neu_det_full_sft_seed824,2,1.6772,3.69392,1.747,7.118119999999999,2.11603,4.35282,2.36825,8.8371,0.00807,0.5216,0.12048,0.04897,0.0002742542
NEU-DET,Full-SFT,neu_det_full_sft_seed824,3,1.74635,3.5857,1.82909,7.1611400000000005,2.15929,4.34961,2.42741,8.93631,0.00569,0.55606,0.12644,0.05166,0.00041347880000000006
NEU-DET,Full-SFT,neu_det_full_sft_seed824,4,1.70358,3.39621,1.80115,6.90094,2.21462,4.2865,2.40369,8.904810000000001,0.00537,0.59743,0.09781,0.04026,0.0005474084
NEU-DET,Full-SFT,neu_det_full_sft_seed824,5,1.62772,3.23505,1.71078,6.57355,1.98803,3.9048,2.10448,7.997310000000001,0.72634,0.06678,0.16207,0.06669,0.0006738718
NEU-DET,Full-SFT,neu_det_full_sft_seed824,6,1.75917,3.07759,1.80702,6.64378,2.52923,6.99684,2.8631,12.38917,0.1014,0.0812,0.03763,0.00996,0.0007908291999999999
NEU-DET,Full-SFT,neu_det_full_sft_seed824,7,1.75949,2.90194,1.79009,6.45152,2.52031,4.11008,2.70861,9.339,0.2561,0.10754,0.05919,0.01557,0.0008964079999999999
NEU-DET,Full-SFT,neu_det_full_sft_seed824,8,1.72795,2.81092,1.79291,6.33178,2.32017,3.82279,2.46941,8.61237,0.12799,0.15632,0.11434,0.04331,0.0009601418
NEU-DET,Full-SFT,neu_det_full_sft_seed824,9,1.74972,2.66925,1.77515,6.19412,2.20349,3.5368,2.34332,8.08361,0.23287,0.29498,0.20917,0.08083,0.000919842
NEU-DET,Full-SFT,neu_det_full_sft_seed824,10,1.69685,2.59302,1.76267,6.0525400000000005,2.17901,3.74704,2.31294,8.238990000000001,0.22846,0.37363,0.21776,0.08694,0.0008755498
NEU-DET,Full-SFT,neu_det_full_sft_seed824,11,1.69161,2.48371,1.72894,5.90426,2.17283,3.91717,2.2981,8.3881,0.1416,0.41841,0.1683,0.06259,0.00082775
NEU-DET,Full-SFT,neu_det_full_sft_seed824,12,1.70329,2.50339,1.76819,5.97487,2.28148,3.71915,2.36742,8.36805,0.22994,0.32698,0.21579,0.08062,0.0007769684
NEU-DET,Full-SFT,neu_det_full_sft_seed824,13,1.68485,2.4627,1.74561,5.89316,2.19007,3.49448,2.32106,8.00561,0.43849,0.31202,0.25471,0.10522,0.0007237602
NEU-DET,Full-SFT,neu_det_full_sft_seed824,14,1.60103,2.31767,1.66538,5.58408,2.2006,3.35463,2.27535,7.830579999999999,0.44875,0.29959,0.23215,0.09158,0.0006687072
NEU-DET,Full-SFT,neu_det_full_sft_seed824,15,1.68137,2.5201,1.80718,6.008649999999999,2.15971,3.27422,2.18676,7.62069,0.30718,0.40957,0.25104,0.10303,0.0006124154000000001
NEU-DET,Full-SFT,neu_det_full_sft_seed824,16,1.56309,2.38981,1.68998,5.642880000000001,2.02424,3.31851,2.09946,7.442209999999999,0.3715,0.33879,0.26146,0.11012,0.0005555
NEU-DET,Full-SFT,neu_det_full_sft_seed824,17,1.5691,2.25201,1.68942,5.51053,2.05561,3.57996,2.15042,7.78599,0.43659,0.42126,0.33522,0.14396,0.000498584
NEU-DET,Full-SFT,neu_det_full_sft_seed824,18,1.56272,2.29909,1.66657,5.52838,2.00991,3.35885,2.12115,7.48991,0.50986,0.44361,0.38075,0.17225,0.0004422922
NEU-DET,Full-SFT,neu_det_full_sft_seed824,19,1.55539,2.15915,1.6746,5.38914,1.9601,2.95279,2.08531,6.998200000000001,0.52189,0.46933,0.40662,0.17751,0.0003872404
NEU-DET,Full-SFT,neu_det_full_sft_seed824,20,1.5323,2.13782,1.65019,5.32031,1.91269,2.82996,2.0234,6.76605,0.58936,0.45567,0.41914,0.18484,0.0003340318
NEU-DET,Full-SFT,neu_det_full_sft_seed824,21,1.66656,2.71722,1.76379,6.14757,1.95717,3.09491,2.04875,7.10083,0.55875,0.46593,0.41021,0.18638,0.00028325000000000003
NEU-DET,Full-SFT,neu_det_full_sft_seed824,22,1.63112,2.53976,1.80713,5.978009999999999,1.97091,3.16324,2.0646,7.19875,0.38928,0.51241,0.41784,0.18476,0.0002354508
NEU-DET,Full-SFT,neu_det_full_sft_seed824,23,1.70645,2.51227,1.84744,6.06616,1.94989,3.10363,2.05909,7.11261,0.42472,0.52514,0.43019,0.18882,0.00019115824
NEU-DET,Full-SFT,neu_det_full_sft_seed824,24,1.58433,2.5155,1.77453,5.874359999999999,1.90389,3.00005,2.02649,6.93043,0.44587,0.50817,0.45368,0.2028,0.00015085754
NEU-DET,Full-SFT,neu_det_full_sft_seed824,25,1.56943,2.3977,1.71257,5.6797,1.83814,2.90161,1.96895,6.7087,0.43419,0.53687,0.48754,0.22788,0.00011499046
NEU-DET,Full-SFT,neu_det_full_sft_seed824,26,1.51683,2.38832,1.6847,5.58985,1.81604,2.84714,1.94996,6.6131400000000005,0.70583,0.44606,0.49895,0.24004,8.394918e-05
NEU-DET,Full-SFT,neu_det_full_sft_seed824,27,1.53021,2.326,1.71778,5.57399,1.79371,2.81012,1.92457,6.5284,0.67107,0.48935,0.50564,0.24508,5.80745e-05
NEU-DET,Full-SFT,neu_det_full_sft_seed824,28,1.50126,2.25401,1.65838,5.4136500000000005,1.79364,2.76039,1.91859,6.47262,0.65354,0.48266,0.51112,0.24522,3.7649700000000006e-05
NEU-DET,Full-SFT,neu_det_full_sft_seed824,29,1.49326,2.40586,1.67331,5.57243,1.78988,2.80702,1.91954,6.516439999999999,0.64844,0.48611,0.51227,0.24395,2.289862e-05
NEU-DET,Full-SFT,neu_det_full_sft_seed824,30,1.46424,2.30986,1.64222,5.41632,1.78338,2.80622,1.91212,6.50172,0.63942,0.49351,0.51248,0.24575,1.3982846e-05
NEU-DET,Frozen Backbone,neu_det_frozen_backbone_seed824,1,1.88405,3.83568,1.85049,7.57022,2.0635,4.2125,2.08961,8.36561,0.01094,0.57229,0.02901,0.00894,0.000132
NEU-DET,Frozen Backbone,neu_det_frozen_backbone_seed824,2,1.55155,3.64649,1.6968,6.89484,1.9359,4.1863,2.05355,8.17575,0.00823,0.76369,0.1332,0.05017,0.0002742542
NEU-DET,Frozen Backbone,neu_det_frozen_backbone_seed824,3,1.71483,3.58247,1.81063,7.10793,1.9592,4.13509,2.1066,8.20089,0.00774,0.82473,0.13482,0.05395,0.00041347880000000006
NEU-DET,Frozen Backbone,neu_det_frozen_backbone_seed824,4,1.58414,3.3986,1.76197,6.7447099999999995,2.16916,4.09337,2.24164,8.50417,0.00729,0.80796,0.11343,0.03988,0.0005474084
NEU-DET,Frozen Backbone,neu_det_frozen_backbone_seed824,5,1.65817,3.25011,1.74943,6.65771,2.17358,3.8794,2.35918,8.41216,0.71979,0.08153,0.17281,0.05747,0.0006738718
NEU-DET,Frozen Backbone,neu_det_frozen_backbone_seed824,6,1.74228,3.15293,1.85303,6.748240000000001,2.22162,3.69637,2.32104,8.23903,0.46231,0.20467,0.13881,0.0508,0.0007908291999999999
NEU-DET,Frozen Backbone,neu_det_frozen_backbone_seed824,7,1.66151,2.86044,1.77598,6.29793,2.27696,3.59096,2.31875,8.18667,0.29116,0.3064,0.16525,0.05969,0.0008964079999999999
NEU-DET,Frozen Backbone,neu_det_frozen_backbone_seed824,8,1.70474,2.82188,1.80837,6.33499,2.23403,3.78835,2.32166,8.34404,0.17701,0.38943,0.18402,0.06819,0.0009601418
NEU-DET,Frozen Backbone,neu_det_frozen_backbone_seed824,9,1.64168,2.62627,1.74682,6.01477,2.11817,3.87332,2.28684,8.27833,0.20597,0.44707,0.2389,0.0923,0.000919842
NEU-DET,Frozen Backbone,neu_det_frozen_backbone_seed824,10,1.69032,2.69729,1.81004,6.19765,2.09667,4.15091,2.26738,8.514959999999999,0.26929,0.35955,0.27737,0.10129,0.0008755498
NEU-DET,Frozen Backbone,neu_det_frozen_backbone_seed824,11,1.65145,2.54068,1.76689,5.959020000000001,2.05497,4.54006,2.22791,8.822940000000001,0.28147,0.4382,0.29895,0.11711,0.00082775
NEU-DET,Frozen Backbone,neu_det_frozen_backbone_seed824,12,1.68009,2.60227,1.77978,6.062139999999999,2.12708,3.8224,2.25288,8.202359999999999,0.30292,0.38466,0.30659,0.12539,0.0007769684
NEU-DET,Frozen Backbone,neu_det_frozen_backbone_seed824,13,1.60761,2.49426,1.73141,5.83328,2.13684,3.52702,2.24996,7.913819999999999,0.29459,0.44738,0.31783,0.13105,0.0007237602
NEU-DET,Frozen Backbone,neu_det_frozen_backbone_seed824,14,1.57192,2.305,1.68721,5.5641300000000005,2.04146,3.73441,2.13251,7.908379999999999,0.53686,0.45814,0.34723,0.15161,0.0006687072
NEU-DET,Frozen Backbone,neu_det_frozen_backbone_seed824,15,1.58904,2.53902,1.72073,5.848789999999999,2.00105,3.81281,2.09719,7.9110499999999995,0.47207,0.48782,0.3405,0.14028,0.0006124154000000001
NEU-DET,Frozen Backbone,neu_det_frozen_backbone_seed824,16,1.54799,2.30427,1.67395,5.52621,1.99008,3.57837,2.11436,7.68281,0.52302,0.45819,0.35815,0.14222,0.0005555
NEU-DET,Frozen Backbone,neu_det_frozen_backbone_seed824,17,1.54406,2.28806,1.69271,5.52483,1.9855,3.34751,2.12163,7.4546399999999995,0.50254,0.48205,0.38684,0.15635,0.000498584
NEU-DET,Frozen Backbone,neu_det_frozen_backbone_seed824,18,1.5044,2.27165,1.63471,5.41076,1.92314,3.20819,2.03272,7.16405,0.52832,0.47469,0.40775,0.17841,0.0004422922
NEU-DET,Frozen Backbone,neu_det_frozen_backbone_seed824,19,1.5475,2.2394,1.6684,5.4553,1.90415,2.96036,2.01326,6.87777,0.56402,0.46582,0.41624,0.18334,0.0003872404
NEU-DET,Frozen Backbone,neu_det_frozen_backbone_seed824,20,1.522,2.19515,1.65854,5.3756900000000005,1.94132,2.85246,2.04064,6.83442,0.55317,0.42889,0.39972,0.17256,0.0003340318
NEU-DET,Frozen Backbone,neu_det_frozen_backbone_seed824,21,1.55225,2.60006,1.70634,5.85865,1.91676,2.83174,2.01623,6.76473,0.57909,0.44108,0.41782,0.18104,0.00028325000000000003
NEU-DET,Frozen Backbone,neu_det_frozen_backbone_seed824,22,1.482,2.51286,1.70324,5.6981,1.89046,2.80471,1.98246,6.677630000000001,0.62464,0.43599,0.43639,0.19202,0.0002354508
NEU-DET,Frozen Backbone,neu_det_frozen_backbone_seed824,23,1.52175,2.40566,1.72482,5.65223,1.86008,2.81578,1.97504,6.6509,0.55462,0.49764,0.44924,0.19789,0.00019115824
NEU-DET,Frozen Backbone,neu_det_frozen_backbone_seed824,24,1.46449,2.47588,1.69815,5.63852,1.83378,2.78257,1.96362,6.57997,0.63994,0.42098,0.47405,0.2053,0.00015085754
NEU-DET,Frozen Backbone,neu_det_frozen_backbone_seed824,25,1.52065,2.41282,1.67593,5.6094,1.82721,2.77791,1.96065,6.56577,0.56679,0.50055,0.47421,0.20601,0.00011499046
NEU-DET,Frozen Backbone,neu_det_frozen_backbone_seed824,26,1.46861,2.34317,1.67905,5.49083,1.81816,2.76195,1.95431,6.534420000000001,0.59756,0.47032,0.46779,0.20626,8.394918e-05
NEU-DET,Frozen Backbone,neu_det_frozen_backbone_seed824,27,1.39731,2.36181,1.62703,5.386150000000001,1.81449,2.73614,1.95506,6.5056899999999995,0.58958,0.50081,0.48535,0.21156,5.80745e-05
NEU-DET,Frozen Backbone,neu_det_frozen_backbone_seed824,28,1.41651,2.2762,1.62493,5.31764,1.80998,2.72123,1.95526,6.48647,0.62117,0.48575,0.48532,0.21366,3.7649700000000006e-05
NEU-DET,Frozen Backbone,neu_det_frozen_backbone_seed824,29,1.42271,2.32161,1.6166,5.36092,1.80922,2.73458,1.9578,6.5016,0.61869,0.48852,0.48682,0.21431,2.289862e-05
NEU-DET,Frozen Backbone,neu_det_frozen_backbone_seed824,30,1.39286,2.28138,1.61758,5.29182,1.80857,2.7349,1.95819,6.50166,0.60706,0.51643,0.49416,0.21702,1.3982846e-05
NEU-DET,V-PEFT,neu_det_vpeft_seed824,1,2.00646,3.89015,1.98797,7.884580000000001,2.34562,4.38825,2.32357,9.05744,0.00665,0.37397,0.00539,0.00152,0.00010800000000000001
NEU-DET,V-PEFT,neu_det_vpeft_seed824,2,1.82552,3.84721,1.93013,7.60286,2.53063,4.54254,2.47595,9.549119999999998,0.00426,0.35253,0.00572,0.00198,0.00022438983333333332
NEU-DET,V-PEFT,neu_det_vpeft_seed824,3,1.9499,3.81685,2.0241,7.79085,2.51646,4.4862,2.454,9.456660000000001,0.00353,0.34923,0.03153,0.01161,0.000338301
