dataset,method,run_id,epoch,train_box_loss,train_cls_loss,train_dfl_loss,train_loss,val_box_loss,val_cls_loss,val_dfl_loss,val_loss,precision,recall,map50,map50_95,learning_rate,last_5_epoch_mean,previous_5_epoch_mean,delta,best_epoch,best_metric,last_epoch_metric,convergence_status
NEU-DET,Full-SFT,neu_full_seed824_e100,1,1.95788,3.84718,1.9347,7.73976,2.21492,4.32702,2.27695,8.81889,0.00893,0.40472,0.01921,0.00662,0.000132,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,2,1.68247,3.6853,1.74634,7.11411,2.11169,4.32889,2.37809,8.818670000000001,0.00811,0.53941,0.11146,0.04483,0.00027493280000000003,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,3,1.73009,3.58013,1.81305,7.12327,2.14978,4.31844,2.40629,8.874509999999999,0.00711,0.60953,0.10404,0.04031,0.0004175918,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,4,1.67811,3.40609,1.80118,6.88538,2.19187,4.20533,2.44478,8.84198,0.00609,0.66814,0.12977,0.04792,0.000559768,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,5,1.63002,3.21623,1.70068,6.54693,2.21087,3.97193,2.43779,8.62059,0.72461,0.01916,0.15755,0.06068,0.0007012514,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,6,1.73271,3.05942,1.80065,6.59278,2.55647,4.13843,2.79518,9.490079999999999,0.05876,0.12822,0.07576,0.01883,0.000841837,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,7,1.82038,2.92551,1.82443,6.570320000000001,2.6559,4.26964,2.71989,9.64543,0.11993,0.13888,0.06968,0.02019,0.0009813202,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,8,1.77128,2.79899,1.79026,6.36053,2.50712,3.77543,2.6422,8.92475,0.34406,0.18705,0.14922,0.05285,0.0010868872,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,9,1.71742,2.61862,1.72747,6.06351,2.57144,4.34714,2.74296,9.661539999999999,0.60216,0.1394,0.11098,0.04034,0.0010828942000000001,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,10,1.75548,2.64901,1.8181,6.22259,2.5948,4.53232,2.77023,9.897350000000001,0.0807,0.25866,0.0699,0.02388,0.0010783796000000002,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,11,1.79878,2.56307,1.79862,6.16047,2.81309,4.49957,2.88839,10.20105,0.25511,0.22234,0.10127,0.03646,0.001073351,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,12,1.72511,2.49564,1.78397,6.00472,2.63646,4.66083,2.73303,10.03032,0.08895,0.24975,0.11091,0.04548,0.0010678092,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,13,1.74732,2.48615,1.79623,6.0297,2.70405,5.57106,2.82079,11.0959,0.44648,0.16068,0.07684,0.02949,0.0010617634,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,14,1.71768,2.41179,1.75493,5.884399999999999,2.55748,5.86935,2.5977,11.024529999999999,0.22208,0.39288,0.16467,0.06122,0.0010552182,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,15,1.79975,2.60301,1.84463,6.247389999999999,2.67284,6.96659,2.65749,12.29692,0.43563,0.17898,0.148,0.053,0.0010481784,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,16,1.67135,2.3846,1.76784,5.823789999999999,2.3926,4.1764,2.56317,9.13217,0.39656,0.22448,0.17565,0.06901,0.0010406536,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,17,1.67507,2.32614,1.79503,5.79624,2.29787,3.74351,2.39899,8.44037,0.62392,0.22856,0.23565,0.09587,0.0010326484,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,18,1.631,2.41867,1.73404,5.78371,2.28509,3.64995,2.38386,8.3189,0.53768,0.28164,0.24166,0.08599,0.0010241730000000002,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,19,1.6166,2.29548,1.74571,5.65779,2.14506,3.5859,2.2662,7.997159999999999,0.44326,0.35409,0.31582,0.12557,0.0010152353999999999,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,20,1.63994,2.3215,1.76499,5.72643,2.16196,4.4492,2.26454,8.8757,0.42873,0.41829,0.3137,0.12314,0.0010058454,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,21,1.62296,2.23501,1.71314,5.57111,2.32263,5.69372,2.41928,10.43563,0.35562,0.37658,0.19754,0.07501,0.0009960102,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,22,1.65792,2.22326,1.7167,5.59788,2.18893,4.86643,2.29106,9.34642,0.35054,0.40383,0.22225,0.08364,0.0009857388,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,23,1.58543,2.19037,1.63491,5.41071,2.07728,4.2508,2.24705,8.57513,0.38813,0.43589,0.31007,0.10962,0.0009750448,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,24,1.61623,2.247,1.74233,5.60556,1.98388,3.64966,2.13687,7.77041,0.41549,0.44054,0.30091,0.11967,0.0009639353999999999,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,25,1.55583,2.187,1.67433,5.41716,2.01703,3.98807,2.14928,8.15438,0.48359,0.4454,0.34323,0.13987,0.0009524233999999999,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,26,1.50749,2.05547,1.62082,5.1837800000000005,2.02383,3.18353,2.08864,7.295999999999999,0.50673,0.43021,0.38313,0.15608,0.0009405205999999999,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,27,1.58991,2.09449,1.68247,5.3668700000000005,2.00526,2.84544,2.09137,6.942069999999999,0.52752,0.3756,0.39426,0.17448,0.0009282356,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,28,1.5616,2.02588,1.64568,5.23316,1.94792,2.9535,2.06935,6.97077,0.49926,0.45237,0.41223,0.17828,0.0009155844,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,29,1.53127,2.05708,1.64711,5.23546,1.98303,2.95754,2.05543,6.996,0.49775,0.47746,0.39161,0.1679,0.0009025774,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,30,1.52316,1.88231,1.5899,4.99537,1.97539,3.1592,2.09466,7.2292499999999995,0.44866,0.45559,0.37011,0.15966,0.0008892282,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,31,1.58506,2.09854,1.64198,5.3255799999999995,1.95643,2.84639,2.08652,6.88934,0.57214,0.41656,0.38921,0.16574,0.0008755498,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,32,1.49436,1.92166,1.60917,5.025189999999999,1.92961,2.66101,2.06813,6.65875,0.41256,0.48742,0.45139,0.20475,0.0008615538000000001,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,33,1.47508,2.06642,1.64299,5.18449,1.93118,2.49911,2.05172,6.482009999999999,0.65299,0.43634,0.50499,0.22658,0.0008472578,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,34,1.4977,2.02237,1.58484,5.10491,1.99322,2.61173,2.10052,6.70547,0.56205,0.47162,0.42634,0.18327,0.0008326732,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,35,1.45361,1.96558,1.53919,4.95838,1.98685,2.75557,2.08571,6.82813,0.50416,0.43109,0.3789,0.16158,0.0008178155999999999,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,36,1.41195,1.92423,1.54331,4.8794900000000005,1.89876,2.69915,2.08126,6.679169999999999,0.5436,0.43018,0.41408,0.19453,0.0008026976,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,37,1.38517,1.82389,1.52677,4.73583,1.88049,2.5749,2.0579,6.51329,0.64611,0.38717,0.4387,0.20291,0.0007873366,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
NEU-DET,Full-SFT,neu_full_seed824_e100,38,1.50795,1.95137,1.6024,5.06172,1.88642,2.42486,1.98969,6.3009699999999995,0.57939,0.45008,0.45296,0.20842,0.0007717475999999999,0.315564,0.31682,-0.0012559999999999794,85,0.32866,0.31617,CONVERGED_OR_PLATEAU
