dataset,method,run_id,epoch,train_box_loss,train_cls_loss,train_dfl_loss,train_loss,val_box_loss,val_cls_loss,val_dfl_loss,val_loss,precision,recall,map50,map50_95,learning_rate
NEU-DET,Full-SFT,neu_full_seed824_e75,1,1.95788,3.84718,1.9347,7.73976,2.21492,4.32702,2.27695,8.81889,0.00893,0.40472,0.01921,0.00662,0.000132
NEU-DET,Full-SFT,neu_full_seed824_e75,2,1.67999,3.6907,1.74496,7.11565,2.10516,4.34032,2.34716,8.79264,0.0085,0.54026,0.12814,0.05033,0.0002748804
NEU-DET,Full-SFT,neu_full_seed824_e75,3,1.72149,3.58057,1.81067,7.11273,2.29479,4.42922,2.50864,9.23265,0.0052,0.50462,0.10841,0.04195,0.0004172742
NEU-DET,Full-SFT,neu_full_seed824_e75,4,1.62801,3.37711,1.75769,6.76281,2.2235,4.1821,2.46423,8.86983,0.00553,0.62426,0.12893,0.05461,0.0005588104
NEU-DET,Full-SFT,neu_full_seed824_e75,5,1.62879,3.17305,1.69939,6.5012300000000005,2.07987,3.93822,2.29755,8.31564,0.88099,0.05845,0.14954,0.06677,0.0006991208000000001
NEU-DET,Full-SFT,neu_full_seed824_e75,6,1.76363,3.04656,1.81624,6.626430000000001,2.33346,3.98791,2.59263,8.914,0.7474,0.13674,0.1105,0.03905,0.0008378376
NEU-DET,Full-SFT,neu_full_seed824_e75,7,1.80023,2.91717,1.82026,6.53766,2.39462,3.94438,2.59673,8.93573,0.47296,0.20337,0.14764,0.04424,0.0009746048000000001
NEU-DET,Full-SFT,neu_full_seed824_e75,8,1.73854,2.78726,1.80176,6.32756,2.38555,3.78464,2.49487,8.66506,0.3592,0.26078,0.15082,0.0552,0.0010767612
NEU-DET,Full-SFT,neu_full_seed824_e75,9,1.65958,2.60774,1.72154,5.98886,2.41524,3.90695,2.65639,8.978580000000001,0.52175,0.20472,0.15075,0.05287,0.0010697122
NEU-DET,Full-SFT,neu_full_seed824_e75,10,1.70124,2.66671,1.79089,6.1588400000000005,2.3035,3.78188,2.47216,8.557540000000001,0.38386,0.27651,0.17358,0.06176,0.0010617634
NEU-DET,Full-SFT,neu_full_seed824_e75,11,1.76161,2.54528,1.79123,6.09812,2.73039,4.75042,2.92242,10.40323,0.40947,0.17774,0.07803,0.02694,0.0010529256000000001
NEU-DET,Full-SFT,neu_full_seed824_e75,12,1.77875,2.53151,1.82489,6.135149999999999,2.49933,4.29302,2.66808,9.46043,0.3358,0.28742,0.14497,0.04959,0.001043214
NEU-DET,Full-SFT,neu_full_seed824_e75,13,1.69155,2.56213,1.7766,6.03028,2.09901,3.53999,2.24451,7.883509999999999,0.38772,0.29629,0.25457,0.10054,0.0010326484
NEU-DET,Full-SFT,neu_full_seed824_e75,14,1.66875,2.43902,1.75966,5.867430000000001,2.24543,4.10547,2.35542,8.70632,0.39314,0.26273,0.20222,0.07724,0.0010212456
NEU-DET,Full-SFT,neu_full_seed824_e75,15,1.70129,2.5538,1.82802,6.08311,2.40687,12.2039,2.57224,17.18301,0.31179,0.35715,0.11712,0.0414,0.0010090251999999998
NEU-DET,Full-SFT,neu_full_seed824_e75,16,1.64741,2.40529,1.74273,5.79543,2.34416,6.23329,2.62044,11.197890000000001,0.12062,0.37004,0.14679,0.04803,0.0009960102
NEU-DET,Full-SFT,neu_full_seed824_e75,17,1.67004,2.41515,1.76931,5.8545,2.27123,4.02125,2.42045,8.71293,0.3265,0.38696,0.17568,0.06186,0.0009822216
NEU-DET,Full-SFT,neu_full_seed824_e75,18,1.58957,2.39463,1.69928,5.683479999999999,2.28526,4.568,2.32178,9.17504,0.38067,0.40171,0.20017,0.06917,0.0009676849999999999
NEU-DET,Full-SFT,neu_full_seed824_e75,19,1.61764,2.2857,1.72721,5.6305499999999995,2.0664,4.1531,2.16435,8.38385,0.45489,0.34022,0.29593,0.11324,0.0009524233999999999
NEU-DET,Full-SFT,neu_full_seed824_e75,20,1.59208,2.25935,1.73435,5.58578,2.19683,3.72976,2.26758,8.19417,0.43311,0.3528,0.24125,0.08795,0.0009364672000000001
NEU-DET,Full-SFT,neu_full_seed824_e75,21,1.63242,2.21397,1.71032,5.556710000000001,2.3016,4.13522,2.30932,8.74614,0.40617,0.32004,0.21809,0.07898,0.000919842
