dataset,method,seed,mAP50-95,mAP50,precision,recall,trainable_params,total_params,trainable_ratio,peak_gpu_memory_mib,elapsed_seconds,gpu_hours,checkpoint_size,adapter_size,exit_code,status,run_id,device,gpu_name,checkpoint_sha256
NEU-DET,Full-SFT,824,0.329271082024551,0.6400595003656631,0.5926559916754542,0.6448380052175213,2590994,2591010,0.9999938248019112,2652.16,349.684,0.09713442,5498650,0,0,PASS,neu_full_seed824_e100,0,NVIDIA GeForce RTX 4090,64544d58e0cb9331244022288738e429c4fb9555556bf38a7df2dd7ebcbbd4ab
NEU-DET,Full-SFT,825,0.3369660971664654,0.6369415093548864,0.6430517421371478,0.5626202989414949,2590994,2591010,0.9999938248019112,2652.16,357.501,0.09930581,5498650,0,0,PASS,neu_full_seed825_e100,0,NVIDIA GeForce RTX 4090,03dce18365106be6a8b7348255e6dbdc640043b38f92448f3d8fe918c1e428fb
NEU-DET,Full-SFT,826,0.3325672867674142,0.6363486812378666,0.5513602632128839,0.6451096267883724,2590994,2591010,0.9999938248019112,2652.16,361.318,0.10036617,5498650,0,0,PASS,neu_full_seed826_e100,0,NVIDIA GeForce RTX 4090,55e2662abffa455d1120a0d41623dbeb3239dc37a16dc3ed843777498ef6e641
NEU-DET,Frozen Backbone,824,0.29013037345959347,0.5736110191056554,0.4912692192153698,0.586196661857234,1225522,2591010,0.4729900695095735,1699.84,317.399,0.08816633,5498650,0,0,PASS,neu_frozen_seed824_e100,0,NVIDIA GeForce RTX 4090,9023c29898ff9480b07f86bd456c3175e7f88fb2f245b0bb6f1c559e73998ba3
NEU-DET,Frozen Backbone,825,0.3014284378647265,0.5813821883646177,0.5317413958756801,0.5867359926399452,1225522,2591010,0.4729900695095735,1699.84,333.687,0.09269073,5498650,0,0,PASS,neu_frozen_seed825_e100,1,NVIDIA GeForce RTX 4090,1f1ddb72d92fc69318d297c8d32ee4767c4029326b92969f559d2e890d439c6c
NEU-DET,Frozen Backbone,826,0.288936696618746,0.5756156370170821,0.5466410345369451,0.5606347207339393,1225522,2591010,0.4729900695095735,1699.84,324.274,0.09007614,5498650,0,0,PASS,neu_frozen_seed826_e100,1,NVIDIA GeForce RTX 4090,70438258909196af9fb5d56797842e5b962d4d80b9b8eab8648fe873f3763892
NEU-DET,V-PEFT,824,0.32803419678443413,0.6238517029405819,0.616230096355973,0.5839248296195537,613602,2772770,0.2212956718371881,2621.44,395.15,0.10976387,6037266,763747,0,PASS,neu_vpeft_seed824_e100,0,NVIDIA GeForce RTX 4090,a8b9f1dc7285dc73560b4aea962dde02f7daa581edbaf3428184c1d6154e3c35
NEU-DET,V-PEFT,825,0.3209134314739011,0.6111392519891955,0.6743775830314216,0.49782279746868524,613602,2772770,0.2212956718371881,2621.44,407.423,0.11317299,6037266,763747,0,PASS,neu_vpeft_seed825_e100,2,NVIDIA GeForce RTX 4090,8ec0119db01a3c8124d0e21f1e5e656319467496c65400edd33d89381f04e360
NEU-DET,V-PEFT,826,0.31191581404727825,0.598148100622752,0.7097801488921287,0.5264347181679965,613602,2772770,0.2212956718371881,2621.44,405.314,0.11258723,6037266,763746,0,PASS,neu_vpeft_seed826_e100,2,NVIDIA GeForce RTX 4090,395ddb28985c7bbe3b438aa72525a0ff0970167c800ea1f10a36e05864ba2f3d
DeepPCB,Full-SFT,824,0.63453779041467,0.920817740582632,0.9040055807388218,0.8557610669674177,2590994,2591010,0.9999938248019112,2672.64,369.01,0.10250289,5498650,0,0,PASS,deeppcb_full_seed824_e100,0,NVIDIA GeForce RTX 4090,009094ae65537cb54f503b4e4189313c9a942242c03e2e80afebfca13950fc49
