epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,2.30624,3.83027,5.29279,2.54477,0.0001,0.00483,0,0,3.80968,5.1511,2.56343,1e-05,1e-05,1e-05,5e-06,2e-05
2,3.93418,4.02159,5.02877,2.27866,0.00018,0.01065,0,0,3.77315,5.13775,2.51885,2.99927e-05,2.99927e-05,2.99927e-05,1.49963e-05,5.99853e-05
3,5.74705,3.88769,4.88778,2.29271,0.00027,0.01486,1e-05,0,3.70996,5.10776,2.45049,4.99512e-05,4.99512e-05,4.99512e-05,2.49756e-05,9.99023e-05
4,7.38872,3.71374,4.86198,2.29943,0.00045,0.02434,3e-05,0,3.611,5.06629,2.35695,6.98462e-05,6.98462e-05,6.98462e-05,3.49231e-05,0.000139692
5,9.02814,3.85833,4.79136,2.17887,0.00057,0.03563,9e-05,1e-05,3.54405,5.03514,2.2968,8.96487e-05,8.96487e-05,8.96487e-05,4.48244e-05,0.000179297
6,10.6681,3.58603,4.92697,2.16593,0.00069,0.04498,0.00037,7e-05,3.45499,5.00493,2.22987,0.00010933,0.00010933,0.00010933,5.46648e-05,0.000218659
7,12.3071,3.50393,4.75077,1.96653,0.00072,0.04585,0.00093,0.00026,3.33769,4.96588,2.14909,0.00012886,0.00012886,0.00012886,6.44301e-05,0.00025772
8,14.0654,3.25936,4.77778,1.98775,0.00064,0.04162,0.00236,0.00099,3.18533,4.9158,2.05357,0.000148212,0.000148212,0.000148212,7.41059e-05,0.000296424
9,15.7223,3.27294,4.58521,2.10471,0.00078,0.04744,0.00537,0.00262,3.0095,4.85339,1.93928,0.000167356,0.000167356,0.000167356,8.36781e-05,0.000334713
10,17.3593,3.14199,4.69684,1.78284,0.00065,0.04357,0.00641,0.00255,2.82296,4.78993,1.82539,0.000186266,0.000186266,0.000186266,9.31328e-05,0.000372531
11,18.9895,2.93844,4.66525,1.93093,0.001,0.0499,0.01103,0.0041,2.64405,4.72182,1.72229,0.000204912,0.000204912,0.000204912,0.000102456,0.000409825
12,20.7126,2.98519,4.62267,1.63274,0.0012,0.05553,0.01482,0.0048,2.49286,4.66963,1.63964,0.000223269,0.000223269,0.000223269,0.000111635,0.000446539
13,22.3407,2.45742,4.48838,1.60248,0.00116,0.05741,0.01603,0.00488,2.36494,4.64046,1.57517,0.00024131,0.00024131,0.00024131,0.000120655,0.00048262
14,23.983,2.5157,4.36,1.45086,0.00141,0.06563,0.01881,0.00559,2.25449,4.62041,1.52403,0.000259008,0.000259008,0.000259008,0.000129504,0.000518016
15,25.6199,2.47679,4.35467,1.48057,0.00148,0.07745,0.02139,0.00621,2.15289,4.60515,1.46963,0.000276338,0.000276338,0.000276338,0.000138169,0.000552676
