epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,2.47526,3.83979,4.81368,2.38454,8e-05,0.00423,2e-05,1e-05,3.80036,5.1568,2.55616,1e-05,1e-05,1e-05,5e-06,2e-05
2,4.28179,3.73232,4.80125,2.60368,0.00011,0.00423,2e-05,1e-05,3.74371,5.13117,2.49267,2.99927e-05,2.99927e-05,2.99927e-05,1.49963e-05,5.99853e-05
3,6.30275,3.97788,4.85596,2.0739,0.00021,0.00638,2e-05,1e-05,3.66093,5.09423,2.40221,4.99512e-05,4.99512e-05,4.99512e-05,2.49756e-05,9.99023e-05
4,8.15447,3.78851,4.89813,2.09689,0.00021,0.00632,4e-05,1e-05,3.54524,5.04908,2.29264,6.98462e-05,6.98462e-05,6.98462e-05,3.49231e-05,0.000139692
5,9.97422,3.55674,4.75359,2.23524,0.00017,0.00456,3e-05,1e-05,3.46807,5.01523,2.22601,8.96487e-05,8.96487e-05,8.96487e-05,4.48244e-05,0.000179297
6,11.7675,3.55128,4.81808,2.16314,0.00026,0.00564,3e-05,1e-05,3.36665,4.98091,2.14933,0.00010933,0.00010933,0.00010933,5.46648e-05,0.000218659
7,13.7422,3.4001,4.75704,1.96348,0.0002,0.00559,1e-05,1e-05,3.24297,4.935,2.05794,0.00012886,0.00012886,0.00012886,6.44301e-05,0.00025772
8,15.5416,3.02669,4.6684,1.96314,0.00023,0.007,1e-05,0,3.08817,4.8642,1.94941,0.000148212,0.000148212,0.000148212,7.41059e-05,0.000296424
9,17.3219,3.15818,4.60589,1.78129,0.00014,0.00621,1e-05,0,2.90674,4.79767,1.83749,0.000167356,0.000167356,0.000167356,8.36781e-05,0.000334713
10,19.2413,3.06849,4.62873,1.91987,0.00024,0.00686,1e-05,0,2.70903,4.70115,1.7051,0.000186266,0.000186266,0.000186266,9.31328e-05,0.000372531
11,21.0347,2.62878,4.50644,1.68197,0.00033,0.00787,3e-05,2e-05,2.48734,4.63078,1.58502,0.000204912,0.000204912,0.000204912,0.000102456,0.000409825
12,22.8464,2.55853,4.89531,1.69937,0.00048,0.00941,9e-05,4e-05,2.30835,4.58001,1.49257,0.000223269,0.000223269,0.000223269,0.000111635,0.000446539
13,24.6225,2.31986,4.45002,1.46366,0.00066,0.00974,0.00036,0.00014,2.18327,4.56495,1.43817,0.00024131,0.00024131,0.00024131,0.000120655,0.00048262
14,26.5954,2.23188,4.38213,1.40202,0.0018,0.01858,0.00083,0.00016,2.07782,4.54807,1.38546,0.000259008,0.000259008,0.000259008,0.000129504,0.000518016
15,28.3997,2.15939,4.32912,1.34121,0.00526,0.03322,0.001,0.00023,1.96986,4.53917,1.33582,0.000276338,0.000276338,0.000276338,0.000138169,0.000552676
16,30.1968,2.15726,4.36937,1.33768,0.00655,0.04619,0.00155,0.00034,1.88578,4.52997,1.29517,0.000293275,0.000293275,0.000293275,0.000146637,0.00058655
17,31.9637,2.0339,4.19355,1.28789,0.00947,0.07652,0.00357,0.00087,1.81247,4.5178,1.25664,0.000309795,0.000309795,0.000309795,0.000154897,0.000619589
18,33.8651,2.24956,4.21359,1.34681,0.00964,0.09959,0.00631,0.00157,1.76202,4.49962,1.22617,0.000325874,0.000325874,0.000325874,0.000162937,0.000651747
19,35.6755,1.91445,4.14323,1.25967,0.01098,0.15007,0.00956,0.0021,1.72139,4.47475,1.20037,0.000341489,0.000341489,0.000341489,0.000170744,0.000682977
20,37.4674,2.31759,4.09388,1.32696,0.0094,0.15559,0.00934,0.00197,1.71222,4.4647,1.19517,0.000356618,0.000356618,0.000356618,0.000178309,0.000713236
21,39.4364,1.97213,3.93318,1.19692,0.00824,0.16081,0.00969,0.00233,1.72337,4.43718,1.19069,0.00037124,0.00037124,0.00037124,0.00018562,0.00074248
22,41.2754,2.06042,3.95431,1.25143,0.00763,0.1685,0.01062,0.00228,1.74513,4.40638,1.18802,0.000385334,0.000385334,0.000385334,0.000192667,0.000770669
23,43.0652,1.85979,3.72833,1.15599,0.00791,0.17872,0.01319,0.00327,1.73419,4.3708,1.17152,0.000398882,0.000398882,0.000398882,0.000199441,0.000797764
24,44.8829,1.81514,3.77044,1.13979,0.00731,0.17915,0.01375,0.00342,1.69062,4.35227,1.16075,0.000411863,0.000411863,0.000411863,0.000205932,0.000823727
25,46.8782,1.9422,3.77274,1.22797,0.00669,0.18461,0.01337,0.00438,1.63081,4.30989,1.14131,0.000424261,0.000424261,0.000424261,0.000212131,0.000848523
26,48.6995,1.74374,3.49763,1.10601,0.00516,0.14739,0.00951,0.00263,1.56714,4.28651,1.12822,0.000436059,0.000436059,0.000436059,0.00021803,0.000872118
27,50.5203,2.071,3.62714,1.16021,0.00471,0.12485,0.00965,0.00338,1.56536,4.27566,1.12872,0.000447241,0.000447241,0.000447241,0.00022362,0.000894482
28,52.2866,1.88633,3.40081,1.18319,0.00564,0.16054,0.01741,0.00679,1.57677,4.24506,1.12865,0.000457792,0.000457792,0.000457792,0.000228896,0.000915584
29,54.2723,1.90103,3.37352,1.16324,0.00686,0.19793,0.0265,0.00994,1.62365,4.23205,1.15204,0.000467699,0.000467699,0.000467699,0.00023385,0.000935398
30,56.0914,1.72524,3.11673,1.15502,0.0075,0.23251,0.03333,0.0124,1.65852,4.2168,1.17581,0.00047695,0.00047695,0.00047695,0.000238475,0.000953899
31,57.9243,2.04153,3.17205,1.18705,0.00858,0.27971,0.04453,0.01554,1.65582,4.2127,1.1838,0.000485532,0.000485532,0.000485532,0.000242766,0.000971064
32,59.9046,1.98002,3.33924,1.39896,0.00977,0.33795,0.05102,0.01723,1.64866,4.18484,1.18473,0.000493436,0.000493436,0.000493436,0.000246718,0.000986871
33,61.7542,1.99568,3.15699,1.1678,0.01111,0.3853,0.05806,0.02012,1.61317,4.15144,1.17239,0.000500652,0.000500652,0.000500652,0.000250326,0.0010013
34,63.6009,1.71917,2.77547,1.08741,0.01217,0.4188,0.06952,0.02442,1.57761,4.10554,1.16845,0.000507174,0.000507174,0.000507174,0.000253587,0.00101435
35,65.4305,1.68441,2.66264,1.1185,0.01344,0.45019,0.0808,0.03012,1.61874,4.04252,1.18602,0.000512993,0.000512993,0.000512993,0.000256496,0.00102599
