epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,3.18614,3.81687,5.07857,2.56924,0.00016,0.00743,0,0,3.80895,5.15958,2.56547,1e-05,1e-05,1e-05,5e-06,1e-05,9e-06
2,5.3905,3.91495,5.03384,2.14724,0.00013,0.00656,0,0,3.77462,5.15023,2.52863,2.99927e-05,2.99927e-05,2.99927e-05,1.49963e-05,2.99927e-05,2.69934e-05
3,7.74175,3.79204,4.81284,2.27075,0.00011,0.00569,0,0,3.72894,5.13716,2.49376,4.99512e-05,4.99512e-05,4.99512e-05,2.49756e-05,4.99512e-05,4.4956e-05
4,9.92228,3.48272,4.90722,2.25371,0.00016,0.00656,0,0,3.66919,5.11468,2.44612,6.98462e-05,6.98462e-05,6.98462e-05,3.49231e-05,6.98462e-05,6.28616e-05
5,12.2148,4.15066,4.82414,2.28786,0.00013,0.00716,0,0,3.63161,5.10513,2.41766,8.96487e-05,8.96487e-05,8.96487e-05,4.48244e-05,8.96487e-05,8.06838e-05
6,14.3423,3.58608,5.03123,2.12231,0.00018,0.00716,0,0,3.57869,5.09185,2.38125,0.00010933,0.00010933,0.00010933,5.46648e-05,0.00010933,9.83967e-05
7,16.6134,3.69146,4.8248,2.1172,0.00017,0.00629,0,0,3.51079,5.07839,2.33748,0.00012886,0.00012886,0.00012886,6.44301e-05,0.00012886,0.000115974
8,18.7343,3.41929,4.78279,2.10657,0.00016,0.00542,0,0,3.43148,5.0519,2.2893,0.000148212,0.000148212,0.000148212,7.41059e-05,0.000148212,0.000133391
9,21.0137,3.57603,4.69556,2.32555,0.00024,0.00802,0,0,3.34475,5.03028,2.24132,0.000167356,0.000167356,0.000167356,8.36781e-05,0.000167356,0.000150621
10,23.1246,3.42215,4.79253,1.99959,0.00017,0.00629,0,0,3.24665,5.01129,2.19016,0.000186266,0.000186266,0.000186266,9.31328e-05,0.000186266,0.000167639
11,25.4035,3.26807,4.93233,2.15786,0.0002,0.00802,0,0,3.13706,4.98465,2.1294,0.000204912,0.000204912,0.000204912,0.000102456,0.000204912,0.000184421
12,27.5143,3.48544,4.8242,1.94528,0.00022,0.00916,1e-05,0,3.03105,4.94866,2.07021,0.000223269,0.000223269,0.000223269,0.000111635,0.000223269,0.000200942
13,29.769,2.75266,4.5704,1.88171,0.00023,0.00916,1e-05,0,2.92963,4.91767,2.01422,0.00024131,0.00024131,0.00024131,0.000120655,0.00024131,0.000217179
14,31.8701,3.05403,4.61197,1.80503,0.00022,0.00856,1e-05,0,2.83114,4.88683,1.96022,0.000259008,0.000259008,0.000259008,0.000129504,0.000259008,0.000233107
15,34.1339,2.99877,4.57178,1.82065,0.00024,0.00838,1e-05,0,2.72925,4.85071,1.89558,0.000276338,0.000276338,0.000276338,0.000138169,0.000276338,0.000248704
16,36.2522,2.85377,4.59913,1.74386,0.00034,0.01073,2e-05,1e-05,2.62783,4.8151,1.83196,0.000293275,0.000293275,0.000293275,0.000146637,0.000293275,0.000263947
17,38.4982,2.63332,4.5867,1.63637,0.00043,0.01333,4e-05,2e-05,2.52323,4.77946,1.76073,0.000309795,0.000309795,0.000309795,0.000154897,0.000309795,0.000278815
18,40.5918,2.85157,4.59351,1.68719,0.00044,0.0142,5e-05,3e-05,2.42635,4.75474,1.69829,0.000325874,0.000325874,0.000325874,0.000162937,0.000325874,0.000293286
19,42.8725,2.5052,4.43514,1.61352,0.00036,0.01421,6e-05,3e-05,2.3145,4.73156,1.63231,0.000341489,0.000341489,0.000341489,0.000170744,0.000341489,0.00030734
