epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,11.748,2.71183,4.44165,1.64544,0.76914,0.08879,0.09438,0.03178,1.78942,4.07727,1.12119,0.000328042,0.000328042,0.000328042,0.000164021,0.000656085
2,22.884,1.90971,3.34588,1.16873,0.18969,0.29556,0.18491,0.08086,1.6383,2.96876,1.10432,0.000661214,0.000661214,0.000661214,0.000330607,0.00132243
3,34.2439,1.75544,2.63429,1.15044,0.3276,0.51491,0.34536,0.17011,1.49931,2.67414,1.12248,0.000993737,0.000993737,0.000993737,0.000496869,0.00198747
4,45.3489,1.70629,2.30348,1.12012,0.4183,0.50629,0.45228,0.24245,1.44142,2.13754,1.08923,0.000997803,0.000997803,0.000997803,0.000498902,0.00199561
5,55.9215,1.64813,2.08828,1.11825,0.52376,0.56813,0.54911,0.28095,1.40154,1.99461,1.08363,0.000996097,0.000996097,0.000996097,0.000498048,0.00199219
6,66.8243,1.60404,1.95284,1.09284,0.53907,0.63278,0.59948,0.34453,1.32464,1.80959,1.03535,0.000993906,0.000993906,0.000993906,0.000496953,0.00198781
7,78.3062,1.51751,1.81405,1.08021,0.63746,0.627,0.67012,0.35456,1.4077,1.75932,1.08182,0.000991232,0.000991232,0.000991232,0.000495616,0.00198246
8,88.9528,1.49791,1.71106,1.06295,0.65784,0.69478,0.71096,0.39327,1.36021,1.61231,1.05178,0.000988079,0.000988079,0.000988079,0.000494039,0.00197616
9,99.7761,1.477,1.5786,1.0561,0.73759,0.69933,0.76754,0.42719,1.36165,1.51021,1.06286,0.000984449,0.000984449,0.000984449,0.000492224,0.0019689
10,111.002,1.44722,1.50202,1.03678,0.76651,0.67826,0.76001,0.3511,1.5541,1.55834,1.097,0.000980345,0.000980345,0.000980345,0.000490173,0.00196069
11,122.479,1.43686,1.50021,1.04963,0.76222,0.72527,0.78451,0.43275,1.33806,1.4428,1.03773,0.000975773,0.000975773,0.000975773,0.000487886,0.00195155
12,133.748,1.44152,1.41229,1.03264,0.7917,0.76359,0.82298,0.47107,1.31853,1.36217,1.03807,0.000970736,0.000970736,0.000970736,0.000485368,0.00194147
13,144.933,1.46237,1.41217,1.04196,0.801,0.763,0.85054,0.4965,1.31501,1.28249,1.03693,0.000965239,0.000965239,0.000965239,0.00048262,0.00193048
14,155.148,1.40453,1.32432,1.02981,0.8279,0.75892,0.84667,0.45785,1.39662,1.33247,1.07125,0.000959289,0.000959289,0.000959289,0.000479644,0.00191858
15,166.087,1.38003,1.27402,1.0174,0.83105,0.77947,0.85202,0.47044,1.34011,1.2666,1.02974,0.000952889,0.000952889,0.000952889,0.000476445,0.00190578
16,177.154,1.37403,1.26322,1.01625,0.8454,0.8162,0.88,0.49629,1.34884,1.18381,1.04636,0.000946048,0.000946048,0.000946048,0.000473024,0.0018921
17,187.925,1.38153,1.21686,1.01064,0.84491,0.781,0.87168,0.48238,1.36125,1.22017,1.04066,0.000938772,0.000938772,0.000938772,0.000469386,0.00187754
18,198.701,1.3528,1.19766,0.99976,0.84899,0.80221,0.8758,0.5095,1.28025,1.16607,1.02204,0.000931067,0.000931067,0.000931067,0.000465534,0.00186213
19,209.818,1.3367,1.1685,1.01464,0.85281,0.78405,0.86679,0.48529,1.33487,1.19249,1.04174,0.000922942,0.000922942,0.000922942,0.000461471,0.00184588
20,220.726,1.37456,1.18794,1.00767,0.83246,0.78309,0.85619,0.44045,1.42442,1.25427,1.0462,0.000914405,0.000914405,0.000914405,0.000457202,0.00182881
21,231.346,1.3508,1.1799,0.99941,0.85452,0.79265,0.87884,0.48354,1.34466,1.1535,1.0397,0.000905463,0.000905463,0.000905463,0.000452732,0.00181093
22,241.88,1.36853,1.17296,1.01941,0.85626,0.79497,0.87815,0.48388,1.32227,1.19473,1.03113,0.000896127,0.000896127,0.000896127,0.000448063,0.00179225
23,252.669,1.31209,1.12836,0.99524,0.88408,0.82016,0.89971,0.53957,1.28049,1.08886,1.01256,0.000886404,0.000886404,0.000886404,0.000443202,0.00177281
24,263.677,1.30916,1.10448,0.98848,0.87807,0.83346,0.90781,0.5347,1.28473,1.10495,1.02192,0.000876305,0.000876305,0.000876305,0.000438152,0.00175261
25,274.679,1.28376,1.07559,0.99171,0.88041,0.83066,0.90195,0.52986,1.29493,1.06316,1.01766,0.000865839,0.000865839,0.000865839,0.00043292,0.00173168
26,285.33,1.31473,1.09546,0.98917,0.84497,0.82964,0.88453,0.52,1.26819,1.08397,1.01314,0.000855018,0.000855018,0.000855018,0.000427509,0.00171004
27,294.985,1.28018,1.06345,0.9803,0.88922,0.81744,0.90616,0.53862,1.25946,1.04756,1.00852,0.000843851,0.000843851,0.000843851,0.000421925,0.0016877
28,305.293,1.27684,1.05263,0.98679,0.88393,0.82824,0.9063,0.52647,1.32865,1.05739,1.02656,0.000832349,0.000832349,0.000832349,0.000416175,0.0016647
29,316.022,1.29223,1.02841,0.9793,0.88935,0.83094,0.90615,0.522,1.31312,1.01091,1.02049,0.000820525,0.000820525,0.000820525,0.000410262,0.00164105
30,325.739,1.26783,1.02348,0.97446,0.88351,0.85597,0.91948,0.55074,1.25971,0.99433,1.01256,0.000808389,0.000808389,0.000808389,0.000404194,0.00161678
31,335.475,1.285,1.01099,0.98461,0.89129,0.86133,0.92537,0.57503,1.22688,0.96068,0.99496,0.000795954,0.000795954,0.000795954,0.000397977,0.00159191
32,345.695,1.25972,0.99069,0.97657,0.88423,0.8575,0.91758,0.55233,1.24162,0.99829,1.00275,0.000783231,0.000783231,0.000783231,0.000391616,0.00156646
33,355.933,1.23695,0.97694,0.9731,0.92181,0.83224,0.9285,0.56502,1.25328,0.96806,1.00468,0.000770234,0.000770234,0.000770234,0.000385117,0.00154047
34,366.436,1.27073,0.98268,0.97444,0.88256,0.85428,0.92386,0.57197,1.22247,0.96127,0.99494,0.000756976,0.000756976,0.000756976,0.000378488,0.00151395
35,377.125,1.27191,0.99629,0.97486,0.86745,0.85312,0.91484,0.53602,1.27061,0.99131,1.00639,0.000743468,0.000743468,0.000743468,0.000371734,0.00148694
36,388.2,1.23709,0.96393,0.9652,0.90502,0.84289,0.91785,0.55163,1.25335,0.97209,1.0004,0.000729725,0.000729725,0.000729725,0.000364863,0.00145945
37,399.025,1.24653,0.96294,0.96932,0.87615,0.8536,0.91934,0.56047,1.22779,0.95434,0.99185,0.000715761,0.000715761,0.000715761,0.00035788,0.00143152
38,409.733,1.24112,0.96448,0.9656,0.90741,0.86845,0.92901,0.57373,1.21741,0.91799,0.99404,0.000701588,0.000701588,0.000701588,0.000350794,0.00140318
39,420.407,1.2194,0.94701,0.96714,0.89602,0.86304,0.93207,0.58114,1.21646,0.88656,0.98917,0.000687222,0.000687222,0.000687222,0.000343611,0.00137444
40,431.227,1.20997,0.9145,0.96067,0.92553,0.85536,0.93572,0.58878,1.21275,0.90202,0.98442,0.000672675,0.000672675,0.000672675,0.000336338,0.00134535
41,441.741,1.22781,0.91437,0.969,0.90206,0.86034,0.93347,0.5521,1.27518,0.91839,1.0034,0.000657963,0.000657963,0.000657963,0.000328982,0.00131593
42,452.425,1.23079,0.92679,0.96632,0.90549,0.86011,0.93239,0.58758,1.20046,0.90087,0.97882,0.000643101,0.000643101,0.000643101,0.00032155,0.0012862
43,463.012,1.22555,0.92062,0.96046,0.90768,0.8497,0.92885,0.57507,1.20726,0.89521,0.98358,0.000628101,0.000628101,0.000628101,0.000314051,0.0012562
44,473.744,1.20485,0.89717,0.959,0.90873,0.86431,0.93792,0.58811,1.19477,0.87967,0.97754,0.000612981,0.000612981,0.000612981,0.00030649,0.00122596
45,484.402,1.21289,0.88966,0.95731,0.9045,0.85119,0.9321,0.58398,1.20805,0.87658,0.98639,0.000597754,0.000597754,0.000597754,0.000298877,0.00119551
