epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,14.0843,3.04601,4.73442,1.92269,0.00044,0.00548,5e-05,3e-05,1.9839,4.65506,1.43267,0.000328042,0.000328042,0.000328042,0.000164021,0.000328042,0.000295238
2,27.0272,2.19525,4.05588,1.41293,0.08137,0.26251,0.09208,0.04249,1.83746,3.60581,1.29725,0.000661214,0.000661214,0.000661214,0.000330607,0.000661214,0.000595093
3,39.9327,1.97316,3.13352,1.288,0.10964,0.30557,0.10916,0.04946,1.77805,4.03318,1.24115,0.000993737,0.000993737,0.000993737,0.000496869,0.000993737,0.000894364
4,52.4783,1.83628,2.76398,1.21488,0.20423,0.30886,0.1797,0.07867,1.59926,2.8722,1.19754,0.000997803,0.000997803,0.000997803,0.000498902,0.000997803,0.000898023
5,65.3962,1.76423,2.48663,1.20679,0.2689,0.3865,0.28688,0.16259,1.40323,2.45286,1.1215,0.000996097,0.000996097,0.000996097,0.000498048,0.000996097,0.000896487
6,77.7896,1.67082,2.39625,1.1423,0.31303,0.45328,0.37227,0.23074,1.34129,2.23884,1.08938,0.000993906,0.000993906,0.000993906,0.000496953,0.000993906,0.000894515
7,90.5514,1.60013,2.18557,1.14216,0.4118,0.56508,0.4921,0.28404,1.31424,2.02709,1.08885,0.000991232,0.000991232,0.000991232,0.000495616,0.000991232,0.000892109
8,103.134,1.51814,1.99424,1.09878,0.4765,0.60597,0.56732,0.363,1.24596,1.79886,1.07352,0.000988079,0.000988079,0.000988079,0.000494039,0.000988079,0.000889271
9,115.838,1.48242,1.85469,1.08643,0.46925,0.64776,0.58765,0.32806,1.51736,1.82586,1.16208,0.000984449,0.000984449,0.000984449,0.000492224,0.000984449,0.000886004
10,128.503,1.54241,1.77457,1.09176,0.55855,0.62774,0.63879,0.41673,1.20481,1.63996,1.05125,0.000980345,0.000980345,0.000980345,0.000490173,0.000980345,0.000882311
11,141.389,1.48791,1.74556,1.10053,0.65499,0.6366,0.67448,0.38089,1.35087,1.64089,1.08353,0.000975773,0.000975773,0.000975773,0.000487886,0.000975773,0.000878196
12,154.094,1.41452,1.62653,1.0626,0.69616,0.65601,0.71126,0.34294,1.56601,1.65208,1.14973,0.000970736,0.000970736,0.000970736,0.000485368,0.000970736,0.000873662
13,166.901,1.41987,1.5722,1.06827,0.63502,0.69338,0.72847,0.41853,1.44607,1.54339,1.13923,0.000965239,0.000965239,0.000965239,0.00048262,0.000965239,0.000868715
14,179.554,1.38828,1.51908,1.05733,0.72081,0.70709,0.78197,0.48964,1.23329,1.35007,1.05361,0.000959289,0.000959289,0.000959289,0.000479644,0.000959289,0.00086336
15,192.284,1.38769,1.46133,1.04477,0.76444,0.73037,0.7923,0.39815,1.46097,1.45028,1.10714,0.000952889,0.000952889,0.000952889,0.000476445,0.000952889,0.0008576
16,205.202,1.41552,1.43289,1.06419,0.78701,0.74456,0.82575,0.49347,1.26825,1.29816,1.06163,0.000946048,0.000946048,0.000946048,0.000473024,0.000946048,0.000851443
17,217.79,1.37685,1.39501,1.0462,0.80706,0.77067,0.8463,0.52193,1.27278,1.21933,1.06523,0.000938772,0.000938772,0.000938772,0.000469386,0.000938772,0.000844895
18,230.523,1.32576,1.32763,1.02055,0.79386,0.75407,0.83173,0.45788,1.40302,1.28732,1.08885,0.000931067,0.000931067,0.000931067,0.000465534,0.000931067,0.000837961
19,243.362,1.34814,1.31825,1.04557,0.84508,0.75868,0.84451,0.45493,1.42466,1.26297,1.09956,0.000922942,0.000922942,0.000922942,0.000461471,0.000922942,0.000830648
20,255.926,1.42908,1.31994,1.05698,0.84838,0.77558,0.86855,0.56805,1.17464,1.14629,1.03038,0.000914405,0.000914405,0.000914405,0.000457202,0.000914405,0.000822964
21,268.712,1.39222,1.30518,1.04303,0.83939,0.79109,0.87284,0.55243,1.19646,1.12777,1.0339,0.000905463,0.000905463,0.000905463,0.000452732,0.000905463,0.000814917
22,281.036,1.34565,1.27155,1.04545,0.87538,0.79989,0.89139,0.55579,1.19986,1.0965,1.02736,0.000896127,0.000896127,0.000896127,0.000448063,0.000896127,0.000806514
23,293.732,1.32584,1.2339,1.03268,0.86372,0.79681,0.8879,0.5125,1.31125,1.12728,1.06034,0.000886404,0.000886404,0.000886404,0.000443202,0.000886404,0.000797764
24,306.273,1.30969,1.21252,1.02401,0.83457,0.83242,0.89138,0.53641,1.24018,1.09871,1.0378,0.000876305,0.000876305,0.000876305,0.000438152,0.000876305,0.000788674
25,318.952,1.29693,1.18735,1.03029,0.86889,0.83296,0.90021,0.58651,1.16103,1.00827,1.01553,0.000865839,0.000865839,0.000865839,0.00043292,0.000865839,0.000779256
26,331.352,1.33033,1.1869,1.02307,0.88934,0.82535,0.90534,0.6031,1.1163,0.98736,1.00128,0.000855018,0.000855018,0.000855018,0.000427509,0.000855018,0.000769516
27,343.896,1.28048,1.14226,1.01165,0.84587,0.84138,0.90646,0.57115,1.20261,1.00367,1.0216,0.000843851,0.000843851,0.000843851,0.000421925,0.000843851,0.000759466
28,356.415,1.24594,1.13152,1.01069,0.89334,0.82041,0.9186,0.61446,1.0958,0.95428,0.99915,0.000832349,0.000832349,0.000832349,0.000416175,0.000832349,0.000749114
29,368.948,1.25602,1.10439,1.00367,0.90228,0.82277,0.91144,0.57831,1.21941,0.988,1.02581,0.000820525,0.000820525,0.000820525,0.000410262,0.000820525,0.000738472
30,381.295,1.25133,1.08099,1.00385,0.89861,0.83734,0.92145,0.62209,1.09293,0.92542,0.99546,0.000808389,0.000808389,0.000808389,0.000404194,0.000808389,0.00072755
31,393.782,1.28219,1.10057,1.01806,0.88297,0.80714,0.88019,0.4198,1.68732,1.15701,1.17349,0.000795954,0.000795954,0.000795954,0.000397977,0.000795954,0.000716358
32,406.052,1.25572,1.09962,1.00856,0.90514,0.84363,0.92439,0.58538,1.20072,0.94501,1.01948,0.000783231,0.000783231,0.000783231,0.000391616,0.000783231,0.000704908
33,418.769,1.25169,1.07629,1.00934,0.89797,0.84531,0.92093,0.63206,1.05477,0.90258,0.97959,0.000770234,0.000770234,0.000770234,0.000385117,0.000770234,0.000693211
34,431.292,1.27145,1.09059,1.00349,0.93311,0.82995,0.93183,0.65314,1.03933,0.8895,0.97926,0.000756976,0.000756976,0.000756976,0.000378488,0.000756976,0.000681278
35,443.963,1.23565,1.07428,0.99936,0.91495,0.85151,0.93328,0.65558,1.02292,0.85572,0.98053,0.000743468,0.000743468,0.000743468,0.000371734,0.000743468,0.000669121
36,455.884,1.25157,1.07728,0.99886,0.88733,0.81664,0.91561,0.5954,1.14873,0.92869,1.00639,0.000729725,0.000729725,0.000729725,0.000364863,0.000729725,0.000656753
37,468.478,1.22034,1.04027,0.9965,0.9272,0.84247,0.92421,0.60089,1.17182,0.91711,1.01081,0.000715761,0.000715761,0.000715761,0.00035788,0.000715761,0.000644185
38,480.287,1.24887,1.04834,0.9986,0.89313,0.86052,0.93567,0.64136,1.08848,0.87144,0.98359,0.000701588,0.000701588,0.000701588,0.000350794,0.000701588,0.000631429
39,491.621,1.21763,1.0481,0.99851,0.91686,0.83849,0.92507,0.59746,1.21422,0.91358,1.01774,0.000687222,0.000687222,0.000687222,0.000343611,0.000687222,0.000618499
40,502.838,1.22202,1.03631,0.99461,0.92516,0.84874,0.93661,0.60988,1.14758,0.87257,1.00464,0.000672675,0.000672675,0.000672675,0.000336338,0.000672675,0.000605408
41,515.339,1.21281,1.01759,0.99892,0.91946,0.84724,0.92733,0.59141,1.20763,0.91274,1.01732,0.000657963,0.000657963,0.000657963,0.000328982,0.000657963,0.000592167
42,527.777,1.22958,1.01858,0.99878,0.92162,0.86556,0.93948,0.64911,1.06915,0.82836,0.97837,0.000643101,0.000643101,0.000643101,0.00032155,0.000643101,0.000578791
43,540.379,1.28412,1.04543,1.00488,0.92004,0.83847,0.9299,0.5801,1.24644,0.87827,1.02916,0.000628101,0.000628101,0.000628101,0.000314051,0.000628101,0.000565291
44,552.896,1.27031,1.01936,1.00472,0.91572,0.85359,0.92901,0.58522,1.18764,0.89248,1.00881,0.000612981,0.000612981,0.000612981,0.00030649,0.000612981,0.000551683
45,565.508,1.22828,0.99388,0.99224,0.93333,0.85366,0.94141,0.63658,1.09468,0.81806,0.98513,0.000597754,0.000597754,0.000597754,0.000298877,0.000597754,0.000537978
46,577.945,1.23853,0.97395,0.99253,0.92262,0.85615,0.93337,0.53801,1.36287,0.8945,1.05885,0.000582435,0.000582435,0.000582435,0.000291218,0.000582435,0.000524192
47,590.617,1.20811,0.99903,0.9937,0.91652,0.84627,0.93454,0.55112,1.34924,0.91278,1.04251,0.00056704,0.00056704,0.00056704,0.00028352,0.00056704,0.000510336
48,604.049,1.18999,0.96181,0.99016,0.92572,0.86536,0.93964,0.61806,1.15518,0.85064,0.99558,0.000551584,0.000551584,0.000551584,0.000275792,0.000551584,0.000496425
49,617.744,1.2092,0.99667,0.98094,0.9265,0.86449,0.93838,0.61061,1.17148,0.85565,1.00302,0.000536081,0.000536081,0.000536081,0.000268041,0.000536081,0.000482473
50,631.213,1.19397,0.97756,0.98066,0.91057,0.87766,0.9383,0.63061,1.09908,0.82072,0.98544,0.000520548,0.000520548,0.000520548,0.000260274,0.000520548,0.000468493
51,644.393,1.24875,0.99345,0.99257,0.90153,0.85955,0.92732,0.47796,1.57132,0.9704,1.11127,0.000505,0.000505,0.000505,0.0002525,0.000505,0.0004545
52,657.424,1.17992,0.94964,0.97309,0.92815,0.85685,0.93585,0.55615,1.30487,0.88267,1.04075,0.000489452,0.000489452,0.000489452,0.000244726,0.000489452,0.000440507
53,670.619,1.20842,0.95766,0.98199,0.92734,0.87304,0.93926,0.56534,1.32087,0.84679,1.04932,0.000473919,0.000473919,0.000473919,0.000236959,0.000473919,0.000426527
54,683.556,1.16039,0.94996,0.97118,0.93809,0.88709,0.95091,0.66297,1.04567,0.7696,0.97104,0.000458416,0.000458416,0.000458416,0.000229208,0.000458416,0.000412575
55,696.158,1.15484,0.95,0.97323,0.91584,0.87113,0.94394,0.61558,1.17862,0.83396,0.99961,0.00044296,0.00044296,0.00044296,0.00022148,0.00044296,0.000398664
56,708.606,1.21481,0.95051,0.97946,0.9226,0.87833,0.94261,0.58335,1.24569,0.82923,1.01706,0.000427565,0.000427565,0.000427565,0.000213782,0.000427565,0.000384808
57,721.303,1.22388,0.94603,0.9844,0.94343,0.85848,0.9445,0.60906,1.17627,0.81607,1.00351,0.000412246,0.000412246,0.000412246,0.000206123,0.000412246,0.000371022
58,733.65,1.16976,0.94106,0.98026,0.92991,0.88682,0.95178,0.6642,1.03697,0.75301,0.96755,0.000397019,0.000397019,0.000397019,0.00019851,0.000397019,0.000357317
59,746.267,1.17243,0.92721,0.9668,0.92166,0.88449,0.94977,0.63086,1.13551,0.79007,0.98895,0.000381899,0.000381899,0.000381899,0.000190949,0.000381899,0.000343709
60,758.726,1.15681,0.92531,0.97089,0.92726,0.88877,0.94659,0.59939,1.21445,0.80425,1.0075,0.000366899,0.000366899,0.000366899,0.00018345,0.000366899,0.000330209
61,770.983,1.14651,0.89729,0.97113,0.91576,0.88084,0.94509,0.61143,1.17434,0.79664,0.99433,0.000352037,0.000352037,0.000352037,0.000176018,0.000352037,0.000316833
62,782.855,1.15355,0.92304,0.97435,0.92952,0.88016,0.95145,0.63301,1.12952,0.76841,0.98728,0.000337325,0.000337325,0.000337325,0.000168662,0.000337325,0.000303592
63,795.133,1.14111,0.90941,0.96339,0.93302,0.88134,0.95133,0.62552,1.14745,0.77732,0.98887,0.000322778,0.000322778,0.000322778,0.000161389,0.000322778,0.000290501
64,807.559,1.17402,0.92468,0.97286,0.93198,0.87067,0.94964,0.65531,1.06023,0.75585,0.97132,0.000308412,0.000308412,0.000308412,0.000154206,0.000308412,0.000277571
65,820.122,1.13486,0.90197,0.96952,0.93594,0.87415,0.95074,0.65484,1.0652,0.74664,0.97198,0.000294239,0.000294239,0.000294239,0.00014712,0.000294239,0.000264815
66,832.588,1.14022,0.89609,0.9674,0.92833,0.89425,0.95169,0.62885,1.14459,0.76207,0.99077,0.000280275,0.000280275,0.000280275,0.000140137,0.000280275,0.000252247
67,845.117,1.15344,0.90886,0.97328,0.924,0.88678,0.95016,0.6119,1.21478,0.78316,1.00664,0.000266532,0.000266532,0.000266532,0.000133266,0.000266532,0.000239879
68,857.521,1.15617,0.89996,0.97883,0.91941,0.89441,0.95361,0.62584,1.16182,0.76957,0.99225,0.000253024,0.000253024,0.000253024,0.000126512,0.000253024,0.000227722
69,869.888,1.14881,0.9014,0.96497,0.92668,0.88341,0.95347,0.66332,1.04219,0.72993,0.96308,0.000239766,0.000239766,0.000239766,0.000119883,0.000239766,0.000215789
70,881.986,1.1342,0.89632,0.96313,0.9305,0.87151,0.95434,0.63297,1.14646,0.75864,0.98989,0.000226769,0.000226769,0.000226769,0.000113384,0.000226769,0.000204092
71,894.36,1.16598,0.91493,0.9746,0.94426,0.88288,0.95223,0.61813,1.17401,0.76545,0.99308,0.000214046,0.000214046,0.000214046,0.000107023,0.000214046,0.000192642
72,906.785,1.13858,0.89574,0.9598,0.92657,0.89433,0.95269,0.64022,1.13347,0.7478,0.98635,0.000201611,0.000201611,0.000201611,0.000100806,0.000201611,0.00018145
73,919.31,1.14417,0.9067,0.97407,0.92727,0.8862,0.95219,0.6652,1.05377,0.72934,0.96548,0.000189475,0.000189475,0.000189475,9.47376e-05,0.000189475,0.000170528
74,931.682,1.13088,0.89426,0.96178,0.93718,0.88036,0.95362,0.6294,1.14952,0.75417,0.98775,0.000177651,0.000177651,0.000177651,8.88253e-05,0.000177651,0.000159886
75,944.278,1.16072,0.91277,0.9685,0.93641,0.88135,0.95438,0.66575,1.04788,0.72046,0.96249,0.000166149,0.000166149,0.000166149,8.30746e-05,0.000166149,0.000149534
76,956.818,1.14156,0.90004,0.96173,0.94061,0.88475,0.95562,0.66122,1.06334,0.72539,0.96481,0.000154982,0.000154982,0.000154982,7.74911e-05,0.000154982,0.000139484
77,969.503,1.12689,0.88422,0.9613,0.94454,0.88213,0.95542,0.65587,1.07768,0.72782,0.97192,0.000144161,0.000144161,0.000144161,7.20803e-05,0.000144161,0.000129744
78,982.08,1.125,0.87795,0.96352,0.93828,0.89153,0.95469,0.66616,1.05371,0.71559,0.96711,0.000133695,0.000133695,0.000133695,6.68475e-05,0.000133695,0.000120326
79,994.681,1.11694,0.88111,0.96824,0.94127,0.88083,0.95389,0.67246,1.03207,0.71271,0.9606,0.000123596,0.000123596,0.000123596,6.1798e-05,0.000123596,0.000111236
80,1007.16,1.13969,0.90087,0.96934,0.9361,0.88423,0.95505,0.68235,1.00285,0.70194,0.95357,0.000113873,0.000113873,0.000113873,5.69366e-05,0.000113873,0.000102486
81,1019.8,1.12853,0.88225,0.96177,0.93477,0.88897,0.95591,0.66794,1.03854,0.71514,0.96076,0.000104537,0.000104537,0.000104537,5.22683e-05,0.000104537,9.40829e-05
82,1031.96,1.12875,0.89458,0.95957,0.94111,0.8865,0.95419,0.64679,1.09424,0.73247,0.97263,9.55951e-05,9.55951e-05,9.55951e-05,4.77976e-05,9.55951e-05,8.60356e-05
83,1044.6,1.11564,0.88785,0.9634,0.9373,0.88144,0.95333,0.64963,1.0967,0.73006,0.97334,8.70577e-05,8.70577e-05,8.70577e-05,4.35288e-05,8.70577e-05,7.83519e-05
84,1056.64,1.12771,0.89813,0.96174,0.94044,0.88646,0.95439,0.67047,1.03058,0.70757,0.95814,7.89327e-05,7.89327e-05,7.89327e-05,3.94663e-05,7.89327e-05,7.10394e-05
85,1069.21,1.13407,0.8855,0.96102,0.94168,0.88908,0.95456,0.67679,1.01547,0.6997,0.95556,7.12282e-05,7.12282e-05,7.12282e-05,3.56141e-05,7.12282e-05,6.41054e-05
86,1081.6,1.091,0.85684,0.95596,0.9342,0.89495,0.95456,0.66612,1.05368,0.71219,0.96428,6.39518e-05,6.39518e-05,6.39518e-05,3.19759e-05,6.39518e-05,5.75566e-05
87,1094.15,1.1413,0.88945,0.96544,0.94638,0.88352,0.95549,0.66716,1.0514,0.70986,0.96414,5.71106e-05,5.71106e-05,5.71106e-05,2.85553e-05,5.71106e-05,5.13995e-05
88,1106.6,1.11213,0.86111,0.95936,0.94671,0.8813,0.95598,0.67119,1.03987,0.70711,0.96226,5.07115e-05,5.07115e-05,5.07115e-05,2.53557e-05,5.07115e-05,4.56403e-05
89,1119.14,1.14193,0.89585,0.96499,0.95002,0.88135,0.95592,0.65457,1.08501,0.7198,0.97256,4.47606e-05,4.47606e-05,4.47606e-05,2.23803e-05,4.47606e-05,4.02846e-05
90,1131.38,1.14669,0.90749,0.9641,0.94408,0.88615,0.95591,0.66018,1.06015,0.7111,0.9658,3.9264e-05,3.9264e-05,3.9264e-05,1.9632e-05,3.9264e-05,3.53376e-05
91,1143.11,1.12164,0.8551,0.97445,0.90869,0.89151,0.94915,0.6513,1.0882,0.74559,0.97337,3.4227e-05,3.4227e-05,3.4227e-05,1.71135e-05,3.4227e-05,3.08043e-05
