epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,3.30674,3.86657,5.00142,2.28831,0.00015,0.00656,0,0,3.58721,5.08635,2.36043,6e-05,6e-05,6e-05,3e-05,0.00012
2,5.83244,3.38772,4.83121,2.05973,0.00059,0.02407,3e-05,1e-05,3.08416,4.87051,1.94961,0.000129968,0.000129968,0.000129968,6.49841e-05,0.000259936
3,8.63753,2.77901,4.6148,1.6893,0.00209,0.08064,0.00107,0.00021,2.248,4.51346,1.39967,0.000199805,0.000199805,0.000199805,9.99023e-05,0.000399609
4,11.1947,2.41843,4.42578,1.4787,0.00365,0.09743,0.00144,0.00023,1.84741,4.45737,1.22039,0.000269407,0.000269407,0.000269407,0.000134703,0.000538814
5,13.8076,2.14548,4.1587,1.32758,0.0135,0.34674,0.01792,0.00493,1.78425,4.3916,1.16137,0.000338673,0.000338673,0.000338673,0.000169336,0.000677346
6,16.4056,2.02314,3.98076,1.2405,0.01522,0.47036,0.04947,0.01588,1.68895,4.29374,1.10817,0.000407501,0.000407501,0.000407501,0.000203751,0.000815003
7,19.0771,2.06233,3.79582,1.2153,0.01753,0.58724,0.07692,0.0281,1.62493,4.16905,1.07373,0.000475791,0.000475791,0.000475791,0.000237896,0.000951583
8,21.6775,1.89925,3.47241,1.17432,0.02184,0.6715,0.09806,0.03442,1.64141,4.04734,1.07527,0.000543443,0.000543443,0.000543443,0.000271722,0.00108689
9,24.2917,1.80137,3.41662,1.13118,0.01573,0.6065,0.07025,0.02316,1.63738,3.95505,1.1006,0.000610358,0.000610358,0.000610358,0.000305179,0.00122072
10,26.892,1.81821,3.13697,1.14918,0.25125,0.0937,0.07812,0.02792,1.65845,3.84031,1.1457,0.000676438,0.000676438,0.000676438,0.000338219,0.00135288
11,29.6559,1.8124,3.03073,1.15387,0.10478,0.10382,0.09078,0.03287,1.72018,3.74197,1.11682,0.000741587,0.000741587,0.000741587,0.000370794,0.00148317
12,32.2384,1.88065,3.29278,1.14313,0.10439,0.1202,0.11144,0.04412,1.65526,3.61465,1.09053,0.000805711,0.000805711,0.000805711,0.000402855,0.00161142
