epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,2.7942,1.99978,3.65622,1.95541,0.00353,0.42974,0.03473,0.01472,2.22523,4.29161,2.23755,1e-05,1e-05,1e-05,5e-06,1e-05,9e-06
2,4.80635,2.24966,3.71219,2.27536,0.00363,0.40311,0.03407,0.01397,2.23414,4.29931,2.24692,2.99927e-05,2.99927e-05,2.99927e-05,1.49963e-05,2.99927e-05,2.69934e-05
3,6.98363,2.07707,3.76585,2.02608,0.00518,0.37217,0.03228,0.01409,2.23804,4.3034,2.2532,4.99512e-05,4.99512e-05,4.99512e-05,2.49756e-05,4.99512e-05,4.4956e-05
4,8.99557,2.39142,3.79995,2.36702,0.00654,0.3613,0.03333,0.01317,2.24453,4.32459,2.27529,6.98462e-05,6.98462e-05,6.98462e-05,3.49231e-05,6.98462e-05,6.28616e-05
5,11.1444,2.06914,3.7748,2.01972,0.00915,0.34849,0.02875,0.01103,2.26343,4.34428,2.29203,8.96487e-05,8.96487e-05,8.96487e-05,4.48244e-05,8.96487e-05,8.06838e-05
6,13.0993,2.08911,3.69278,2.16755,0.00285,0.32489,0.02521,0.00925,2.28101,4.36764,2.31353,0.00010933,0.00010933,0.00010933,5.46648e-05,0.00010933,9.83967e-05
7,15.2125,2.25348,3.78343,2.09416,0.00333,0.3224,0.02103,0.00799,2.34171,4.39328,2.35383,0.00012886,0.00012886,0.00012886,6.44301e-05,0.00012886,0.000115974
8,17.1741,2.16549,3.69709,2.28041,0.00311,0.31919,0.02134,0.00725,2.36086,4.40942,2.36666,0.000148212,0.000148212,0.000148212,7.41059e-05,0.000148212,0.000133391
9,19.2798,2.35336,3.74557,2.16437,0.00273,0.30163,0.01924,0.00648,2.36408,4.42627,2.37618,0.000167356,0.000167356,0.000167356,8.36781e-05,0.000167356,0.000150621
10,21.2566,2.1308,3.83565,2.09158,0.00374,0.30519,0.01781,0.00633,2.36556,4.46234,2.3876,0.000186266,0.000186266,0.000186266,9.31328e-05,0.000186266,0.000167639
11,23.3869,1.94984,3.7681,2.05578,0.00451,0.33537,0.01509,0.00512,2.38591,4.45717,2.40052,0.000204912,0.000204912,0.000204912,0.000102456,0.000204912,0.000184421
12,25.3448,1.93445,3.67069,2.03407,0.00492,0.36291,0.01339,0.00438,2.40365,4.47788,2.41458,0.000223269,0.000223269,0.000223269,0.000111635,0.000223269,0.000200942
13,27.4608,2.07422,3.79356,1.912,0.00559,0.39012,0.01547,0.00579,2.40533,4.47153,2.41848,0.00024131,0.00024131,0.00024131,0.000120655,0.00024131,0.000217179
14,29.4317,2.07056,3.73041,2.20556,0.00582,0.42859,0.01888,0.00775,2.41693,4.4569,2.43054,0.000259008,0.000259008,0.000259008,0.000129504,0.000259008,0.000233107
15,31.5397,1.80301,3.6853,1.93389,0.00569,0.44368,0.02543,0.0105,2.44943,4.47028,2.4542,0.000276338,0.000276338,0.000276338,0.000138169,0.000276338,0.000248704
16,33.5195,2.04992,3.76898,2.09986,0.00506,0.44437,0.02489,0.01073,2.4789,4.4924,2.47313,0.000293275,0.000293275,0.000293275,0.000146637,0.000293275,0.000263947
17,35.6411,1.69316,3.70094,1.77957,0.00478,0.45366,0.02673,0.01123,2.50883,4.47543,2.4848,0.000309795,0.000309795,0.000309795,0.000154897,0.000309795,0.000278815
18,37.6114,1.6527,3.57393,1.71864,0.00429,0.44564,0.02698,0.01126,2.52103,4.47275,2.49485,0.000325874,0.000325874,0.000325874,0.000162937,0.000325874,0.000293286
19,39.7396,1.73791,3.60255,1.83674,0.00398,0.43329,0.02856,0.01264,2.51494,4.47938,2.49041,0.000341489,0.000341489,0.000341489,0.000170744,0.000341489,0.00030734
20,41.7035,1.8362,3.69806,1.84995,0.00375,0.42933,0.03006,0.01361,2.52611,4.48971,2.49358,0.000356618,0.000356618,0.000356618,0.000178309,0.000356618,0.000320956
21,43.8163,1.77484,3.63256,1.92822,0.00351,0.42528,0.02812,0.01251,2.54207,4.47507,2.4905,0.00037124,0.00037124,0.00037124,0.00018562,0.00037124,0.000334116
22,45.7959,1.84928,3.6644,1.97761,0.00385,0.44547,0.02757,0.01128,2.53684,4.45376,2.48451,0.000385334,0.000385334,0.000385334,0.000192667,0.000385334,0.000346801
23,47.919,1.93431,3.82483,2.1375,0.00439,0.45195,0.03276,0.01185,2.48836,4.43246,2.45845,0.000398882,0.000398882,0.000398882,0.000199441,0.000398882,0.000358994
24,49.8891,1.75556,3.54913,1.77401,0.00419,0.45662,0.03726,0.01234,2.48113,4.41432,2.44681,0.000411863,0.000411863,0.000411863,0.000205932,0.000411863,0.000370677
25,52.0055,1.81863,3.47393,1.89326,0.00437,0.46979,0.03899,0.01238,2.47359,4.41897,2.43583,0.000424261,0.000424261,0.000424261,0.000212131,0.000424261,0.000381835
26,53.9789,1.73318,3.49673,1.83338,0.00429,0.47646,0.04075,0.0117,2.4604,4.42133,2.41819,0.000436059,0.000436059,0.000436059,0.00021803,0.000436059,0.000392453
27,56.0957,1.67337,3.51212,1.81201,0.00504,0.50128,0.04332,0.0135,2.43266,4.41095,2.39185,0.000447241,0.000447241,0.000447241,0.00022362,0.000447241,0.000402517
28,58.0752,1.5482,3.40337,1.68484,0.00572,0.52617,0.04764,0.01444,2.40258,4.36925,2.37156,0.000457792,0.000457792,0.000457792,0.000228896,0.000457792,0.000412013
29,60.1998,1.93224,3.74738,2.18114,0.00626,0.55652,0.0459,0.01633,2.37871,4.36076,2.35616,0.000467699,0.000467699,0.000467699,0.00023385,0.000467699,0.000420929
30,62.2202,1.63237,3.36468,1.79751,0.00623,0.55554,0.0549,0.02147,2.35188,4.36063,2.34514,0.00047695,0.00047695,0.00047695,0.000238475,0.00047695,0.000429255
31,64.3204,1.6719,3.38824,1.77203,0.0066,0.57933,0.05766,0.02369,2.31599,4.33385,2.31015,0.000485532,0.000485532,0.000485532,0.000242766,0.000485532,0.000436979
32,66.288,1.65867,3.19911,1.76139,0.00674,0.61481,0.06848,0.02655,2.30323,4.33098,2.29613,0.000493436,0.000493436,0.000493436,0.000246718,0.000493436,0.000444092
33,68.4008,1.53972,3.20987,1.73155,0.00728,0.64387,0.07745,0.02757,2.26297,4.28421,2.27837,0.000500652,0.000500652,0.000500652,0.000250326,0.000500652,0.000450587
34,70.3683,1.6078,3.12171,1.71221,0.00736,0.66828,0.08846,0.03113,2.26753,4.24998,2.28958,0.000507174,0.000507174,0.000507174,0.000253587,0.000507174,0.000456456
35,72.5134,1.87417,3.53091,2.03947,0.00677,0.67035,0.09248,0.03293,2.26138,4.22021,2.30018,0.000512993,0.000512993,0.000512993,0.000256496,0.000512993,0.000461694
36,74.4646,1.68576,2.91804,1.64795,0.00641,0.67077,0.10382,0.0362,2.25311,4.21443,2.3035,0.000518105,0.000518105,0.000518105,0.000259052,0.000518105,0.000466294
37,76.5549,2.06245,3.10545,2.28885,0.00603,0.65692,0.10946,0.03772,2.28181,4.23627,2.32773,0.000522505,0.000522505,0.000522505,0.000261253,0.000522505,0.000470255
38,78.5072,1.70512,2.93459,1.83221,0.00653,0.70081,0.11459,0.04198,2.27266,4.22018,2.31765,0.000526191,0.000526191,0.000526191,0.000263096,0.000526191,0.000473572
39,80.597,1.54532,3.24175,1.6642,0.00651,0.70875,0.12229,0.05163,2.25094,4.17577,2.31889,0.000529161,0.000529161,0.000529161,0.00026458,0.000529161,0.000476245
40,82.5561,1.84776,3.07237,1.96507,0.0225,0.3745,0.13169,0.05693,2.25475,4.14976,2.33497,0.000531413,0.000531413,0.000531413,0.000265707,0.000531413,0.000478272
41,84.6805,1.9237,3.11106,1.88511,0.68604,0.10833,0.12828,0.05926,2.22629,4.0919,2.30924,0.00053295,0.00053295,0.00053295,0.000266475,0.00053295,0.000479655
42,86.678,1.68363,2.99896,1.91964,0.7325,0.08574,0.12839,0.05974,2.207,4.03626,2.28121,0.000533773,0.000533773,0.000533773,0.000266887,0.000533773,0.000480396
43,88.7982,1.63839,2.82243,1.75305,0.56724,0.11283,0.13706,0.06304,2.22096,4.00976,2.28888,0.000533886,0.000533886,0.000533886,0.000266943,0.000533886,0.000480498
44,90.7807,1.55568,2.87789,1.73991,0.54952,0.13055,0.13301,0.0595,2.23602,3.96403,2.31347,0.000533293,0.000533293,0.000533293,0.000266647,0.000533293,0.000479964
45,92.9267,1.94649,3.48687,2.20258,0.58306,0.13616,0.13568,0.06102,2.2556,3.96949,2.33992,0.000532001,0.000532001,0.000532001,0.000266,0.000532001,0.000478801
46,94.8839,1.77752,3.14777,2.1544,0.58299,0.15704,0.14129,0.06109,2.26469,3.93397,2.35627,0.000530016,0.000530016,0.000530016,0.000265008,0.000530016,0.000477014
47,97.0538,1.70739,2.77967,1.76479,0.56009,0.17603,0.14233,0.06191,2.24515,3.919,2.36118,0.000527347,0.000527347,0.000527347,0.000263674,0.000527347,0.000474612
48,99.0467,1.45877,2.52745,1.62578,0.52169,0.1715,0.14063,0.06035,2.24683,3.91111,2.36936,0.000524004,0.000524004,0.000524004,0.000262002,0.000524004,0.000471604
49,101.143,1.7224,2.89313,1.76065,0.35567,0.18874,0.14255,0.06415,2.22827,3.90212,2.36944,0.000519999,0.000519999,0.000519999,0.000259999,0.000519999,0.000467999
50,103.153,1.66562,2.7489,1.78609,0.33242,0.20063,0.13791,0.06084,2.23644,3.89112,2.36627,0.000515343,0.000515343,0.000515343,0.000257671,0.000515343,0.000463809
51,105.305,1.61535,2.82974,1.83959,0.35121,0.21915,0.14332,0.06155,2.2442,3.89091,2.36191,0.000505,0.000505,0.000505,0.0002525,0.000505,0.0004545
52,107.267,1.59858,2.63846,1.67224,0.34618,0.2255,0.14965,0.06314,2.25555,3.87963,2.35406,0.000489452,0.000489452,0.000489452,0.000244726,0.000489452,0.000440507
53,109.422,1.64018,2.85162,1.94884,0.34721,0.22193,0.14121,0.05807,2.28243,3.92623,2.36952,0.000473919,0.000473919,0.000473919,0.000236959,0.000473919,0.000426527
54,111.388,1.69063,2.8066,1.87508,0.37006,0.20232,0.13611,0.0555,2.29314,3.94473,2.37708,0.000458416,0.000458416,0.000458416,0.000229208,0.000458416,0.000412575
55,113.519,1.93674,3.06119,2.16734,0.35093,0.19066,0.12117,0.05022,2.29772,4.00786,2.38295,0.00044296,0.00044296,0.00044296,0.00022148,0.00044296,0.000398664
56,115.477,1.50777,2.32188,1.61055,0.15757,0.2188,0.11758,0.04722,2.30745,4.08793,2.40333,0.000427565,0.000427565,0.000427565,0.000213782,0.000427565,0.000384808
57,117.599,1.66468,3.13067,1.96382,0.1636,0.19419,0.11452,0.04638,2.3242,4.12294,2.41386,0.000412246,0.000412246,0.000412246,0.000206123,0.000412246,0.000371022
58,119.577,1.54977,2.49756,1.83624,0.15456,0.18991,0.11263,0.04435,2.33927,4.15555,2.43094,0.000397019,0.000397019,0.000397019,0.00019851,0.000397019,0.000357317
59,121.67,1.49742,2.31482,1.59811,0.17251,0.18708,0.11754,0.0454,2.3371,4.17102,2.43409,0.000381899,0.000381899,0.000381899,0.000190949,0.000381899,0.000343709
60,123.621,1.53151,2.35244,1.66628,0.20233,0.16954,0.12186,0.04678,2.35101,4.16153,2.45789,0.000366899,0.000366899,0.000366899,0.00018345,0.000366899,0.000330209
61,125.722,1.84133,2.96455,1.89687,0.17673,0.23063,0.11871,0.04795,2.36001,4.15485,2.48194,0.000352037,0.000352037,0.000352037,0.000176018,0.000352037,0.000316833
62,127.679,1.51232,2.44709,1.71177,0.19107,0.22559,0.1257,0.04978,2.36611,4.15178,2.493,0.000337325,0.000337325,0.000337325,0.000168662,0.000337325,0.000303592
63,129.782,1.75547,2.47466,1.87239,0.22193,0.23415,0.13393,0.05197,2.32646,4.08877,2.47016,0.000322778,0.000322778,0.000322778,0.000161389,0.000322778,0.000290501
64,131.736,1.37623,2.26364,1.48366,0.24421,0.26889,0.1414,0.05614,2.30716,4.04712,2.4541,0.000308412,0.000308412,0.000308412,0.000154206,0.000308412,0.000277571
65,133.838,1.22265,2.21381,1.44725,0.22082,0.27599,0.14112,0.05809,2.31091,4.00503,2.46192,0.000294239,0.000294239,0.000294239,0.00014712,0.000294239,0.000264815
66,135.798,1.39644,2.58513,1.68549,0.22136,0.29621,0.16024,0.06265,2.27276,3.9382,2.44071,0.000280275,0.000280275,0.000280275,0.000140137,0.000280275,0.000252247
67,137.908,1.61964,2.34973,1.69941,0.231,0.29664,0.16735,0.06591,2.24646,3.86694,2.42348,0.000266532,0.000266532,0.000266532,0.000133266,0.000266532,0.000239879
