epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,13.3235,1.83265,3.61572,1.9084,0.94047,0.01149,0.0854,0.03519,2.31594,4.15651,2.23578,0.000328042,0.000328042,0.000328042,0.000164021,0.000656085
2,24.9074,1.76794,2.99974,1.84687,0.3825,0.25128,0.15589,0.06108,2.37917,3.84351,2.47415,0.000661214,0.000661214,0.000661214,0.000330607,0.00132243
3,37.2232,1.79388,2.6421,1.87014,0.3585,0.19135,0.13627,0.0476,2.4991,5.25139,2.73093,0.000993737,0.000993737,0.000993737,0.000496869,0.00198747
4,48.8117,1.82217,2.53948,1.89012,0.32259,0.32959,0.26096,0.10735,2.02783,3.79247,2.18806,0.000997803,0.000997803,0.000997803,0.000498902,0.00199561
5,60.7566,1.7689,2.38607,1.83662,0.19502,0.42936,0.23641,0.10372,1.89608,4.12603,2.08994,0.000996097,0.000996097,0.000996097,0.000498048,0.00199219
6,72.7832,1.7133,2.29361,1.79399,0.23998,0.4211,0.30311,0.12755,2.12022,3.36461,2.22043,0.000993906,0.000993906,0.000993906,0.000496953,0.00198781
7,84.9424,1.69352,2.22577,1.78723,0.44174,0.42142,0.29156,0.12888,1.91824,3.60014,2.04858,0.000991232,0.000991232,0.000991232,0.000495616,0.00198246
8,96.9757,1.70351,2.18783,1.77395,0.25779,0.36199,0.27825,0.11848,2.15647,2.85919,2.23199,0.000988079,0.000988079,0.000988079,0.000494039,0.00197616
9,108.935,1.6711,2.17621,1.75871,0.62204,0.41596,0.48014,0.21064,1.91703,2.68553,2.06423,0.000984449,0.000984449,0.000984449,0.000492224,0.0019689
10,121.087,1.65978,2.07626,1.73983,0.81314,0.30981,0.40712,0.17326,1.95305,2.82039,2.14515,0.000980345,0.000980345,0.000980345,0.000490173,0.00196069
11,132.944,1.65061,2.06114,1.73149,0.40316,0.6175,0.53512,0.2399,1.82258,2.34081,1.92081,0.000975773,0.000975773,0.000975773,0.000487886,0.00195155
