epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,3.13248,1.92369,3.75972,1.92495,0.00575,0.44384,0.02299,0.00915,2.04126,4.20804,2.10616,6e-05,6e-05,6e-05,3e-05,0.00012
2,5.38429,1.85101,3.70686,1.88883,0.01711,0.46043,0.07844,0.02755,2.02094,4.17023,2.05852,0.000129968,0.000129968,0.000129968,6.49841e-05,0.000259936
3,7.96938,1.82902,3.71751,1.81953,0.01557,0.52358,0.10572,0.03846,2.04553,4.15998,2.07011,0.000199805,0.000199805,0.000199805,9.99023e-05,0.000399609
4,10.2853,1.69814,3.6578,1.79799,0.01236,0.68381,0.11859,0.04206,2.04172,4.16387,2.11442,0.000269407,0.000269407,0.000269407,0.000134703,0.000538814
5,12.5234,1.66493,3.4615,1.78777,0.00839,0.7819,0.10536,0.04062,2.11218,4.2119,2.1633,0.000338673,0.000338673,0.000338673,0.000169336,0.000677346
6,14.7212,1.57687,3.41467,1.66237,0.00735,0.82089,0.10138,0.04128,2.17066,4.16965,2.20999,0.000407501,0.000407501,0.000407501,0.000203751,0.000815003
7,17.1768,1.80623,3.38989,1.82697,0.00708,0.86569,0.10402,0.04028,2.19137,4.16399,2.22008,0.000475791,0.000475791,0.000475791,0.000237896,0.000951583
8,19.4173,1.669,3.27481,1.72294,0.67745,0.06631,0.10188,0.03783,2.27391,4.12397,2.28166,0.000543443,0.000543443,0.000543443,0.000271722,0.00108689
9,21.6617,1.70002,3.10974,1.75503,0.88328,0.04215,0.12444,0.04542,2.25306,3.97934,2.27785,0.000610358,0.000610358,0.000610358,0.000305179,0.00122072
10,23.8928,1.78323,3.08027,1.78558,0.59181,0.12308,0.18116,0.06793,2.15167,3.67161,2.21871,0.000676438,0.000676438,0.000676438,0.000338219,0.00135288
11,26.3033,1.7541,2.83606,1.80629,0.37497,0.22724,0.18245,0.07157,2.2017,3.52393,2.2833,0.000741587,0.000741587,0.000741587,0.000370794,0.00148317
12,28.5137,1.6809,2.84908,1.76749,0.38317,0.26417,0.19566,0.07525,2.23119,3.51448,2.31627,0.000805711,0.000805711,0.000805711,0.000402855,0.00161142
13,30.7458,1.66461,2.84903,1.76142,0.3397,0.31116,0.22035,0.0854,2.23499,3.47209,2.31622,0.000868715,0.000868715,0.000868715,0.000434358,0.00173743
14,32.979,1.65588,2.65628,1.73205,0.32543,0.32192,0.19462,0.07585,2.27449,3.55901,2.31938,0.00093051,0.00093051,0.00093051,0.000465255,0.00186102
15,35.2967,1.76493,2.84372,1.85093,0.5229,0.2241,0.20648,0.08258,2.18543,3.63314,2.23746,0.000952889,0.000952889,0.000952889,0.000476445,0.00190578
16,37.4281,1.66718,2.71475,1.77806,0.18814,0.44615,0.21893,0.0901,2.16456,3.70164,2.21271,0.000946048,0.000946048,0.000946048,0.000473024,0.0018921
17,39.6343,1.60659,2.54164,1.69496,0.2264,0.44958,0.24881,0.09829,2.13012,4.30825,2.23828,0.000938772,0.000938772,0.000938772,0.000469386,0.00187754
18,41.92,1.81174,2.65794,1.86741,0.24203,0.44392,0.25348,0.10175,2.11206,5.47101,2.30151,0.000931067,0.000931067,0.000931067,0.000465534,0.00186213
19,44.299,1.61783,2.51235,1.74644,0.22489,0.46316,0.26126,0.11044,2.08783,5.23246,2.26013,0.000922942,0.000922942,0.000922942,0.000461471,0.00184588
20,46.5311,1.58316,2.40412,1.69593,0.31283,0.34166,0.27456,0.11784,2.06167,4.19507,2.19628,0.000914405,0.000914405,0.000914405,0.000457202,0.00182881
21,48.6666,1.6243,2.42744,1.71437,0.26956,0.44945,0.27336,0.11528,2.08338,4.21728,2.17431,0.000905463,0.000905463,0.000905463,0.000452732,0.00181093
22,50.7799,1.62302,2.32465,1.68236,0.30017,0.41459,0.27138,0.10995,2.17049,4.86546,2.22614,0.000896127,0.000896127,0.000896127,0.000448063,0.00179225
23,53.0627,1.60693,2.37046,1.72231,0.31449,0.35695,0.24809,0.1026,2.26612,4.71363,2.27464,0.000886404,0.000886404,0.000886404,0.000443202,0.00177281
24,55.208,1.65037,2.3687,1.7504,0.28607,0.42027,0.24966,0.09953,2.28524,4.49252,2.29182,0.000876305,0.000876305,0.000876305,0.000438152,0.00175261
25,57.388,1.621,2.34967,1.70029,0.3921,0.32325,0.26258,0.1051,2.24078,4.00677,2.25025,0.000865839,0.000865839,0.000865839,0.00043292,0.00173168
26,59.5863,1.56441,2.21432,1.63623,0.28191,0.31545,0.28784,0.11104,2.23907,3.82458,2.2234,0.000855018,0.000855018,0.000855018,0.000427509,0.00171004
27,61.7025,1.5956,2.43993,1.73055,0.20736,0.49477,0.28771,0.1166,2.22047,3.75315,2.20381,0.000843851,0.000843851,0.000843851,0.000421925,0.0016877
28,63.9611,1.65639,2.33074,1.75631,0.29454,0.40261,0.3113,0.12456,2.17489,3.65572,2.18634,0.000832349,0.000832349,0.000832349,0.000416175,0.0016647
29,66.1597,1.54636,2.18712,1.58298,0.51111,0.33911,0.32133,0.13522,2.10445,3.81495,2.16453,0.000820525,0.000820525,0.000820525,0.000410262,0.00164105
30,68.3582,1.56911,2.30158,1.67151,0.48968,0.40726,0.33086,0.1355,2.0942,3.9524,2.16723,0.000808389,0.000808389,0.000808389,0.000404194,0.00161678
31,70.6021,1.54799,2.09378,1.6424,0.47135,0.41552,0.34968,0.14361,2.06695,3.73699,2.12762,0.000795954,0.000795954,0.000795954,0.000397977,0.00159191
32,73.1023,1.54763,2.1416,1.62393,0.45701,0.42696,0.35423,0.14483,2.04126,3.59154,2.11609,0.000783231,0.000783231,0.000783231,0.000391616,0.00156646
33,75.3315,1.47733,2.16243,1.60059,0.47038,0.397,0.34991,0.14645,2.05003,3.38405,2.14791,0.000770234,0.000770234,0.000770234,0.000385117,0.00154047
34,77.5011,1.60678,2.19916,1.67143,0.31074,0.40879,0.32917,0.13792,2.08626,3.3755,2.18354,0.000756976,0.000756976,0.000756976,0.000378488,0.00151395
35,79.6192,1.60022,2.13474,1.71443,0.32148,0.36426,0.31965,0.13051,2.10945,3.42689,2.19537,0.000743468,0.000743468,0.000743468,0.000371734,0.00148694
36,81.9216,1.49146,2.16651,1.62332,0.38375,0.34274,0.32643,0.12842,2.09617,3.44879,2.22323,0.000729725,0.000729725,0.000729725,0.000364863,0.00145945
37,84.079,1.47355,2.07073,1.58928,0.5159,0.32846,0.33094,0.12831,2.13109,3.4771,2.2925,0.000715761,0.000715761,0.000715761,0.00035788,0.00143152
38,86.2497,1.52904,2.02976,1.64131,0.54733,0.36471,0.3535,0.13727,2.12843,3.35724,2.30003,0.000701588,0.000701588,0.000701588,0.000350794,0.00140318
39,88.4409,1.43252,1.96213,1.5688,0.54989,0.35259,0.35605,0.14493,2.07085,3.31865,2.24752,0.000687222,0.000687222,0.000687222,0.000343611,0.00137444
40,90.8261,1.5307,2.07741,1.64858,0.39436,0.37899,0.38482,0.16004,1.9983,3.1827,2.16195,0.000672675,0.000672675,0.000672675,0.000336338,0.00134535
