epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,3.24314,2.02597,3.79387,2.00876,0.00415,0.36759,0.00525,0.00152,2.36582,4.27354,2.29611,6e-05,6e-05,6e-05,3e-05,0.00012
2,5.68198,1.83389,3.73594,1.93403,0.00552,0.30123,0.00453,0.00152,2.48816,4.35361,2.36731,0.000129968,0.000129968,0.000129968,6.49841e-05,0.000259936
3,8.30776,1.89288,3.7621,1.97283,0.00995,0.44305,0.01658,0.00539,2.54179,4.39251,2.41259,0.000199805,0.000199805,0.000199805,9.99023e-05,0.000399609
4,10.8073,1.48588,3.59739,1.68103,0.00774,0.64826,0.03774,0.01462,2.44269,4.42424,2.39574,0.000269407,0.000269407,0.000269407,0.000134703,0.000538814
5,13.3116,1.6034,3.49968,1.76347,0.00632,0.68071,0.09219,0.03035,2.2866,4.29572,2.27142,0.000338673,0.000338673,0.000338673,0.000169336,0.000677346
6,15.8085,1.63341,3.3878,1.70074,0.0067,0.73908,0.10326,0.03943,2.24453,4.15641,2.26168,0.000407501,0.000407501,0.000407501,0.000203751,0.000815003
7,18.5051,1.63919,3.26311,1.70337,0.00671,0.7779,0.09484,0.0372,2.18608,4.11402,2.27263,0.000475791,0.000475791,0.000475791,0.000237896,0.000951583
8,21.0025,1.54281,3.14907,1.61286,0.00594,0.6903,0.09163,0.0282,2.4987,4.21766,2.54337,0.000543443,0.000543443,0.000543443,0.000271722,0.00108689
9,23.4371,1.66144,3.09759,1.75172,0.6098,0.01535,0.05714,0.01653,2.88404,4.47678,2.79854,0.000610358,0.000610358,0.000610358,0.000305179,0.00122072
10,26.1055,1.65655,2.93528,1.6957,0.71792,0.02366,0.0438,0.01236,3.21556,4.78617,2.98451,0.000676438,0.000676438,0.000676438,0.000338219,0.00135288
11,28.6111,1.79268,2.97326,1.82344,0.59432,0.06006,0.03584,0.01166,3.55361,5.30938,3.19079,0.000741587,0.000741587,0.000741587,0.000370794,0.00148317
12,31.0845,1.77836,2.78362,1.79588,0.40991,0.08189,0.0431,0.0162,3.25108,4.84453,3.06209,0.000805711,0.000805711,0.000805711,0.000402855,0.00161142
13,33.5908,1.85223,2.74328,1.82991,0.08039,0.09623,0.06644,0.02216,2.78673,4.27215,2.77832,0.000868715,0.000868715,0.000868715,0.000434358,0.00173743
14,36.2624,1.70147,2.67081,1.73263,0.11456,0.15927,0.07952,0.02209,2.55334,4.00263,2.6672,0.00093051,0.00093051,0.00093051,0.000465255,0.00186102
15,38.7565,1.86219,2.63322,1.81068,0.16149,0.22932,0.10952,0.03186,2.44912,3.91423,2.52087,0.000952889,0.000952889,0.000952889,0.000476445,0.00190578
16,41.2232,1.84258,2.73827,1.95399,0.17425,0.18806,0.11649,0.04222,2.37687,3.79493,2.45267,0.000946048,0.000946048,0.000946048,0.000473024,0.0018921
17,43.865,1.6752,2.64894,1.7576,0.16504,0.2156,0.12634,0.04274,2.3227,3.81775,2.40362,0.000938772,0.000938772,0.000938772,0.000469386,0.00187754
18,46.3789,1.63933,2.58499,1.72836,0.28606,0.19952,0.10362,0.03573,2.2934,4.20014,2.39865,0.000931067,0.000931067,0.000931067,0.000465534,0.00186213
19,48.8688,1.74995,2.50787,1.81205,0.43534,0.15848,0.09004,0.03389,2.2977,4.59796,2.41332,0.000922942,0.000922942,0.000922942,0.000461471,0.00184588
20,51.3514,1.65995,2.56321,1.70889,0.29873,0.21132,0.14701,0.05184,2.23422,4.06397,2.39235,0.000914405,0.000914405,0.000914405,0.000457202,0.00182881
21,53.985,1.62118,2.34879,1.7024,0.22731,0.2307,0.14124,0.04835,2.37603,4.25298,2.58065,0.000905463,0.000905463,0.000905463,0.000452732,0.00181093
22,56.511,1.73779,2.56866,1.88822,0.20002,0.32962,0.1597,0.05415,2.48828,4.69055,2.67794,0.000896127,0.000896127,0.000896127,0.000448063,0.00179225
23,59.0185,1.67526,2.35786,1.75455,0.23333,0.36233,0.17507,0.06,2.47539,4.38406,2.66399,0.000886404,0.000886404,0.000886404,0.000443202,0.00177281
24,61.5226,1.58265,2.28919,1.75059,0.21366,0.40108,0.21351,0.07577,2.3448,3.97328,2.55301,0.000876305,0.000876305,0.000876305,0.000438152,0.00175261
25,64.1654,1.55489,2.2455,1.65302,0.27584,0.29614,0.2009,0.0727,2.25742,3.92186,2.45679,0.000865839,0.000865839,0.000865839,0.00043292,0.00173168
26,66.6357,1.61324,2.36161,1.71672,0.13291,0.39949,0.1688,0.06094,2.1811,4.37999,2.3998,0.000855018,0.000855018,0.000855018,0.000427509,0.00171004
27,69.1293,1.60701,2.21519,1.70407,0.32675,0.28159,0.15204,0.05743,2.11123,4.82624,2.29993,0.000843851,0.000843851,0.000843851,0.000421925,0.0016877
28,71.6172,1.58756,2.26967,1.73735,0.15673,0.38025,0.20267,0.07827,2.05321,4.50665,2.2726,0.000832349,0.000832349,0.000832349,0.000416175,0.0016647
29,74.2708,1.61009,2.28142,1.69416,0.34296,0.25501,0.17661,0.07094,2.11754,4.72372,2.34147,0.000820525,0.000820525,0.000820525,0.000410262,0.00164105
30,76.7669,1.58611,2.18961,1.6825,0.50508,0.23701,0.1916,0.07497,2.07464,4.64704,2.30514,0.000808389,0.000808389,0.000808389,0.000404194,0.00161678
31,79.2721,1.5298,2.14535,1.63331,0.36932,0.2492,0.23238,0.0901,2.05762,4.18248,2.27966,0.000795954,0.000795954,0.000795954,0.000397977,0.00159191
32,81.9699,1.48377,2.14851,1.62399,0.23226,0.40709,0.28067,0.11437,1.98432,3.89398,2.22913,0.000783231,0.000783231,0.000783231,0.000391616,0.00156646
