epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,3.9582,2.05868,3.79488,2.0218,0.00722,0.4137,0.00581,0.00193,2.24537,4.31298,2.27155,6e-05,6e-05,6e-05,3e-05,6e-05,5.4e-05
2,6.72919,1.90566,3.79623,1.99221,0.00584,0.35541,0.0044,0.00131,2.36674,4.4102,2.37647,0.000129968,0.000129968,0.000129968,6.49841e-05,0.000129968,0.000116971
3,9.73486,2.09148,3.86486,2.10654,0.00382,0.30154,0.00191,0.00061,2.60358,4.52412,2.50082,0.000199805,0.000199805,0.000199805,9.99023e-05,0.000199805,0.000179824
4,12.5983,1.68451,3.67421,1.82701,0.00286,0.26339,0.00144,0.0004,2.78663,4.61832,2.617,0.000269407,0.000269407,0.000269407,0.000134703,0.000269407,0.000242466
5,15.6006,1.89874,3.74149,2.03111,0.00279,0.27895,0.00165,0.0005,2.81012,4.59282,2.63366,0.000338673,0.000338673,0.000338673,0.000169336,0.000338673,0.000304806
6,18.3948,1.92482,3.72641,1.95651,0.00347,0.31572,0.00321,0.00117,2.72849,4.55571,2.5844,0.000407501,0.000407501,0.000407501,0.000203751,0.000407501,0.000366751
7,21.3299,1.87607,3.69522,1.9441,0.00557,0.35881,0.01256,0.00604,2.70024,4.55907,2.55133,0.000475791,0.000475791,0.000475791,0.000237896,0.000475791,0.000428212
8,24.109,1.72361,3.63973,1.80609,0.00834,0.46239,0.0157,0.00635,2.63706,4.55329,2.49807,0.000543443,0.000543443,0.000543443,0.000271722,0.000543443,0.000489099
9,27.041,1.75435,3.58588,1.87349,0.00732,0.55572,0.01842,0.00648,2.60181,4.53108,2.46425,0.000610358,0.000610358,0.000610358,0.000305179,0.000610358,0.000549322
10,29.8488,1.6746,3.53223,1.74668,0.00624,0.59971,0.03544,0.01299,2.49743,4.45969,2.39546,0.000676438,0.000676438,0.000676438,0.000338219,0.000676438,0.000608794
