epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,2.66634,3.94895,4.91055,2.51546,6e-05,0.00418,3e-05,1e-05,3.80474,5.15307,2.5599,1e-05,1e-05,1e-05,5e-06,2e-05
2,4.49643,3.83738,4.88115,2.66051,0.00013,0.00632,3e-05,1e-05,3.75634,5.13418,2.51577,2.99927e-05,2.99927e-05,2.99927e-05,1.49963e-05,5.99853e-05
3,6.48351,3.90396,4.9076,2.06794,0.0002,0.00719,4e-05,1e-05,3.69026,5.10444,2.44666,4.99512e-05,4.99512e-05,4.99512e-05,2.49756e-05,9.99023e-05
4,8.28886,3.82118,4.87181,2.15329,0.00058,0.01326,0.00028,4e-05,3.5963,5.0631,2.3557,6.98462e-05,6.98462e-05,6.98462e-05,3.49231e-05,0.000139692
5,10.0819,3.58145,4.84935,2.25235,0.00136,0.02363,0.00093,0.00014,3.51463,5.02969,2.27933,8.96487e-05,8.96487e-05,8.96487e-05,4.48244e-05,0.000179297
6,11.8618,3.66216,4.88041,2.231,0.00277,0.03993,0.00445,0.00083,3.4056,4.98653,2.19614,0.00010933,0.00010933,0.00010933,5.46648e-05,0.000218659
7,13.6525,3.46689,4.8117,2.05545,0.00486,0.05854,0.011,0.00282,3.27921,4.95035,2.11038,0.00012886,0.00012886,0.00012886,6.44301e-05,0.00025772
8,15.6297,3.27373,4.7388,2.06478,0.00634,0.07533,0.01803,0.00569,3.1395,4.89973,2.01634,0.000148212,0.000148212,0.000148212,7.41059e-05,0.000296424
9,17.4114,3.38685,4.694,1.95852,0.00623,0.08102,0.02212,0.00733,2.98724,4.8371,1.91828,0.000167356,0.000167356,0.000167356,8.36781e-05,0.000334713
10,19.2045,3.22852,4.7442,2.0894,0.00617,0.08256,0.02312,0.00651,2.82742,4.77833,1.81958,0.000186266,0.000186266,0.000186266,9.31328e-05,0.000372531
11,21.1541,2.83954,4.55734,1.76838,0.00565,0.08342,0.02267,0.00647,2.65856,4.71287,1.72531,0.000204912,0.000204912,0.000204912,0.000102456,0.000409825
12,22.9723,2.79464,5.02245,1.93412,0.00587,0.08306,0.01999,0.00549,2.49066,4.66392,1.63092,0.000223269,0.000223269,0.000223269,0.000111635,0.000446539
