epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,2.49725,3.81687,5.07857,2.56924,0.00014,0.00662,0,0,3.80509,5.15975,2.56332,1e-05,1e-05,1e-05,5e-06,2e-05
2,4.33945,3.89849,5.03351,2.14239,0.00012,0.00569,0,0,3.75199,5.14234,2.50893,2.99927e-05,2.99927e-05,2.99927e-05,1.49963e-05,5.99853e-05
3,6.34074,3.78548,4.7875,2.26988,0.0001,0.00483,0,0,3.67628,5.12336,2.45074,4.99512e-05,4.99512e-05,4.99512e-05,2.49756e-05,9.99023e-05
4,8.15795,3.47384,4.91204,2.24833,0.00016,0.00569,0,0,3.58291,5.08665,2.37344,6.98462e-05,6.98462e-05,6.98462e-05,3.49231e-05,0.000139692
5,9.96272,4.03953,4.76264,2.18952,0.00022,0.00742,0,0,3.51049,5.06321,2.31703,8.96487e-05,8.96487e-05,8.96487e-05,4.48244e-05,0.000179297
6,11.7447,3.37455,4.93409,2.00446,0.00017,0.0065,0,0,3.42707,5.03994,2.25524,0.00010933,0.00010933,0.00010933,5.46648e-05,0.000218659
7,13.6887,3.43026,4.75213,1.95269,0.00025,0.00742,1e-05,0,3.31495,4.99115,2.16757,0.00012886,0.00012886,0.00012886,6.44301e-05,0.00025772
8,15.4816,2.99516,4.72358,1.85554,0.00029,0.00604,1e-05,0,3.17072,4.93717,2.057,0.000148212,0.000148212,0.000148212,7.41059e-05,0.000296424
9,17.2959,3.1804,4.58907,1.97223,0.00032,0.00522,1e-05,0,3.00862,4.85858,1.94192,0.000167356,0.000167356,0.000167356,8.36781e-05,0.000334713
10,19.2579,2.87211,4.62341,1.68335,0.00069,0.00732,2e-05,1e-05,2.83247,4.78125,1.82405,0.000186266,0.000186266,0.000186266,9.31328e-05,0.000372531
11,21.0568,2.69979,4.66228,1.75628,0.00087,0.00912,2e-05,1e-05,2.65058,4.70157,1.70578,0.000204912,0.000204912,0.000204912,0.000102456,0.000409825
12,22.8605,2.94828,4.62137,1.6191,0.00104,0.01502,3e-05,1e-05,2.46949,4.63086,1.58995,0.000223269,0.000223269,0.000223269,0.000111635,0.000446539
13,24.6652,2.31522,4.49164,1.56943,0.00233,0.02707,0.00011,2e-05,2.30981,4.56412,1.48541,0.00024131,0.00024131,0.00024131,0.000120655,0.00048262
14,26.6287,2.47294,4.44461,1.45465,0.00327,0.04973,0.00031,6e-05,2.17015,4.51316,1.40645,0.000259008,0.000259008,0.000259008,0.000129504,0.000518016
15,28.4013,2.34721,4.35453,1.40663,0.00423,0.07038,0.00057,0.0001,2.05377,4.47891,1.33891,0.000276338,0.000276338,0.000276338,0.000138169,0.000552676
16,30.205,2.09657,4.26922,1.30449,0.00467,0.08481,0.00101,0.0002,1.96814,4.45326,1.29013,0.000293275,0.000293275,0.000293275,0.000146637,0.00058655
