epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,2.55363,3.85205,4.85516,2.39037,0.00042,0.00429,2e-05,0,3.80086,5.15489,2.5623,1e-05,1e-05,1e-05,5e-06,2e-05
2,4.4113,3.71878,4.9852,2.57832,3e-05,0.00223,1e-05,0,3.75157,5.13512,2.50311,2.99927e-05,2.99927e-05,2.99927e-05,1.49963e-05,5.99853e-05
3,6.44257,3.65318,4.81709,2.32717,5e-05,0.00445,1e-05,0,3.65308,5.09145,2.41413,4.99512e-05,4.99512e-05,4.99512e-05,2.49756e-05,9.99023e-05
4,8.30528,3.31216,4.87981,2.13021,7e-05,0.006,1e-05,0,3.53633,5.02496,2.29489,6.98462e-05,6.98462e-05,6.98462e-05,3.49231e-05,0.000139692
5,10.1912,3.23062,4.72697,2.12727,0.0001,0.00733,1e-05,0,3.43815,4.9795,2.20804,8.96487e-05,8.96487e-05,8.96487e-05,4.48244e-05,0.000179297
6,12.0564,3.60033,4.89892,2.31553,0.00011,0.00733,1e-05,0,3.33363,4.92737,2.12198,0.00010933,0.00010933,0.00010933,5.46648e-05,0.000218659
7,14.0781,3.22071,4.70426,1.9857,0.00012,0.00874,1e-05,0,3.1951,4.87277,2.02297,0.00012886,0.00012886,0.00012886,6.44301e-05,0.00025772
8,15.9189,3.37562,4.89054,1.82025,0.00013,0.01037,1e-05,0,3.03336,4.80629,1.90763,0.000148212,0.000148212,0.000148212,7.41059e-05,0.000296424
9,17.7796,2.78003,4.63528,1.76445,0.00018,0.01237,2e-05,0,2.86278,4.73876,1.79945,0.000167356,0.000167356,0.000167356,8.36781e-05,0.000334713
10,19.7728,2.85602,4.46781,1.78219,0.0002,0.01438,3e-05,1e-05,2.67588,4.66402,1.67697,0.000186266,0.000186266,0.000186266,9.31328e-05,0.000372531
11,21.6287,2.40354,4.56893,1.57241,0.00022,0.01565,2e-05,1e-05,2.48937,4.59294,1.56208,0.000204912,0.000204912,0.000204912,0.000102456,0.000409825
12,23.4872,2.61438,4.51909,1.72798,0.00041,0.02327,6e-05,1e-05,2.30252,4.52506,1.44802,0.000223269,0.000223269,0.000223269,0.000111635,0.000446539
13,25.3482,2.50667,4.51657,1.47691,0.00053,0.02693,8e-05,2e-05,2.15465,4.48706,1.36974,0.00024131,0.00024131,0.00024131,0.000120655,0.00048262
14,27.3458,2.05041,4.26632,1.37918,0.00069,0.03287,0.00015,3e-05,2.0181,4.46199,1.30439,0.000259008,0.000259008,0.000259008,0.000129504,0.000518016
15,29.216,2.12142,4.27011,1.3901,0.01264,0.04497,0.00081,0.00021,1.90024,4.44124,1.24767,0.000276338,0.000276338,0.000276338,0.000138169,0.000552676
16,31.0954,2.02019,4.31872,1.34624,0.01936,0.05862,0.00242,0.0006,1.81318,4.42458,1.20858,0.000293275,0.000293275,0.000293275,0.000146637,0.00058655
17,32.9835,2.17242,4.14873,1.33496,0.01754,0.09822,0.00556,0.00123,1.78364,4.41437,1.19105,0.000309795,0.000309795,0.000309795,0.000154897,0.000619589
18,35.0152,2.29042,4.09225,1.335,0.01316,0.11001,0.00708,0.00161,1.81381,4.41598,1.19664,0.000325874,0.000325874,0.000325874,0.000162937,0.000651747
19,36.888,1.99871,3.99327,1.24594,0.0095,0.11293,0.00712,0.00152,1.83574,4.41579,1.20276,0.000341489,0.000341489,0.000341489,0.000170744,0.000682977
20,38.7385,2.3666,4.03487,1.2906,0.00746,0.09758,0.00489,0.00107,1.93136,4.44815,1.24296,0.000356618,0.000356618,0.000356618,0.000178309,0.000713236
21,40.7778,1.92184,3.92341,1.2268,0.00875,0.13633,0.00809,0.00198,2.00978,4.43668,1.25509,0.00037124,0.00037124,0.00037124,0.00018562,0.00074248
22,42.6695,1.88658,3.87438,1.15396,0.01164,0.20862,0.0144,0.00344,2.02254,4.39045,1.24775,0.000385334,0.000385334,0.000385334,0.000192667,0.000770669
23,44.5587,2.15856,4.13373,1.32168,0.01588,0.28018,0.02165,0.00543,2.00399,4.32685,1.22417,0.000398882,0.000398882,0.000398882,0.000199441,0.000797764
24,46.4529,1.99915,3.66795,1.19845,0.01729,0.34709,0.03247,0.01,1.95795,4.2635,1.20826,0.000411863,0.000411863,0.000411863,0.000205932,0.000823727
25,48.4981,1.91074,3.59001,1.20778,0.01743,0.39249,0.04673,0.01795,1.89037,4.21108,1.19535,0.000424261,0.000424261,0.000424261,0.000212131,0.000848523
