epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,11.5662,2.67644,4.41253,1.62526,0.0117,0.39585,0.07614,0.02853,1.67103,4.17227,1.10229,0.000328042,0.000328042,0.000328042,0.000164021,0.000656085
2,22.2241,1.90057,3.23697,1.16397,0.19568,0.38856,0.22466,0.10431,1.64996,2.9178,1.10215,0.000661214,0.000661214,0.000661214,0.000330607,0.00132243
3,33.0828,1.72824,2.55373,1.12887,0.30225,0.42621,0.32571,0.15713,1.60212,2.51214,1.21813,0.000993737,0.000993737,0.000993737,0.000496869,0.00198747
4,44.1295,1.69633,2.3176,1.13627,0.34067,0.50587,0.41533,0.21876,1.44535,2.1614,1.09649,0.000997803,0.000997803,0.000997803,0.000498902,0.00199561
5,54.9665,1.58425,2.06841,1.0735,0.53206,0.53803,0.54316,0.29767,1.40383,1.94092,1.08148,0.000996097,0.000996097,0.000996097,0.000498048,0.00199219
6,65.516,1.52559,1.89537,1.07062,0.57488,0.60359,0.6219,0.34908,1.36897,1.83254,1.0569,0.000993906,0.000993906,0.000993906,0.000496953,0.00198781
7,76.3309,1.51906,1.81384,1.06818,0.66882,0.64781,0.6795,0.3753,1.36262,1.68388,1.05661,0.000991232,0.000991232,0.000991232,0.000495616,0.00198246
8,86.9529,1.46656,1.66601,1.04669,0.70983,0.65746,0.72335,0.41101,1.35046,1.5641,1.05783,0.000988079,0.000988079,0.000988079,0.000494039,0.00197616
9,97.4794,1.48161,1.62626,1.04331,0.74177,0.68527,0.74874,0.42284,1.32721,1.51127,1.04328,0.000984449,0.000984449,0.000984449,0.000492224,0.0019689
10,108.059,1.41296,1.50913,1.02798,0.75553,0.72427,0.77681,0.4231,1.32991,1.48518,1.03295,0.000980345,0.000980345,0.000980345,0.000490173,0.00196069
11,118.852,1.41902,1.45414,1.0421,0.79546,0.73639,0.82125,0.47987,1.29452,1.3988,1.03573,0.000975773,0.000975773,0.000975773,0.000487886,0.00195155
12,129.416,1.39761,1.40502,1.02613,0.84267,0.73714,0.8366,0.48915,1.28814,1.31758,1.02454,0.000970736,0.000970736,0.000970736,0.000485368,0.00194147
13,139.862,1.37476,1.35929,1.02102,0.82735,0.78332,0.86384,0.52623,1.22759,1.24353,1.0085,0.000965239,0.000965239,0.000965239,0.00048262,0.00193048
14,150.309,1.46022,1.38765,1.0347,0.80643,0.76214,0.83226,0.46746,1.32229,1.36806,1.0278,0.000959289,0.000959289,0.000959289,0.000479644,0.00191858
15,160.837,1.39751,1.33037,1.00887,0.82422,0.77249,0.83654,0.43797,1.36653,1.35509,1.04171,0.000952889,0.000952889,0.000952889,0.000476445,0.00190578
16,171.529,1.40452,1.30411,1.01932,0.84887,0.76752,0.86518,0.50468,1.26504,1.25981,1.01437,0.000946048,0.000946048,0.000946048,0.000473024,0.0018921
17,182.075,1.35026,1.25309,1.001,0.85538,0.79217,0.87924,0.5212,1.25068,1.19989,1.01372,0.000938772,0.000938772,0.000938772,0.000469386,0.00187754
18,192.662,1.35028,1.20781,1.00092,0.88101,0.80242,0.88589,0.51171,1.27441,1.1809,1.01579,0.000931067,0.000931067,0.000931067,0.000465534,0.00186213
19,203.205,1.35056,1.21301,1.01183,0.82399,0.81717,0.87975,0.52255,1.26283,1.19097,1.0151,0.000922942,0.000922942,0.000922942,0.000461471,0.00184588
20,213.906,1.35461,1.20219,1.00211,0.85813,0.79507,0.87577,0.49267,1.32214,1.1945,1.03075,0.000914405,0.000914405,0.000914405,0.000457202,0.00182881
21,224.325,1.30361,1.15868,0.99697,0.84664,0.79623,0.87792,0.5349,1.22551,1.1729,1.00096,0.000905463,0.000905463,0.000905463,0.000452732,0.00181093
22,234.762,1.3231,1.12606,0.99057,0.88356,0.81728,0.89824,0.54969,1.229,1.0895,1.00148,0.000896127,0.000896127,0.000896127,0.000448063,0.00179225
23,245.245,1.28953,1.11143,0.98893,0.88971,0.82801,0.89305,0.54586,1.25307,1.0803,1.01851,0.000886404,0.000886404,0.000886404,0.000443202,0.00177281
24,255.757,1.28976,1.13021,1.00049,0.87964,0.81504,0.89368,0.5323,1.24881,1.10825,1.00855,0.000876305,0.000876305,0.000876305,0.000438152,0.00175261
25,266.271,1.29039,1.10669,0.99074,0.85913,0.84012,0.89685,0.54179,1.2348,1.06294,1.00371,0.000865839,0.000865839,0.000865839,0.00043292,0.00173168
